LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA10800,20,9,40,51,3,3,9,125,105,228,44,42,81,0,0,0,5,9,5,23,57,84,4,0,4,72,107,184,38,23,63,0,0,0,0,0,0,23,86,108,5,3,0,72,115,176,1124,1127,2252,77,72,151,182,162,342,92,271,362,756,596,1349,2232,2223,4458
LGA10850,42,12,45,63,10,3,15,144,151,291,69,27,99,4,0,4,5,3,13,15,53,68,3,0,3,95,90,185,36,20,53,6,0,6,5,8,11,30,64,97,0,0,0,69,94,165,1470,1475,2943,111,101,214,282,321,600,101,252,353,989,876,1870,2949,3030,5977
LGA10900,563,124,469,589,126,134,258,1511,1826,3339,529,385,915,32,27,53,92,160,254,131,427,555,65,68,135,847,1069,1921,367,189,552,7,9,19,54,111,163,178,723,896,46,77,127,657,1108,1763,15487,15590,31074,860,1078,1941,2597,4335,6930,749,2534,3274,11213,10051,21264,30905,33588,64491
LGA10950,19,3,21,30,8,0,8,52,60,117,25,14,36,0,0,0,3,0,4,9,31,39,9,3,10,40,51,91,12,11,19,0,0,0,0,0,0,7,35,40,3,0,8,31,39,71,445,432,875,33,45,78,80,67,143,35,127,167,409,313,725,1008,980,1988
LGA11150,6,8,11,17,4,0,4,34,34,67,15,8,23,0,0,0,3,0,3,4,13,19,0,0,0,21,26,46,6,3,13,0,0,0,0,0,0,3,15,22,0,0,4,14,22,34,379,359,739,33,32,64,48,63,111,34,78,103,403,395,798,898,921,1820
LGA11200,3,5,6,9,8,3,3,24,16,38,0,0,3,0,0,0,0,0,0,4,7,6,5,0,5,5,7,18,0,0,0,0,0,0,0,0,0,3,10,12,0,0,0,8,14,17,151,149,297,16,23,39,32,18,50,23,38,65,297,322,624,528,551,1080
LGA11250,125,36,147,183,20,14,37,328,418,746,136,122,258,7,5,16,21,23,48,39,156,197,11,10,21,215,316,527,102,53,156,8,5,9,9,24,34,77,298,376,8,6,12,205,388,590,2738,2766,5512,290,317,610,723,840,1565,259,939,1195,3059,2658,5714,7073,7516,14592
LGA11300,91,20,178,203,58,48,111,465,581,1037,263,188,451,10,3,15,32,36,66,45,262,310,42,36,78,391,529,922,284,110,392,12,11,23,17,24,38,116,486,607,27,82,111,461,718,1177,7728,7758,15481,396,492,889,965,1463,2429,265,1316,1579,7949,7082,15029,17309,18109,35414
LGA11350,251,47,138,180,41,24,66,543,515,1053,143,100,245,9,0,10,48,53,106,39,149,190,13,9,23,256,319,579,98,54,153,3,4,7,22,37,64,83,270,350,11,5,21,212,370,584,5302,5328,10632,444,505,949,1661,2232,3892,275,913,1198,6699,6929,13624,14389,15912,30299
LGA11400,66,35,87,126,14,10,27,302,295,598,118,89,204,4,6,5,18,15,28,35,76,112,13,7,20,175,192,366,70,35,105,3,0,6,10,8,17,42,156,197,4,8,14,132,204,331,2954,3004,5957,174,155,330,488,452,938,194,535,724,1612,1403,3014,5424,5551,10970
LGA11450,227,90,334,417,32,21,54,999,1095,2085,428,286,713,23,6,22,38,68,106,107,371,477,10,12,24,604,744,1343,245,108,359,6,0,11,23,52,72,131,608,737,23,22,43,428,793,1220,23897,24043,47941,1218,1702,2916,2384,3907,6289,637,2417,3057,15017,14007,29020,43153,46073,89228
LGA11500,577,229,749,981,96,73,166,1970,2196,4169,785,438,1221,38,19,53,98,183,281,211,669,886,35,42,78,1170,1355,2523,355,181,532,26,22,42,57,99,156,221,939,1161,22,38,56,679,1271,1953,32897,33063,65966,2454,3098,5547,4206,6538,10749,1330,4800,6129,25935,23334,49269,66824,70834,137653
LGA11520,306,83,435,523,70,82,148,1241,1484,2725,681,407,1092,20,18,40,60,90,152,98,528,627,47,72,114,908,1115,2020,523,249,774,8,13,20,28,66,95,240,991,1226,33,68,103,836,1380,2219,18638,18787,37426,800,1028,1826,2286,3634,5917,656,2842,3503,13351,13054,26400,35730,39347,75074
LGA11570,1044,432,1725,2157,310,251,558,4810,5124,9929,2461,1510,3970,102,70,168,267,280,543,462,2133,2591,163,132,293,3451,4123,7576,2094,933,3024,50,36,90,164,231,392,1016,3592,4614,114,134,249,3441,4933,8374,74257,72586,146840,4893,6164,11053,10164,14617,24779,2915,12136,15050,55816,43991,99807,148038,149488,297532
LGA11600,10,4,13,11,4,0,4,35,36,68,25,16,35,0,0,0,3,0,3,8,14,20,0,0,5,31,28,57,12,5,17,0,0,0,0,0,0,5,31,35,0,0,0,22,37,56,543,500,1041,44,35,77,92,78,167,38,98,137,525,354,876,1245,1052,2304
LGA11650,2474,734,2320,3056,380,325,711,7100,8139,15241,3108,2112,5221,122,81,201,527,780,1308,798,2551,3350,191,195,380,4747,5712,10463,2100,1104,3200,63,37,97,250,577,830,1345,4709,6046,175,196,369,3929,6619,10545,63243,63441,126684,5083,6180,11261,12709,19096,31805,4353,14409,18759,50403,45333,95737,135785,148463,284248
LGA11700,13,6,9,14,0,0,0,39,30,72,14,7,17,0,0,3,0,0,4,0,6,5,3,0,0,19,16,35,3,3,6,0,0,0,0,3,4,0,9,6,0,0,3,10,13,22,230,219,449,31,19,53,68,77,143,30,47,75,358,346,703,720,707,1420
LGA11720,257,98,288,390,52,41,95,975,952,1928,305,200,504,17,8,17,56,73,132,112,338,447,32,20,54,518,640,1156,210,132,340,13,12,24,30,36,65,151,538,687,16,28,49,416,749,1167,10830,10484,21312,1051,1123,2171,2356,2843,5197,669,2037,2705,10544,8868,19415,25444,25356,50801
LGA11730,385,118,428,550,91,42,133,1418,1450,2868,592,381,972,17,16,35,105,99,201,127,425,553,57,36,88,895,958,1847,359,209,564,11,4,19,49,53,107,236,773,1004,34,34,67,687,1070,1757,10220,10018,20231,876,939,1817,2555,2833,5381,805,2515,3315,8142,6568,14709,22587,22870,45462
LGA11750,13,9,32,38,3,0,8,51,72,123,16,12,35,0,3,0,4,0,6,14,28,42,0,0,3,38,47,84,15,5,19,0,0,0,4,5,3,12,37,49,0,0,0,26,45,75,668,668,1337,77,58,129,160,142,302,57,129,184,689,579,1271,1648,1578,3227
LGA11800,498,115,505,617,74,48,123,1586,1776,3365,694,501,1196,18,16,35,123,176,297,170,590,758,47,31,80,1044,1310,2357,538,273,813,19,11,30,58,95,151,281,995,1277,24,26,50,919,1402,2320,14589,14598,29188,1132,1421,2555,3085,4282,7366,896,3250,4141,11241,10301,21546,30944,33851,64798
LGA12000,16,16,29,44,8,4,9,93,98,192,50,28,76,3,0,3,0,0,4,8,43,53,3,0,11,66,74,142,33,16,43,3,0,7,4,0,4,22,54,77,0,0,0,59,75,135,897,895,1797,68,80,146,142,146,289,67,188,259,547,484,1031,1730,1793,3522
LGA12150,15,6,21,28,11,5,14,71,62,134,23,21,38,0,0,7,12,7,15,12,31,38,6,0,6,52,54,101,12,0,17,0,0,6,7,0,8,12,47,51,0,0,0,29,55,85,553,547,1100,65,62,127,108,103,216,51,167,206,645,624,1268,1413,1502,2916
LGA12160,75,26,94,118,24,15,33,287,307,593,156,90,246,3,3,4,23,21,41,45,127,173,11,15,23,231,258,483,69,28,101,0,0,5,4,11,18,65,184,250,10,0,11,151,230,382,2343,2300,4638,155,169,321,400,458,857,195,592,789,1537,1277,2819,4632,4799,9429
LGA12350,103,29,92,122,21,17,29,303,310,617,144,106,252,4,4,5,29,20,49,46,106,151,9,13,32,233,254,487,85,44,127,0,3,8,13,15,25,56,174,230,15,11,23,164,247,411,2379,2387,4762,191,219,409,545,564,1107,218,607,825,1889,1568,3458,5219,5344,10563
LGA12380,509,216,935,1152,141,106,250,2566,2590,5162,1166,699,1865,44,37,83,131,165,299,233,979,1212,102,85,189,1677,1963,3645,749,311,1057,17,15,32,73,102,176,499,1547,2043,60,74,134,1394,2047,3442,50557,47664,98222,2789,3380,6170,5461,7598,13056,1561,6275,7836,37073,26198,63268,97436,91112,188553
LGA12390,215,92,324,416,40,38,77,834,965,1803,400,273,671,12,11,21,56,72,127,97,360,458,26,28,54,588,739,1327,238,107,346,8,7,13,20,36,59,174,560,728,18,18,30,459,722,1186,9782,9556,19335,735,871,1610,1610,2084,3693,619,1929,2548,8525,7701,16225,21267,22146,43414
LGA12700,52,17,49,61,11,6,17,207,181,386,95,57,148,3,4,4,16,10,25,18,56,78,7,9,16,143,136,273,34,17,52,0,0,0,6,5,11,24,85,114,5,3,8,68,112,184,2005,2024,4034,135,124,258,393,399,787,98,322,416,1233,1045,2271,3862,3911,7769
LGA12730,45,11,55,65,11,7,14,164,188,361,79,62,139,4,0,6,19,9,25,31,104,132,7,4,13,145,175,315,67,26,98,0,0,0,9,12,14,32,127,158,4,6,9,115,175,286,1591,1584,3178,125,141,263,326,384,710,118,399,516,1217,1088,2302,3377,3596,6972
LGA12750,315,99,338,436,51,39,85,1218,1244,2467,485,343,832,28,16,41,65,77,146,120,354,473,32,7,47,736,794,1533,349,167,516,11,0,17,43,50,90,164,669,833,13,22,33,580,915,1498,8363,8349,16714,632,700,1334,1920,2311,4233,626,2105,2732,5459,4499,9962,17004,17964,34972
LGA12850,500,233,1154,1383,140,129,271,2876,2964,5837,1370,806,2175,73,38,112,127,131,253,294,1325,1624,76,80,158,1937,2383,4319,1052,426,1482,37,27,66,74,122,198,515,2054,2567,63,67,127,1756,2690,4440,39883,39792,79678,3055,3690,6752,6476,8922,15394,1747,8262,10007,32514,26886,59395,83678,87551,171228
LGA12870,77,45,116,155,25,13,35,376,372,748,147,120,269,8,4,11,20,24,39,52,137,195,7,12,20,237,302,536,113,52,167,3,0,8,12,10,23,65,187,252,15,8,25,208,264,468,2659,2678,5343,240,217,452,555,605,1160,260,665,923,1654,1341,2998,5374,5505,10875
LGA12900,59,23,67,88,20,5,20,229,211,440,94,68,160,0,0,6,16,8,21,29,80,107,11,3,17,143,163,306,58,33,88,0,3,0,8,5,11,49,131,181,0,3,6,112,174,284,1744,1733,3478,148,147,299,309,337,650,143,401,542,1364,1147,2503,3702,3767,7469
LGA12930,490,184,775,959,141,118,255,2232,2504,4740,1096,754,1852,35,27,58,114,160,270,206,955,1165,73,63,138,1525,1959,3487,1001,487,1488,18,18,35,81,169,253,437,1871,2307,70,73,144,1616,2610,4229,33223,33434,66658,1540,1937,3472,3724,5820,9543,1237,5251,6486,22725,19119,41846,62451,65558,128007
LGA12950,18,13,23,40,5,3,11,90,92,184,39,36,77,3,0,3,11,10,20,15,42,59,9,3,9,74,88,166,33,16,47,0,0,0,0,5,5,10,51,59,8,0,8,55,72,129,840,849,1689,63,65,122,145,144,296,66,194,261,578,529,1109,1697,1778,3472
LGA13010,78,28,75,99,23,7,25,261,269,529,99,70,164,14,0,13,12,17,23,31,79,115,6,4,13,162,168,328,61,30,91,0,0,3,6,9,21,37,147,184,0,0,5,109,188,303,1694,1655,3344,153,156,308,405,479,885,158,449,610,1312,1104,2418,3721,3839,7563
LGA13310,186,81,228,305,37,44,77,623,667,1287,244,154,396,7,5,14,45,41,87,71,223,293,20,27,43,380,448,829,155,95,246,3,4,9,36,36,67,112,354,465,14,19,37,315,508,825,5916,5721,11642,458,516,975,1206,1439,2646,409,1301,1706,5163,4136,9302,13150,13120,26268
LGA13340,62,35,55,90,15,0,15,253,210,464,94,46,143,0,6,8,17,5,23,31,68,97,13,4,14,157,132,285,36,22,60,0,0,0,3,0,4,48,104,146,5,8,12,89,134,229,2350,2353,4698,179,146,328,372,415,785,169,361,526,1423,1149,2573,4491,4416,8911
LGA13450,58,31,128,161,12,5,18,356,399,758,218,143,358,3,3,8,22,14,42,46,187,241,18,9,24,312,362,673,164,61,228,10,0,10,3,9,11,73,353,428,13,3,18,258,429,689,5666,5466,11126,339,348,685,616,716,1333,249,1055,1297,4050,3327,7374,10908,10917,21827
LGA13550,50,22,86,111,12,13,24,208,256,464,119,82,207,5,0,5,15,21,36,24,102,127,6,8,17,168,220,387,68,23,99,3,0,5,7,11,14,41,132,170,10,35,47,133,207,332,2267,2291,4562,183,194,375,391,410,801,151,505,654,1945,1694,3641,4940,5096,10037
LGA13660,31,14,47,62,3,0,6,133,137,277,71,42,116,4,0,4,5,7,15,16,42,54,4,0,8,108,97,205,36,18,55,8,0,8,3,3,7,21,84,99,0,4,9,66,105,173,1060,1046,2106,91,62,153,186,181,366,79,255,326,596,499,1095,2003,2041,4047
LGA13800,306,108,338,448,57,40,99,1032,1128,2161,434,254,693,27,14,47,57,103,162,90,353,439,27,31,56,638,763,1398,248,136,389,14,12,22,41,63,101,132,514,646,25,36,60,454,766,1215,13135,13136,26273,811,937,1741,2113,2910,5021,576,1961,2532,10162,8624,18790,26791,27572,54359
LGA13850,11,0,30,30,4,4,8,66,82,143,32,37,67,0,0,0,5,3,12,5,25,30,4,0,3,42,67,106,24,4,32,0,0,0,0,0,5,16,34,46,11,5,11,45,45,90,568,576,1142,44,42,83,102,97,195,37,132,170,458,363,823,1211,1205,2417
LGA13910,103,42,139,186,29,20,51,459,432,897,180,134,320,5,0,12,33,24,56,42,153,197,14,11,20,282,323,607,108,48,154,4,0,4,10,10,18,81,251,332,9,17,29,215,328,541,3713,3710,7417,323,290,615,668,793,1463,268,845,1105,2605,2398,5007,7579,8033,15611
LGA14000,547,161,696,858,93,90,187,2404,2710,5117,1299,884,2188,33,29,61,95,206,305,221,873,1093,62,80,144,1712,2073,3785,980,555,1534,17,25,40,86,151,235,501,1880,2382,44,89,135,1628,2700,4327,35597,35942,71536,1128,1496,2624,2860,5128,7986,1271,4958,6228,18507,16070,34581,59362,63592,122954
LGA14100,65,16,80,99,26,22,45,289,312,591,126,79,204,0,6,10,14,25,42,27,94,117,18,19,31,185,233,412,115,71,189,3,3,11,9,41,56,77,327,398,26,61,84,232,507,734,2978,2993,5971,86,135,223,335,550,884,149,612,758,1826,1578,3398,5372,5870,11237
LGA14170,772,149,657,802,357,311,669,2159,2472,4634,887,597,1477,51,47,97,133,223,355,167,835,1001,194,146,342,1426,1843,3271,775,374,1148,25,22,42,70,190,255,373,1492,1862,142,112,258,1385,2192,3569,28999,28936,57934,1814,2139,3950,5319,7536,12855,1131,4553,5684,38256,37446,75697,75515,80601,156117
LGA14220,94,27,136,166,24,8,30,392,422,812,176,136,319,8,3,10,18,18,34,58,166,226,21,8,29,280,337,609,100,43,148,5,4,6,10,14,25,55,218,278,6,13,20,173,295,471,3340,3314,6654,269,306,573,623,687,1309,228,786,1016,2583,2302,4881,7042,7390,14430
LGA14300,21,15,37,56,10,3,11,138,114,250,48,33,79,0,0,0,7,6,10,9,37,43,5,0,5,69,69,142,25,14,47,0,0,0,4,3,6,9,60,66,4,0,0,48,81,125,1356,1083,2442,115,93,206,217,222,441,66,216,285,1375,625,1993,3128,2236,5363
LGA14350,200,89,243,334,45,26,73,750,746,1498,280,200,484,17,4,20,61,44,104,85,235,315,17,3,21,455,488,947,179,83,266,5,3,9,29,35,68,113,384,501,13,14,25,342,525,863,5323,5170,10487,562,575,1140,1456,1539,2999,497,1397,1893,5030,4067,9096,12864,12745,25614
LGA14400,133,50,136,188,36,29,62,645,613,1261,268,174,436,4,4,5,13,31,46,41,179,219,11,12,25,329,402,732,175,113,288,3,0,3,13,21,38,83,342,426,12,19,31,281,494,777,5425,5446,10871,214,242,456,715,974,1690,260,928,1194,2627,2443,5070,9238,10036,19277
LGA14500,372,146,622,770,65,90,152,2186,2510,4701,1210,953,2159,11,16,24,70,172,239,165,760,931,46,43,89,1507,1938,3447,1117,564,1684,22,13,34,46,138,186,432,1663,2101,43,101,144,1663,2479,4138,29893,30736,60625,736,1044,1782,1859,3550,5417,991,4061,5055,13934,13116,27049,47410,52508,99922
LGA14550,80,19,49,66,18,9,22,204,194,396,90,58,153,0,0,0,10,16,31,17,72,89,11,3,11,128,150,281,46,26,71,0,0,8,3,4,9,32,106,137,8,3,5,88,140,228,1676,1679,3354,160,160,324,521,551,1076,123,402,529,1425,1177,2601,3912,3967,7875
LGA14600,26,16,40,52,10,4,15,118,117,232,50,42,91,9,0,9,3,9,12,17,49,65,4,0,7,82,95,180,42,16,58,0,0,3,4,4,6,28,102,126,3,3,3,69,126,199,1133,1124,2262,99,79,179,200,150,349,83,287,371,856,780,1632,2377,2418,4797
LGA14650,1190,431,1377,1806,152,143,295,4415,4976,9389,1899,1367,3269,72,44,118,244,381,620,466,1601,2070,73,84,157,2747,3487,6233,1356,728,2081,29,32,57,142,229,369,816,2852,3664,53,83,142,2390,3909,6305,41677,41855,83537,2663,3203,5865,7119,10221,17339,2637,8730,11360,30301,26682,56987,84390,90692,175079
LGA14700,164,31,124,161,36,40,76,529,587,1114,215,136,355,4,3,9,37,59,93,33,175,202,26,20,49,313,395,713,135,84,219,5,8,10,12,54,60,75,310,385,12,37,51,236,489,725,8143,8232,16377,340,431,769,913,1451,2360,208,889,1101,5991,5656,11651,15599,16661,32254
LGA14750,37,16,64,75,14,6,15,175,212,388,94,71,172,6,0,4,16,8,30,23,86,108,4,3,14,143,177,319,60,23,82,0,0,0,5,9,17,36,141,183,3,5,7,104,182,284,2089,2078,4162,162,173,332,334,368,705,139,452,594,1703,1544,3245,4431,4608,9041
LGA14850,272,59,226,282,51,37,86,725,820,1545,298,224,526,10,6,23,61,68,126,58,274,334,34,37,68,464,615,1075,222,124,343,12,4,7,23,51,73,122,487,605,19,28,43,393,687,1081,7125,7152,14279,666,726,1393,1836,2536,4371,456,1548,2010,7748,6953,14704,17838,18917,36751
LGA14870,179,52,144,198,44,36,76,536,527,1066,157,104,259,15,9,21,32,45,75,43,161,204,28,14,41,273,332,604,97,58,152,3,0,10,11,17,27,74,249,323,8,13,17,189,339,534,3823,3721,7544,369,325,693,911,1078,1988,314,897,1213,3365,2624,5995,8777,8650,17426
LGA14900,464,245,971,1211,85,51,143,2344,2493,4845,1029,533,1559,57,32,83,107,130,238,227,1019,1248,38,36,78,1454,1750,3206,666,284,952,24,15,39,56,93,148,391,1324,1717,30,51,84,1167,1770,2943,45655,45694,91350,3072,3899,6969,5357,7867,13222,1561,6390,7955,33935,28442,62378,89578,92294,181869
LGA14920,45,25,62,83,7,4,14,175,193,363,73,46,127,5,0,8,5,3,3,23,60,85,4,3,5,107,123,233,40,18,60,3,0,3,6,4,10,21,86,111,3,4,11,72,112,189,1392,1407,2798,129,128,255,319,319,638,113,338,453,1127,949,2078,3078,3138,6222
LGA14950,18,11,22,31,4,0,6,81,74,156,27,25,54,0,0,0,9,0,8,4,17,26,0,3,7,44,52,95,17,8,25,0,0,0,3,0,4,18,63,82,7,0,7,47,70,125,678,684,1358,60,61,116,124,105,229,49,148,194,399,339,737,1304,1327,2636
LGA15050,312,121,437,554,45,39,80,1251,1442,2696,513,340,854,7,3,17,63,95,157,118,434,551,29,31,57,733,912,1642,301,156,463,8,0,7,26,45,74,179,727,906,16,31,43,525,962,1494,16275,16502,32776,1146,1518,2668,2588,3881,6474,750,2698,3446,13279,12327,25602,34033,36923,70959
LGA15240,925,291,875,1168,135,87,224,3241,3221,6459,1290,892,2179,58,23,78,218,188,407,312,978,1289,73,44,121,1954,2121,4078,845,462,1305,35,12,48,126,142,274,498,1656,2154,50,57,103,1554,2333,3884,19612,19612,39220,1686,1682,3367,4725,5450,10176,1694,5249,6944,12229,10584,22808,39941,42566,82510
LGA15270,134,65,179,246,49,12,64,540,566,1106,187,112,300,8,8,17,41,26,68,70,190,265,17,11,28,323,349,677,100,57,162,8,8,10,21,15,35,79,278,359,14,15,30,227,370,598,4843,4826,9667,387,420,802,941,1043,1985,361,985,1343,3771,3018,6788,10305,10293,20595
LGA15300,43,31,82,111,21,11,31,212,196,412,78,48,125,0,0,0,13,6,20,41,82,118,11,3,16,141,137,279,42,17,61,3,5,3,5,0,8,26,86,107,9,8,11,83,111,199,2105,2101,4199,191,217,409,374,334,708,177,429,604,2176,2029,4209,5018,5109,10132
LGA15350,204,33,176,207,39,57,98,585,772,1351,280,178,460,3,4,4,35,58,98,33,200,231,23,52,75,372,487,859,205,93,295,4,3,7,20,45,65,97,370,467,20,60,84,346,570,916,5935,5975,11909,196,290,493,736,1464,2193,211,1009,1228,3628,4272,7898,10707,13010,23719
LGA15520,75,45,93,137,22,5,28,398,367,765,144,102,249,4,4,12,23,18,35,37,107,154,9,10,14,218,245,463,96,40,141,9,0,8,11,11,19,53,168,222,7,9,14,172,229,401,2841,2877,5722,172,175,350,508,492,1000,230,560,790,1543,1274,2819,5296,5384,10681
LGA15560,15,8,22,26,3,0,5,69,55,126,25,17,41,0,0,0,3,5,8,9,31,39,0,0,0,38,48,90,20,8,31,0,0,0,0,0,0,16,35,50,3,0,3,38,44,76,673,661,1339,53,46,93,138,123,257,52,127,180,523,390,918,1442,1345,2785
LGA15650,57,23,75,104,15,3,18,233,234,464,85,54,133,0,4,8,23,13,34,22,76,99,0,4,9,135,145,280,37,19,60,0,3,9,6,4,15,30,137,162,8,0,12,87,165,256,2720,2656,5377,277,288,566,603,605,1211,141,532,671,2822,2243,5070,6568,6324,12894
LGA15700,218,54,176,233,38,28,63,591,598,1191,204,145,356,15,3,18,70,59,129,54,182,233,16,10,29,358,399,762,150,76,230,0,3,6,9,27,39,107,307,407,22,10,36,291,429,713,3638,3654,7292,352,369,719,1060,1257,2310,343,1068,1407,2932,2525,5456,8320,8873,17188
