LGA_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
LGA10050,5,11,5,8,6,4,10,5,0,50,159,118,95,103,135,152,138,103,71,1068,3,4,4,3,0,5,0,0,0,15,14,9,15,5,15,19,13,7,6,102,109,62,80,78,62,72,30,26,3,522,161,127,101,166,260,352,343,206,115,1831,19,13,7,19,8,29,25,14,3,142,45,13,22,31,21,24,35,11,0,204,203,200,163,198,305,397,319,245,112,2141,193,136,120,139,155,147,101,77,16,1074,8,8,3,4,0,0,6,0,0,29,5079,3319,2929,3347,4092,4351,3636,2259,1065,30077,212,101,237,151,65,35,21,12,3,835,75,21,63,61,12,8,5,0,0,240,0,0,3,0,5,0,0,3,0,26,11,5,0,8,0,0,0,0,0,18,67,11,118,39,0,8,0,3,0,243,23,18,28,36,11,18,10,0,0,138,94,30,145,76,20,25,10,3,0,397,3284,2587,2396,1873,1669,1293,761,296,102,14264
LGA10180,12,6,10,6,10,6,8,0,0,53,11,8,7,12,19,4,3,6,0,67,0,4,0,3,0,0,0,0,0,3,8,5,0,9,14,9,4,6,0,61,55,21,35,20,34,22,21,8,3,227,117,121,63,116,209,211,221,153,83,1292,9,9,13,16,17,21,11,13,0,113,45,22,20,13,34,16,17,7,0,178,89,96,77,83,127,133,139,94,44,879,93,97,62,67,55,81,58,23,5,540,3,0,6,0,0,3,6,0,0,31,2724,2411,1495,1676,2272,2193,1824,1185,506,16287,41,44,127,43,18,11,5,3,0,281,158,50,148,75,29,9,3,0,0,464,8,0,3,0,0,3,0,0,0,10,4,6,0,6,0,3,0,0,0,18,8,12,18,3,4,0,0,0,0,44,0,23,26,18,19,18,10,0,6,115,11,41,47,22,24,19,13,0,6,175,1733,1995,1154,823,801,765,491,186,65,8006
LGA10250,13,9,6,3,9,5,3,4,0,60,14,3,4,16,19,18,10,15,3,112,0,0,0,0,0,0,0,0,0,0,21,5,8,8,8,27,22,18,16,129,103,63,69,60,66,96,39,21,4,521,123,66,68,139,239,327,386,279,156,1773,3,7,0,9,13,14,16,12,3,92,29,10,13,15,29,32,43,33,33,223,144,94,70,141,237,338,362,261,157,1809,186,112,74,112,124,142,95,42,15,920,10,6,0,5,3,13,9,6,0,68,3326,1957,1468,2297,3294,3896,3793,2417,1260,23711,10,7,30,10,12,15,3,0,0,94,11,4,4,11,10,5,0,0,0,54,0,5,8,0,4,8,13,0,4,50,0,0,0,0,3,4,0,0,0,7,11,3,20,6,0,4,4,0,0,45,17,17,23,27,39,24,11,0,4,154,22,22,46,28,41,26,14,0,4,205,2847,1555,1592,1743,1700,1754,1132,402,155,12872
LGA10300,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,0,4,6,0,0,0,0,12,16,13,9,11,19,48,18,17,11,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,10,26,7,3,0,70,18,3,3,5,11,12,0,0,0,58,0,0,0,0,0,0,0,0,0,0,295,145,116,172,208,280,146,102,28,1484,5,3,4,3,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,134,78,72,63,46,47,27,6,0,474
LGA10470,18,10,6,7,6,11,3,0,0,59,8,6,8,12,11,13,8,18,3,81,3,0,3,0,0,0,0,0,0,14,16,18,15,20,26,29,18,6,5,148,73,44,27,38,33,25,17,3,4,259,200,140,132,168,261,330,250,163,75,1720,24,13,11,9,10,17,19,6,0,113,4,9,9,8,8,9,12,3,0,71,166,150,166,144,220,250,237,130,51,1516,141,78,78,70,95,77,74,23,0,624,0,3,3,0,5,0,3,0,0,15,5092,3345,2672,2956,3592,3556,2868,1598,671,26367,46,26,49,48,18,6,4,4,0,202,56,23,43,36,14,11,5,0,0,180,0,4,5,0,0,3,0,0,0,15,10,0,4,3,0,0,0,0,0,17,22,3,16,16,0,0,4,0,0,59,8,23,11,15,11,12,5,8,0,99,36,26,35,37,11,18,8,8,0,180,2266,1792,1551,1178,996,832,554,177,58,9394
LGA10500,63,53,48,36,43,25,10,9,3,292,6,20,24,23,29,17,41,23,8,187,327,241,261,237,192,217,178,86,30,1769,72,71,122,94,88,83,61,33,14,643,270,167,279,276,159,104,55,13,3,1326,182,176,247,278,282,306,242,148,98,1952,29,15,37,24,16,29,24,34,20,232,27,16,27,26,20,16,13,11,3,166,214,181,235,194,218,244,206,123,92,1708,685,494,790,701,544,521,326,184,72,4318,10,9,8,13,16,14,14,0,3,90,13200,8298,10868,11687,11062,9221,8165,5806,2562,80870,866,1043,3050,930,297,180,123,40,14,6535,3494,2230,3204,2036,1317,780,362,152,38,13620,183,90,88,142,132,102,100,54,25,912,0,5,0,0,5,3,0,0,0,11,41,22,81,35,19,18,3,0,0,222,43,45,134,80,70,31,24,0,4,438,88,69,217,117,97,51,32,3,5,678,4781,5641,8252,4748,3627,2983,1539,654,266,32489
LGA10550,21,3,11,5,4,6,4,0,0,57,0,6,0,3,24,26,19,21,10,110,0,0,0,0,0,0,0,0,0,3,7,0,6,7,16,15,17,11,5,78,6,15,0,6,13,22,8,0,0,81,37,31,20,46,124,220,241,168,66,952,8,3,4,4,15,10,16,8,4,78,27,9,11,9,11,17,14,5,3,113,114,73,43,86,170,259,267,174,57,1245,127,59,42,58,106,135,73,34,7,647,5,0,0,4,6,7,9,5,4,39,2137,1306,990,1484,2453,3327,3122,1774,717,17319,7,11,15,4,9,5,3,0,0,56,13,4,0,4,4,3,0,0,0,26,5,4,4,0,6,3,9,0,5,29,9,0,0,0,5,3,0,0,0,11,0,0,4,0,0,0,0,0,0,4,14,8,16,20,24,29,15,5,0,131,18,8,16,20,23,29,20,5,0,142,2517,1345,1166,1252,1570,2091,1338,464,138,11880
LGA10600,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,7,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,4,4,5,7,11,13,0,3,38,26,16,18,5,14,36,14,4,3,140,25,14,16,16,61,76,83,48,13,344,3,0,4,4,0,3,3,6,0,21,3,5,0,3,8,3,4,4,0,31,68,45,27,45,83,118,127,87,48,641,60,24,16,37,37,53,28,13,5,274,3,0,0,4,4,4,5,0,0,33,792,438,331,515,855,1056,993,644,268,5900,0,6,7,0,0,7,0,0,0,27,4,0,0,4,3,0,0,0,0,18,0,5,5,3,8,9,4,3,0,35,7,0,0,0,0,3,0,0,0,11,0,0,3,0,0,4,0,0,0,8,7,4,6,18,14,12,12,0,0,79,15,7,13,16,14,17,9,0,0,97,1147,536,482,622,716,880,503,169,54,5109
LGA10650,36,17,19,9,11,6,5,3,0,97,3,0,4,7,0,9,6,0,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,5,17,7,9,9,3,10,5,3,0,0,53,44,26,22,34,51,117,139,79,38,549,0,0,0,0,0,0,3,5,0,12,0,0,0,0,0,0,0,0,0,0,48,47,38,58,75,109,132,75,41,631,45,4,14,16,10,14,18,5,0,130,0,0,0,0,0,0,5,0,0,4,854,416,392,508,615,886,989,562,252,5465,5,0,6,4,5,0,0,0,0,22,5,3,5,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,5,4,0,4,0,3,0,5,0,0,22,11,0,10,3,3,0,5,0,0,32,423,244,243,239,204,260,221,97,24,1961
LGA10750,751,419,319,324,243,179,84,21,3,2346,37,35,32,59,61,67,68,70,35,459,753,526,532,498,416,451,297,125,36,3651,580,548,446,373,508,370,189,86,23,3124,1816,1419,1137,1051,1098,685,244,81,28,7562,990,606,597,792,936,883,714,363,115,5990,62,48,34,69,71,86,82,43,12,501,447,242,241,245,242,173,134,67,39,1828,1238,910,721,777,842,873,565,263,88,6277,2766,1722,1705,1500,1330,997,444,149,58,10676,72,52,67,45,58,45,24,4,4,373,39286,25624,23770,26598,26105,22538,15674,7419,2845,189863,7571,2722,6238,6560,2856,1714,797,275,55,28783,7037,3281,3987,3711,2266,1422,694,200,43,22645,34,5,16,29,24,12,25,3,0,147,12,3,4,4,0,0,0,0,0,28,2801,1546,3325,1939,820,569,249,119,18,11381,196,162,288,235,201,161,76,38,7,1352,3010,1712,3611,2177,1021,731,329,150,21,12765,13149,8659,9449,7442,5751,4001,1970,710,206,51329
