LGA_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
LGA10050,4854,235,345,57,0,5492,5922,164,340,9,0,6433,1712,435,1616,6,7,3777,555,18,214,0,0,786,40,35,44,0,0,121,640,92,261,5,4,1007,83,8,21,32,0,150,26,0,5,0,0,33,3056,593,2167,44,7,5877,209,30,26,4,3,268,708,77,317,22,4,1126,14755,1096,3203,129,16,19198,5398,464,25,49,9,5956,5963,337,17,7,13,6334,2360,1884,261,17,17,4528,473,162,10,0,9,653,54,66,0,0,0,119,654,231,18,9,11,921,74,17,7,19,3,118,23,9,0,4,0,28,3633,2366,302,39,33,6372,263,38,4,8,4,319,1117,422,141,15,6,1701,16377,3621,488,121,74,20681,6181,611,44,33,10,6874,6739,336,13,7,6,7099,3007,2234,186,14,5,5451,514,175,20,0,0,705,87,91,11,0,0,188,766,250,8,4,3,1030,105,39,3,25,3,175,26,20,7,0,0,57,4507,2811,236,40,19,7613,339,102
LGA10180,3293,85,70,26,3,3482,2590,40,56,9,0,2691,1072,213,587,10,0,1879,279,67,101,0,0,445,46,28,28,0,0,109,456,46,76,8,0,592,66,8,7,28,0,113,6,7,3,0,0,17,1932,370,808,43,3,3150,228,20,13,6,0,262,460,44,153,50,3,707,8508,547,1090,130,13,10298,3263,98,19,19,22,3426,2514,52,14,4,12,2596,1329,555,270,11,18,2190,260,86,108,0,0,451,52,18,34,0,0,106,469,55,44,6,12,580,62,0,7,7,4,81,13,8,0,0,0,20,2185,727,467,22,31,3428,234,12,10,8,11,273,641,88,92,40,17,880,8839,979,598,88,91,10601,3548,137,14,21,3,3724,2760,72,12,0,6,2839,1500,660,292,12,10,2472,215,48,56,0,3,331,98,50,61,0,0,203,488,64,25,3,5,584,109,12,3,30,0,160,13,9,0,0,0,19,2423,858,439,48,16,3771,238,35
LGA10250,4965,579,464,448,3,6451,3585,354,229,36,0,4210,1157,648,601,13,0,2426,214,107,245,0,0,565,52,27,48,0,0,126,604,199,168,20,0,996,122,4,10,102,0,240,14,5,4,0,0,23,2155,984,1087,141,6,4374,186,44,125,17,0,368,433,112,181,113,0,830,11325,2062,2080,756,5,16230,5159,1073,146,421,34,6834,3577,599,108,13,27,4319,1177,988,384,14,19,2574,184,302,48,0,0,528,44,59,7,0,0,111,548,265,85,27,14,940,52,22,5,106,0,192,8,10,0,0,0,20,2012,1642,530,159,30,4373,223,133,11,7,5,375,834,379,75,177,44,1511,11808,3829,866,778,136,17415,6040,1195,200,261,20,7714,4136,679,142,16,7,4973,1422,1041,348,14,5,2841,202,282,49,0,0,537,54,72,15,0,0,140,721,307,91,22,9,1153,94,19,8,97,28,250,23,10,0,0,0,43,2521,1731,514,138,42,4960,388,142
LGA10300,330,0,0,3,0,332,213,0,0,3,0,220,30,10,8,0,0,46,15,0,4,0,0,16,16,4,4,0,0,25,62,3,0,4,0,68,28,0,4,0,0,39,0,0,0,0,0,4,155,14,22,3,0,190,52,0,0,9,0,57,72,0,10,28,0,111,813,18,33,49,0,912,329,0,0,23,0,355,187,0,0,0,0,194,29,0,14,0,0,46,15,6,10,0,0,22,7,0,5,0,0,12,59,5,0,0,0,73,27,0,7,4,0,32,0,0,0,0,0,0,140,13,33,8,0,189,42,0,0,0,5,47,87,4,9,28,0,133,800,16,40,57,3,923,293,0,0,11,14,317,179,0,0,3,10,189,27,7,7,0,0,38,16,13,0,0,0,28,9,0,3,0,0,13,57,10,4,0,0,71,29,0,5,7,0,41,3,0,0,0,0,3,141,24,11,7,0,190,41,0
LGA10470,4170,183,123,31,8,4509,4480,132,86,9,8,4717,1456,432,484,3,8,2381,372,67,87,7,0,533,37,27,0,0,0,65,590,86,71,5,3,757,61,6,5,3,0,76,22,0,6,0,0,23,2531,617,654,19,17,3834,211,19,11,4,3,248,608,111,135,23,0,883,12011,1061,1011,78,32,14193,4348,285,55,18,10,4728,4651,171,42,10,10,4880,1705,664,343,15,11,2733,336,118,55,0,0,503,31,12,0,0,54,92,590,111,41,0,7,750,53,14,3,4,4,75,12,5,7,0,0,34,2725,924,448,21,69,4189,162,23,7,3,15,215,820,169,112,23,60,1176,12715,1565,677,69,164,15185,5064,305,92,16,17,5496,5033,181,42,5,7,5261,2120,793,425,12,8,3353,321,119,52,0,4,500,51,58,7,0,0,115,636,117,41,0,8,804,71,19,8,5,0,109,21,9,0,0,0,32,3223,1113,538,22,23,4912,192,28
LGA10500,10735,2179,2948,65,7,15934,7330,2261,5288,42,23,14945,2245,969,7113,125,33,10489,266,402,1355,0,0,2025,68,39,97,0,0,208,783,241,1096,48,10,2179,88,58,111,35,0,291,21,8,44,0,0,70,3469,1720,9821,213,47,15272,357,99,260,8,4,726,1345,380,1946,89,4,3766,23237,6640,20259,415,88,50642,10012,2386,3202,90,21,15711,7163,2551,5931,41,41,15731,2276,1343,11110,201,69,15004,186,528,1259,4,0,1980,53,59,117,0,5,228,700,282,1377,69,33,2459,73,55,194,22,9,357,5,10,42,0,0,61,3303,2283,14094,301,117,20091,338,128,372,15,8,860,1325,526,2520,112,51,4534,22145,7872,26132,540,242,56930,10248,2453,4140,79,12,16929,7627,2680,8464,31,17,18820,2732,1593,16942,231,67,21564,174,530,1130,0,3,1835,70,96,251,3,0,429,812,324,1745,67,24,2976,110,82,419,26,18,657,20,13,85,5,0,121,3921,2638,20574,337,109,27582,326,118
LGA10550,4977,314,284,231,11,5813,3342,107,121,34,0,3614,866,194,404,5,3,1479,234,54,41,0,0,326,29,37,23,0,0,94,576,65,117,30,0,778,74,5,12,44,0,131,7,10,6,0,0,17,1788,364,595,78,4,2825,219,45,28,21,0,314,525,62,87,52,0,727,10846,893,1119,423,17,13298,5327,496,131,187,67,6212,3405,148,57,33,41,3678,937,354,197,29,7,1524,191,71,31,0,0,291,19,34,28,0,0,78,585,105,54,8,5,758,66,10,4,31,11,123,13,3,0,0,0,22,1809,579,317,73,27,2799,234,59,29,20,15,357,898,136,78,113,16,1244,11677,1424,608,420,162,14290,6516,466,167,219,29,7405,3599,167,94,13,15,3884,964,328,331,4,7,1637,184,66,18,6,0,273,42,43,8,0,0,98,703,115,74,24,10,935,115,9,7,61,5,204,15,5,0,0,0,29,2029,567,438,102,28,3163,271,69
LGA10600,2100,14,47,155,0,2320,1297,10,8,11,3,1325,442,51,74,3,0,565,58,14,22,0,0,96,14,5,0,7,0,31,356,11,31,25,0,427,39,0,0,28,0,70,9,0,4,0,0,6,916,75,138,63,0,1196,115,3,12,11,0,143,176,9,22,18,0,221,4597,111,222,271,7,5200,2120,71,21,109,25,2352,1265,28,9,5,12,1325,417,52,61,5,4,538,57,20,13,0,0,83,18,0,0,0,0,22,356,38,24,9,4,427,30,4,3,26,5,70,5,0,0,0,0,9,889,113,101,34,14,1147,101,6,6,3,0,115,342,24,18,24,3,410,4722,242,152,174,55,5351,2369,65,42,128,13,2618,1356,32,5,9,6,1409,450,54,67,5,3,577,48,15,19,0,0,78,22,12,0,0,0,34,358,14,22,0,4,412,39,3,11,29,4,89,6,0,0,0,0,6,932,96,117,36,13,1193,97,6
LGA10650,1315,48,30,66,4,1467,883,18,12,13,0,916,203,38,73,0,0,311,17,0,4,0,0,20,7,14,5,0,0,21,186,14,24,8,0,229,37,0,5,12,0,56,5,4,0,0,0,11,459,63,108,14,0,651,108,6,0,6,0,125,143,9,28,12,0,189,2910,149,176,116,8,3341,1358,25,26,86,5,1492,845,4,0,12,3,866,244,24,52,8,0,335,12,3,4,0,0,18,6,13,14,0,0,25,193,25,16,6,0,236,44,9,8,12,0,71,5,0,0,0,0,10,511,72,87,28,3,697,97,0,0,13,0,110,358,7,32,28,0,432,3169,112,147,170,14,3603,1508,59,8,14,8,1598,923,21,0,5,4,947,234,86,12,0,0,336,7,0,0,0,0,11,13,18,0,0,0,31,174,28,4,0,3,211,56,13,3,8,3,77,6,0,0,0,0,7,497,144,19,6,9,675,79,17
LGA10750,20382,1093,231,117,29,21844,35994,4131,789,22,14,40955,9430,2579,1942,53,13,14022,5026,1659,1005,0,0,7688,197,93,142,0,0,428,3056,525,246,28,7,3858,392,60,36,132,3,625,88,27,19,0,0,146,18190,4942,3396,218,29,26764,771,151,62,13,5,999,3563,610,518,60,4,4749,78907,10926,4991,423,67,95319,20314,2060,244,135,27,22787,34584,6883,899,61,76,42515,12470,3804,2500,90,100,18964,4430,1886,892,5,10,7212,185,153,65,0,0,403,2856,626,233,38,43,3803,372,90,35,52,5,555,106,31,16,3,0,161,20427,6590,3738,183,159,31102,812,184,75,10,9,1085,5160,1060,635,152,73,7082,81294,16782,5595,546,347,104565,22775,1480,382,13,9,24667,44680,5455,1856,29,91,52106,19778,4341,4145,52,63,28366,4499,1757,870,0,8,7135,359,255,154,0,0,767,3588,474,409,6,19,4502,670,108,73,0,8,855,150,52,36,0,3,240,29054,6979,5688,55,96,41873,840,365
