LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA10050,28,32,6,5,65,38,41,6,9,101,247,172,67,32,524,325,301,108,45,777,365,392,142,47,944,279,326,129,28,758,348,473,216,51,1083,237,397,191,43,869,145,165,91,47,449,24,8,5,0,41,2061,2324,970,305,5658
LGA10180,18,11,13,11,45,32,11,17,14,70,103,101,39,28,268,116,142,59,23,341,137,152,52,33,371,122,117,50,20,311,146,169,87,25,420,122,180,78,30,412,66,75,49,28,210,9,3,3,3,20,895,988,445,217,2544
LGA10250,17,25,6,0,43,42,30,9,3,79,224,157,54,15,453,250,235,71,19,578,298,295,87,25,709,220,278,98,25,616,289,374,138,37,837,243,361,160,34,798,151,131,57,33,364,18,18,5,3,44,1770,1910,690,192,4563
LGA10300,0,4,0,0,5,7,0,0,0,6,11,7,4,0,23,17,7,4,8,28,9,9,8,3,36,7,8,3,0,24,12,9,5,0,25,7,3,3,3,21,12,9,11,4,24,3,0,3,0,8,76,55,49,26,200
LGA10470,22,18,3,5,45,28,28,14,3,72,174,110,50,35,367,189,185,87,47,496,231,255,119,44,654,219,258,117,33,628,312,403,158,62,932,239,362,136,44,781,140,146,81,34,408,14,5,6,3,28,1577,1781,781,309,4459
LGA10500,169,115,30,19,329,246,169,54,20,485,1032,676,198,77,1981,1046,758,236,86,2133,1270,978,278,77,2604,1005,939,208,60,2215,1540,1518,406,103,3578,1607,2436,771,165,4976,391,363,146,63,962,75,71,18,18,187,8643,8181,2420,703,19947
LGA10550,30,7,6,9,54,36,37,3,5,85,187,147,58,27,420,177,187,77,28,462,206,220,76,35,539,143,152,71,20,387,164,198,70,19,451,102,124,50,16,292,100,134,66,31,328,10,5,13,0,25,1177,1230,495,181,3088
LGA10600,10,8,9,0,20,9,15,9,4,39,69,73,28,8,177,76,73,26,6,187,61,91,28,9,188,46,59,26,4,139,64,74,34,7,172,32,44,21,9,101,49,42,18,7,122,6,0,0,0,4,430,482,198,58,1170
LGA10650,7,3,3,0,19,13,6,4,0,23,55,22,6,8,95,49,35,20,9,107,33,45,26,8,115,33,37,23,3,96,24,53,32,7,118,17,19,18,0,59,21,30,12,9,71,4,0,0,0,6,266,259,150,53,725
LGA10750,330,282,147,71,829,456,412,200,103,1173,2114,1932,763,410,5220,2470,2662,889,388,6413,3403,3844,1142,492,8882,2762,3466,952,369,7557,4221,5628,1526,475,11848,3822,5909,1641,563,11936,999,1220,547,304,3075,194,191,65,38,497,21237,25909,8078,3353,58576
LGA10800,4,4,3,0,11,8,10,0,0,15,22,18,9,7,55,24,17,13,7,65,34,29,14,10,83,20,25,15,5,68,38,39,9,4,87,25,14,19,4,65,27,29,20,7,87,0,0,6,0,3,197,186,108,55,551
LGA10850,7,3,0,0,10,0,4,0,0,7,33,23,14,5,78,31,34,19,3,81,52,48,20,8,131,51,44,22,8,131,41,59,34,16,156,43,49,32,8,127,29,27,27,7,91,0,4,4,0,7,298,301,177,64,839
LGA10900,28,12,4,4,60,67,39,11,3,123,345,191,61,30,625,395,315,128,42,882,474,495,199,61,1236,420,502,176,67,1157,684,896,347,85,2017,736,1113,460,126,2430,188,197,106,36,530,23,15,9,0,49,3400,3805,1510,468,9183
LGA10950,0,0,0,0,0,3,3,0,0,9,10,11,9,7,31,17,8,7,3,29,12,16,15,5,37,5,13,9,0,28,16,12,3,0,31,18,17,10,0,42,8,16,3,12,44,5,5,0,0,7,97,98,53,26,270
LGA11150,3,0,0,0,3,4,0,0,0,8,6,5,6,0,12,10,3,0,4,17,11,5,9,6,29,6,5,0,3,17,13,24,3,0,44,14,13,0,0,29,6,11,9,5,40,0,7,0,5,13,77,77,42,25,219
LGA11200,4,3,0,0,4,0,5,0,0,5,5,5,0,3,14,0,5,0,0,8,4,4,3,0,13,5,3,0,0,7,4,0,0,0,5,3,4,0,0,8,6,3,4,0,9,0,0,0,0,0,31,23,17,12,77
LGA11250,15,3,0,0,17,16,8,4,0,26,79,38,26,11,157,65,55,20,5,150,82,82,28,10,208,73,71,27,10,174,103,120,28,21,276,71,95,37,12,209,58,57,29,12,157,8,3,3,0,13,586,545,202,81,1417
