LGA_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
LGA10050,12,5,0,7,23,15,3,8,0,28,42,0,56,132,7,5,6,0,21,22,0,5,49,5848,5632,2655,223,14360,7002,820,1233,23414
LGA10180,6,6,5,3,19,7,0,3,0,17,36,5,61,116,11,10,0,0,22,14,3,3,38,2995,2537,1161,100,6793,3399,443,830,11467
LGA10250,13,11,0,4,33,81,11,21,11,119,257,18,249,646,17,3,7,0,29,40,3,12,77,5688,4525,2080,157,12451,5155,668,1139,19412
LGA10300,0,0,0,0,3,0,0,0,0,0,4,0,12,23,9,3,3,0,14,8,3,9,30,232,198,72,3,503,208,21,151,891
LGA10470,14,5,0,0,23,13,9,0,0,21,14,0,43,83,12,3,4,0,26,19,0,8,51,4385,4420,2022,166,10999,4406,538,880,16818
LGA10500,193,150,49,72,458,77,65,43,18,208,195,57,79,540,35,27,6,3,75,66,21,31,184,16846,19630,6575,1224,44280,16347,4206,3387,68218
LGA10550,10,9,0,4,25,71,16,16,0,101,138,7,182,428,24,12,6,0,41,27,3,11,82,5211,3064,1378,90,9738,4511,384,1204,15841
LGA10600,4,0,0,3,3,23,10,6,0,38,49,0,120,212,9,4,0,0,10,5,0,12,29,1649,1159,637,40,3482,1502,199,555,5738
LGA10650,11,0,0,3,19,10,4,4,0,15,12,6,34,65,14,0,0,0,12,18,0,10,40,1203,721,285,27,2235,1065,70,347,3716
LGA10750,60,15,4,4,85,18,35,10,0,70,24,4,8,110,46,87,14,0,149,59,5,21,234,23362,57457,16330,1717,98872,19260,3208,6192,127529
LGA10800,5,3,0,0,11,4,5,4,0,13,14,0,43,69,3,7,3,0,14,18,0,17,52,664,549,202,17,1436,676,38,307,2455
LGA10850,8,0,0,0,13,3,4,0,0,10,4,0,11,19,3,3,0,0,8,0,0,3,11,835,833,301,39,2011,708,46,206,2967
LGA10900,11,22,3,7,48,13,0,4,0,16,25,3,10,58,11,11,0,0,17,47,0,3,69,9095,9125,3204,210,21637,8142,752,1044,31576
LGA10950,3,0,0,0,3,0,3,0,0,3,4,0,9,21,0,7,0,0,9,11,0,5,25,251,266,91,16,624,278,22,112,1039
LGA11150,0,0,0,0,0,3,0,0,0,3,6,0,36,46,3,7,4,0,16,7,0,22,45,182,215,97,17,513,243,12,208,983
LGA11200,0,0,0,3,3,0,0,0,0,0,0,4,14,16,4,7,0,0,6,4,0,13,25,106,79,91,9,282,177,16,136,613
LGA11250,0,0,0,0,5,0,0,0,0,3,4,0,70,80,10,4,0,0,9,14,0,12,40,1897,1407,1037,92,4429,2713,162,718,8021
LGA11300,38,50,9,9,106,25,6,5,4,38,50,9,11,104,23,3,0,0,33,42,7,14,91,3562,4057,1387,387,9402,3214,1526,675,14817
LGA11350,30,36,7,16,88,75,17,27,0,124,216,19,205,557,13,10,5,0,29,39,5,13,90,3440,3225,1538,97,8297,3439,1146,1693,14568
LGA11400,121,42,4,17,188,60,59,15,3,132,48,4,35,216,4,0,0,0,8,5,0,0,8,1628,1583,420,30,3654,1188,73,402,5320
LGA11450,6,7,0,6,15,34,9,7,0,54,99,3,22,181,14,8,7,0,34,32,0,3,66,8513,18130,4471,303,31422,5160,592,1011,38185
LGA11500,3,7,6,0,13,3,0,0,0,4,7,6,0,15,5,13,8,0,26,41,6,6,76,12061,22743,9042,796,44638,11367,1368,2806,60175
LGA11520,216,116,43,28,398,103,62,41,10,216,116,43,29,402,10,11,0,0,17,28,0,11,56,10004,10886,3077,486,24450,8514,1551,1204,35718
LGA11570,335,188,60,66,650,110,139,61,22,335,188,60,69,653,39,59,29,3,136,86,31,42,297,23132,46320,16466,1957,87885,24868,4283,7111,124137
LGA11600,0,4,0,0,8,5,0,0,0,6,3,3,40,54,5,5,0,0,11,5,0,3,21,271,279,98,12,656,277,35,184,1155
LGA11650,72,60,12,13,162,191,53,103,8,353,577,50,219,1200,54,36,25,0,117,154,5,35,313,35678,37474,17619,1225,92003,35866,3845,6463,138174
LGA11700,0,0,0,0,0,3,0,0,0,3,3,0,38,45,10,10,4,0,28,41,0,30,102,140,93,91,8,337,236,15,233,822
LGA11720,8,10,0,0,19,8,0,3,0,14,42,0,26,87,17,11,0,0,27,23,3,7,60,5997,6632,3629,239,16496,5497,565,1097,23659
LGA11730,105,42,3,21,172,168,53,19,12,247,290,11,441,998,20,12,11,0,42,45,4,45,137,6946,4486,2524,237,14188,6054,693,1924,22849
LGA11750,3,5,0,3,8,3,0,0,0,4,12,0,47,60,3,0,0,0,7,4,0,9,15,377,364,144,20,905,472,33,367,1779
LGA11800,13,8,0,0,28,140,26,22,6,192,299,23,405,926,36,17,14,0,64,59,4,46,176,8828,7590,3837,271,20524,8195,1050,2085,31859
LGA12000,0,3,0,0,3,5,0,0,0,3,8,0,5,12,5,0,0,0,5,0,0,0,6,554,447,151,11,1160,450,44,93,1748
LGA12150,0,0,0,0,3,0,0,0,0,0,0,0,30,29,0,0,0,0,3,4,0,5,15,338,281,212,16,837,420,42,252,1560
LGA12160,6,9,4,7,26,6,3,0,0,6,16,7,33,62,4,3,0,0,5,9,0,0,14,1493,1018,437,36,2984,1419,89,383,4876
LGA12350,3,3,0,8,8,3,4,4,0,7,13,0,31,52,3,3,0,0,8,8,0,3,19,1565,1121,561,61,3309,1641,131,430,5509
LGA12380,107,41,28,15,198,26,61,22,4,114,45,28,22,208,45,61,23,5,129,91,24,33,276,14174,29287,8614,1426,53494,13989,4187,4959,76629
LGA12390,32,16,0,8,67,28,14,7,0,46,50,4,73,178,9,11,8,0,25,33,7,48,117,5204,5467,2467,225,13367,5256,650,1790,21070
LGA12700,6,4,0,0,11,15,3,4,0,17,12,0,9,47,3,6,4,0,11,3,0,0,21,1198,1106,335,24,2662,865,51,208,3788
LGA12730,5,3,0,0,8,4,0,0,0,3,7,0,27,36,7,5,0,0,7,10,0,28,43,1042,766,292,34,2138,1112,81,380,3707
LGA12750,13,5,3,3,29,86,15,22,0,113,192,15,191,515,13,3,0,0,20,34,0,26,78,6206,3041,1678,125,11045,5135,420,1708,18305
LGA12850,53,39,10,22,122,29,23,14,0,71,93,12,62,224,32,64,20,6,122,63,5,29,217,10906,25486,11223,1233,48853,10680,1388,3208,64125
LGA12870,4,7,0,0,14,15,4,0,0,17,33,3,21,70,5,4,3,0,14,3,0,5,23,1804,1136,468,29,3440,1667,123,396,5626
LGA12900,4,8,3,3,22,6,0,0,0,15,28,3,25,69,4,3,0,0,3,4,0,9,17,1063,856,424,27,2370,1115,82,354,3915
LGA12930,165,115,26,41,350,62,58,33,6,167,113,26,44,352,14,10,7,0,33,50,11,9,98,12862,19641,5847,909,39262,11070,2064,1920,54316
LGA12950,6,0,0,0,7,4,0,0,0,10,13,0,38,60,0,0,0,0,0,0,0,3,11,499,360,205,17,1084,478,34,206,1802
LGA13010,9,0,0,0,7,15,3,8,0,19,14,0,29,63,6,0,0,0,6,9,0,3,15,1155,660,391,36,2243,1292,98,382,4015
LGA13310,22,22,4,3,47,17,10,10,6,34,52,0,36,132,3,4,0,0,3,20,0,10,34,3415,3137,1409,108,8062,3665,318,817,12865
LGA13340,3,0,0,0,4,4,0,0,0,5,3,0,5,16,6,0,0,0,11,7,0,0,16,1274,1181,390,23,2858,1000,71,351,4284
LGA13450,22,16,0,11,52,14,11,6,0,33,53,0,68,154,10,14,0,0,26,18,0,0,44,2521,3102,998,113,6725,2278,265,774,10042
LGA13550,0,5,0,0,7,6,0,0,0,6,14,0,50,69,3,0,0,0,8,6,0,0,13,1271,1362,559,69,3257,1301,143,488,5185
LGA13660,0,0,0,0,0,10,0,0,0,6,9,0,32,52,4,4,0,0,6,8,0,14,31,635,432,195,14,1280,573,45,194,2093
LGA13800,19,10,0,4,29,22,14,9,3,50,70,3,84,210,21,4,3,0,30,31,6,4,70,6102,8469,2793,191,17549,5019,493,987,24048
LGA13850,3,0,0,0,3,3,0,0,0,3,0,0,8,11,0,0,0,0,0,8,0,15,16,347,247,119,10,728,380,25,163,1291
