LGA_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
LGA10050,5919,4188,3435,4187,4699,4366,3078,2090,897,32865,96,72,167,64,31,19,9,3,0,444,57,36,79,42,13,6,3,0,0,235,3,3,9,6,6,5,3,6,0,28,0,0,0,0,0,0,0,0,0,6,6,14,33,8,0,0,3,0,0,73,11,19,38,20,23,13,5,0,0,130,20,34,72,31,25,10,8,0,0,209,2308,1919,1623,1222,1115,809,339,169,73,9572,823,680,520,513,484,430,270,203,90,4013,9304,6991,5974,6146,6437,5691,3722,2478,1069,47807,73,62,80,113,85,62,32,9,5,514,1206,797,690,966,1246,1385,1253,762,348,8651,0,0,0,0,0,0,0,0,0,0,107,63,54,71,54,60,58,42,15,533,20,12,33,13,5,9,11,0,3,115,2748,1699,1489,1485,1736,1625,1232,702,350,13075,0,4,0,0,11,10,9,5,0,36,43,26,21,41,49,35,35,39,17,312,35,13,25,28,20,24,24,9,14,180
LGA10180,3294,3061,1652,2063,2629,2280,1733,1091,459,18260,23,12,25,23,14,6,0,0,0,104,110,41,123,53,29,4,0,0,0,350,0,0,4,0,0,6,3,0,0,17,0,0,4,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,13,12,24,16,20,26,18,5,0,3,121,20,22,21,23,27,18,3,0,3,145,1189,1444,732,553,665,579,280,105,45,5597,599,506,326,321,281,267,174,109,44,2618,5274,5156,2926,3106,3682,3196,2206,1313,555,27406,50,49,62,66,34,39,10,7,0,309,998,882,516,660,889,930,802,530,220,6421,0,0,0,0,0,0,0,0,0,0,48,43,25,24,45,52,33,25,10,300,36,43,15,14,19,8,6,8,0,139,1168,1027,616,613,769,660,484,301,127,5763,11,8,9,8,6,5,5,0,0,56,12,4,11,15,13,8,7,4,0,78,13,3,6,9,15,14,10,5,0,80
LGA10250,4189,2459,1836,3167,3969,4189,3309,2466,1150,26727,5,6,10,5,6,7,4,0,0,49,10,4,8,8,0,0,0,0,0,40,4,3,0,5,15,11,6,0,0,50,11,0,0,4,0,0,0,0,0,20,0,4,0,0,0,4,4,0,0,8,21,18,25,32,35,29,4,4,0,160,30,20,25,37,32,35,10,3,0,193,2094,1132,1004,1203,1237,1091,494,212,85,8548,621,314,324,371,423,417,277,242,162,3146,7039,3995,3280,4889,5781,5843,4122,2927,1397,39275,74,30,57,94,106,80,62,10,0,506,809,547,416,689,1108,1360,1562,929,546,7963,0,0,0,0,0,0,0,0,0,0,70,41,36,34,62,93,81,49,29,506,0,0,0,0,0,0,6,0,0,4,1758,951,663,1005,1323,1368,1112,709,284,9167,0,0,0,4,3,7,0,7,0,24,21,5,3,18,20,14,12,12,7,106,35,19,21,29,25,42,30,25,8,240
LGA10300,322,163,149,216,288,260,159,113,34,1697,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,44,39,45,35,29,15,0,0,312,44,43,22,28,39,37,17,12,5,247,464,253,217,300,366,327,196,125,39,2286,0,0,3,0,7,9,0,0,0,15,40,18,30,34,51,86,49,28,3,342,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,215,93,69,104,101,102,60,46,9,812,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,5626,4056,2884,3528,3851,3510,2425,1530,573,27983,26,8,13,16,9,7,0,0,0,77,31,16,16,24,8,4,3,0,0,102,0,5,0,0,4,4,0,0,0,16,3,0,5,4,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,9,19,24,24,22,19,11,10,0,0,122,23,26,29,19,19,17,7,0,0,144,1603,1411,884,755,689,527,240,89,24,6218,661,667,607,535,425,383,237,142,49,3716,7994,6226,4488,4924,5053,4469,2930,1775,647,38517,46,42,46,52,59,42,17,5,0,306,1180,874,741,953,1092,1157,1046,572,277,7894,0,0,0,0,0,0,0,0,0,0,92,67,37,71,76,92,52,25,7,527,45,26,30,20,14,13,11,4,0,170,3053,1886,1370,1382,1705,1504,1087,618,231,12833,16,5,0,10,5,7,5,0,0,41,29,15,4,26,20,18,17,8,0,149,21,4,23,21,22,16,18,9,0,128
LGA10500,13908,8249,10699,12659,10874,9749,8018,5787,2630,82581,529,816,1840,533,232,154,72,37,10,4225,3680,2387,3039,1919,1283,736,323,110,25,13497,166,73,93,149,103,102,72,59,19,837,0,0,3,0,0,0,0,0,0,7,48,40,113,33,19,15,0,5,0,281,38,36,89,71,53,41,19,9,3,368,93,80,207,108,77,57,17,6,3,653,3157,2685,4142,2951,2543,1743,805,446,180,18655,2044,1457,2058,1633,1363,1095,652,468,244,11016,24073,16388,23439,20796,17330,14278,10195,7049,3154,136700,482,760,1868,1105,753,695,345,146,56,6213,1015,740,987,1310,1512,1551,1402,932,654,10103,40,29,47,29,44,27,16,9,3,246,128,136,214,151,141,137,95,50,26,1074,3,0,5,3,3,0,0,0,0,20,6658,3995,5604,5339,4838,3900,3214,2234,980,36759,11,23,24,18,14,15,3,8,0,115,3417,1905,1871,2885,2864,1970,2224,1897,542,19570,45,16,40,37,46,33,36,30,13,299
LGA10550,2839,1739,1198,2090,3132,3491,2926,1680,589,19689,9,4,6,0,11,9,0,0,0,39,0,4,9,8,10,0,0,0,0,31,0,3,0,0,6,4,3,0,0,24,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,11,21,24,30,33,12,5,0,148,12,14,21,24,32,36,12,5,0,154,2068,1056,797,998,1354,1376,640,247,113,8647,593,294,268,323,412,504,287,202,94,2991,5588,3151,2327,3495,5037,5518,3900,2137,800,31948,47,33,28,50,54,78,48,9,0,345,756,551,338,569,998,1451,1439,802,367,7275,0,0,0,0,0,0,0,0,0,0,50,19,22,32,39,60,75,46,13,361,0,0,0,0,0,0,0,0,0,4,920,518,465,623,870,1038,885,464,175,5952,4,0,0,0,0,3,4,0,0,18,21,0,4,15,15,17,15,8,0,99,33,13,21,19,37,42,20,20,3,215
LGA10600,1048,593,383,773,1130,1136,1000,621,258,6951,3,0,7,0,0,3,5,0,0,19,0,0,0,0,6,0,0,0,0,10,11,3,5,3,8,0,0,4,0,31,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,10,18,26,24,22,9,0,0,140,31,14,18,31,24,20,9,0,0,151,1074,453,342,486,643,589,274,106,39,4007,237,139,78,134,185,150,90,51,18,1088,2447,1225,848,1480,2054,1972,1382,792,323,12521,26,16,15,28,49,48,26,8,0,216,274,144,119,196,335,437,451,304,129,2390,0,0,0,0,0,0,0,0,0,0,7,3,3,4,3,17,18,7,5,70,0,0,0,0,0,0,0,0,0,0,315,175,132,186,291,293,246,167,58,1861,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,0,3,0,0,0,3,3,5,0,29
LGA10650,910,522,448,583,815,1001,894,538,209,5909,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,6,0,0,0,0,0,17,5,8,4,6,0,0,3,0,0,24,353,200,140,174,161,179,121,46,22,1404,127,73,54,82,80,88,101,64,24,694,1396,802,654,847,1052,1280,1122,655,252,8063,0,0,3,9,6,3,4,0,0,18,222,90,86,144,180,281,338,203,80,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,0,5,23,0,0,0,0,0,0,0,0,0,0,439,214,206,223,256,330,319,177,77,2236,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,0,0,19,3,3,0,0,3,7,0,0,0,23
LGA10750,44807,27606,27109,29384,27425,22779,12932,6828,2370,201241,4408,1903,4146,3386,1972,992,413,151,25,17397,5354,2685,3271,2596,1963,1031,458,125,28,17508,24,14,14,28,21,22,15,0,5,148,0,13,0,6,3,0,0,0,0,18,1660,1006,2101,1029,526,290,143,63,5,6818,176,183,230,200,202,106,44,13,0,1155,1837,1198,2329,1233,727,398,187,73,12,7996,9389,5448,5819,4834,3600,2139,876,380,104,32586,4709,2914,3057,2690,2229,1716,956,594,209,19070,71458,42369,46573,45130,38803,29674,16066,8253,2770,301093,922,600,894,1107,932,762,360,114,38,5729,6073,3880,3652,5220,5390,4971,3997,1978,704,35861,29,20,26,27,22,20,16,6,0,172,937,622,593,631,636,566,325,138,49,4494,26,17,15,19,8,17,10,0,0,107,21205,13591,12654,13737,13097,11207,7718,3541,1519,98272,185,133,152,135,134,121,58,22,6,944,1130,698,719,912,859,663,575,370,101,6024,195,147,135,186,160,164,113,63,24,1189
