LGA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
LGA17650,1202,17,4,0,20,50,1268,622,11,3,0,12,19,648,471,10,0,0,10,18,501,716,17,0,0,17,21,750,888,19,6,0,27,27,935,914,15,3,0,15,46,977,538,7,0,0,7,18,572,265,10,0,0,11,13,291,69,4,0,0,4,11,84,5681,114,14,0,124,224,6028,1071,18,0,0,17,64,1160,568,0,0,0,0,36,602,439,4,0,0,4,29,471,622,19,0,0,24,43,680,808,23,0,0,21,64,897,917,12,4,0,15,60,987,721,12,0,0,12,56,785,303,6,0,0,6,22,338,109,4,0,0,4,11,119,5566,105,6,3,114,373,6049,961,27,0,0,27,67,1057,556,14,0,0,14,33,605,488,18,0,0,17,36,547,542,32,0,0,32,34,602,747,17,0,0,20,56,821,867,21,4,0,22,67,952,793,13,0,0,15,36,845,386,7,0,0,7,29,422,107,3,0,0
LGA17750,11671,427,138,17,578,326,12576,9079,413,19,11,435,310,9823,6800,553,127,17,702,191,7688,6798,398,77,0,481,206,7477,6995,285,32,0,316,219,7536,6138,155,24,5,182,164,6487,3865,78,16,5,96,122,4081,2437,75,14,0,85,130,2650,1020,36,6,0,46,68,1131,54802,2423,447,51,2921,1739,59462,11223,683,231,19,928,543,12697,8338,425,45,4,469,497,9309,7169,848,132,4,990,450,8612,6241,773,119,9,904,384,7532,6665,408,59,4,473,412,7548,6521,210,40,4,250,440,7211,4633,135,20,3,155,335,5122,2692,58,9,0,67,212,2981,1210,46,6,0,50,115,1375,54707,3586,654,57,4292,3387,62383,11626,1172,281,55,1504,622,13755,8446,698,58,0,762,599,9801,7864,1176,179,10,1365,462,9689,6445,1178,198,7,1381,404,8230,6527,521,134,0,660,369,7554,6676,300,95,0,390,328,7394,5606,127,66,0,196,302,6105,3185,71,26,0,95,245,3524,1334,34,9,0
LGA17850,540,10,0,0,8,12,559,312,4,0,0,4,8,322,242,3,0,0,3,5,252,344,6,0,0,12,9,363,403,4,0,0,4,9,416,452,0,0,0,0,8,461,362,15,3,0,15,7,384,175,0,0,0,4,4,189,74,0,0,0,0,4,78,2901,47,6,0,55,61,3019,472,5,0,0,4,57,531,259,3,0,0,3,26,291,233,10,0,0,10,34,276,278,4,0,0,4,30,311,374,13,0,0,13,30,419,419,5,0,0,5,39,465,410,5,0,0,3,53,472,201,0,0,0,0,31,230,59,4,0,0,4,33,94,2708,49,0,0,53,337,3090,444,9,0,0,12,47,509,229,3,0,0,3,30,265,238,11,0,0,11,26,271,236,12,0,0,12,23,265,324,4,0,0,9,32,361,404,9,0,0,9,46,461,437,3,0,0,3,41,486,284,3,0,0,6,33,324,67,0,0,0
LGA17900,1197,33,3,4,37,140,1371,579,14,5,3,25,43,647,599,26,0,0,31,52,679,692,52,3,0,53,53,789,814,42,9,0,44,74,938,811,65,9,0,74,78,959,569,64,18,0,80,42,694,224,32,11,0,44,32,299,60,6,0,0,3,13,73,5539,332,56,5,389,520,6454,1056,31,3,6,38,130,1224,497,20,0,0,20,62,579,581,46,3,0,55,93,724,538,42,4,4,45,89,673,679,40,4,0,47,87,813,778,33,0,0,33,114,924,579,56,5,0,62,96,736,261,35,9,0,45,47,351,71,3,0,0,8,3,79,5045,302,30,9,341,724,6112,652,35,3,0,40,277,973,351,16,0,0,16,142,504,417,51,7,0,52,166,633,341,28,0,0,30,145,520,451,27,0,0,30,164,644,605,26,5,0,32,196,834,507,43,5,0,49,155,711,225,32,8,0,35,88,353,50,8,0,0
LGA17950,549,17,6,0,19,15,581,258,0,0,0,0,15,279,266,6,0,0,8,14,294,303,10,0,0,9,11,326,421,9,0,0,6,8,438,355,3,0,0,7,12,374,281,0,0,0,0,9,288,142,0,0,0,0,8,145,49,0,0,0,0,0,49,2616,47,8,0,52,93,2759,513,11,0,0,11,55,583,218,7,0,0,7,22,254,259,4,0,0,7,31,294,251,22,0,0,22,28,292,327,9,0,0,9,32,367,339,0,0,0,5,35,377,297,5,0,0,5,27,330,148,5,0,0,5,26,178,54,0,0,0,0,8,65,2400,58,0,0,67,264,2730,436,13,3,0,21,42,496,234,7,0,0,7,20,254,225,21,0,0,21,18,271,203,14,0,0,12,23,244,261,12,0,0,12,32,303,353,3,0,0,3,32,387,259,0,0,0,0,39,303,173,0,0,0,0,37,212,57,0,0,0
LGA18020,1805,27,3,0,29,109,1938,863,21,0,0,21,79,960,706,22,0,0,21,37,760,971,28,0,0,33,69,1074,1203,26,5,0,33,69,1299,1344,22,0,0,26,68,1442,1069,23,0,0,23,60,1153,643,8,0,0,9,42,690,244,3,0,0,3,21,267,8839,178,11,3,197,551,9584,1495,26,8,0,29,163,1684,782,13,0,0,13,83,876,639,38,0,0,39,78,748,775,27,3,0,28,100,903,1103,35,0,0,31,130,1260,1274,28,0,0,32,150,1463,1168,27,6,0,38,149,1356,686,18,0,0,18,87,786,267,4,0,0,4,33,308,8182,212,23,0,232,970,9380,1322,35,6,0,38,186,1551,724,10,0,0,10,109,846,711,40,0,0,40,110,858,674,42,0,0,45,103,824,925,26,4,0,27,146,1099,1202,32,0,0,33,173,1408,1213,19,0,0,23,193,1425,717,19,0,0,21,143,873,262,3,0,0
LGA18050,7560,1072,282,54,1399,838,9801,4417,1029,35,20,1085,734,6235,10591,2705,87,11,2808,1966,15361,8333,1944,91,14,2048,1145,11519,5220,1319,93,10,1415,676,7311,3935,1132,111,14,1261,479,5666,2361,812,155,16,978,362,3697,1535,545,194,15,753,212,2503,812,298,110,11,418,157,1382,44749,10856,1156,155,12165,6571,63485,8212,1343,310,41,1697,805,10705,4288,1183,70,10,1266,566,6118,9992,3655,151,11,3818,1940,15746,8144,2484,94,11,2584,1161,11892,5981,1367,65,7,1441,765,8185,4006,1032,112,7,1146,520,5671,2888,916,123,8,1054,431,4370,1552,544,200,8,752,310,2613,821,339,123,0,462,234,1512,45873,12865,1243,104,14211,6733,66813,8358,1624,277,101,2002,453,10813,4969,934,23,0,953,303,6218,11173,3779,112,4,3889,1056,16114,8103,2788,87,0,2883,636,11614,6917,1492,86,0,1578,364,8858,4689,1068,107,0,1174,265,6127,3373,885,132,9,1018,232,4621,1876,596,162,8,756,223,2849,722,260,137,3
LGA18100,636,5,0,0,6,39,682,314,3,0,0,3,5,320,267,0,0,0,0,12,285,386,11,0,0,11,8,401,499,3,0,0,6,19,516,553,5,0,0,5,19,580,451,11,0,0,8,20,480,268,6,0,0,6,13,285,97,0,0,0,0,4,98,3477,43,5,0,49,143,3660,562,10,6,0,10,48,613,268,3,0,0,4,23,301,233,11,0,0,10,17,260,341,9,0,0,8,29,383,435,0,0,0,8,35,479,514,4,0,0,3,58,582,533,13,0,0,13,49,592,265,5,0,0,7,38,309,124,0,0,0,0,20,143,3273,54,6,4,68,323,3660,515,14,0,0,13,35,561,297,3,0,0,3,16,316,264,9,0,0,9,17,290,302,10,0,0,10,24,340,403,5,0,0,3,24,439,538,8,0,0,10,45,587,550,7,0,0,7,34,588,311,0,0,0,0,40,354,128,0,0,0
LGA18200,1267,17,0,5,19,50,1336,690,10,0,0,10,47,752,579,21,0,0,20,37,639,778,38,0,0,37,20,839,938,38,0,0,36,40,1006,888,35,0,0,35,39,966,592,19,7,0,23,30,649,272,16,4,0,18,19,313,100,3,0,0,10,9,111,6099,196,14,7,215,290,6610,1132,22,3,0,27,122,1279,627,14,0,6,22,73,717,567,20,0,0,21,89,681,650,23,0,0,26,71,747,816,39,3,0,40,94,949,892,34,0,0,32,118,1044,713,33,9,0,36,104,856,326,18,6,0,18,43,393,125,9,0,0,4,7,139,5841,211,19,7,240,720,6798,1226,32,11,0,43,158,1428,641,27,5,0,30,105,777,626,55,9,5,68,112,804,649,47,4,0,60,119,828,812,32,4,0,43,109,963,969,26,3,0,27,104,1098,819,29,0,0,29,104,942,399,21,11,0,26,39,464,114,13,0,0
LGA18250,8930,2490,878,68,3438,492,12860,4220,2914,218,17,3156,420,7789,5058,4692,348,35,5069,559,10688,6660,3602,520,24,4145,436,11232,5739,2423,627,23,3068,341,9144,4647,1670,565,6,2243,249,7143,2637,887,473,9,1369,151,4157,1722,588,395,7,989,114,2823,1083,195,142,6,349,76,1509,40685,19457,4171,203,23826,2843,67356,9161,3376,1211,105,4689,555,14410,4528,3195,348,26,3569,364,8458,4547,5549,563,28,6127,637,11315,6157,5067,586,21,5674,541,12371,5950,2911,745,30,3685,417,10048,4466,1841,863,13,2719,334,7521,3231,1249,675,12,1932,265,5430,1663,729,488,5,1224,139,3026,1155,255,179,9,447,128,1727,40866,24165,5653,251,30073,3371,74303,8517,4374,787,213,5376,394,14285,5200,2637,105,6,2738,211,8145,4333,4339,325,0,4671,368,9375,5548,6238,569,9,6818,364,12731,6378,3527,654,3,4184,267,10832,4999,2162,813,0,2980,178,8161,3749,1545,1035,5,2588,193,6527,2121,782,559,6,1352,138,3611,1140,332,326,0
LGA18350,8028,237,46,8,296,289,8607,4432,167,13,5,184,162,4768,2992,171,6,4,186,129,3308,4874,301,20,5,323,201,5395,5787,296,23,6,318,220,6317,5843,299,11,3,305,233,6384,4983,221,18,0,242,213,5445,2677,131,20,3,153,167,3002,956,37,3,9,45,165,1169,40561,1854,159,39,2052,1783,44399,7574,277,72,9,362,473,8405,4355,250,80,4,330,240,4925,3317,403,21,3,431,221,3970,4358,363,24,4,388,325,5067,5708,324,21,9,354,408,6471,5934,297,33,3,330,378,6642,6324,321,29,7,353,422,7096,3435,159,25,7,188,240,3865,1269,65,14,0,84,82,1432,42270,2452,318,46,2814,2794,47878,7828,464,93,23,582,393,8797,4644,227,27,3,262,225,5134,3819,714,31,0,740,180,4747,4401,659,37,3,701,237,5332,5979,444,28,0,473,302,6753,6537,348,40,5,392,307,7235,7095,326,37,3,371,315,7778,4647,191,30,0,221,301,5167,1413,72,14,4
LGA18400,9362,239,36,7,288,334,9984,5435,179,10,3,192,242,5860,4235,245,7,3,257,163,4661,5931,364,16,0,382,243,6554,5812,311,19,0,332,202,6345,4661,334,28,4,369,159,5187,2505,196,44,4,238,97,2841,1150,119,37,0,159,59,1361,362,61,21,4,84,19,466,39454,2047,206,29,2292,1518,43261,9783,334,88,8,428,471,10685,5806,226,7,6,235,268,6312,5076,319,11,7,338,293,5707,5820,433,18,4,455,297,6569,6012,395,33,12,439,316,6764,5261,371,35,3,407,342,6015,3459,282,40,7,327,225,4005,1504,153,37,0,189,114,1807,513,75,17,0,96,45,654,43231,2580,289,51,2914,2373,48520,10770,425,77,14,518,440,11725,6327,279,9,6,291,290,6902,5928,331,21,3,356,257,6537,6055,526,29,0,552,291,6900,6572,454,37,4,494,283,7346,5732,326,35,0,364,213,6311,4385,352,56,0,401,221,5005,2079,147,35,0,184,200,2462,518,57,23,0
LGA18450,30691,2863,855,97,3823,1159,35671,21903,3854,411,54,4316,1040,27264,18350,4531,337,35,4899,957,24209,20367,4060,331,38,4426,827,25623,21197,3663,453,40,4153,884,26235,17346,2979,828,48,3856,747,21947,11954,2315,1151,33,3508,545,16011,7786,1617,1178,21,2819,593,11198,3100,486,365,17,865,298,4263,152695,26372,5905,388,32663,7057,192417,30844,3327,960,89,4365,1345,36552,22838,3963,478,22,4464,1232,28529,19531,4717,475,30,5215,1280,26034,19900,4495,394,31,4927,1016,25836,20915,3876,457,47,4383,1155,26458,19236,3143,687,55,3886,1154,24278,14188,2468,933,42,3441,1056,18688,8179,1707,1239,73,3022,792,11997,3653,629,506,61,1197,405,5256,159286,28332,6121,447,34903,9438,203630,31481,3854,774,175,4804,1431,37709,24087,3423,112,5,3540,1188,28813,22046,4866,274,12,5151,1223,28419,20682,4654,392,10,5054,1019,26758,21531,3968,419,9,4396,906,26838,21345,3271,643,19,3935,782,26064,16645,2561,972,17,3549,716,20904,9704,1703,1148,22,2868,744,13310,3675,719,670,22
LGA18500,6325,737,159,30,926,803,8056,4409,630,26,7,660,529,5599,7106,1243,34,9,1284,1080,9471,5819,1151,38,11,1200,834,7851,5030,931,40,5,968,638,6642,4755,727,47,7,776,519,6047,3381,526,61,4,594,405,4375,1918,343,54,6,403,249,2570,1079,232,36,8,278,194,1542,39819,6512,500,88,7102,5240,52163,6619,1050,201,27,1278,575,8475,4354,731,24,3,764,421,5538,7027,1436,45,13,1493,908,9430,5685,1434,51,9,1493,662,7836,5294,1073,83,9,1160,573,7023,4497,770,62,9,844,495,5833,4262,706,64,4,776,493,5532,2203,377,59,0,438,343,2984,1105,234,32,6,272,220,1600,41041,7817,621,74,8515,4687,54239,6316,1137,159,64,1360,279,7956,4646,654,7,4,665,273,5583,6687,1299,42,0,1337,378,8405,5336,1508,56,7,1579,300,7215,5518,1121,81,4,1204,264,6990,5058,795,103,0,902,214,6173,4633,652,85,3,739,198,5573,3172,400,77,0,470,237,3876,1155,171,33,5
LGA18710,3029,74,24,3,106,186,3319,1526,42,15,0,59,66,1645,1261,59,0,0,61,74,1396,2169,103,4,0,109,108,2387,2085,77,11,0,95,90,2269,1849,66,3,0,73,67,1990,1106,40,7,0,51,39,1195,541,24,0,0,26,22,593,191,5,5,0,9,15,222,13766,502,75,5,578,675,15020,3136,63,18,4,85,178,3402,1601,47,4,0,50,106,1757,1291,87,0,5,96,78,1457,1981,89,0,0,91,141,2210,2267,88,3,0,90,139,2503,1952,77,6,4,79,161,2193,1431,57,6,3,64,102,1594,637,32,0,0,31,67,730,265,7,6,0,9,19,295,14555,538,46,14,596,991,16143,3143,105,25,12,136,138,3424,1779,49,4,0,53,77,1909,1428,90,0,0,97,73,1591,1924,154,0,0,159,90,2181,2510,87,6,0,95,104,2709,2109,84,14,0,96,93,2300,1731,52,7,0,63,106,1897,831,29,7,0,37,69,935,293,6,9,0
LGA19399,186,0,5,0,3,0,187,78,0,0,0,0,0,80,131,4,0,0,4,4,141,141,0,0,0,0,4,146,168,8,0,0,4,6,181,161,0,0,0,0,0,168,88,5,0,0,5,5,96,39,0,0,0,0,5,39,14,0,0,0,0,0,14,1016,13,5,0,19,22,1055,159,0,0,0,6,23,184,75,3,0,0,3,10,91,107,7,0,0,7,21,139,134,3,0,0,6,29,167,122,9,0,0,9,12,141,149,0,0,0,0,12,165,90,4,0,0,4,12,106,42,0,0,0,0,0,45,21,0,0,0,0,3,20,902,29,4,0,32,118,1054,165,5,4,0,3,11,181,54,0,0,0,0,7,57,101,9,0,0,12,7,119,132,6,0,0,6,12,150,127,7,0,0,9,6,136,146,6,0,0,6,16,164,115,0,0,0,0,16,135,55,0,0,0,0,8,55,18,0,0,0
LGA19499,877,105,72,14,192,111,1181,1425,285,59,4,346,306,2077,1639,445,61,5,511,505,2655,1283,229,44,3,283,537,2102,1185,149,37,4,190,519,1894,1206,102,31,0,132,332,1676,753,49,16,6,66,148,971,163,25,14,0,36,35,240,75,9,8,4,24,24,124,8616,1396,349,34,1774,2525,12915,551,68,35,0,111,79,741,1058,360,71,4,429,392,1876,1291,575,85,0,660,748,2703,981,230,30,4,262,657,1898,1028,140,35,0,177,596,1801,1161,99,31,0,131,425,1721,904,49,12,0,61,232,1195,196,17,13,0,25,59,283,43,3,10,0,15,20,74,7209,1529,319,14,1865,3213,12288,665,55,23,9,85,513,1260,768,150,10,3,162,431,1357,1056,357,49,0,404,731,2187,887,189,24,0,215,753,1859,920,104,22,0,129,629,1678,1104,75,20,5,101,440,1648,794,49,16,5,66,195,1055,206,18,4,0,21,53,277,32,0,4,0
LGA19799,7,0,0,0,0,0,4,3,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,0,0,0,0,11,3,4,0,0,4,3,11,21,4,0,0,7,0,25,22,7,0,0,7,0,27,20,4,0,0,4,3,25,0,0,0,0,0,0,0,86,20,0,0,26,6,115,29,0,4,0,4,3,39,24,0,0,0,0,6,27,19,6,0,0,6,6,29,23,3,0,0,3,0,31,35,4,3,0,14,4,53,45,4,15,0,23,10,74,76,14,13,0,26,13,110,23,7,6,0,13,9,43,6,3,0,0,4,0,11,277,56,42,0,95,43,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
