LGA_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
LGA10050,0,0,0,0,0,0,4,0,0,8,79,39,11,42,20,8,199,4609,693,131,957,142,39,6573,13,15,5,3,0,0,44,10,59,13,9,4,0,92,100,254,31,71,14,8,472,771,141,74,124,12,11,1134,483,46,15,131,16,4,686,982,84,19,197,42,6,1332,1478,37,8,233,23,13,1783,1159,11,11,144,12,0,1335,273,0,3,32,6,0,318,66,3,0,5,7,0,81,18,0,0,6,0,0,27,4,0,0,4,0,0,8,0,0,0,4,0,0,3,5,0,0,12,0,0,17,103,51,13,56,44,22,288,5451,705,188,1030,175,57,7613
LGA10180,0,0,0,7,0,0,8,0,0,14,21,23,9,25,28,4,106,2210,475,107,608,105,26,3530,0,3,5,9,7,0,26,6,18,0,7,8,0,38,35,32,17,29,18,0,130,145,90,63,71,15,8,383,200,35,37,73,12,0,360,457,68,38,97,19,0,687,691,53,23,123,19,0,911,701,13,8,109,14,0,847,158,0,0,14,4,0,184,33,0,0,7,3,0,43,8,0,5,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,28,14,9,39,43,5,138,2472,331,203,584,160,19,3771
LGA10250,0,0,9,9,0,0,3,0,0,13,39,30,12,38,9,4,144,2617,563,126,974,200,27,4511,5,13,4,0,5,0,30,0,12,3,3,3,0,22,9,249,26,28,22,6,338,14,72,37,33,30,3,188,11,36,12,46,27,3,132,60,43,20,84,40,3,247,290,35,15,204,47,0,588,737,30,9,271,21,5,1079,683,12,11,182,10,4,903,527,0,5,133,7,0,664,309,0,0,58,4,0,378,78,0,3,40,9,0,123,33,0,0,9,0,0,43,29,0,0,22,6,0,55,47,36,6,55,23,12,169,2841,537,140,1153,250,43,4960
LGA10300,0,0,0,0,0,0,0,0,0,0,0,3,0,11,19,0,29,46,25,12,80,57,0,217,0,6,3,0,3,0,17,0,0,0,0,3,0,9,0,4,0,5,6,0,10,14,11,3,9,5,0,38,7,3,0,13,9,0,34,6,5,4,21,5,0,31,9,3,0,7,0,0,22,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,8,4,0,15,38,28,13,71,41,3,190
LGA10470,3,0,3,0,0,0,0,0,0,3,42,30,21,39,12,5,144,2771,537,112,786,84,40,4337,5,19,12,5,3,0,44,0,30,10,3,5,0,47,32,158,23,39,3,0,260,139,81,14,62,11,0,303,143,69,14,84,4,0,319,382,33,14,118,8,5,555,970,55,25,220,23,0,1293,1171,20,8,149,16,4,1356,408,0,0,49,7,0,465,43,0,0,10,0,0,54,3,0,0,4,0,0,9,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,6,53,25,9,56,35,24,192,3353,500,115,804,109,32,4912
LGA10500,3,0,257,239,0,0,60,9,0,307,278,140,31,201,37,34,722,15282,2120,260,2663,390,93,20810,26,57,17,6,3,0,106,0,99,18,8,5,0,131,33,848,64,47,20,4,1021,63,258,98,96,27,4,535,72,128,37,99,16,3,352,198,124,33,158,71,0,582,980,74,45,266,49,4,1419,4426,57,30,519,105,18,5164,5897,48,26,590,117,3,6681,4702,20,17,452,78,10,5278,2699,17,12,259,50,3,3036,1156,6,3,115,41,0,1325,482,5,0,61,12,0,557,447,3,0,67,12,0,529,387,103,24,232,65,62,873,21564,1835,429,2976,657,121,27582
LGA10550,0,0,0,0,0,0,0,3,0,13,26,17,3,49,20,3,115,1551,311,86,804,148,28,2918,0,4,0,15,8,0,33,0,8,5,6,0,0,20,16,103,21,49,28,0,217,36,46,17,85,17,3,206,89,18,9,90,13,0,233,194,33,12,135,20,0,401,429,32,11,182,22,4,676,559,14,6,202,23,6,811,222,0,0,54,8,0,288,51,0,0,10,0,0,61,9,0,0,7,4,0,20,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,15,10,0,27,26,15,7,68,34,10,156,1637,273,98,935,204,29,3163
LGA10600,0,0,0,4,0,0,0,0,0,4,4,3,0,16,12,0,37,544,87,28,443,75,12,1189,0,0,0,7,4,0,8,0,3,0,0,0,0,6,6,9,0,11,6,0,39,0,30,11,30,6,0,80,11,4,3,37,5,0,58,49,9,3,44,9,3,117,139,12,8,89,7,0,250,228,9,0,116,11,0,360,107,0,0,30,5,0,144,29,0,0,5,4,0,44,7,0,0,3,7,0,15,0,0,0,0,4,0,7,0,0,0,3,0,0,0,0,0,0,3,0,0,6,7,3,0,34,15,0,56,577,78,34,412,89,6,1193
LGA10650,0,0,0,0,0,0,3,0,0,3,4,0,3,14,19,3,39,339,18,25,251,91,7,740,0,0,0,4,5,0,12,0,0,11,4,3,0,22,35,4,5,27,17,4,96,49,7,4,61,13,0,127,54,0,5,34,11,0,96,74,0,3,28,6,0,111,88,0,0,25,6,0,117,28,0,0,19,0,0,46,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,11,3,29,336,11,31,211,77,7,675
LGA10750,0,0,34,35,0,0,13,0,0,47,314,450,58,227,49,43,1140,19272,7665,458,4027,602,204,32237,32,179,8,28,5,4,263,12,379,22,11,10,5,427,39,2051,91,86,20,15,2309,101,1273,162,163,43,10,1751,156,572,64,167,18,12,986,500,644,97,235,100,7,1586,2885,716,94,612,106,15,4429,10425,752,131,1572,261,45,13186,7238,133,26,829,144,22,8395,4633,16,8,341,38,6,5048,1484,5,0,115,9,5,1624,231,3,6,28,5,3,281,54,0,0,9,0,0,67,74,0,0,13,8,0,95,504,403,59,285,85,94,1432,28366,7135,767,4502,855,240,41873
