SA1_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
10102100701,0,0,0,0,0,0,0,6,6,0,5,5,6,5,8,0,0,0,4,4,8,4,3,6,4,4,7,8,3,9,12,0,10,0,0,4,17,3,19,4,0,4,9,0,7,4,0,4,10,0,12,3,0,3,0,0,0,83,42,119
10102100702,0,0,0,0,5,5,0,0,0,0,0,0,0,5,6,0,3,4,0,0,5,11,5,13,3,3,3,3,0,4,6,0,7,5,0,4,15,0,14,6,0,6,8,3,9,6,0,6,11,0,11,15,0,15,4,0,9,87,31,121
10102100703,0,0,0,4,0,4,3,5,7,0,0,0,0,10,10,0,4,3,5,3,14,4,6,14,7,9,15,8,3,14,11,3,12,6,0,12,11,9,18,12,0,12,11,4,16,7,0,7,12,0,12,6,0,7,4,4,7,120,63,187
10102100704,0,0,0,0,4,4,0,3,4,3,9,15,0,11,11,0,11,10,12,7,26,13,10,20,10,12,24,17,5,18,5,6,4,10,4,7,11,3,20,11,0,11,10,0,7,9,0,9,12,0,16,12,0,10,0,4,4,125,91,220
10102100705,0,0,0,0,0,0,0,3,4,0,0,0,0,8,16,0,9,7,7,5,13,3,4,15,13,0,13,11,5,17,3,3,11,0,0,4,17,4,23,3,0,3,8,0,11,0,0,0,21,3,20,9,0,9,0,0,8,111,64,172
10102100706,0,4,4,0,0,0,0,0,0,0,3,3,0,9,4,3,7,6,7,3,14,8,0,8,9,7,13,9,0,9,10,0,10,5,0,3,10,0,5,4,0,4,9,0,9,0,0,0,6,0,8,0,0,0,0,0,0,79,27,105
10102100707,0,0,0,3,0,5,4,0,4,0,9,4,4,10,17,0,4,4,5,5,15,7,4,12,5,6,14,13,7,17,7,3,9,3,0,3,13,0,16,4,0,4,7,0,7,3,0,3,16,3,15,10,0,12,0,0,0,116,58,174
10102100708,6,0,5,3,0,8,0,5,3,0,7,10,3,12,13,0,10,14,4,10,13,12,6,18,9,5,18,13,4,12,11,4,13,15,0,15,9,10,16,16,0,16,12,0,12,8,0,8,26,0,29,14,0,19,0,5,5,170,74,238
10102100709,5,0,5,0,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,3,3,3,0,4,0,0,9,8,0,6,7,0,8,10,0,13,18,0,18,10,0,13,14,4,17,3,0,3,24,0,26,11,0,11,0,0,0,128,25,149
10102100710,9,0,5,0,4,4,0,4,5,0,10,8,8,13,21,4,13,15,11,3,18,17,11,22,8,15,23,14,11,23,12,3,11,13,0,17,17,3,21,8,0,8,7,0,7,0,0,5,11,0,19,10,0,10,0,0,4,150,84,235
10102100801,0,0,0,0,0,0,3,4,5,0,0,0,0,4,4,0,0,0,3,0,6,0,8,4,0,4,8,3,4,9,5,5,8,6,8,9,16,3,17,9,0,9,16,3,16,9,0,9,22,0,23,7,0,7,0,0,0,100,42,143
10102100802,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,0,0,0,0,3,7,7,5,16,5,3,9,15,3,16,10,0,6,11,4,17,20,4,21,16,0,16,18,0,20,9,0,8,38,0,36,15,0,15,0,0,0,166,42,207
10102100803,0,0,0,0,0,0,0,4,4,0,0,7,3,10,18,3,3,9,11,3,13,9,5,15,4,0,7,6,5,15,8,5,7,3,3,9,9,0,11,6,0,11,8,0,8,3,0,3,3,0,3,13,0,14,0,0,0,91,44,137
10102100804,3,4,0,0,0,0,0,5,5,0,8,8,0,17,19,8,3,9,8,0,10,10,4,16,4,10,15,13,4,15,3,0,4,7,0,11,12,5,22,9,3,14,16,0,16,7,0,7,7,0,12,5,4,5,0,0,0,102,65,167
10102100805,0,0,0,0,0,0,5,0,3,0,4,4,3,0,3,3,3,8,5,4,8,3,0,3,8,0,3,3,0,9,3,0,4,3,0,4,4,0,4,4,0,7,0,0,0,0,0,0,0,0,0,5,0,5,0,3,4,63,27,90
10102100806,8,0,5,0,0,0,0,0,0,0,0,5,5,3,8,0,3,3,6,0,5,8,3,9,3,7,9,10,0,10,9,5,8,12,0,14,11,0,18,9,0,9,18,0,14,7,0,7,8,0,8,5,0,7,0,0,5,118,27,145
10102100807,0,4,6,0,0,0,0,4,4,0,4,4,0,9,10,0,4,5,7,6,14,5,0,8,7,11,16,11,3,13,8,9,15,9,11,18,18,9,34,20,0,20,10,0,6,6,0,6,14,0,10,6,0,8,6,0,3,129,76,209
10102100808,4,0,3,0,0,0,0,0,0,0,3,4,7,3,12,0,3,3,8,4,13,3,3,9,7,3,12,11,3,15,5,3,8,6,6,15,24,8,27,16,0,16,12,6,17,9,0,16,9,0,12,4,0,8,0,0,0,141,44,185
10102100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102100810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,4,3,0,3,0,3,8,13,0,13,12,0,12,6,0,6,0,0,0,22,0,23,5,0,5,0,0,0,75,5,82
10102100811,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,4,3,0,0,6,3,7,0,0,5,7,0,10,4,4,9,0,0,0,7,0,10,9,0,9,7,0,7,12,0,12,15,3,21,13,0,13,4,0,4,93,36,128
10102100812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,6,3,5,3,0,0,0,0,0,4,7,3,7,8,0,8,4,4,6,7,0,7,31,0,35,3,0,3,0,0,0,69,19,90
10102100813,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,4,0,3,3,3,11,3,0,3,3,5,4,7,0,7,13,3,19,15,0,15,10,4,15,9,0,9,40,0,40,13,0,13,0,0,0,123,22,141
10102100814,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,5,0,6,0,4,8,3,10,3,4,10,4,8,7,12,8,12,11,5,16,9,4,13,27,3,29,23,0,28,7,0,7,31,4,33,8,0,8,0,0,3,152,50,203
10102100815,3,4,6,0,3,3,0,0,3,0,4,4,0,14,16,3,10,18,5,8,11,5,10,15,3,12,15,5,11,17,9,5,15,4,7,16,20,3,28,16,0,15,6,0,7,3,0,3,8,4,16,7,0,7,0,5,8,109,114,222
10102100816,0,3,4,0,4,4,0,3,3,0,5,5,0,14,19,6,7,11,7,3,9,6,5,5,0,5,5,13,5,10,3,0,5,5,5,9,15,4,20,11,0,8,12,0,12,6,0,7,4,6,4,12,5,9,0,3,4,108,70,181
10102100817,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,3,0,3,0,0,5,0,5,5,4,3,11,7,6,15,4,3,14,10,0,11,10,3,12,3,0,5,9,0,9,16,0,16,4,0,4,0,0,0,81,38,116
10102100818,0,0,0,0,0,4,0,0,0,4,0,10,0,11,9,6,0,6,0,3,8,6,3,3,7,0,10,3,0,6,4,6,10,6,0,7,15,0,15,5,0,6,10,0,10,5,0,5,7,0,7,0,0,6,0,4,4,75,37,111
