SA1_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102100701,25,27,36,30,49,57,48,22,5,305
10102100702,31,26,21,24,45,69,38,34,4,301
10102100703,101,41,43,63,54,54,55,46,9,471
10102100704,70,23,40,49,66,66,82,86,33,522
10102100705,67,32,54,48,54,62,58,50,3,423
10102100706,64,14,23,40,37,52,45,17,0,290
10102100707,65,17,35,37,52,90,77,32,9,416
10102100708,111,38,45,56,116,113,112,37,15,643
10102100709,84,32,48,57,72,89,25,14,0,437
10102100710,67,28,26,49,95,126,95,45,6,541
10102100801,58,52,54,57,62,53,33,19,4,392
10102100802,106,54,63,73,75,77,63,47,11,574
10102100803,83,35,64,46,52,31,29,13,3,359
10102100804,91,46,82,56,64,41,34,14,7,427
10102100805,79,40,41,38,28,22,20,12,3,272
10102100806,78,38,62,62,40,48,54,16,0,408
10102100807,66,55,73,76,62,57,63,27,4,486
10102100808,106,64,82,67,64,59,44,17,8,508
10102100809,0,0,0,0,0,0,0,0,0,0
10102100810,44,38,21,22,32,51,20,10,0,249
10102100811,57,38,57,49,34,43,45,30,6,359
10102100812,71,28,39,40,41,45,10,5,0,270
10102100813,68,68,38,45,97,69,26,10,6,421
10102100814,76,62,83,58,76,88,54,24,5,515
10102100815,81,53,132,53,49,55,37,36,8,509
10102100816,92,49,64,84,43,58,44,19,12,460
10102100817,69,31,72,46,36,43,19,22,8,343
10102100818,58,49,41,40,48,22,24,23,6,310
10102100819,86,59,50,63,68,72,35,19,0,449
10102100820,75,33,45,42,27,32,32,10,3,296
10102100821,77,69,52,52,81,61,42,19,0,454
10102100822,37,27,24,33,38,27,25,10,0,228
10102100823,60,30,27,37,35,24,12,0,0,225
10102100901,54,13,31,36,30,38,31,6,10,243
10102100902,55,47,45,53,63,33,44,25,7,380
10102100904,59,31,51,53,47,32,49,21,7,347
10102100905,75,31,66,52,53,52,40,36,24,428
10102100907,85,52,133,76,63,54,36,13,4,514
10102100908,67,61,171,75,59,55,35,17,0,537
10102100909,87,67,188,117,68,49,38,10,0,616
10102100910,81,65,183,76,66,54,34,11,0,564
