SA4_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
101,14,42,0,0,0,43,71,68,179,3021,2108,349,5480,135,141,277,5761,3367,131,9265
102,17,51,3,0,3,54,111,109,269,4814,4026,1195,10034,295,268,558,10591,7398,206,18194
103,14,35,4,0,3,40,78,82,198,2805,2167,326,5297,185,195,381,5684,3597,156,9433
104,13,30,3,0,4,34,58,72,166,1794,1785,276,3857,150,129,284,4135,2989,125,7248
105,17,37,0,0,0,42,66,73,184,1600,1087,242,2928,119,104,220,3147,2300,118,5563
106,35,61,0,0,6,67,112,83,257,3860,3351,731,7949,294,285,572,8525,5566,189,14278
107,15,46,4,0,0,46,82,79,206,3813,3078,874,7768,207,196,403,8167,6031,170,14369
108,13,34,0,0,3,36,103,114,253,2429,2703,430,5555,219,222,437,5997,4943,219,11156
109,7,23,3,0,0,25,36,44,107,1471,1225,196,2897,92,107,197,3097,1829,78,5000
110,10,33,0,0,0,36,90,98,228,2198,1788,303,4289,217,216,434,4726,3524,159,8402
111,27,64,0,3,3,66,83,93,242,5581,4340,751,10670,298,317,620,11288,6885,180,18358
112,29,50,0,5,3,57,68,107,229,3080,3353,515,6944,168,243,419,7366,4948,187,12498
113,6,19,0,0,0,18,63,73,156,2023,1575,225,3823,142,146,287,4111,2618,126,6847
114,13,26,0,0,0,30,37,34,109,1744,1729,294,3761,101,113,216,3970,2786,78,6835
115,12,29,0,0,0,29,26,31,82,2800,1545,429,4770,136,86,225,4989,2499,57,7550
116,29,55,0,0,0,55,113,153,320,4641,2540,1183,8370,325,250,577,8949,8144,271,17358
117,14,21,0,0,0,21,47,43,110,2908,1508,417,4832,156,140,295,5127,3691,99,8917
118,7,29,0,0,0,29,33,36,100,3013,1691,415,5114,135,100,238,5353,3006,68,8434
119,32,73,4,0,3,76,150,195,420,5466,3929,1804,11202,448,439,889,12090,13937,372,26401
120,8,25,3,0,3,31,39,54,129,3529,1835,553,5923,192,150,349,6265,4329,100,10702
121,11,34,0,0,0,34,27,41,108,5216,2598,626,8439,247,211,459,8896,4781,84,13763
122,10,30,0,0,0,32,29,39,104,3254,1987,471,5714,111,87,199,5914,2611,71,8589
123,28,61,0,0,0,60,100,105,266,3974,2557,994,7523,305,189,494,8019,6165,175,14360
124,30,55,0,7,5,56,76,99,234,4985,3191,1126,9303,272,242,516,9818,6473,182,16474
125,17,41,3,3,6,42,90,168,304,4306,2593,1102,8007,359,296,653,8658,9764,307,18729
126,9,16,0,0,0,16,22,19,58,2125,1158,343,3629,105,110,215,3843,2646,54,6544
127,30,53,0,3,3,59,149,222,427,4616,3037,1522,9178,432,444,877,10050,13638,388,24087
128,12,22,0,0,0,23,28,29,80,2996,1877,537,5415,96,109,207,5618,2707,58,8386
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
