SA4_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
101,2856,717,5776,37883,57318,27459,18961,41051,14889,197558
102,4738,2173,10545,52906,77520,38317,28432,69378,17689,284248
103,2858,640,5504,31346,45564,22083,16734,41481,14396,171594
104,2098,679,4473,21161,32502,17109,12061,28358,10096,121293
105,1429,536,2866,15627,22295,10260,8139,24375,11984,92669
106,2903,839,5922,42317,64121,31308,23963,58029,15303,235041
107,3773,1408,8227,49894,71729,34487,24723,63404,13481,257723
108,4143,1309,8536,32355,51042,27056,20608,47202,14933,193195
109,1690,482,3413,19103,26777,12799,9347,24643,8591,101262
110,2204,766,4669,25996,38197,18806,14317,36881,15860,150057
111,5296,1705,10881,66033,93638,42260,27040,77052,16877,322898
112,4069,1347,8337,40216,60000,29130,19625,47352,17915,214236
113,2151,612,4250,24717,33608,15541,11500,34937,11358,131660
114,2431,733,5266,23681,37540,19760,14358,30093,9478,134907
115,2328,833,5023,42133,59969,31202,22716,46759,7619,210397
116,2558,552,4339,50752,70905,34742,29873,102492,21154,309913
117,1771,698,3864,68100,88179,26020,13259,81317,21647,298518
118,2515,1506,6538,53475,66455,24034,13441,49054,14941,221391
119,7030,2739,14802,83087,107230,51695,43265,175022,36031,496332
120,3503,979,7002,52152,74588,30664,18341,69352,13888,258984
121,4740,1252,10839,76266,109861,49695,29537,69673,12809,347853
122,3236,969,7243,48787,67550,29923,17480,42211,8867,214822
123,1693,801,3676,41523,58129,27804,23962,65788,13744,230946
124,2496,876,5235,49483,72983,34711,26723,65075,16288,265262
125,3899,1248,7867,62756,84860,40654,34264,144044,32445,399020
126,2214,838,5131,33048,46894,22172,14427,43289,7785,167614
127,3901,1421,7189,58106,71535,34490,33808,151405,26093,375436
128,2722,1098,6432,39847,56234,26613,17121,39890,7493,187196
197,0,0,0,0,0,0,0,0,0,0
199,23,19,49,1561,1512,614,402,2643,3376,10112
