SA4_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
101,20363,2534,1200,228,46,10,190,24573
102,31385,4020,1819,332,66,34,251,37902
103,17496,2414,1143,218,44,14,214,21547
104,10776,1591,689,166,34,14,129,13396
105,8339,1273,551,149,25,10,139,10486
106,25680,4100,1876,353,101,38,303,32446
107,31235,3497,1398,275,35,17,210,36671
108,15601,2274,979,238,39,19,227,19384
109,9925,1273,596,91,22,5,119,12031
110,14020,1822,925,174,29,13,199,17190
111,35557,4546,1698,333,77,22,268,42506
112,20052,2656,1030,241,44,26,185,24235
113,14228,1635,789,153,23,17,160,17011
114,12726,1631,664,139,23,14,149,15351
115,39166,2589,841,297,20,8,90,43013
116,52802,3597,1614,899,77,40,223,59253
117,20866,1632,346,132,12,3,89,23078
118,25397,1853,471,93,11,3,50,27879
119,69591,4220,1534,869,80,36,199,76527
120,32518,2074,477,189,17,4,64,35343
121,53335,3529,792,266,20,3,98,58046
122,32617,2546,695,177,20,6,89,36150
123,34983,3210,1648,557,82,37,217,40734
124,34788,3809,1878,421,82,35,238,41242
125,58346,3267,1086,634,54,20,166,63568
126,25298,1432,384,165,3,3,39,27323
127,58965,3856,1687,939,95,41,231,65806
128,28440,2390,829,156,17,0,52,31884
197,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
