SA4_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101,41245,23664,26755,27123,31454,35370,31264,16162,5776,238810
102,62348,38764,38119,41358,44183,44882,40693,25702,10545,346596
103,41367,23853,24861,24125,26203,27917,24652,14480,5504,212962
104,24834,14313,15030,15975,18106,21252,20649,11492,4473,146127
105,22899,12519,15489,12978,13463,15228,12627,7498,2866,115566
106,56899,33766,36516,35227,36228,37003,32654,17724,5922,291946
107,56114,40453,39997,38572,39273,39152,32307,19744,8227,313842
108,35834,21563,19774,21625,26807,34795,37531,22565,8536,229035
109,22291,13312,13683,13574,14812,17022,16158,9280,3413,123552
110,35503,21767,21953,20328,22031,24586,21574,13144,4669,185560
111,67624,48868,51995,48540,48194,47431,41675,25316,10881,390519
112,42820,25007,25763,29993,33175,37504,35234,19222,8337,257061
113,31999,20495,20957,19057,19343,20423,17036,10095,4250,163656
114,26100,15312,15749,16449,19016,23275,24844,14997,5266,161006
115,53970,33968,25876,39217,37757,31141,24274,13127,5023,264371
116,91082,51193,60222,68328,47949,38101,27249,12543,4339,400997
117,32822,41325,95819,59167,38106,29296,20220,10722,3864,331340
118,40017,28513,50336,39986,34027,26890,21255,13846,6538,261410
119,108789,76399,96482,84427,74330,68740,50540,30611,14802,605118
120,45793,35983,57158,46480,39339,33603,25007,14410,7002,304771
121,76197,46590,52341,66457,60609,48514,38403,24095,10839,424045
122,48729,30004,28875,35504,40004,32479,24219,16501,7243,263554
123,66343,37850,41205,43295,36693,32242,24464,11516,3676,297292
124,66798,40996,45804,45750,42308,38760,31058,15357,5235,332056
125,94492,61222,92360,79837,55620,48592,34513,19004,7867,493515
126,34421,23284,32358,31980,24919,22731,17441,9771,5131,202038
127,98998,64803,68011,65464,59513,54724,37252,18477,7189,474430
128,42415,26918,26347,30496,31812,28471,22879,13841,6432,229604
197,0,0,0,0,0,0,0,0,0,0
199,1260,1357,2187,1859,1678,1648,1055,277,49,11371
