region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL101001,999267,1048535,2047802,105976,108956,214932,383533,398263,781796,8685,8342,17027,10443,10985,21428,2759,2799,5558,3272,3372,6644,957,973,1930,804,684,1488,2944,3133,6077,18,11,29,413415,428562,841977,143493,151760,295253,7293,7115,14408,670177,696393,1366570,118828,106834,225662,1788272,1851762,3640034
UCL102001,8727,8803,17530,1039,1104,2143,2806,2899,5705,241,201,442,368,381,749,107,76,183,87,88,175,26,24,50,91,87,178,1282,1277,2559,6,5,11,5014,5038,10052,767,833,1600,75,69,144,6895,7044,13939,1025,829,1854,16647,16676,33323
UCL102002,76795,82888,159683,10455,11760,22215,32899,36292,69191,404,466,870,1195,1405,2600,128,152,280,235,277,512,117,138,255,71,89,160,203,206,409,0,0,0,35252,39025,74277,2643,2794,5437,902,1104,2006,49252,54683,103935,7553,7567,15120,133600,145138,278738
UCL102003,13457,14739,28196,2543,2878,5421,3607,4266,7873,298,312,610,2294,2583,4877,67,73,140,71,117,188,51,64,115,49,45,94,60,63,123,0,0,0,6497,7523,14020,733,798,1531,142,127,269,9915,11326,21241,1548,1650,3198,24920,27715,52635
UCL102004,83436,87675,171111,9213,9651,18864,34010,36670,70680,689,657,1346,1346,1319,2665,202,191,393,309,306,615,135,137,272,170,186,356,307,308,615,5,0,5,37173,39774,76947,3704,3830,7534,698,631,1329,50788,53886,104674,7193,6641,13834,141417,148202,289619
UCL103001,70013,72296,142309,9402,9733,19135,22150,23861,46011,315,336,651,733,753,1486,105,122,227,160,172,332,70,84,154,58,64,122,302,342,644,0,3,3,23893,25737,49630,3962,3615,7577,436,434,870,37693,39519,77212,5629,5154,10783,113335,116969,230304
UCL111001,11099,11795,22894,1729,1964,3693,3831,4284,8115,1315,1553,2868,231,234,465,58,74,132,53,71,124,42,53,95,38,43,81,68,82,150,0,0,0,5636,6394,12030,588,624,1212,125,104,229,8078,9086,17164,1298,1296,2594,20475,22177,42652
UCL111002,17791,18603,36394,3019,3226,6245,6579,7155,13734,114,155,269,379,419,798,65,73,138,97,86,183,25,31,56,56,42,98,39,48,87,0,0,0,7354,8009,15363,437,443,880,129,100,229,10939,11778,22717,1537,1438,2975,30267,31819,62086
UCL112001,7021,7237,14258,1902,2004,3906,3545,3896,7441,74,73,147,149,150,299,20,19,39,24,30,54,15,20,35,19,20,39,49,39,88,0,0,0,3895,4247,8142,237,244,481,68,53,121,6102,6548,12650,1306,818,2124,14429,14603,29032
UCL112002,7355,8083,15438,1200,1324,2524,2781,3153,5934,57,63,120,101,133,234,12,27,39,23,32,55,19,21,40,6,15,21,27,26,53,0,0,0,3026,3470,6496,224,294,518,70,47,117,4520,5135,9655,1013,971,1984,12888,14189,27077
UCL112003,4987,5304,10291,1365,1558,2923,1410,1623,3033,19,16,35,71,76,147,8,6,14,16,10,26,12,11,23,9,5,14,9,9,18,0,0,0,1554,1756,3310,90,70,160,87,101,188,3096,3485,6581,1102,614,1716,9185,9403,18588
UCL112004,10211,11133,21344,2317,2536,4853,4722,5399,10121,231,241,472,606,646,1252,50,77,127,85,77,162,58,51,109,38,40,78,81,92,173,0,0,0,5871,6623,12494,586,665,1251,149,154,303,8923,9978,18901,1203,1279,2482,20337,22390,42727
UCL112005,7293,8096,15389,1531,1765,3296,3739,4341,8080,60,54,114,177,208,385,18,30,48,13,25,38,7,4,11,25,12,37,28,31,59,0,0,0,4067,4705,8772,220,227,447,86,118,204,5904,6815,12719,814,730,1544,14011,15641,29652
UCL112006,5408,5730,11138,1678,1839,3517,1319,1402,2721,53,45,98,88,102,190,23,18,41,23,21,44,9,12,21,15,12,27,199,232,431,0,0,0,1729,1844,3573,145,139,284,48,55,103,3600,3877,7477,1020,476,1496,10028,10083,20111
UCL112007,6374,7019,13393,1323,1537,2860,2989,3319,6308,57,87,144,376,437,813,21,20,41,43,40,83,22,24,46,35,36,71,11,21,32,0,0,0,3554,3984,7538,251,223,474,80,74,154,5208,5818,11026,642,626,1268,12224,13463,25687
UCL112008,560,505,1065,94,94,188,58,57,115,142,169,311,14,8,22,9,17,26,3,3,6,3,3,6,6,8,14,0,0,0,0,0,0,235,265,500,7,15,22,0,0,0,336,374,710,61,50,111,957,929,1886
UCL112009,6504,6985,13489,1596,1695,3291,2761,3068,5829,125,134,259,196,205,401,27,36,63,65,64,129,27,26,53,25,23,48,62,73,135,9,3,12,3297,3632,6929,155,191,346,71,50,121,5119,5568,10687,902,893,1795,12525,13446,25971
UCL112010,8028,8660,16688,1745,1822,3567,3705,4180,7885,86,81,167,233,260,493,42,44,86,91,73,164,26,33,59,23,17,40,39,48,87,0,0,0,4245,4736,8981,317,332,649,66,77,143,6373,6967,13340,1083,985,2068,15484,16612,32096
UCL112011,9243,10475,19718,2237,2575,4812,4599,5290,9889,233,231,464,442,425,867,41,48,89,63,62,125,37,47,84,21,32,53,98,99,197,0,0,0,5534,6234,11768,362,388,750,89,96,185,8222,9293,17515,963,966,1929,18428,20734,39162
UCL112012,8190,9006,17196,1746,2041,3787,4028,4262,8290,68,56,124,357,397,754,22,22,44,33,30,63,9,16,25,25,28,53,28,26,54,0,0,0,4570,4837,9407,201,196,397,118,107,225,6635,7181,13816,1224,1203,2427,16049,17390,33439
UCL112013,10850,11761,22611,2119,2349,4468,5028,5682,10710,306,350,656,358,345,703,85,85,170,73,66,139,33,36,69,81,83,164,161,149,310,4,0,4,6129,6796,12925,609,637,1246,119,92,211,8976,9874,18850,958,962,1920,20784,22597,43381
UCL113001,4021,4536,8557,1531,1691,3222,1672,2017,3689,62,78,140,225,276,501,20,31,51,27,21,48,9,14,23,10,28,38,16,24,40,0,0,0,2041,2489,4530,478,453,931,23,22,45,4073,4655,8728,639,682,1321,8733,9873,18606
UCL113002,3815,4328,8143,993,1091,2084,1336,1467,2803,53,72,125,257,282,539,7,15,22,16,27,43,16,16,32,15,18,33,7,24,31,0,0,0,1707,1921,3628,112,168,280,45,71,116,2857,3251,6108,442,492,934,7114,8071,15185
UCL113003,2585,2840,5425,513,596,1109,1064,1235,2299,58,67,125,75,86,161,12,20,32,14,12,26,14,14,28,7,8,15,201,215,416,0,0,0,1445,1657,3102,61,58,119,30,22,52,2049,2333,4382,449,424,873,5083,5597,10680
UCL113004,4900,5558,10458,896,1012,1908,1951,2399,4350,41,57,98,107,110,217,16,22,38,24,19,43,14,15,29,7,0,7,42,56,98,0,0,0,2202,2678,4880,184,201,385,45,58,103,3327,3949,7276,447,480,927,8674,9987,18661
UCL113005,5629,5919,11548,1109,1228,2337,421,460,881,85,92,177,86,63,149,214,198,412,21,25,46,11,8,19,27,25,52,9,6,15,0,0,0,874,877,1751,64,80,144,38,29,67,2085,2214,4299,744,777,1521,8458,8910,17368
UCL113006,965,1030,1995,176,205,381,84,92,176,535,535,1070,19,16,35,10,16,26,4,7,11,3,3,6,3,3,6,0,3,3,0,0,0,658,675,1333,19,22,41,3,3,6,856,905,1761,127,96,223,1948,2031,3979
UCL113007,4758,5273,10031,965,1113,2078,1904,2074,3978,32,40,72,166,184,350,9,5,14,14,22,36,5,11,16,14,8,22,17,17,34,0,0,0,2161,2361,4522,56,60,116,48,35,83,3230,3569,6799,613,670,1283,8601,9512,18113
UCL113008,3912,4367,8279,1364,1638,3002,1024,1151,2175,29,36,65,216,235,451,4,3,7,22,19,41,3,12,15,9,8,17,15,10,25,0,0,0,1322,1474,2796,63,80,143,51,30,81,2800,3222,6022,672,497,1169,7384,8086,15470
UCL113009,4319,4516,8835,1380,1486,2866,938,948,1886,92,97,189,50,59,109,25,19,44,4,9,13,3,0,3,9,10,19,28,33,61,0,0,0,1149,1175,2324,409,429,838,40,32,72,2978,3122,6100,717,622,1339,8014,8260,16274
UCL113010,2547,2830,5377,677,866,1543,583,681,1264,14,5,19,67,89,156,8,6,14,5,5,10,0,0,0,16,10,26,6,3,9,0,0,0,699,799,1498,17,28,45,17,22,39,1410,1715,3125,719,343,1062,4676,4888,9564
UCL113011,3603,3786,7389,594,595,1189,1223,1284,2507,37,35,72,52,53,105,3,3,6,20,28,48,5,12,17,10,9,19,38,43,81,0,0,0,1388,1467,2855,132,158,290,13,19,32,2127,2239,4366,222,180,402,5952,6205,12157
