region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL101001,118672,31032,64462,1157,470,215793,598205,129904,270705,3074,1313,1003201,18278,4249,9916,146,65,32654,18727,6625,22336,316,116,48120,635210,140778,302957,3536,1494,1083975,26199,6646,14839,235,118,48037,780081,178456,382258,4928,2082,1347805
UCL102001,1434,431,616,7,4,2492,6631,1450,1360,35,9,9485,240,60,66,4,0,370,313,148,242,8,0,711,7184,1658,1668,47,9,10566,263,67,96,11,0,437,8881,2156,2380,65,13,13495
UCL102002,17342,4760,3167,653,32,25954,62607,7308,4177,410,67,74569,2653,448,264,41,5,3411,2915,541,436,62,14,3968,68175,8297,4877,513,86,81948,2964,672,514,87,7,4244,88481,13729,8558,1253,125,112146
UCL102003,2657,1717,1191,454,12,6031,9181,2698,1933,332,18,14162,481,189,115,31,0,816,367,213,206,40,3,829,10029,3100,2254,403,21,15807,441,268,199,66,0,974,13127,5085,3644,923,33,22812
UCL102004,19299,3782,3982,265,21,27349,66636,6566,5872,309,75,79458,2630,319,317,16,0,3282,2693,518,712,36,10,3969,71959,7403,6901,361,85,86709,3018,546,687,54,5,4310,94276,11731,11570,680,111,118368
UCL103001,13917,3137,3737,491,12,21294,46361,6132,7102,424,33,60052,2258,360,391,30,4,3043,1897,473,820,45,0,3235,50516,6965,8313,499,37,66330,2197,468,612,87,0,3364,66630,10570,12662,1077,49,90988
UCL111001,2852,354,1143,45,0,4394,9482,552,1422,37,11,11504,423,31,75,0,0,529,493,68,225,4,3,793,10398,651,1722,41,14,12826,480,45,177,5,0,707,13730,1050,3042,91,14,17927
UCL111002,4318,526,529,59,0,5432,15085,806,519,57,6,16473,631,36,29,3,0,699,672,72,77,5,0,826,16388,914,625,65,6,17998,641,73,83,13,0,810,21347,1513,1237,137,6,24240
UCL112001,1875,323,345,13,3,2559,6335,534,398,17,10,7294,302,20,25,3,0,350,393,60,73,3,7,536,7030,614,496,23,17,8180,277,61,49,3,0,390,9182,998,890,39,20,11129
UCL112002,1705,191,166,5,0,2067,7391,419,187,10,5,8012,352,23,9,0,0,384,288,24,35,5,0,352,8031,466,231,15,5,8748,263,16,22,3,5,309,9999,673,419,23,10,11124
UCL112003,1792,221,167,11,0,2191,3838,202,135,15,3,4193,178,18,6,0,0,202,213,29,15,3,0,260,4229,249,156,18,3,4655,221,43,15,3,0,282,6242,513,338,32,3,7128
UCL112004,2377,783,844,216,3,4223,8913,1478,1117,168,6,11682,389,96,77,10,0,572,356,126,148,16,0,646,9658,1700,1342,194,6,12900,392,119,138,21,4,674,12427,2602,2324,431,13,17797
UCL112005,2226,263,576,27,0,3092,6558,395,450,47,0,7450,309,32,23,0,0,364,404,51,81,3,3,542,7271,478,554,50,3,8356,324,56,69,26,0,475,9821,797,1199,103,3,11923
