region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
UCL101001,169422,1288488,279819,3908648
UCL102001,1701,20235,2253,35878
UCL102002,14956,187536,20413,297708
UCL102003,2623,34753,3791,55554
UCL102004,13096,214442,18477,308313
UCL103001,13551,125367,14041,245937
UCL111001,1565,32704,3155,45628
UCL111002,2464,50922,3818,67141
UCL112001,1110,22750,2681,31287
UCL112002,1800,14875,2582,28767
UCL112003,615,14810,2129,20006
UCL112004,1946,30730,3199,45581
UCL112005,783,26038,1982,32324
UCL112006,620,16190,1778,21485
UCL112007,1081,20444,1485,27480
UCL112008,62,1555,154,2061
UCL112009,1282,18755,2223,27980
UCL112010,1086,25656,2631,34993
UCL112011,1849,28321,2577,41496
UCL112012,861,28737,2882,36128
UCL112013,1415,36209,2612,46919
UCL113001,752,13674,1636,19822
UCL113002,671,11236,1163,15963
UCL113003,472,7191,1065,11334
UCL113004,1093,11814,1224,19729
UCL113005,367,14592,1628,18435
UCL113006,125,3269,254,4203
UCL113007,735,13342,1491,18904
UCL113008,479,13105,1374,16597
UCL113009,492,9403,1622,17624
UCL113010,234,7850,1223,10381
UCL113011,661,8117,549,12819
UCL113012,467,10247,742,13057
UCL113013,439,7995,830,11141
UCL113014,878,10781,1110,16917
UCL113015,350,8458,858,11038
UCL113016,509,6898,757,11052
UCL113017,254,7944,853,10024
UCL113018,499,9766,924,13218
UCL113019,547,10471,822,13962
UCL113020,505,13636,1368,17821
UCL113021,581,8197,708,12147
UCL114001,302,4972,510,7177
UCL114002,242,7665,815,9629
UCL114003,269,3986,525,6298
UCL114004,116,4510,384,5572
UCL114005,168,4258,305,5452
UCL114006,249,6252,749,8105
UCL114007,161,5023,488,6440
UCL114008,132,5684,459,6803
UCL114009,149,4137,334,5166
UCL114010,190,6400,618,7889
UCL114011,389,3815,310,5777
UCL114012,218,7519,640,9341
UCL114013,187,4920,595,6736
UCL114014,334,3894,290,5763
UCL114015,434,5989,354,8353
UCL114016,290,4382,440,6877
UCL114017,162,5811,1065,7726
UCL114018,386,4859,331,7300
UCL114019,349,7323,799,9828
UCL114020,408,5923,544,8522
UCL114021,261,4418,424,6224
UCL114022,119,4741,564,5880
UCL114023,309,3883,265,5734
UCL114024,210,3332,431,5100
UCL114025,144,3982,349,5082
UCL114026,400,6007,667,9246
UCL114027,258,3755,231,5401
UCL114028,181,4682,400,6085
UCL114029,220,4929,416,6371
UCL114030,242,4310,372,6033
UCL114031,48,1502,100,1897
UCL114032,236,4059,464,5594
UCL114033,183,5500,505,6948
UCL115001,47,1519,102,1836
UCL115002,245,3541,184,4989
UCL115003,115,1958,160,2877
UCL115004,102,943,65,1471
UCL115005,81,990,127,1508
UCL115006,27,888,134,1159
UCL115007,91,918,50,1529
UCL115008,167,2040,179,3083
UCL115009,47,901,70,1151
UCL115010,48,1162,64,1503
UCL115011,23,914,84,1153
UCL115012,61,891,97,1406
UCL115013,33,724,74,1035
UCL115014,165,3106,278,4144
UCL115015,168,1955,132,3046
UCL115016,69,997,72,1470
UCL115017,94,1075,65,1690
UCL115018,47,879,66,1093
UCL115019,226,2184,681,4354
UCL115020,84,2249,168,2798
UCL115021,56,781,115,1207
UCL115022,42,946,59,1200
UCL115023,107,1973,135,2666
UCL115024,25,1010,65,1211
UCL115025,30,1493,386,2051
UCL115026,78,866,53,1344
UCL115027,36,846,77,1093
UCL115028,53,742,87,1161
UCL115029,91,2095,155,2709
UCL115030,113,1266,119,1935
UCL115031,75,877,133,1456
UCL115032,37,847,100,1115
UCL115033,138,1405,154,2425
UCL115034,114,1018,127,1890
UCL115035,168,1807,133,2756
UCL115036,94,1128,82,1633
UCL115037,309,2556,454,4964
UCL115038,141,1818,260,3006
UCL115039,78,818,47,1230
UCL115040,36,1176,67,1428
UCL115041,117,2866,356,3813
UCL115042,69,913,29,1387
UCL115043,82,2283,183,2749
UCL115044,43,1316,84,1591
UCL115045,40,2054,234,2573
UCL115046,31,2067,235,2451
UCL115047,17,937,119,1212
UCL115048,53,823,82,1192
UCL115049,41,1630,134,2014
UCL115050,163,2238,196,3290
UCL115051,28,828,101,1114
UCL115052,86,1184,165,1933
UCL115053,26,1116,112,1403
UCL115054,38,795,44,1076
UCL115055,50,664,38,1052
UCL115056,52,1767,119,2130
UCL115057,110,2204,148,3048
UCL115058,99,1766,120,2441
UCL115059,123,2060,168,2724
UCL115060,42,942,217,1496
UCL115061,53,1474,143,1922
UCL115062,115,1625,100,2188
UCL115063,30,829,120,1083
UCL115064,65,834,79,1243
UCL115065,58,611,44,1094
UCL115066,217,2772,156,4000
UCL115067,46,2206,187,2661
UCL115068,149,1698,113,2552
UCL115069,63,1872,117,2325
UCL115070,44,825,90,1198
UCL115071,76,1581,108,2001
UCL115072,80,1897,130,2481
UCL115073,59,1463,130,1866
UCL115074,47,990,49,1326
UCL115075,40,1617,122,1929
UCL115076,42,1564,200,1953
UCL115077,49,1592,110,1928
UCL115078,96,1650,144,2257
UCL115079,40,765,75,1121
UCL115080,52,1813,165,2301
UCL115081,53,1421,36,1702
UCL115082,116,1310,182,2122
UCL115083,24,965,122,1255
UCL115084,86,1764,92,2310
UCL115085,73,1266,75,1706
UCL115086,133,918,306,1738
UCL115087,40,817,35,1053
UCL115088,38,978,40,1182
UCL115089,103,2942,1006,4396
UCL115090,47,965,46,1285
UCL115091,50,771,78,1076
UCL115092,54,1254,116,1603
UCL115093,68,702,42,1086
UCL115094,114,2063,179,2740
UCL115095,23,943,89,1155
UCL115096,115,2136,118,2875
UCL115097,115,1759,87,2533
UCL115098,32,925,179,1504
UCL115099,105,2116,202,2791
UCL115100,80,1970,190,2601
UCL115101,88,1336,110,2042
UCL115102,46,1772,119,2111
UCL115103,47,703,211,1211
UCL115104,60,1302,62,1634
UCL115105,87,1780,172,2530
UCL115106,196,1781,193,3173
UCL115107,101,995,89,1542
UCL115108,104,1571,185,2411
UCL115109,69,3042,383,3863
UCL115110,73,3172,241,3783
UCL115111,31,1720,146,2071
UCL115112,94,1805,143,2459
UCL115113,235,2453,205,4038
UCL115114,138,2603,286,3654
UCL115115,169,1957,156,3155
UCL115116,40,1418,128,1825
UCL115117,51,2119,154,2580
UCL115118,182,2371,163,3668
UCL115119,68,802,76,1356
UCL115120,198,2454,178,3558
UCL115121,65,1029,340,1839
UCL115122,125,1990,175,2998
UCL115123,239,2715,183,4355
UCL115124,69,794,28,1108
UCL115125,58,719,57,1085
UCL115126,110,1111,102,1876
UCL115127,176,3551,365,4814
UCL115128,103,831,65,1376
UCL115129,194,1905,378,3469
UCL115130,149,2159,191,3191
UCL115131,215,2661,252,4130
UCL115132,191,2612,197,3760
UCL115133,70,1098,104,1532
UCL115134,92,1424,107,2109
UCL115135,81,3203,192,3877
UCL115136,96,2310,217,2993
UCL115137,102,1155,92,1710
UCL115138,160,1661,191,2799
UCL115139,68,1548,194,2153
UCL115140,40,1114,83,1442
UCL115141,89,1406,93,2155
UCL115142,61,1871,156,2392
UCL115143,82,1913,103,2528
UCL115144,45,832,58,1209
UCL115145,113,1539,331,2793
UCL115146,36,1244,74,1478
UCL115147,28,1217,252,1627
UCL115148,68,601,55,1060
UCL115149,56,1422,125,1865
UCL115150,30,961,62,1122
UCL115151,29,1276,81,1516
UCL115152,35,1328,154,1664
UCL115153,106,3616,406,4539
UCL115154,31,930,142,1233
UCL115155,29,1201,64,1440
UCL115156,54,2190,114,2642
UCL115157,95,1386,142,2045
UCL115158,127,3563,292,4510
UCL115159,84,1529,156,2108
UCL115160,225,2809,266,4712
UCL115161,80,1187,63,1606
UCL115162,44,761,57,1056
UCL115163,28,703,62,1015
UCL121001,16,732,48,884
UCL121002,19,613,63,758
UCL121003,32,383,27,597
UCL121004,28,433,19,574
UCL121005,31,298,32,549
UCL121006,30,409,30,555
UCL121007,45,612,46,915
UCL121008,26,763,44,921
UCL121009,7,573,18,619
UCL121010,23,722,68,866
UCL121011,36,637,40,861
UCL121012,11,777,79,925
UCL121013,46,436,30,742
UCL121014,21,356,39,542
UCL121015,54,493,132,1200
UCL121016,28,679,43,866
UCL121017,33,503,12,657
UCL121018,22,375,21,552
UCL121019,36,405,39,679
UCL121020,12,539,16,624
UCL121021,35,646,34,804
UCL121022,16,454,18,558
UCL121023,50,337,10,548
UCL121024,40,695,77,978
UCL121025,22,361,28,528
UCL121026,48,602,33,872
UCL121027,28,400,28,577
UCL121028,6,492,51,589
UCL121029,9,428,35,521
UCL121030,20,756,136,1008
UCL121031,44,589,40,851
UCL121032,12,629,100,813
UCL121033,25,274,138,556
UCL121034,33,593,32,794
UCL121035,35,584,26,839
UCL121036,43,421,37,675
UCL121037,14,422,44,527
UCL121038,31,303,35,529
UCL121039,28,452,56,603
UCL121040,22,495,22,614
UCL121041,69,1035,58,1364
UCL121042,35,366,31,674
UCL121043,25,382,42,578
UCL121044,34,522,25,751
UCL121045,18,337,17,560
UCL121046,25,377,32,582
UCL121047,29,725,47,879
UCL121048,21,793,59,993
UCL121049,42,481,27,729
UCL121050,43,631,30,905
UCL121051,18,601,47,774
UCL121052,38,516,57,757
UCL121053,28,478,30,639
UCL121054,30,640,71,839
UCL121055,22,473,53,717
UCL121056,18,580,24,693
UCL121057,44,991,75,1330
UCL121058,27,422,23,572
UCL121059,31,745,40,899
UCL121060,45,402,16,689
UCL121061,51,530,45,877
UCL121062,36,409,21,602
UCL121063,37,548,44,741
UCL121064,19,641,49,801
UCL121065,54,885,104,1378
UCL121066,15,397,8,496
UCL121067,30,319,6,518
UCL121068,30,381,61,589
UCL121069,16,500,39,640
UCL121070,38,270,38,514
UCL121071,20,357,11,502
UCL121072,22,777,86,969
UCL121073,14,454,39,577
UCL121074,25,533,85,726
UCL121075,35,541,21,686
UCL121076,26,408,26,511
UCL121077,25,418,10,565
UCL121078,27,372,41,561
UCL121079,18,400,17,538
UCL121080,38,627,60,928
UCL121081,45,317,62,1034
UCL121082,35,480,54,830
UCL121083,35,465,19,707
UCL121084,25,629,81,844
UCL121085,19,472,43,634
UCL121086,33,384,17,548
UCL121087,47,591,37,822
UCL121088,20,393,29,512
UCL121089,54,554,44,838
UCL121090,48,497,30,670
UCL121091,59,756,64,1129
UCL121092,46,815,127,1288
UCL121093,31,596,79,870
UCL121094,27,482,33,663
UCL121095,27,671,48,849
UCL121096,29,586,52,762
UCL121097,62,851,43,1201
UCL121098,37,419,46,636
UCL121099,34,596,18,814
UCL121100,15,488,32,618
UCL121101,24,557,28,773
UCL121102,53,774,89,1095
UCL121103,39,605,44,821
UCL121104,27,811,70,994
UCL121105,25,563,22,704
UCL121106,34,496,34,671
UCL121107,28,361,34,550
UCL121108,22,740,23,861
UCL121109,8,464,24,533
UCL121110,22,564,34,731
UCL121111,33,560,76,887
UCL121112,13,675,32,821
UCL121113,21,672,77,851
UCL121114,18,576,26,690
UCL121115,12,457,25,537
UCL121116,26,400,14,540
UCL121117,20,346,27,520
UCL121118,49,771,20,945
UCL121119,24,519,26,651
UCL121120,21,732,27,893
UCL121121,0,574,4,604
UCL121122,54,576,45,933
UCL121123,19,416,60,533
UCL121124,17,497,34,633
UCL121125,41,526,29,749
UCL121126,18,517,14,595
UCL121127,7,455,30,538
UCL121128,8,423,19,512
UCL121129,36,417,52,680
UCL121130,62,668,69,1091
UCL122001,11,148,11,229
UCL122002,22,238,24,371
UCL122003,9,262,31,360
UCL122004,3,209,25,261
UCL122005,13,384,32,494
UCL122006,15,268,14,338
UCL122007,7,288,19,335
UCL122008,22,256,11,342
UCL122009,27,190,5,311
UCL122010,11,261,21,338
UCL122011,3,167,10,210
UCL122012,17,217,21,321
UCL122013,15,234,10,305
UCL122014,9,111,73,246
UCL122015,12,160,18,258
UCL122016,12,219,21,309
UCL122017,18,356,27,465
UCL122018,16,213,21,294
UCL122019,18,208,5,285
UCL122020,10,130,14,199
UCL122021,21,225,10,373
UCL122022,13,275,27,391
UCL122023,17,296,33,440
UCL122024,23,207,19,299
UCL122025,10,341,24,443
UCL122026,9,188,30,260
UCL122027,11,144,9,190
UCL122028,13,329,19,393
UCL122029,16,156,14,233
UCL122030,19,284,23,407
UCL122031,4,228,4,248
UCL122032,19,282,37,436
UCL122033,4,165,14,212
UCL122034,5,189,13,239
UCL122035,11,183,3,215
UCL122036,9,302,24,443
UCL122037,7,342,20,388
UCL122038,14,227,25,334
UCL122039,20,266,47,443
UCL122040,12,219,22,299
UCL122041,18,277,17,372
UCL122042,18,147,15,274
UCL122043,12,264,17,338
UCL122044,4,215,18,273
UCL122045,20,289,32,454
UCL122046,17,122,16,265
UCL122047,9,242,25,320
UCL122048,10,198,23,278
UCL122049,5,242,16,291
UCL122050,18,279,13,377
UCL122051,16,144,26,233
UCL122052,10,227,30,299
UCL122053,11,315,40,445
UCL122054,25,229,26,464
UCL122055,4,254,13,300
UCL122056,7,202,9,278
UCL122057,17,275,27,408
UCL122058,23,318,28,489
UCL122059,15,346,37,452
UCL122060,9,301,43,398
UCL122061,14,357,23,472
UCL122062,4,193,6,211
UCL122063,9,222,6,288
UCL122064,4,279,17,319
UCL122065,3,323,22,373
UCL122066,36,254,22,399
UCL122067,14,353,31,477
UCL122068,21,255,8,368
UCL122069,14,244,29,328
UCL122070,8,244,25,310
UCL122071,15,312,27,446
UCL122072,0,134,49,201
UCL122073,15,181,24,300
UCL122074,17,133,9,225
UCL122075,7,135,12,207
UCL122076,14,263,33,348
UCL122077,5,177,28,260
UCL122078,10,175,27,273
UCL122079,23,291,6,391
UCL122080,15,166,4,241
UCL122081,4,290,36,364
UCL122082,25,190,9,308
UCL122083,24,101,23,242
UCL122084,22,165,7,270
UCL122085,12,379,24,475
UCL122086,17,248,11,364
UCL122087,29,241,16,397
UCL122088,4,175,12,212
UCL122089,18,243,19,363
UCL122090,12,391,33,466
UCL122091,7,147,14,213
UCL122092,3,248,9,295
UCL122093,15,181,13,240
UCL122094,10,246,8,298
UCL122095,8,358,42,451
UCL122096,5,196,16,259
UCL122097,9,272,13,327
UCL122098,15,257,16,413
UCL122099,8,268,27,343
UCL122100,16,294,12,360
UCL122101,20,391,40,487
UCL122102,16,261,15,336
UCL122103,8,182,8,237
UCL122104,17,317,20,427
UCL122105,3,169,20,253
UCL122106,3,198,9,232
UCL122107,19,256,73,465
UCL122108,21,169,0,231
UCL122109,19,261,21,423
UCL122110,20,267,22,374
UCL122111,9,202,16,271
UCL122112,7,189,10,239
UCL122113,30,206,5,451
UCL122114,28,144,10,280
UCL122115,14,209,12,251
UCL122116,9,295,24,374
UCL122117,21,106,18,200
UCL122118,5,65,29,150
UCL122119,11,385,13,469
UCL122120,12,205,17,311
UCL122121,13,161,9,235
UCL122122,26,365,23,490
UCL122123,4,146,6,213
UCL122124,15,294,19,405
UCL122125,17,224,29,311
UCL122126,3,175,17,260
UCL122127,7,268,10,341
UCL122128,15,334,19,428
UCL122129,6,243,14,306
UCL122130,12,200,3,270
UCL122131,25,312,13,414
UCL122132,8,213,27,281
UCL122133,41,294,13,469
UCL122134,3,185,16,250
UCL122135,10,160,6,232
UCL122136,8,121,3,197
UCL122137,18,215,40,338
UCL122138,8,212,22,283
UCL122139,3,171,23,231
UCL122140,4,201,8,241
UCL122141,14,170,11,226
UCL122142,17,135,248,467
UCL122143,25,325,23,473
UCL122144,6,182,29,277
UCL122145,9,192,19,304
UCL122146,0,223,0,227
UCL122147,5,241,21,288
UCL122148,10,305,28,392
UCL122149,4,221,33,285
UCL122150,8,165,16,207
UCL122151,17,232,38,385
UCL122152,13,176,8,250
UCL122153,10,121,30,219
UCL122154,15,336,26,437
UCL122155,4,256,25,318
UCL122156,11,233,23,296
UCL122157,4,167,23,224
UCL122158,12,181,11,226
UCL122159,20,319,13,483
UCL122160,15,305,29,379
UCL122161,21,228,44,386
UCL122162,22,236,32,363
UCL122163,18,226,22,320
UCL122164,7,199,9,269
UCL122165,11,388,29,492
UCL122166,23,259,35,401
UCL122167,34,284,20,420
UCL122168,25,317,5,473
UCL122169,11,232,12,293
UCL131777,21100,365736,34220,520597
UCL179997,9,44,8,119
UCL199994,512,5475,2883,12918
