region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL101001,11966,1904,2658,25,17,16570,4486,717,1040,11,4,6258,4163,648,916,8,4,5739,7400,1149,1740,11,9,10309,9850,1609,2621,24,19,14123,29038,5063,9069,67,42,43279,33540,6622,12500,60,46,52768,62785,11811,21204,103,77,95980,43867,8168,13314,44,51,65444,50641,9600,11630,59,48,71978,44643,8625,6793,80,42,60183,17817,2707,3213,43,15,23795,320196,58623,86698,535,374,466426
UCL102001,119,21,15,0,0,155,59,12,12,0,0,83,55,10,7,0,0,72,113,26,26,0,0,165,148,26,33,0,0,207,420,98,115,0,0,633,505,123,137,0,0,765,816,230,106,0,3,1155,636,117,26,0,3,782,611,45,14,0,0,670,323,19,8,0,0,350,201,20,11,0,0,232,4006,747,510,0,6,5269
UCL102002,1254,120,68,3,0,1445,678,63,36,0,4,781,659,57,21,3,0,740,1192,86,42,5,0,1325,1610,130,44,3,4,1791,4558,340,166,10,6,5080,5794,462,189,8,4,6457,9202,458,166,5,3,9834,4368,180,47,3,3,4601,2715,112,31,0,3,2861,1362,47,16,7,0,1432,1851,98,42,3,3,1997,35243,2153,868,50,30,38344
UCL102003,207,56,30,0,0,293,97,29,21,0,0,147,90,22,17,3,0,132,159,46,18,4,0,227,239,55,31,3,0,328,571,135,79,12,0,797,597,143,85,0,0,825,898,242,104,3,0,1247,625,76,23,0,3,727,511,32,13,3,0,559,259,12,19,0,3,293,272,48,31,0,3,354,4525,896,471,28,9,5929
UCL102004,1423,80,46,0,0,1549,756,31,27,4,0,818,704,46,27,3,0,780,1481,81,40,0,0,1602,1983,95,66,3,3,2150,5166,249,213,8,5,5641,5937,324,231,8,0,6500,9013,389,297,8,5,9712,4257,146,106,3,0,4512,2802,129,69,3,3,3006,1476,66,69,7,0,1618,1646,103,56,3,3,1811,36644,1739,1247,50,19,39699
UCL103001,827,83,63,0,0,973,509,39,31,0,0,579,420,40,36,0,0,496,818,90,70,3,5,986,1205,102,92,3,0,1402,3116,342,308,7,0,3773,3752,415,378,7,0,4552,6119,566,347,7,0,7039,3526,210,128,3,0,3867,2582,131,112,3,3,2831,1138,61,67,0,0,1266,1204,77,52,3,0,1336,25216,2156,1684,36,8,29100
UCL111001,208,8,11,0,0,227,138,8,18,0,0,164,134,6,20,0,0,160,278,15,31,0,0,324,420,20,68,3,0,511,1220,33,105,3,0,1361,1234,37,43,0,0,1314,1064,12,17,0,0,1093,292,9,4,0,0,305,178,0,4,0,0,182,112,4,3,0,0,119,296,8,14,0,0,318,5574,160,338,6,0,6078
UCL111002,298,11,3,3,0,315,192,5,5,0,0,202,164,0,5,0,0,169,335,10,6,0,0,351,488,14,16,0,0,518,1398,49,21,0,0,1468,1818,59,23,0,0,1900,2356,46,5,8,0,2415,881,10,3,3,0,897,580,7,0,0,0,587,231,0,3,4,0,238,394,9,8,0,0,411,9135,220,98,18,0,9471
UCL112001,106,4,3,0,0,113,72,7,4,0,0,83,78,6,5,0,0,89,130,11,9,0,0,150,198,19,8,0,0,225,652,31,14,0,0,697,737,29,17,0,0,783,871,20,8,0,0,899,311,3,3,0,0,317,164,0,3,0,0,167,75,0,3,0,0,78,157,3,6,0,0,166,3551,133,83,0,0,3767
UCL112002,161,11,0,0,0,172,103,3,0,0,0,106,108,3,0,0,0,111,196,3,5,0,0,204,199,4,3,0,0,206,600,18,4,0,0,622,713,12,5,0,0,730,959,19,0,0,0,978,426,10,3,0,0,439,258,14,0,0,0,272,122,5,3,0,0,130,177,3,0,3,0,183,4022,105,23,3,0,4153
