region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL101001,9917,11914,21831,10815,9164,19979,6953,26112,33065,12051,53453,65504,59650,36774,96424,60864,31523,92387,61300,27864,89164,67213,30033,97246,66842,24657,91499,118591,34215,152806,107187,7487,114674,101513,32894,134407,76363,3592,79955,40213,1881,42094,75447,3560,79007,94781,11440,106221,16458,15085,31543,986158,361648,1347806
UCL102001,34,65,99,48,61,109,52,237,289,81,635,716,428,405,833,417,403,820,415,405,820,558,465,1023,591,420,1011,1237,530,1767,1251,73,1324,1001,285,1286,901,22,923,459,10,469,802,14,816,830,65,895,137,160,297,9242,4255,13497
UCL102002,459,625,1084,826,842,1668,572,2937,3509,1077,8335,9412,8109,5726,13835,7593,3546,11139,7014,2495,9509,6789,2084,8873,6440,1358,7798,10347,1683,12030,7936,277,8213,5365,817,6182,3642,69,3711,1437,25,1462,1723,25,1748,7819,485,8304,1622,2047,3669,78770,33376,112146
UCL102003,115,159,274,194,204,398,89,716,805,257,1916,2173,1985,1534,3519,1835,859,2694,1646,587,2233,1370,447,1817,1336,248,1584,1689,320,2009,1208,45,1253,666,134,800,407,9,416,160,4,164,224,7,231,1441,139,1580,370,492,862,14992,7820,22812
UCL102004,432,625,1057,698,845,1543,478,3225,3703,1035,8691,9726,7235,4954,12189,6905,3598,10503,6384,2692,9076,6301,2652,8953,6036,1896,7932,10680,2485,13165,8953,556,9509,6934,1434,8368,5189,180,5369,2188,91,2279,2920,94,3014,7749,1019,8768,1398,1813,3211,81515,36850,118365
UCL103001,504,730,1234,746,849,1595,469,2806,3275,1027,6326,7353,6760,3429,10189,5659,2339,7998,5164,1813,6977,4887,1714,6601,4719,1272,5991,8377,1589,9966,6929,261,7190,5146,892,6038,3764,96,3860,1494,32,1526,1974,36,2010,6053,528,6581,1247,1357,2604,64919,26069,90988
UCL111001,68,117,185,126,157,283,86,533,619,226,1264,1490,1080,970,2050,1043,835,1878,1011,582,1593,1059,466,1525,975,316,1291,1686,359,2045,1365,75,1440,707,163,870,483,20,503,168,7,175,235,6,241,1051,134,1185,234,322,556,11603,6326,17929
UCL111002,89,111,200,138,140,278,105,484,589,257,1469,1726,1605,778,2383,1498,613,2111,1375,442,1817,1425,490,1915,1378,309,1687,2533,393,2926,2063,57,2120,1710,254,1964,1094,15,1109,479,11,490,554,16,570,1654,81,1735,328,294,622,18285,5957,24242
UCL112001,34,52,86,66,90,156,50,307,357,108,713,821,675,493,1168,658,389,1047,629,303,932,616,294,910,628,200,828,1080,238,1318,920,44,964,583,129,712,418,8,426,135,7,142,188,7,195,678,77,755,145,166,311,7611,3517,11128
UCL112002,31,72,103,57,126,183,47,341,388,120,840,960,585,679,1264,663,431,1094,672,333,1005,664,273,937,607,198,805,939,277,1216,743,29,772,557,144,701,386,5,391,124,0,124,154,0,154,728,60,788,93,147,240,7170,3955,11125
UCL112003,31,40,71,52,59,111,33,213,246,100,616,716,629,281,910,537,193,730,440,160,600,419,121,540,376,77,453,602,92,694,432,4,436,366,70,436,250,0,250,82,0,82,102,0,102,465,30,495,112,144,256,5028,2100,7128
UCL112004,77,102,179,132,126,258,87,614,701,194,1440,1634,1434,1030,2464,1397,676,2073,1227,484,1711,1262,348,1610,1058,208,1266,1504,243,1747,1061,53,1114,555,112,667,355,14,369,155,5,160,164,5,169,1033,97,1130,229,316,545,11924,5873,17797
UCL112005,41,59,100,79,89,168,64,324,388,132,761,893,742,512,1254,702,460,1162,742,325,1067,741,268,1009,676,237,913,1152,223,1375,890,52,942,490,92,582,331,9,340,115,4,119,176,7,183,941,81,1022,206,200,406,8220,3703,11923
UCL112006,23,41,64,62,78,140,48,274,322,122,676,798,587,434,1021,509,305,814,483,207,690,488,202,690,446,136,582,754,147,901,606,7,613,330,57,387,232,4,236,77,0,77,96,4,100,512,27,539,124,153,277,5499,2752,8251
UCL112007,29,66,95,73,102,175,57,409,466,158,913,1071,824,683,1507,813,459,1272,731,315,1046,783,248,1031,680,176,856,922,163,1085,538,31,569,288,68,356,180,3,183,61,0,61,75,3,78,560,112,672,112,146,258,6884,3897,10781
UCL112008,9,3,12,6,5,11,3,16,19,13,33,46,45,24,69,50,22,72,47,18,65,56,18,74,46,12,58,84,9,93,53,0,53,32,3,35,28,0,28,9,0,9,11,0,11,58,4,62,17,5,22,567,172,739
UCL112009,36,58,94,78,114,192,68,366,434,145,860,1005,931,577,1508,870,425,1295,749,256,1005,718,204,922,651,125,776,884,124,1008,615,34,649,314,47,361,204,5,209,81,0,81,64,0,64,671,54,725,146,174,320,7225,3423,10648
UCL112010,46,69,115,74,124,198,72,355,427,142,891,1033,754,548,1302,684,464,1148,635,342,977,720,302,1022,705,235,940,1211,272,1483,941,49,990,697,159,856,472,18,490,203,7,210,274,21,295,841,76,917,205,240,445,8676,4172,12848
UCL112011,72,93,165,138,152,290,74,558,632,187,1394,1581,1513,986,2499,1407,631,2038,1314,414,1728,1052,295,1347,981,163,1144,1269,232,1501,876,34,910,611,132,743,433,3,436,141,5,146,198,3,201,1024,60,1084,213,337,550,11503,5492,16995
UCL112012,36,75,111,89,97,186,94,384,478,180,970,1150,967,732,1699,989,543,1532,908,350,1258,921,305,1226,881,208,1089,1218,235,1453,932,43,975,490,114,604,318,9,327,105,5,110,146,4,150,830,59,889,210,267,477,9314,4400,13714
UCL112013,60,93,153,121,135,256,90,492,582,200,1100,1300,1028,755,1783,986,726,1712,977,515,1492,1086,465,1551,1071,323,1394,1784,398,2182,1410,84,1494,831,160,991,604,22,626,186,11,197,277,6,283,1187,161,1348,209,263,472,12107,5709,17816
UCL113001,19,63,82,54,90,144,38,240,278,87,511,598,429,413,842,464,327,791,429,231,660,429,179,608,376,130,506,587,144,731,419,24,443,272,68,340,199,4,203,72,0,72,80,0,80,432,72,504,89,109,198,4475,2605,7080
UCL113002,29,45,74,51,72,123,19,244,263,70,700,770,536,509,1045,585,288,873,541,188,729,401,152,553,373,103,476,506,114,620,294,15,309,138,54,192,110,5,115,30,0,30,56,0,56,395,51,446,98,172,270,4232,2712,6944
UCL113003,17,25,42,39,47,86,24,149,173,58,397,455,510,300,810,453,173,626,392,103,495,307,78,385,239,65,304,243,37,280,158,7,165,84,25,109,54,4,58,15,4,19,21,0,21,281,13,294,83,95,178,2978,1522,4500
UCL113004,43,54,97,55,51,106,33,158,191,54,501,555,415,407,822,444,267,711,537,193,730,437,164,601,457,111,568,681,130,811,495,14,509,418,93,511,276,0,276,125,3,128,192,4,196,595,18,613,95,122,217,5352,2290,7642
UCL113005,32,38,70,59,63,122,39,287,326,117,851,968,710,315,1025,576,239,815,454,158,612,377,152,529,328,95,423,501,136,637,370,18,388,218,75,293,201,3,204,57,0,57,67,0,67,491,27,518,163,190,353,4760,2647,7407
UCL113006,8,6,14,17,8,25,8,34,42,20,152,172,170,104,274,133,64,197,134,36,170,98,26,124,104,18,122,133,16,149,87,5,92,42,15,57,43,3,46,13,0,13,10,0,10,101,10,111,22,45,67,1143,542,1685
UCL113007,36,45,81,95,73,168,39,305,344,107,830,937,945,643,1588,845,352,1197,671,171,842,419,101,520,404,58,462,434,78,512,262,11,273,168,41,209,111,0,111,43,3,46,58,0,58,431,33,464,131,230,361,5199,2974,8173
UCL113008,30,27,57,48,65,113,52,245,297,92,583,675,596,435,1031,533,247,780,473,130,603,443,106,549,358,72,430,456,73,529,275,7,282,133,29,162,103,0,103,22,0,22,52,0,52,408,27,435,122,162,284,4196,2208,6404
UCL113009,33,40,73,68,49,117,50,173,223,80,364,444,425,250,675,401,227,628,359,168,527,400,132,532,428,81,509,624,91,715,444,17,461,252,35,287,167,3,170,73,4,77,69,0,69,385,24,409,126,130,256,4384,1788,6172
UCL113010,14,16,30,27,40,67,38,165,203,73,428,501,417,222,639,352,129,481,296,70,366,268,62,330,179,23,202,240,25,265,112,0,112,55,15,70,22,4,26,9,0,9,25,0,25,245,16,261,83,66,149,2455,1281,3736
UCL113011,10,21,31,36,23,59,15,103,118,43,257,300,278,206,484,336,127,463,342,92,434,254,82,336,289,43,332,455,77,532,381,11,392,316,54,370,254,3,257,105,0,105,149,0,149,395,16,411,54,56,110,3712,1171,4883
UCL113012,9,26,35,41,21,62,40,150,190,85,415,500,447,179,626,397,157,554,308,95,403,331,84,415,303,46,349,437,69,506,298,5,303,185,39,224,122,3,125,49,0,49,33,0,33,323,14,337,95,116,211,3503,1419,4922
UCL113013,17,21,38,45,52,97,39,204,243,69,463,532,407,282,689,326,176,502,269,94,363,225,106,331,175,67,242,319,76,395,205,10,215,192,52,244,152,0,152,70,0,70,46,4,50,242,7,249,66,104,170,2864,1718,4582
UCL113014,32,35,67,64,44,108,27,144,171,58,462,520,516,374,890,511,184,695,457,149,606,351,104,455,334,75,409,554,89,643,426,11,437,259,45,304,182,0,182,77,0,77,100,3,103,478,41,519,110,92,202,4536,1852,6388
UCL113015,7,21,28,22,30,52,27,84,111,44,203,247,218,117,335,207,107,314,172,92,264,187,101,288,184,79,263,301,115,416,293,9,302,377,111,488,243,10,253,96,5,101,131,12,143,249,20,269,56,70,126,2814,1186,4000
UCL113016,29,20,49,31,23,54,15,116,131,32,275,307,323,212,535,327,152,479,324,89,413,260,85,345,252,44,296,363,68,431,287,8,295,198,34,232,133,3,136,50,0,50,61,3,64,294,21,315,56,57,113,3035,1210,4245
UCL113017,12,17,29,32,41,73,32,118,150,59,356,415,268,189,457,257,118,375,225,71,296,259,69,328,197,53,250,309,62,371,222,9,231,144,34,178,109,6,115,38,0,38,39,0,39,271,10,281,71,69,140,2544,1222,3766
UCL113018,7,21,28,35,40,75,36,143,179,72,369,441,411,164,575,342,150,492,302,116,418,317,123,440,318,59,377,515,58,573,357,15,372,175,22,197,109,3,112,38,0,38,50,3,53,327,23,350,88,77,165,3499,1386,4885
UCL113019,16,26,42,31,41,72,31,105,136,53,238,291,231,119,350,193,115,308,199,99,298,202,77,279,232,74,306,435,135,570,331,18,349,536,181,717,350,21,371,165,6,171,210,19,229,328,24,352,66,80,146,3609,1378,4987
