region_id,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL101001,36663,90203,247997,239370,208003,133014,31521,3712,481,990964,46,124,282,359,479,314,141,31,6,1782,8,58,236,190,156,61,9,3,0,721,1130,2808,10445,12863,13378,6893,906,85,11,48519,25,200,1040,1198,826,380,43,5,0,3717,263,1233,4182,5032,3866,2183,408,34,6,17207,580,2751,10466,10627,8805,4428,721,75,11,38464,12085,16997,20648,17737,17413,10256,1830,174,17,97157,11599,10830,11774,8058,8082,4002,590,69,14,55018,327,1645,5760,6634,6242,3013,385,32,4,24042,729,2668,8470,6228,3780,1750,327,34,3,23989,632,5373,22398,17835,10841,4808,637,72,15,62611,705,1816,4170,3499,2846,1814,496,93,14,15453,1267,8291,26655,21174,14665,7841,1633,141,8,81675,602,3320,9626,7980,6875,4010,676,43,0,33132,421,2700,11116,11551,11225,6332,811,60,4,44220,1907,6482,20456,22154,25219,17386,2649,194,15,96462,2987,12713,32823,34042,38490,25292,4562,267,26,151202,1165,2068,3459,2977,2305,1239,325,53,4,13595,1600,3703,7294,6745,5812,3339,674,47,4,29218
UCL102001,558,1019,2348,2611,2304,1314,237,16,0,10407,0,0,4,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,18,19,46,46,51,35,10,3,0,228,6,4,14,18,32,8,3,0,0,85,4,21,40,58,49,26,5,0,0,203,3,20,21,36,37,23,3,0,0,143,236,148,191,200,160,87,14,3,0,1039,139,88,117,87,84,53,3,0,0,571,3,19,49,43,36,22,0,0,0,172,6,12,34,38,31,12,5,0,0,138,7,33,54,38,38,16,3,0,0,189,14,43,41,30,27,23,3,0,0,181,18,66,158,151,100,65,10,0,0,568,7,22,50,87,90,59,5,0,0,320,30,191,761,877,710,220,14,0,0,2803,12,50,154,203,196,98,13,3,0,729,51,132,323,337,329,226,24,0,0,1422,16,13,37,36,23,14,0,0,0,139,33,57,72,66,62,39,5,0,0,334
UCL102002,3995,6089,12140,14932,15297,10329,2120,218,31,65151,5,10,19,34,47,34,19,3,0,171,0,6,16,13,7,11,0,0,0,53,135,201,467,734,747,405,53,7,0,2749,5,17,47,65,56,34,3,0,0,227,33,69,264,366,355,218,38,0,0,1343,29,89,283,391,394,223,36,0,5,1450,1562,1304,1438,1728,2026,1057,157,14,0,9286,1593,883,713,831,812,414,44,7,0,5297,12,43,131,232,306,173,32,0,0,929,65,99,172,191,210,131,20,0,0,888,37,229,544,596,557,304,26,5,0,2298,92,121,216,258,266,133,34,6,0,1126,86,270,732,835,721,452,105,9,0,3210,47,210,455,549,607,319,49,0,0,2236,39,140,776,959,871,439,43,0,0,3267,105,362,1120,1476,1855,1163,132,8,0,6221,286,957,2256,3291,4427,2722,337,15,0,14291,80,121,149,208,162,85,29,3,0,837,160,296,459,595,461,321,42,6,0,2340
UCL102003,729,835,1784,2397,2580,1825,386,54,5,10595,0,3,5,4,9,12,3,0,0,36,0,3,4,3,7,3,0,0,0,20,26,11,42,70,95,49,11,0,0,304,0,0,4,10,10,5,0,0,0,29,10,11,54,86,82,37,7,0,0,287,6,14,46,51,59,23,4,0,0,203,321,228,247,297,347,208,30,0,0,1678,292,185,215,223,282,192,20,4,0,1413,3,10,31,39,57,29,10,0,0,179,10,10,17,18,23,12,3,0,0,93,10,18,44,74,69,38,8,0,0,261,19,29,50,51,53,39,9,4,0,254,11,35,107,137,107,64,15,3,0,479,5,25,57,97,107,77,15,0,0,383,3,10,81,145,152,78,6,3,0,478,4,31,168,297,344,212,15,3,0,1074,36,130,361,571,849,511,52,4,0,2514,15,14,35,30,34,16,4,0,0,148,23,35,69,82,70,47,6,3,0,335
UCL102004,4534,7801,15988,16479,16250,10967,2049,236,21,74325,3,9,17,17,31,16,4,3,0,100,3,27,81,80,45,22,6,0,0,264,180,218,470,628,617,298,53,3,0,2467,6,40,183,202,156,52,0,0,0,639,31,115,272,352,328,177,40,0,0,1315,50,108,242,297,316,185,28,4,0,1230,1796,1767,1650,1713,1643,935,117,16,3,9640,1796,1302,864,762,688,418,54,9,0,5893,19,85,245,296,296,170,28,5,0,1144,51,103,180,151,123,78,12,0,0,698,45,384,960,829,681,255,24,3,0,3181,96,136,232,220,212,123,22,13,4,1058,115,455,1132,980,751,449,86,4,0,3972,63,207,492,504,568,347,50,4,0,2235,33,205,860,1125,1028,472,33,3,0,3759,120,495,1698,2051,2539,1628,164,18,0,8713,273,1343,3317,3889,4824,2767,310,20,0,16743,119,145,179,154,146,82,24,3,0,852,195,351,528,506,437,290,52,4,0,2363
UCL103001,3120,5640,11899,13101,13123,7965,1303,137,12,56300,6,4,10,20,23,12,3,4,0,82,0,20,60,54,24,17,0,0,0,175,101,125,306,437,399,217,23,0,0,1608,0,6,41,57,48,24,0,0,3,179,23,62,181,238,190,98,17,3,0,812,24,77,183,204,193,90,13,0,0,784,992,1115,1240,1417,1371,627,80,5,3,6850,1300,926,646,542,724,290,37,3,0,4468,29,71,164,241,220,107,13,4,0,849,35,86,146,125,91,48,6,0,0,537,30,259,748,733,504,206,13,0,0,2493,73,123,185,186,174,74,11,3,0,829,78,267,589,603,432,246,47,3,3,2268,47,192,369,446,500,270,38,3,0,1865,25,139,758,988,834,350,28,4,0,3126,140,438,1411,1718,2053,1261,111,6,0,7138,232,967,2185,2766,3263,1704,170,11,0,11298,77,104,126,125,145,71,17,0,0,665,130,250,421,447,376,186,36,5,0,1851
UCL111001,671,1188,2361,2292,2308,1731,353,41,0,10945,0,4,5,6,8,7,3,0,5,38,0,0,3,4,0,0,0,0,0,7,44,51,99,139,151,73,11,0,0,568,0,0,4,13,9,0,0,0,0,26,3,19,44,54,53,33,8,0,0,214,5,17,30,54,43,31,5,0,0,185,312,284,282,258,266,160,26,0,0,1588,275,210,176,149,146,91,10,0,0,1057,7,16,25,37,56,44,5,3,0,193,8,20,32,30,19,9,7,0,0,125,4,28,81,82,63,24,3,0,0,285,12,19,25,21,27,33,3,3,0,143,14,52,109,97,94,64,15,0,0,445,5,13,48,65,82,64,7,0,0,284,18,65,162,235,211,120,12,0,0,823,22,85,253,311,395,216,25,3,0,1310,40,205,496,484,654,423,36,3,0,2341,25,17,27,16,16,13,0,0,0,114,33,57,82,88,69,52,8,3,0,392
UCL111002,1085,1705,3691,3865,3554,2309,369,42,0,16620,0,8,7,14,27,13,3,3,5,80,3,17,64,47,21,3,3,0,0,158,55,64,174,212,200,87,9,0,0,801,0,4,35,38,19,7,0,0,0,103,10,26,94,116,77,35,11,0,0,369,11,26,50,58,62,34,4,0,0,245,386,342,414,453,402,216,20,0,0,2233,440,241,191,197,161,80,6,3,0,1319,5,23,54,78,77,49,9,0,0,295,12,16,18,28,19,18,4,0,0,115,15,51,124,134,92,34,3,0,0,453,12,36,60,59,40,26,3,0,0,236,23,67,194,173,131,87,11,3,0,689,15,40,108,160,149,86,12,0,0,570,5,39,198,240,227,76,8,0,0,793,21,81,291,407,445,265,22,3,0,1535,69,236,608,772,849,437,47,3,0,3021,20,20,32,38,36,17,4,0,0,167,41,84,128,134,114,60,11,0,0,572
UCL112001,489,929,1515,1563,1511,1086,231,30,0,7354,3,4,6,5,6,10,9,3,0,46,0,3,3,3,0,0,3,0,0,12,31,46,69,70,106,54,4,0,0,380,0,4,40,31,21,15,0,0,0,111,3,3,15,24,26,17,4,0,0,92,5,14,15,27,7,7,0,0,0,75,193,204,192,162,158,107,8,0,0,1024,168,159,90,92,97,44,11,3,0,664,3,13,17,21,30,18,0,3,0,105,9,31,38,24,12,3,0,0,0,117,4,10,31,34,35,18,3,3,0,138,3,10,11,26,21,9,5,3,0,88,15,41,70,54,42,32,3,0,0,257,5,22,35,45,45,32,0,0,0,184,5,31,97,138,119,78,9,0,0,477,16,83,189,310,353,191,16,3,0,1161,29,154,260,301,357,252,30,0,0,1383,8,13,12,11,6,6,0,0,0,56,13,23,48,54,45,21,6,3,0,213
UCL112002,280,403,864,1475,1602,1344,298,34,4,6304,0,3,5,5,5,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,11,7,28,49,46,33,10,3,0,187,0,3,3,8,9,0,0,0,0,23,4,3,12,18,24,11,0,0,0,72,7,3,16,23,30,10,4,3,0,96,92,91,108,115,127,120,29,3,0,685,92,93,104,101,98,60,10,0,0,558,0,3,14,17,37,29,5,0,0,105,3,0,13,25,30,26,3,0,0,100,0,4,20,32,31,22,3,3,0,115,6,11,11,28,30,18,0,0,0,104,9,6,40,104,91,65,18,3,0,336,6,9,24,42,54,34,5,3,0,177,4,7,61,134,132,86,13,0,0,437,9,30,124,232,348,301,37,0,5,1086,16,53,195,340,472,368,59,3,0,1506,14,8,12,32,38,29,10,0,0,143,10,15,19,49,50,36,0,0,0,179
