region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL101001,1415,6936,65254,346071,268457,66369,13927,11652,780081,718,5575,25594,32989,5615,797,221,1771,73280,498,4849,25294,54664,15517,1958,513,1883,105176,1216,10424,50888,87653,21132,2755,734,3654,178456,2571,18935,50481,12659,1362,195,157,3102,89462,1994,19636,93504,17274,681,152,118,2974,136333,5572,35591,85995,22741,868,105,142,2993,154007,128,865,669,429,213,46,19,86,2455,10265,75027,230649,53103,3124,498,436,9155,382257,202,1183,1900,1069,287,57,42,187,4927,70,418,873,450,141,33,26,73,2084,13168,93988,349564,488346,293141,69712,15165,24721,1347805
UCL102001,6,57,555,3769,3564,658,150,122,8881,8,96,729,525,42,0,3,28,1431,0,13,378,301,23,4,3,5,727,8,109,1107,826,65,4,6,33,2158,27,454,599,66,5,0,0,43,1194,6,193,562,6,4,0,0,17,788,0,79,244,37,0,0,0,7,367,0,9,11,8,3,0,0,0,31,33,735,1416,117,12,0,0,67,2380,10,13,10,12,6,0,3,11,65,0,5,3,4,0,0,0,0,12,57,919,3091,4728,3647,662,159,233,13496
UCL102002,127,1437,11392,39778,27921,5404,1060,1360,88479,35,500,3753,3721,313,37,11,290,8660,31,235,1440,2694,438,92,18,121,5069,66,735,5193,6415,751,129,29,411,13729,44,1101,2714,1292,75,13,8,265,5512,28,105,891,267,21,3,0,36,1351,4,101,988,324,19,0,4,29,1469,13,90,61,39,10,0,0,14,227,89,1397,4654,1922,125,16,12,344,8559,78,425,548,103,22,0,4,72,1252,0,16,68,29,6,0,0,4,123,360,4010,21855,48247,28825,5549,1105,2191,112142
UCL102003,15,117,1642,6175,4109,731,120,218,13127,12,156,1383,1677,63,3,4,110,3408,29,167,468,884,61,7,9,52,1677,41,323,1851,2561,124,10,13,162,5085,12,266,1075,576,11,3,3,78,2024,3,65,684,283,10,0,0,29,1074,0,14,308,147,6,0,0,16,491,4,19,14,11,4,3,0,3,58,19,364,2081,1017,31,6,3,126,3647,50,412,347,34,16,0,4,61,924,0,9,12,7,3,0,0,0,31,125,1225,5933,9794,4283,747,140,567,22814
UCL102004,114,1169,14982,48094,23549,4189,814,1364,94275,51,918,3857,1870,141,23,9,215,7084,13,302,1731,2193,233,47,13,113,4645,64,1220,5588,4063,374,70,22,328,11729,158,2434,3438,1125,72,12,26,334,7599,37,392,1237,334,12,0,3,112,2127,20,254,832,508,25,3,3,28,1673,11,85,34,22,8,0,3,5,168,226,3165,5541,1989,117,15,35,479,11567,31,189,302,75,22,8,5,50,682,6,34,39,17,5,0,3,4,108,441,5777,26452,54238,24067,4282,879,2225,118361
UCL103001,73,660,6376,34202,19835,3810,689,986,66631,37,376,2418,2029,169,12,3,177,5221,11,225,2019,2675,280,33,4,102,5349,48,601,4437,4704,449,45,7,279,10570,86,1567,3702,916,91,54,9,216,6641,33,424,2042,316,12,3,0,97,2927,27,277,1644,879,32,3,3,63,2928,8,62,48,27,7,3,0,8,163,154,2330,7436,2138,142,63,12,384,12659,32,230,582,115,30,8,8,70,1075,3,9,19,15,0,0,3,0,49,310,3830,18850,41174,20456,3926,719,1719,90984
UCL111001,14,84,1443,7456,3926,503,90,213,13729,3,63,619,221,6,0,3,32,947,0,9,42,55,0,0,0,0,106,3,72,661,276,6,0,3,32,1053,37,444,1928,343,18,3,3,133,2909,4,13,75,0,0,0,0,6,98,0,0,20,3,0,0,0,0,23,0,5,4,3,0,0,0,0,12,41,462,2027,349,18,3,3,139,3042,14,31,20,17,4,0,0,4,90,0,0,4,6,3,0,0,0,13,72,649,4155,8104,3957,506,96,388,17927
UCL111002,19,133,1702,10517,7545,1028,147,257,21348,3,113,685,359,33,0,0,35,1228,0,45,151,55,19,7,0,8,285,3,158,836,414,52,7,0,43,1513,10,387,526,215,23,3,3,53,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,13,10,393,533,215,23,3,3,53,1233,18,38,50,15,3,0,0,13,137,0,0,3,3,0,0,0,0,6,50,722,3124,11164,7623,1038,150,366,24237
UCL112001,13,71,819,4203,3231,589,100,158,9184,8,92,383,255,23,3,0,39,803,10,19,43,75,35,5,4,5,196,18,111,426,330,58,8,4,44,999,26,135,518,95,9,5,0,29,817,0,3,29,0,0,0,0,4,36,0,0,4,0,0,0,0,0,4,0,4,11,16,0,3,0,0,34,26,142,562,111,9,8,0,33,891,0,17,9,3,0,0,0,6,35,0,7,7,0,0,0,4,0,18,57,348,1823,4647,3298,605,108,241,11127
UCL112002,17,230,1811,4920,2281,459,121,160,9999,7,68,142,194,65,16,3,11,506,0,22,46,64,23,7,3,3,168,7,90,188,258,88,23,6,14,674,11,110,112,65,3,0,0,11,312,0,7,34,3,0,0,0,3,47,3,0,3,0,0,0,0,0,6,3,18,14,12,5,0,0,3,55,17,135,163,80,8,0,0,17,420,5,5,3,6,0,0,0,3,22,0,4,3,3,0,0,0,0,10,46,464,2168,5267,2377,482,127,194,11125
