region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL122003,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,7,3,0,0,0,16,0,3,7,0,5,0,0,0,15,0,0,3,0,3,0,0,0,6,0,0,4,14,12,8,0,0,38,0,3,3,0,0,3,0,0,9,0,3,10,14,15,11,0,0,53,0,0,0,0,0,0,0,0,0,3,0,0,9,3,9,6,3,33,6,12,17,30,26,20,6,3,120
UCL122004,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,3,0,3,0,0,3,0,9,0,0,3,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,3,6,7,10,10,0,0,0,36,0,0,0,0,0,0,0,0,0,3,6,7,10,10,0,0,0,36,0,0,0,0,0,0,0,0,0,3,3,0,6,3,4,11,0,30,6,12,10,22,19,7,17,0,93
UCL122005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,0,0,0,15,0,3,4,5,0,4,0,0,16,0,0,0,0,3,0,0,0,3,6,8,13,9,9,4,4,0,53,0,0,3,3,0,0,0,0,6,6,8,16,12,12,4,4,0,62,0,0,0,0,0,3,0,0,3,3,4,3,7,7,10,3,6,43,9,18,23,30,25,21,7,6,139
UCL122006,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,3,4,3,0,0,0,0,10,0,3,3,3,0,0,0,0,9,12,8,5,13,4,4,0,0,46,0,3,0,0,0,0,0,0,3,12,14,8,16,4,4,0,0,58,3,0,0,0,0,0,0,0,3,0,3,0,6,7,3,6,0,25,15,23,17,28,11,7,6,0,107
UCL122007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,14,3,3,4,0,3,3,0,0,16,0,0,5,0,0,0,0,0,5,4,20,9,13,13,6,0,0,65,0,3,4,0,0,0,0,0,7,4,23,18,13,13,6,0,0,77,0,0,0,0,0,0,0,0,0,7,3,0,3,0,4,3,0,20,14,35,27,16,19,13,3,0,127
UCL122008,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,6,6,4,3,0,0,19,0,3,8,4,6,0,0,0,21,0,0,0,3,3,0,0,0,6,13,7,21,13,6,3,0,0,63,7,3,0,0,0,0,0,0,10,20,10,21,16,9,3,0,0,79,0,0,3,0,0,0,0,0,3,3,3,0,3,3,3,0,0,15,23,19,38,32,22,9,0,0,143
UCL122009,3,0,0,0,3,0,9,0,0,3,6,0,0,0,0,9,4,0,7,8,8,5,3,0,35,4,5,0,4,0,4,0,0,17,0,0,6,0,3,0,0,0,9,0,7,18,23,9,0,0,0,57,0,0,0,0,0,0,0,0,0,0,7,24,23,12,0,0,0,66,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,5,8,15,37,41,29,9,6,0,145
UCL122010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,6,3,0,0,12,0,3,0,3,0,0,3,0,9,6,6,3,6,3,4,3,0,31,3,3,3,0,0,0,0,0,9,9,12,6,9,3,4,6,0,49,0,3,0,0,0,0,0,0,3,3,3,4,6,6,3,3,0,28,12,21,13,15,15,10,9,0,95
UCL122011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,9,0,0,3,0,3,0,0,0,6,0,0,0,0,3,0,0,0,3,0,3,6,6,3,4,4,0,26,0,0,0,0,0,0,0,0,0,0,3,6,6,6,4,4,0,29,0,0,0,0,3,0,0,0,3,3,6,3,3,3,7,0,0,25,3,12,12,9,18,14,4,0,72
UCL122012,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,3,3,0,3,0,0,0,12,3,3,0,6,0,3,0,0,15,0,0,0,0,3,0,3,0,6,3,15,13,8,9,3,0,0,51,0,0,0,0,0,0,0,0,0,3,15,13,8,12,3,3,0,57,0,0,0,0,3,0,0,0,3,0,3,3,5,3,0,0,0,14,9,24,22,19,21,9,3,0,107
