region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL101001,1031,1585,5276,9663,18053,31257,33467,29394,14444,144170,224,912,3267,4596,7741,8594,8494,8277,2749,44854,12833,21748,48881,39382,36079,31976,27357,24895,16218,259369,112513,278900,627334,588395,525647,413206,253777,158128,69682,3027582
UCL102001,14,29,36,70,168,332,335,295,120,1399,0,3,10,10,11,21,46,52,16,169,106,161,377,326,350,279,229,205,112,2145,1061,2479,5538,5877,5275,3656,1927,1115,436,27364
UCL102002,136,140,337,601,1344,2457,2615,2898,1832,12360,16,13,29,72,92,141,139,128,80,710,979,854,1659,2255,2671,2679,3288,3937,2629,20951,9458,16458,31149,38296,40555,36274,28225,19850,8766,229031
UCL102003,20,37,70,112,230,477,828,839,494,3107,0,4,7,10,14,17,17,35,12,116,153,157,294,391,439,518,712,1090,577,4331,1552,2474,4924,6464,7372,7328,6719,5552,2224,44609
UCL102004,162,142,360,557,1300,2502,2715,3242,2121,13101,11,19,68,169,334,207,179,184,90,1261,831,1059,1895,2042,2463,2449,2681,3101,1964,18485,10102,21973,38818,40622,41983,37693,26204,17955,7813,243163
UCL103001,114,149,349,538,1333,2880,3481,3344,1556,13744,11,27,67,112,156,270,401,486,137,1667,707,949,1522,1636,1970,1999,2240,2549,1041,14613,8263,17566,30344,32865,33648,28055,20520,13914,5056,190231
UCL111001,46,40,111,110,209,404,468,487,297,2172,0,6,19,34,32,38,34,13,8,184,154,187,330,370,356,390,409,483,340,3019,1707,3353,5851,5855,5995,5395,3538,2409,1054,35157
UCL111002,40,42,100,183,380,615,635,631,340,2966,6,4,19,9,15,24,22,13,13,125,245,210,395,519,545,499,531,491,228,3663,2339,4174,8748,9470,8857,7626,4854,2886,1084,50038
UCL112001,22,16,40,67,140,240,271,271,144,1211,3,3,4,13,16,12,7,10,6,74,137,263,424,362,273,276,269,267,130,2401,1288,2897,3953,3996,3844,3284,2185,1503,569,23519
UCL112002,11,8,20,50,89,166,147,141,87,719,3,3,6,9,6,15,16,8,8,74,136,109,182,269,413,372,309,263,157,2210,787,1269,2503,3902,4485,4566,2806,1530,654,22502
