region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL101001,0,301186,301186,367736,41979,409715,223741,11694,235435,234676,4590,239266,104229,1477,105706,55778,719,56497,986160,361645,1347805
UCL102001,0,3844,3844,3775,341,4116,2096,55,2151,2137,10,2147,895,5,900,339,0,339,9242,4255,13497
UCL102002,0,30252,30252,35492,2731,38223,16326,303,16629,16465,69,16534,7173,16,7189,3314,5,3319,78770,33376,112146
UCL102003,0,6939,6939,8135,757,8892,2903,88,2991,2382,25,2407,1135,6,1141,436,5,441,14991,7820,22811
UCL102004,0,31627,31627,37830,3724,41554,17477,970,18447,16864,333,17197,6775,129,6904,2569,67,2636,81515,36850,118365
UCL103001,0,22716,22716,27838,2364,30202,14047,604,14651,14371,256,14627,6009,96,6105,2654,32,2686,64919,26068,90987
UCL111001,0,5505,5505,5611,633,6244,2431,132,2563,2242,43,2285,934,10,944,384,4,388,11602,6327,17929
UCL111002,0,5367,5367,7679,510,8189,4035,60,4095,4046,15,4061,1718,5,1723,807,0,807,18285,5957,24242
UCL112001,0,3016,3016,3435,347,3782,1579,98,1677,1538,43,1581,713,12,725,345,3,348,7610,3519,11129
UCL112002,0,3533,3533,3479,375,3854,1528,35,1563,1367,10,1377,541,0,541,255,3,258,7170,3956,11126
UCL112003,0,1898,1898,2232,173,2405,1133,23,1156,981,0,981,477,4,481,206,3,209,5029,2101,7130
UCL112004,0,5174,5174,5983,573,6556,2402,93,2495,2177,26,2203,936,8,944,427,0,427,11925,5874,17799
UCL112005,0,3294,3294,3640,342,3982,1731,45,1776,1588,15,1603,801,5,806,459,3,462,8219,3704,11923
UCL112006,0,2551,2551,2632,179,2811,1197,17,1214,1019,5,1024,450,0,450,199,0,199,5497,2752,8249
UCL112007,0,3267,3267,3320,449,3769,1438,118,1556,1294,43,1337,551,15,566,282,5,287,6885,3897,10782
UCL112008,0,155,155,247,13,260,116,4,120,120,0,120,47,0,47,34,0,34,564,172,736
UCL112009,0,3094,3094,3479,277,3756,1491,37,1528,1330,9,1339,629,7,636,295,0,295,7224,3424,10648
UCL112010,0,3737,3737,3841,339,4180,1801,64,1865,1761,30,1791,864,0,864,409,3,412,8676,4173,12849
UCL112011,0,5027,5027,6480,406,6886,2065,53,2118,1867,3,1870,756,4,760,335,0,335,11503,5493,16996
UCL112012,0,3968,3968,4463,365,4828,2006,48,2054,1719,15,1734,775,3,778,352,0,352,9315,4399,13714
UCL112013,0,4845,4845,5542,640,6182,2544,164,2708,2347,44,2391,1160,15,1175,514,0,514,12107,5708,17815
UCL113001,0,2196,2196,2143,289,2432,939,80,1019,820,27,847,398,11,409,173,3,176,4473,2606,7079
UCL113002,0,2441,2441,2496,218,2714,786,42,828,621,9,630,224,0,224,105,3,108,4232,2713,6945
UCL113003,0,1401,1401,1748,106,1854,531,12,543,394,3,397,186,0,186,118,0,118,2977,1522,4499
UCL113004,0,2164,2164,2867,105,2972,893,11,904,951,10,961,441,0,441,201,0,201,5353,2290,7643
UCL113005,0,2502,2502,2508,137,2645,966,6,972,780,3,783,341,0,341,163,0,163,4758,2648,7406
UCL113006,0,493,493,689,38,727,163,11,174,187,0,187,79,0,79,25,0,25,1143,542,1685
UCL113007,0,2757,2757,3340,200,3540,808,12,820,638,5,643,305,0,305,109,0,109,5200,2974,8174
UCL113008,0,2010,2010,2032,170,2202,869,17,886,759,11,770,340,0,340,196,0,196,4196,2208,6404
UCL113009,0,1617,1617,1880,142,2022,869,24,893,877,4,881,505,0,505,254,0,254,4385,1787,6172
UCL113010,0,1173,1173,1161,95,1256,542,8,550,382,3,385,206,3,209,162,0,162,2453,1282,3735
UCL113011,0,1095,1095,1858,64,1922,721,11,732,710,0,710,340,0,340,84,0,84,3713,1170,4883
UCL113012,0,1282,1282,1552,129,1681,775,6,781,677,0,677,328,0,328,171,0,171,3503,1417,4920
UCL113013,0,1606,1606,1473,105,1578,562,4,566,520,0,520,226,0,226,83,3,86,2864,1718,4582
UCL113014,0,1658,1658,2288,162,2450,841,23,864,821,4,825,398,4,402,189,0,189,4537,1851,6388
UCL113015,0,1059,1059,1199,110,1309,585,12,597,601,4,605,313,0,313,117,0,117,2815,1185,4000
UCL113016,0,1101,1101,1673,98,1771,535,7,542,543,4,547,199,0,199,85,0,85,3035,1210,4245
UCL113017,0,1138,1138,1207,61,1268,525,16,541,405,6,411,262,0,262,146,0,146,2545,1221,3766
UCL113018,0,1251,1251,1520,116,1636,773,16,789,652,0,652,366,0,366,189,0,189,3500,1383,4883
UCL113019,0,1213,1213,1455,129,1584,785,32,817,834,5,839,367,0,367,168,0,168,3609,1379,4988
UCL113020,0,2273,2273,2409,192,2601,850,18,868,725,3,728,376,0,376,217,0,217,4577,2486,7063
UCL113021,0,1467,1467,2011,109,2120,600,6,606,533,3,536,221,3,224,88,0,88,3453,1588,5041
UCL114001,0,1117,1117,1378,68,1446,297,3,300,206,0,206,113,0,113,41,0,41,2035,1188,3223
UCL114002,0,1245,1245,1226,76,1302,501,13,514,425,0,425,201,0,201,129,0,129,2482,1334,3816
UCL114003,0,879,879,870,59,929,303,5,308,262,4,266,130,0,130,53,0,53,1618,947,2565
UCL114004,0,770,770,887,39,926,246,0,246,221,0,221,108,0,108,48,0,48,1510,809,2319
UCL114005,0,708,708,808,63,871,241,5,246,254,0,254,108,0,108,46,0,46,1457,776,2233
UCL114006,0,1079,1079,1028,74,1102,367,7,374,337,5,342,185,4,189,94,0,94,2011,1169,3180
UCL114007,0,938,938,901,49,950,323,6,329,271,3,274,126,0,126,59,0,59,1680,996,2676
UCL114008,0,927,927,911,57,968,317,7,324,288,0,288,157,0,157,76,0,76,1749,991,2740
UCL114009,0,758,758,731,58,789,251,6,257,192,0,192,104,0,104,51,0,51,1329,822,2151
UCL114010,0,973,973,963,86,1049,397,15,412,380,0,380,162,0,162,89,0,89,1991,1074,3065
UCL114011,0,283,283,478,17,495,349,3,352,474,0,474,197,3,200,54,0,54,1552,306,1858
UCL114012,0,1193,1193,1157,81,1238,512,13,525,400,0,400,202,3,205,112,0,112,2383,1290,3673
UCL114013,0,714,714,759,56,815,347,9,356,302,0,302,143,0,143,83,0,83,1634,779,2413
