region_id,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL115108,0,4,11,46,75,130,104,76,14,460,0,10,24,9,14,15,11,0,0,83,0,0,3,5,3,6,3,3,0,23,153,0,0,0,0,0,0,0,0,153,0,38,0,0,0,0,0,0,0,38,0,28,8,7,9,8,0,0,0,60,0,5,0,0,0,3,3,3,4,18,0,0,0,0,3,3,0,0,0,6,0,4,4,3,7,3,3,3,3,30,0,3,13,23,27,47,37,27,11,188,3,4,4,10,4,8,9,0,0,42,156,96,67,103,142,223,170,112,32,1101,0,0,23,61,78,139,97,56,10,464,0,20,16,14,14,22,0,0,0,86,0,3,9,18,22,4,3,12,0,71,139,0,0,0,0,0,0,0,0,139,0,25,0,0,0,0,0,0,0,25,0,10,5,0,3,0,0,0,0,18,0,3,3,0,3,5,4,3,0,21,0,3,0,3,0,0,0,0,0,6
UCL115109,0,5,53,89,117,141,100,70,8,583,0,14,38,26,13,20,3,0,0,114,0,0,5,7,5,3,0,9,0,29,371,0,0,0,0,0,0,0,0,371,0,56,0,0,0,0,0,0,0,56,0,57,19,12,9,3,0,0,0,100,0,17,7,3,4,14,6,4,0,55,0,4,3,3,3,3,0,3,0,19,0,16,4,6,8,4,3,0,0,41,0,5,24,22,43,47,47,29,10,227,6,7,8,7,5,4,6,3,3,49,377,181,161,175,207,239,165,118,21,1644,0,9,71,103,125,132,103,41,5,589,0,22,43,17,19,12,3,0,0,116,0,23,55,47,23,10,11,7,9,185,358,0,0,0,0,0,0,0,0,358,0,67,0,0,0,0,0,0,0,67,0,31,12,6,3,3,0,0,0,55,0,8,3,3,3,3,3,3,3,29,0,4,0,0,3,0,0,0,0,7
UCL115110,0,3,48,106,113,120,112,50,8,560,0,23,43,31,21,11,4,0,0,133,0,0,9,5,7,11,4,0,0,36,447,0,0,0,0,0,0,0,0,447,0,49,0,0,0,0,0,0,0,49,0,64,24,13,13,5,0,0,0,119,0,14,7,4,4,4,4,3,0,40,0,9,0,0,3,0,0,0,0,12,0,16,4,5,5,8,4,0,0,42,0,7,15,20,29,43,31,23,3,171,9,19,6,7,9,0,3,4,0,57,456,204,156,191,204,202,162,80,11,1666,0,10,67,108,130,142,92,33,0,582,0,33,47,19,17,9,9,0,0,134,0,22,59,49,32,13,9,14,7,205,414,0,0,0,0,0,0,0,0,414,0,68,0,0,0,0,0,0,0,68,0,42,5,4,4,3,0,0,0,58,0,8,3,0,7,5,5,4,0,32,0,4,3,0,3,3,0,0,0,13
UCL115111,0,3,41,64,54,55,63,30,3,313,0,10,19,22,12,6,4,0,0,73,0,0,0,5,10,0,0,0,0,15,250,0,0,0,0,0,0,0,0,250,0,29,0,0,0,0,0,0,0,29,0,35,15,12,7,0,0,0,0,69,0,8,3,3,3,3,3,3,0,26,0,3,3,0,0,0,0,0,0,6,0,4,3,3,4,3,0,0,0,17,0,9,10,12,25,21,22,19,4,122,9,11,0,3,3,4,4,3,0,37,259,112,94,124,118,92,96,55,7,957,0,8,42,69,68,60,56,24,0,327,0,19,23,21,10,3,3,0,0,79,0,11,16,27,13,6,5,4,3,85,214,0,0,0,0,0,0,0,0,214,0,25,0,0,0,0,0,0,0,25,0,17,3,0,3,0,0,0,0,23,0,5,0,0,0,0,5,3,0,13,0,5,0,0,0,0,0,0,0,5
UCL115112,0,5,53,79,66,100,64,31,3,401,0,17,37,17,16,10,3,3,0,103,0,6,0,6,7,7,0,0,0,26,303,0,0,0,0,0,0,0,0,303,0,38,0,0,0,0,0,0,0,38,0,56,21,8,4,3,0,0,0,92,0,3,3,0,3,3,4,0,0,16,0,3,0,3,3,0,0,0,0,9,0,0,3,3,3,3,0,0,0,12,0,7,19,25,35,25,27,13,8,159,0,10,12,5,5,0,0,0,0,32,303,145,148,146,142,151,98,47,11,1191,0,4,59,79,100,86,52,20,3,403,0,34,31,19,14,9,3,0,0,110,0,6,24,29,12,8,10,8,0,97,233,0,0,0,0,0,0,0,0,233,0,46,0,0,0,0,0,0,0,46,0,28,7,3,3,0,0,0,0,41,0,3,0,3,3,3,3,3,3,21,0,0,0,0,0,0,0,0,0,0
UCL115113,0,3,55,93,126,132,86,61,14,570,0,15,34,70,46,31,15,3,0,214,0,0,3,7,17,9,3,3,3,45,405,0,0,0,0,0,0,0,0,405,0,64,0,0,0,0,0,0,0,64,0,87,26,16,7,6,3,0,0,145,0,10,8,0,4,3,0,0,0,25,0,6,9,8,8,3,0,0,0,34,0,16,12,17,21,28,9,0,0,103,0,3,17,28,36,54,20,27,3,188,3,4,12,12,8,5,3,3,3,53,408,208,176,251,273,271,139,97,23,1846,0,8,77,125,129,128,81,50,3,601,0,15,52,76,38,29,16,0,0,226,0,11,30,79,74,22,5,3,3,227,363,0,0,0,0,0,0,0,0,363,0,79,0,0,0,0,0,0,0,79,0,31,12,4,0,0,0,0,0,47,0,5,4,0,8,14,4,6,0,41,0,5,3,3,5,0,0,0,0,16
UCL115114,0,0,53,107,98,133,148,113,18,670,0,13,37,30,20,15,10,0,0,125,0,4,4,5,15,3,0,4,0,35,319,0,0,0,0,0,0,0,0,319,0,70,0,0,0,0,0,0,0,70,0,48,12,11,15,3,0,0,0,89,0,5,0,3,0,4,0,0,0,12,0,4,4,3,0,3,0,0,0,14,0,12,6,3,4,8,7,4,0,44,0,10,15,15,32,42,19,25,18,176,3,8,4,8,4,5,4,0,0,36,322,174,135,185,188,216,188,146,36,1590,0,5,63,126,110,137,144,77,10,672,0,22,29,30,19,15,7,0,0,122,0,21,35,56,33,6,10,5,3,169,339,0,0,0,0,0,0,0,0,339,0,80,0,0,0,0,0,0,0,80,0,26,13,3,3,3,3,0,0,51,0,5,0,0,4,6,0,0,5,20,0,6,0,0,0,0,0,0,0,6
UCL115115,0,4,65,141,143,130,72,37,6,598,0,20,24,24,14,11,7,0,0,100,0,0,3,6,6,6,0,0,0,21,315,0,0,0,0,0,0,0,0,315,0,82,0,0,0,0,0,0,0,82,0,91,27,11,8,0,0,0,0,137,0,4,10,0,8,0,0,0,0,22,0,5,5,0,0,0,0,0,0,10,0,3,4,3,8,0,5,0,0,23,0,6,4,18,25,25,20,10,4,112,5,10,8,6,5,0,0,0,0,34,320,225,150,209,217,172,104,47,10,1454,0,10,91,143,148,117,57,22,5,593,0,25,15,24,17,9,3,0,0,93,0,8,17,42,26,10,3,10,0,116,342,0,0,0,0,0,0,0,0,342,0,78,0,0,0,0,0,0,0,78,0,57,20,5,3,3,0,0,0,88,0,6,0,0,0,10,7,6,8,37,0,3,3,3,0,3,3,0,0,15
UCL115116,0,0,26,42,59,86,65,23,3,304,0,9,18,20,9,9,3,4,0,72,0,3,0,0,7,3,3,0,3,19,170,0,0,0,0,0,0,0,0,170,0,27,0,0,0,0,0,0,0,27,0,25,12,15,5,5,0,0,0,62,0,6,7,0,4,4,0,4,0,25,0,0,0,0,6,0,0,0,0,6,0,5,3,0,3,5,0,0,0,16,0,0,9,9,25,29,32,9,0,113,7,10,5,4,3,5,3,0,0,37,177,85,80,90,121,146,106,40,6,851,0,0,40,41,80,81,59,9,3,313,0,17,19,16,11,7,3,0,0,73,0,13,12,22,15,4,8,3,3,80,160,0,0,0,0,0,0,0,0,160,0,31,0,0,0,0,0,0,0,31,0,28,5,5,3,3,0,0,0,44,0,4,0,0,0,7,8,6,0,25,0,0,0,0,0,0,0,0,0,0
UCL115117,0,0,44,57,68,95,93,51,9,417,0,17,21,22,17,8,0,3,0,88,0,0,3,3,3,3,3,3,3,21,268,0,0,0,0,0,0,0,0,268,0,44,0,0,0,0,0,0,0,44,0,30,14,15,7,4,0,0,0,70,0,14,0,3,3,3,0,3,3,29,0,7,0,3,0,0,0,0,0,10,0,10,11,3,4,0,3,3,0,34,0,8,7,22,22,26,18,17,11,131,3,7,7,3,3,4,3,3,3,36,271,137,107,131,127,143,120,83,29,1148,0,5,62,59,79,81,97,38,3,424,0,20,25,25,15,5,0,3,0,93,0,13,32,37,18,9,6,8,3,126,218,0,0,0,0,0,0,0,0,218,0,50,0,0,0,0,0,0,0,50,0,15,6,4,3,3,0,0,0,31,0,8,0,0,3,5,5,7,0,28,0,0,3,3,0,3,0,0,0,9
