region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
UCL101001,131235,35556,41982,47458,42969,35616,19729,39499,990681,3230,812,945,269,272,440,394,312,210,1183,8067,743888,157067,177857,46653,54164,61090,55461,49562,28201,58197,1432140
UCL102001,357,148,162,253,231,169,108,120,3701,24,0,3,0,3,0,3,0,3,4,40,4098,410,577,221,235,332,310,251,159,267,6860
UCL102002,1140,287,352,417,309,265,151,488,10095,54,10,3,0,0,7,4,0,0,15,93,28963,3036,3473,871,870,958,775,668,337,2073,42024
UCL102003,173,70,82,106,127,102,39,99,1650,9,0,0,4,0,3,3,0,0,3,22,6169,651,735,193,250,254,254,217,92,487,9302
UCL102004,1376,458,581,726,847,896,495,665,13184,51,10,17,0,3,3,9,6,9,37,145,20499,2048,2839,820,960,1160,1290,1361,772,1696,33445
UCL103001,1623,454,696,956,1286,1328,645,1102,26321,131,14,10,4,12,9,6,13,9,23,231,37299,2404,2798,775,1021,1310,1598,1609,876,2275,51965
UCL111001,166,147,130,138,217,143,107,89,1886,10,0,0,0,3,0,3,0,3,9,28,2713,225,345,188,185,187,260,206,152,242,4703
UCL111002,223,101,82,91,62,67,33,53,1523,3,0,3,3,3,0,0,0,0,0,12,3242,335,476,192,170,180,120,118,59,240,5132
UCL112001,110,30,31,36,40,29,24,183,870,3,3,0,0,0,0,0,0,0,3,9,1513,195,240,66,73,61,86,62,50,261,2607
UCL112002,123,28,34,41,50,43,23,35,1239,6,0,0,0,0,0,0,0,0,3,9,4161,280,296,70,68,64,91,59,40,190,5319
UCL112003,28,8,0,8,5,16,31,120,350,3,0,3,0,0,0,0,6,0,0,12,751,60,63,23,13,19,22,36,47,184,1218
UCL112004,222,97,95,123,146,165,86,101,1831,3,0,3,3,0,3,0,8,3,8,31,3458,357,476,193,177,217,209,266,128,348,5829
