region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL101001,459926,25912,13060,5256,245,433,1446,506278
UCL102001,3871,341,205,24,3,5,17,4466
UCL102002,27964,2830,1854,279,33,33,207,33200
UCL102003,4250,462,259,51,4,7,28,5061
UCL102004,29509,2683,1574,287,20,57,211,34341
UCL103001,25537,2092,1285,247,23,42,162,29388
UCL111001,4008,348,219,32,4,3,37,4651
UCL111002,7154,663,492,64,8,12,45,8438
UCL112001,2764,263,173,25,3,5,15,3248
UCL112002,2494,238,140,10,3,3,21,2909
UCL112003,1671,189,149,21,3,3,22,2058
UCL112004,3688,382,247,44,0,6,26,4393
UCL112005,2868,249,196,47,5,5,34,3404
UCL112006,1799,226,148,19,0,4,24,2220
UCL112007,2092,222,166,31,0,3,16,2530
UCL112008,220,17,22,5,0,0,3,267
UCL112009,2269,214,179,23,0,7,30,2722
UCL112010,3234,277,207,29,0,12,16,3775
UCL112011,3258,349,189,32,0,5,26,3859
UCL112012,2976,285,201,30,5,5,25,3527
UCL112013,4344,361,254,34,3,4,33,5033
UCL113001,1483,121,80,17,3,6,14,1724
UCL113002,993,119,61,17,0,0,8,1198
UCL113003,682,88,53,8,0,3,8,842
UCL113004,1760,115,83,9,0,3,15,1985
UCL113005,1328,154,107,13,0,3,18,1623
UCL113006,316,28,14,3,0,3,3,367
UCL113007,1103,115,65,11,0,5,13,1312
UCL113008,1187,124,114,19,0,7,17,1468
UCL113009,1810,107,75,19,3,0,17,2031
UCL113010,609,68,46,18,0,0,12,753
UCL113011,1376,123,57,3,0,3,3,1565
UCL113012,1112,130,99,24,4,3,24,1396
UCL113013,868,97,62,10,3,4,11,1055
UCL113014,1416,148,100,14,0,3,14,1695
UCL113015,1050,92,113,12,0,0,12,1279
UCL113016,940,81,50,9,0,0,4,1084
UCL113017,863,71,64,10,0,0,14,1022
UCL113018,1092,158,118,17,0,0,20,1405
UCL113019,1496,126,105,5,0,3,5,1740
UCL113020,1233,143,113,27,3,4,15,1538
UCL113021,872,97,75,8,3,0,10,1065
UCL114001,384,47,25,4,0,0,10,470
UCL114002,687,59,69,9,0,4,11,839
UCL114003,500,42,38,3,3,0,3,589
UCL114004,394,52,17,6,3,0,7,479
UCL114005,438,35,38,3,0,0,3,517
UCL114006,625,69,50,3,0,4,3,754
UCL114007,498,43,31,9,0,4,3,588
UCL114008,511,47,38,6,0,3,10,615
UCL114009,334,35,27,4,0,0,9,409
UCL114010,639,62,45,4,3,0,12,765
UCL114011,853,43,33,5,0,0,0,934
UCL114012,705,75,60,10,0,3,13,866
UCL114013,594,32,31,4,0,4,8,673
UCL114014,656,51,29,3,0,0,3,742
UCL114015,1082,89,63,4,0,0,3,1241
UCL114016,456,47,16,3,0,3,3,528
UCL114017,569,45,40,15,0,3,11,683
UCL114018,647,64,51,5,0,4,0,771
UCL114019,867,93,73,8,0,0,9,1050
UCL114020,695,78,47,10,0,4,7,841
UCL114021,317,32,27,4,0,3,6,389
UCL114022,509,43,44,4,0,0,11,611
UCL114023,588,40,37,4,0,0,4,673
UCL114024,372,39,20,4,3,0,0,438
UCL114025,493,36,27,3,0,3,3,565
UCL114026,682,60,50,10,4,0,16,822
UCL114027,483,52,49,6,0,0,15,605
UCL114028,558,57,37,3,3,0,8,666
UCL114029,485,60,50,8,0,3,4,610
UCL114030,371,35,21,0,0,0,5,432
UCL114031,138,12,4,3,0,0,0,157
UCL114032,551,48,40,9,0,3,0,651
UCL114033,545,47,43,5,0,0,3,643
UCL115001,187,25,9,0,0,0,0,221
UCL115002,415,32,21,3,0,0,0,471
UCL115003,282,36,21,4,0,0,3,346
