region_id,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL101001,170896,522529,440149,120462,53986,1308022,39785,1347807
UCL102001,918,4855,4931,1597,813,13114,382,13496
UCL102002,10372,44522,37990,10516,4661,108061,4084,112145
UCL102003,2066,10218,7112,1757,694,21847,964,22811
UCL102004,11117,43401,42600,12096,5284,114498,3866,118364
UCL103001,9680,33473,31342,9344,4105,87944,3045,90989
UCL111001,1726,6959,6329,1624,655,17293,636,17929
UCL111002,1738,8075,9492,2887,1394,23586,654,24240
UCL112001,984,4105,3908,1209,537,10743,386,11129
UCL112002,1272,5025,3365,845,317,10824,301,11125
UCL112003,583,2734,2437,733,356,6843,285,7128
UCL112004,1747,7523,5843,1479,539,17131,666,17797
UCL112005,1082,4569,4231,1167,442,11491,433,11924
UCL112006,848,3182,2724,830,362,7946,304,8250
UCL112007,1145,4485,3568,904,322,10424,355,10779
UCL112008,39,197,320,111,39,706,33,739
UCL112009,1025,4461,3474,954,364,10278,369,10647
UCL112010,1176,4843,4530,1259,526,12334,514,12848
UCL112011,1548,7642,5523,1270,411,16394,602,16996
UCL112012,1262,5396,4819,1224,446,13147,566,13713
UCL112013,1486,6550,6583,1854,671,17144,673,17817
UCL113001,767,3096,2176,575,220,6834,246,7080
UCL113002,862,3216,2024,448,145,6695,251,6946
UCL113003,379,2186,1311,315,125,4316,185,4501
UCL113004,443,3091,2824,709,329,7396,247,7643
UCL113005,822,3138,2247,616,216,7039,365,7404
UCL113006,95,700,631,145,40,1611,73,1684
UCL113007,765,4212,2214,471,169,7831,343,8174
UCL113008,745,2826,1889,493,205,6158,246,6404
UCL113009,587,2119,2248,633,304,5891,281,6172
UCL113010,546,1623,1061,267,107,3604,131,3735
UCL113011,264,1746,1952,548,232,4742,140,4882
UCL113012,407,1789,1718,518,282,4714,207,4921
UCL113013,689,1803,1321,377,173,4363,219,4582
UCL113014,407,2558,2117,739,355,6176,208,6384
UCL113015,334,1375,1492,477,179,3857,142,3999
UCL113016,240,1748,1688,355,116,4147,102,4249
UCL113017,386,1468,1272,339,145,3610,158,3768
UCL113018,415,1941,1604,517,217,4694,189,4883
UCL113019,309,1570,2041,648,271,4839,148,4987
UCL113020,888,3019,2054,546,247,6754,310,7064
UCL113021,322,2405,1671,387,116,4901,139,5040
UCL114001,305,1598,921,205,84,3113,110,3223
UCL114002,514,1668,1095,276,96,3649,169,3818
UCL114003,269,1067,854,193,90,2473,90,2563
UCL114004,252,1019,719,171,68,2229,89,2318
UCL114005,177,903,809,197,55,2141,91,2232
UCL114006,352,1290,987,287,97,3013,166,3179
UCL114007,283,1024,941,211,72,2531,145,2676
UCL114008,244,1080,984,219,87,2614,130,2744
UCL114009,240,919,654,169,64,2046,104,2150
UCL114010,309,1203,1027,307,105,2951,113,3064
UCL114011,67,569,822,228,128,1814,45,1859
UCL114012,449,1522,1150,292,102,3515,158,3673
UCL114013,215,949,839,225,100,2328,87,2415
UCL114014,49,685,973,223,88,2018,42,2060
UCL114015,43,695,1278,461,200,2677,36,2713
UCL114016,169,1284,1059,204,72,2788,89,2877
UCL114017,362,987,856,241,84,2530,146,2676
UCL114018,244,1118,979,280,154,2775,83,2858
UCL114019,344,1339,1315,348,132,3478,163,3641
UCL114020,324,1413,993,260,113,3103,132,3235
UCL114021,383,1410,665,140,43,2641,173,2814
UCL114022,221,799,772,243,82,2117,118,2235
UCL114023,70,787,917,168,42,1984,38,2022
UCL114024,127,934,742,150,61,2014,77,2091
UCL114025,178,726,733,198,74,1909,70,1979
UCL114026,205,1717,1181,291,113,3507,134,3641
