region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL101001,1194,3046,10312,13143,7008,26102,2003,11382,1664,75854,9463,31767,25715,28451,29595,29311,6923,13307,3878,178410,55916,153169,55669,38173,71584,35162,20400,24943,9205,464221,75855,127303,50109,31753,70069,28050,24414,25093,8119,440765,63916,97557,44074,28890,67961,25285,27959,30555,7273,393470,33969,60086,25743,15919,45416,16159,18370,20646,4503,240811,6672,13374,4871,2891,9266,3828,3464,4299,1422,50087,810,1657,352,226,871,426,182,394,541,5459,129,169,48,17,90,60,16,32,159,720,247924,488128,216893,159463,301860,164383,103731,130651,36764,1849797
UCL102001,13,17,203,201,120,411,21,170,22,1178,112,217,428,271,425,236,83,166,46,1984,503,1136,708,396,863,285,213,302,142,4548,896,1126,570,455,1043,269,237,283,129,5008,786,795,514,377,983,221,261,331,125,4393,324,448,288,183,497,124,200,241,55,2360,42,51,49,23,93,23,40,30,15,366,0,10,0,0,0,4,4,0,8,26,0,0,0,0,0,0,0,0,0,0,2676,3800,2760,1906,4024,1573,1059,1523,542,19863
UCL102002,148,132,1216,1210,458,3226,196,1758,128,8472,549,1225,2612,1900,1292,2086,483,1324,146,11617,2288,4712,4265,2625,3097,1976,1281,1991,364,22599,3650,5702,4437,3305,4455,2303,1712,2489,458,28511,3848,5938,4185,3318,5040,2623,2092,2939,464,30447,2230,3923,2488,1871,3322,1645,1441,1886,353,19159,438,705,341,235,589,321,314,332,96,3371,40,86,28,18,47,31,14,23,39,326,4,7,4,0,0,4,0,0,27,46,13195,22430,19576,14482,18300,14215,7533,12742,2075,124548
UCL102003,31,18,173,189,69,654,49,323,28,1534,89,127,344,305,163,327,68,205,29,1657,345,633,710,445,418,339,155,356,47,3448,523,935,802,592,648,432,247,498,52,4729,646,927,712,772,807,496,302,636,87,5385,406,628,465,396,534,382,257,396,47,3511,86,103,56,40,76,66,68,105,15,615,11,16,3,6,19,7,5,8,8,83,0,0,0,0,0,0,0,0,8,8,2137,3387,3265,2745,2734,2703,1151,2527,321,20970
UCL102004,142,201,1478,1370,525,3571,232,1940,177,9636,648,2122,3173,2568,1838,2667,688,1500,200,15404,2634,8493,5130,2943,4156,2287,1681,2091,365,29780,3981,7897,4468,2883,4976,2147,2099,2542,489,31482,3855,7471,4258,2938,5463,2162,2469,2853,435,31904,2226,4914,2544,1584,3393,1421,1704,1806,268,19860,438,781,325,206,538,267,271,301,75,3202,44,102,24,18,57,38,14,34,36,367,7,4,4,0,5,4,0,0,13,37,13975,31985,21404,14510,20951,14564,9158,13067,2058,141672
UCL103001,94,204,1113,1074,405,2153,145,1246,111,6545,480,1517,2209,2038,1308,1718,482,1016,195,10963,1903,5326,3851,2459,2995,1709,1613,1672,298,21826,2821,5295,3638,2660,3967,1794,2099,1989,367,24630,2936,5079,3559,2554,3867,1715,2317,2457,397,24881,1505,3205,1966,1175,2124,863,1519,1390,219,13966,223,464,249,140,276,151,202,211,77,1993,30,36,14,14,21,14,16,20,42,207,8,7,3,0,0,0,3,0,4,25,10000,21133,16602,12114,14963,10117,8396,10001,1710,105036
UCL111001,25,23,265,209,104,558,32,269,29,1514,115,270,558,401,234,395,129,237,27,2366,401,1043,813,462,506,383,293,415,72,4388,602,879,592,486,708,360,360,423,69,4479,618,965,618,444,776,350,379,501,64,4715,411,657,341,282,531,238,323,372,57,3212,82,104,55,34,87,37,59,67,16,541,5,18,4,3,3,9,0,10,7,59,3,0,0,0,0,0,0,0,4,7,2262,3959,3246,2321,2949,2330,1575,2294,345,21281
UCL111002,30,44,386,259,128,806,64,499,31,2247,143,301,866,410,350,476,204,354,33,3137,524,1218,1441,593,881,491,707,633,88,6576,820,1335,1211,635,1134,535,829,668,106,7273,792,1167,1007,574,1061,461,821,759,104,6746,454,739,554,298,641,274,533,417,64,3974,73,107,73,34,83,57,66,52,17,562,10,11,4,3,10,4,3,10,9,64,5,0,0,0,0,0,0,0,0,5,2851,4922,5542,2806,4288,3104,3227,3392,452,30584
UCL112001,18,32,142,154,60,364,19,206,16,1011,72,209,370,339,175,323,66,233,20,1807,268,569,539,308,336,268,150,289,45,2772,349,666,423,341,406,219,233,335,38,3010,406,649,362,304,466,183,223,389,40,3022,243,448,242,179,318,150,170,238,25,2013,51,79,30,29,43,28,40,40,9,349,14,6,5,0,3,3,3,6,7,47,0,0,0,0,0,0,0,0,5,5,1421,2658,2113,1654,1807,1538,904,1736,205,14036
UCL112002,10,13,89,123,45,162,11,115,0,568,35,66,175,172,74,118,30,82,12,764,160,410,289,280,178,139,82,132,21,1691,369,887,383,353,356,153,114,192,40,2847,439,1029,387,374,429,182,150,246,49,3285,332,898,258,263,360,159,137,169,44,2620,48,182,50,42,66,44,28,40,9,509,9,14,7,3,5,5,3,0,11,57,0,4,0,0,0,0,0,0,3,7,1402,3503,1638,1610,1513,962,555,976,189,12348
