region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL101001,3198,7521,15560,15231,13855,8492,2109,203,15,66184,2588,5729,12376,10790,9517,5770,1820,530,152,49272,75855,178410,464219,440766,393469,240812,50087,5458,720,1849796
UCL102001,62,110,148,161,129,84,11,3,0,708,28,54,82,90,78,57,19,6,0,414,1178,1982,4548,5008,4393,2360,366,28,0,19863
UCL102002,315,607,1008,1185,1106,726,136,12,0,5095,232,270,541,609,602,421,126,43,23,2867,8473,11616,22598,28512,30446,19158,3371,326,47,124547
UCL102003,36,75,149,175,161,134,19,3,0,752,35,53,86,111,115,73,23,10,5,511,1534,1658,3448,4730,5386,3509,617,83,5,20970
UCL102004,446,750,1202,1202,1089,698,170,18,3,5578,231,277,506,615,550,344,107,33,14,2677,9636,15404,29780,31483,31906,19861,3201,365,37,141673
UCL103001,285,596,945,990,873,483,113,15,0,4300,173,251,426,430,466,266,58,33,3,2106,6545,10963,21825,24630,24879,13965,1993,206,24,105030
UCL111001,63,112,190,189,152,113,33,6,0,858,41,43,93,94,91,50,19,7,3,441,1515,2365,4388,4479,4714,3212,541,59,8,21281
UCL111002,103,215,371,335,282,164,36,0,0,1506,45,52,120,136,121,80,15,10,0,579,2246,3136,6577,7274,6748,3973,563,62,5,30584
UCL112001,34,79,144,110,88,55,16,3,0,529,25,31,42,47,51,34,14,5,5,254,1011,1806,2770,3010,3021,2011,348,51,5,14033
UCL112002,16,38,61,94,106,80,8,0,0,403,14,19,40,51,54,48,13,11,4,254,568,763,1690,2847,3284,2620,507,58,9,12346
UCL112003,40,64,87,85,71,35,7,0,0,389,12,25,34,39,32,24,3,6,0,175,603,881,1694,1679,1654,1007,120,19,0,7657
UCL112004,58,90,146,180,176,115,15,6,0,786,37,24,53,77,70,59,13,10,4,347,1399,1558,3202,4054,4568,3126,442,70,8,18427
UCL112005,54,106,152,128,138,98,38,3,0,717,29,28,32,41,40,34,23,6,0,233,1196,1523,3118,3187,3355,2128,455,68,8,15038
UCL112006,29,51,79,95,58,48,18,0,0,378,10,25,47,34,34,30,9,3,4,196,690,889,1735,2046,2214,1459,277,48,4,9362
UCL112007,22,58,88,111,102,69,13,3,6,472,11,15,38,36,40,31,7,3,3,184,791,1232,2211,2345,2707,1815,302,32,9,11444
UCL112008,3,4,8,7,3,6,3,0,0,34,4,0,0,13,0,5,3,0,0,25,50,65,188,246,224,143,36,6,0,958
UCL112009,28,48,77,94,76,63,7,3,0,396,23,27,38,33,42,17,11,4,0,195,751,1100,2145,2311,2375,1529,262,34,5,10512
UCL112010,50,115,164,136,118,96,18,0,0,697,28,41,62,60,45,45,12,6,0,299,1065,1619,3426,3468,3375,2184,428,41,0,15606
UCL112011,24,62,128,149,146,105,23,6,3,646,28,17,24,45,61,39,16,7,0,237,1113,1186,2596,3699,4200,2640,534,71,15,16054
UCL112012,46,90,156,142,143,103,32,6,0,718,23,26,56,69,42,57,15,8,6,302,1171,1582,3145,3263,3477,2312,502,52,11,15515
