region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,79591,96032,175623,270702,305726,576428,4059,4444,8503,26112,29375,55487,1541,1644,3185,529764,577281,1107045,1981,2399,4380,88280,91080,179360,4634,5997,10631,5333,5840,11173,7052,7648,14700,11400,11261,22661,5781,6579,12360,20206,23541,43747,42944,48546,91490,2784,3512,6296,4391,5386,9777,47213,57484,104697,30084,34209,64293,2756,3016,5772,1107017,1224968,2331985,59628,52604,112232,106675,99293,205968,17981,19455,37436,131,145,276,19443,18144,37587,19574,18289,37863,364105,320663,684768,15503,9242,24745,156163,141858,298021,1926237,1982404,3908641
UCL102001,159,211,370,3288,3753,7041,0,0,0,160,186,346,79,73,152,5538,5682,11220,11,15,26,924,886,1810,41,52,93,39,47,86,130,168,298,5,5,10,51,41,92,133,188,321,505,538,1043,45,53,98,34,33,67,548,656,1204,242,276,518,23,13,36,11796,12665,24461,187,178,365,238,210,448,20,15,35,6,5,11,175,159,334,181,164,345,3753,3155,6908,180,120,300,1452,1193,2645,17966,17911,35877
UCL102002,1072,1544,2616,39239,45453,84692,8,3,11,2579,2926,5505,99,98,197,37234,41866,79100,205,252,457,981,944,1925,598,786,1384,392,447,839,546,629,1175,61,54,115,675,810,1485,1322,1589,2911,4349,5117,9466,428,564,992,678,788,1466,5498,7024,12522,3161,3655,6816,189,207,396,98242,113212,211454,370,333,703,494,442,936,150,204,354,23,8,31,415,570,985,438,578,1016,29910,25955,55865,1311,868,2179,11385,11204,22589,143372,154340,297712
UCL102003,274,376,650,6619,7795,14414,0,0,0,280,343,623,11,5,16,6704,7619,14323,50,96,146,93,110,203,239,290,529,48,56,104,141,180,321,4,7,11,31,42,73,223,289,512,1326,1508,2834,66,115,181,135,145,280,1202,1593,2795,587,743,1330,19,26,45,17778,20962,38740,75,66,141,56,34,90,27,31,58,5,5,10,96,133,229,101,138,239,5653,5135,10788,266,211,477,2187,2182,4369,26417,29135,55552
UCL102004,1280,1607,2887,35219,39827,75046,4,0,4,3370,3693,7063,139,149,288,35638,39479,75117,105,183,288,2401,2386,4787,374,518,892,302,359,661,500,581,1081,39,25,64,340,383,723,1772,2042,3814,5159,5619,10778,756,942,1698,592,719,1311,9584,12191,21775,2919,3377,6296,248,289,537,99461,112762,212223,593,546,1139,974,799,1773,82,88,170,18,11,29,471,586,1057,489,597,1086,35335,30012,65347,1667,869,2536,11125,10020,21145,151006,157300,308306
UCL103001,1361,1643,3004,25166,28794,53960,3,5,8,1070,1169,2239,144,135,279,34099,36662,70761,216,249,465,7180,7009,14189,492,660,1152,181,230,411,833,972,1805,98,73,171,189,263,452,1095,1303,2398,3360,3986,7346,468,590,1058,142,184,326,4933,6044,10977,1833,2079,3912,102,129,231,81604,90536,172140,466,426,892,2392,2196,4588,59,66,125,32,20,52,373,504,877,405,524,929,25454,21087,46541,1183,658,1841,8379,7500,15879,121303,124636,245939
UCL111001,207,222,429,4211,5021,9232,0,0,0,252,285,537,52,59,111,6111,6791,12902,32,33,65,176,183,359,51,94,145,23,18,41,650,771,1421,10,6,16,43,45,88,221,296,517,919,1080,1999,61,86,147,94,109,203,1041,1414,2455,406,509,915,23,25,48,14376,16825,31201,239,206,445,135,102,237,8,19,27,0,5,5,100,97,197,100,102,202,4771,4331,9102,264,130,394,1888,1704,3592,21988,23641,45629
UCL111002,126,174,300,9258,10295,19553,0,0,0,711,725,1436,74,65,139,9232,9922,19154,49,60,109,97,97,194,93,112,205,80,72,152,100,107,207,8,8,16,76,96,172,296,337,633,1152,1338,2490,205,261,466,98,107,205,2009,2347,4356,607,694,1301,20,23,43,24165,26666,50831,89,94,183,94,70,164,11,9,20,5,0,5,129,153,282,134,153,287,5686,4934,10620,253,124,377,2292,2058,4350,32850,34282,67132
UCL112001,108,119,227,3297,3793,7090,0,0,0,215,246,461,93,85,178,5177,5610,10787,10,16,26,69,67,136,53,70,123,26,25,51,43,59,102,5,3,8,21,22,43,85,80,165,620,735,1355,46,68,114,19,36,55,679,757,1436,246,245,491,7,4,11,10711,11921,22632,31,38,69,48,47,95,9,3,12,6,5,11,46,64,110,52,69,121,2742,2302,5044,177,73,250,1693,1152,2845,15571,15724,31295
UCL112002,244,415,659,2531,2862,5393,0,0,0,275,329,604,76,101,177,2460,2885,5345,17,15,32,117,108,225,84,98,182,26,33,59,94,88,182,3,0,3,19,26,45,62,68,130,331,405,736,57,54,111,23,38,61,372,535,907,347,423,770,29,51,80,6923,8119,15042,45,46,91,45,43,88,45,47,92,11,12,23,126,194,320,137,206,343,4395,4361,8756,273,218,491,1623,1582,3205,13730,15037,28767
UCL112003,31,58,89,2985,3450,6435,0,0,0,97,97,194,3,6,9,1938,2089,4027,3,4,7,22,10,32,34,60,94,17,19,36,12,31,43,5,7,12,32,30,62,60,62,122,469,566,1035,55,73,128,33,28,61,683,820,1503,144,159,303,12,4,16,6604,7515,14119,13,11,24,15,14,29,3,4,7,4,0,4,14,36,50,18,36,54,1779,1550,3329,51,37,88,1397,878,2275,9911,10103,20014
UCL112004,191,258,449,5089,6051,11140,0,0,0,391,429,820,0,0,0,5115,5774,10889,39,41,80,61,80,141,87,142,229,47,55,102,110,130,240,3,3,6,44,64,108,463,556,1019,939,1136,2075,79,96,175,74,94,168,849,1180,2029,557,669,1226,19,33,52,13966,16533,30499,63,61,124,82,66,148,10,6,16,8,8,16,149,187,336,157,195,352,5198,4668,9866,294,184,478,1808,1840,3648,21769,23811,45580
UCL112005,59,91,150,4221,4954,9175,0,0,0,221,286,507,8,18,26,4976,5659,10635,24,22,46,66,88,154,30,32,62,12,13,25,73,96,169,5,3,8,30,19,49,180,215,395,657,769,1426,64,86,150,54,72,126,940,1206,2146,312,319,631,3,0,3,11876,13857,25733,63,72,135,78,46,124,3,8,11,14,10,24,35,41,76,49,51,100,2011,1782,3793,122,62,184,1124,973,2097,15385,16942,32327
UCL112006,69,84,153,3161,3560,6721,0,0,0,146,161,307,70,66,136,3251,3587,6838,0,5,5,76,35,111,34,42,76,12,14,26,32,34,66,9,10,19,12,8,20,61,68,129,270,305,575,33,39,72,32,39,71,517,550,1067,135,143,278,7,5,12,7858,8671,16529,22,20,42,20,21,41,3,0,3,0,0,0,28,33,61,28,33,61,1428,1216,2644,102,65,167,1230,614,1844,10760,10724,21484
UCL112007,167,214,381,2532,2929,5461,0,0,0,119,141,260,3,7,10,3338,3855,7193,30,38,68,28,24,52,70,109,179,32,38,70,32,38,70,0,0,0,37,36,73,166,200,366,768,849,1617,45,49,94,105,140,245,767,949,1716,291,355,646,63,62,125,8426,9819,18245,29,30,59,38,27,65,7,11,18,9,16,25,88,113,201,97,129,226,3163,2926,6089,272,207,479,974,939,1913,13173,14302,27475
UCL112008,4,7,11,185,177,362,0,0,0,15,9,24,0,0,0,266,287,553,3,7,10,8,3,11,0,4,4,0,0,0,12,17,29,0,0,0,0,0,0,8,16,24,23,36,59,0,7,7,15,11,26,56,88,144,12,18,30,0,0,0,603,680,1283,4,0,4,0,0,0,3,3,6,0,0,0,7,0,7,7,0,7,321,247,568,4,0,4,100,87,187,1046,1024,2070
UCL112009,81,116,197,3744,4182,7926,0,0,0,230,259,489,0,4,4,2823,3278,6101,61,65,126,72,52,124,94,100,194,18,35,53,47,60,107,3,4,7,15,27,42,226,275,501,638,743,1381,68,76,144,18,17,35,578,700,1278,360,395,755,13,12,25,9008,10284,19292,21,27,48,33,32,65,5,8,13,11,0,11,48,79,127,59,79,138,2813,2455,5268,146,92,238,1375,1352,2727,13541,14445,27986
UCL112010,92,107,199,3931,4525,8456,0,0,0,199,209,408,102,134,236,5409,5961,11370,31,34,65,113,87,200,37,49,86,24,22,46,58,72,130,9,8,17,88,82,170,185,227,412,465,500,965,39,57,96,39,39,78,1165,1522,2687,436,488,924,18,12,30,12348,14028,26376,59,54,113,79,67,146,13,4,17,6,3,9,46,69,115,52,72,124,2749,2318,5067,133,66,199,1468,1285,2753,16993,18001,34994
UCL112011,116,166,282,5233,6348,11581,3,0,3,221,269,490,0,0,0,5051,5996,11047,31,49,80,68,69,137,79,119,198,30,27,57,94,121,215,8,9,17,58,53,111,233,281,514,847,986,1833,114,169,283,112,161,273,974,1257,2231,530,649,1179,9,17,26,13695,16580,30275,44,46,90,28,23,51,16,25,41,5,7,12,58,59,117,63,66,129,3913,3433,7346,213,138,351,1534,1393,2927,19622,21870,41492
UCL112012,73,79,152,5936,6617,12553,0,0,0,169,224,393,56,78,134,4625,5175,9800,10,10,20,31,30,61,78,95,173,26,39,65,45,50,95,0,0,0,18,17,35,128,144,272,774,859,1633,71,78,149,35,45,80,800,1057,1857,338,418,756,12,12,24,13152,14948,28100,40,39,79,40,30,70,4,4,8,9,8,17,39,60,99,48,68,116,2460,2034,4494,142,80,222,1524,1367,2891,17483,18649,36132
UCL112013,134,148,282,5277,5929,11206,0,0,0,266,279,545,104,98,202,7450,8449,15899,43,44,87,76,82,158,43,65,108,23,29,52,326,403,729,68,67,135,57,60,117,195,246,441,1230,1498,2728,58,68,126,53,71,124,1063,1370,2433,395,446,841,6,14,20,16733,19218,35951,99,91,190,159,101,260,3,4,7,0,4,4,68,86,154,68,90,158,3750,3280,7030,225,114,339,1372,1322,2694,22543,24368,46911
UCL113001,115,149,264,2202,2804,5006,0,0,0,75,100,175,95,95,190,2088,2404,4492,9,11,20,27,24,51,33,48,81,19,19,38,41,40,81,5,4,9,14,10,24,65,82,147,388,525,913,48,66,114,55,89,144,303,413,716,146,186,332,14,11,25,5627,6931,12558,42,51,93,198,144,342,5,9,14,3,3,6,52,63,115,55,66,121,2239,2098,4337,135,67,202,922,964,1886,9338,10479,19817
UCL113002,88,116,204,1889,2339,4228,0,0,0,68,70,138,3,8,11,1879,2184,4063,5,10,15,18,20,38,41,52,93,3,11,14,34,46,80,0,0,0,7,4,11,79,102,181,404,513,917,33,53,86,30,34,64,385,496,881,172,178,350,12,17,29,5062,6137,11199,9,5,14,13,5,18,8,9,17,0,0,0,22,37,59,22,37,59,1582,1404,2986,93,59,152,631,682,1313,7508,8454,15962
UCL113003,42,41,83,1497,1780,3277,0,0,0,51,56,107,0,0,0,1325,1468,2793,3,3,6,59,42,101,31,40,71,3,3,6,39,49,88,3,0,3,5,6,11,26,26,52,198,225,423,36,42,78,4,14,18,215,316,531,94,92,186,3,5,8,3592,4167,7759,4,0,4,4,5,9,0,5,5,0,4,4,20,28,48,20,32,52,1033,1023,2056,54,36,90,679,597,1276,5428,5906,11334
UCL113004,61,87,148,2634,3151,5785,0,3,3,122,147,269,25,26,51,2291,2739,5030,31,34,65,95,110,205,49,52,101,13,18,31,45,45,90,0,5,5,16,8,24,53,79,132,306,460,766,21,14,35,27,27,54,393,493,886,220,231,451,24,30,54,6365,7672,14037,26,32,58,17,25,42,32,29,61,0,0,0,31,57,88,31,57,88,1864,1824,3688,92,69,161,721,722,1443,9209,10517,19726
UCL113005,46,43,89,1179,1270,2449,0,3,3,111,113,224,0,0,0,2205,2443,4648,22,25,47,37,46,83,17,21,38,32,32,64,97,112,209,0,0,0,12,13,25,38,56,94,98,120,218,110,128,238,14,25,39,974,1336,2310,114,139,253,0,6,6,5060,5888,10948,19,11,30,12,15,27,0,3,3,3,3,6,15,26,41,18,29,47,2630,2281,4911,91,36,127,1095,1155,2250,8971,9461,18432
UCL113006,6,15,21,456,522,978,0,0,0,14,22,36,0,0,0,559,619,1178,7,9,16,0,9,9,12,13,25,0,3,3,13,14,27,0,0,0,0,5,5,8,8,16,104,122,226,4,3,7,0,0,0,189,244,433,26,18,44,0,0,0,1392,1611,3003,0,0,0,0,0,0,0,4,4,3,0,3,3,8,11,6,8,14,420,340,760,15,0,15,210,172,382,2049,2150,4199
UCL113007,48,71,119,2961,3470,6431,0,0,0,128,150,278,0,0,0,2112,2388,4500,22,21,43,34,30,64,77,104,181,15,18,33,39,33,72,7,0,7,20,28,48,47,68,115,343,418,761,45,49,94,9,13,22,435,643,1078,139,171,310,4,6,10,6437,7610,14047,0,12,12,20,21,41,6,7,13,10,13,23,12,22,34,22,35,57,1550,1276,2826,73,39,112,846,834,1680,9002,9905,18907
UCL113008,27,32,59,2472,2950,5422,0,0,0,109,111,220,0,0,0,1829,2022,3851,3,0,3,11,10,21,44,64,108,21,20,41,17,21,38,4,5,9,3,3,6,62,78,140,444,583,1027,55,58,113,12,32,44,268,366,634,142,153,295,0,7,7,5496,6483,11979,3,3,6,14,5,19,0,4,4,4,4,8,21,37,58,25,41,66,1462,1332,2794,78,46,124,876,669,1545,7981,8615,16596
