region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL115052,370,5,7,0,0,382,155,3,0,0,0,158,55,0,11,0,0,66,7,0,0,0,0,7,48,6,6,0,0,60,12,0,0,0,0,12,10,0,0,0,0,10,3,0,4,0,0,7,135,6,21,0,0,162,16,0,3,0,0,19,20,3,3,3,0,29,696,17,34,3,0,750
UCL115053,165,5,0,4,0,174,173,3,0,0,0,176,42,30,14,4,0,90,8,3,0,0,0,11,33,3,3,0,0,39,3,3,0,0,0,6,6,0,0,3,0,9,3,0,0,0,0,3,95,39,17,7,0,158,0,4,0,0,0,4,11,8,0,0,0,19,444,59,17,11,0,531
UCL115054,209,3,0,3,0,215,109,3,0,0,0,112,29,5,8,0,0,42,7,0,3,0,0,10,37,0,4,0,0,41,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,82,5,15,0,0,102,4,0,0,0,0,4,15,0,0,0,0,15,419,11,15,3,0,448
UCL115055,102,5,0,0,0,107,175,3,0,0,0,178,16,4,0,0,0,20,0,0,0,0,0,0,7,4,3,3,0,17,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,31,8,3,3,0,45,0,0,0,0,0,0,3,0,0,0,0,3,311,16,3,3,0,333
UCL115056,375,4,5,0,0,384,235,0,0,0,0,235,84,4,10,0,0,98,26,11,0,0,0,37,54,0,5,3,0,62,3,11,0,0,0,14,8,0,0,0,0,8,5,0,0,0,0,5,180,26,15,3,0,224,9,6,0,0,0,15,21,3,0,0,0,24,820,39,20,3,0,882
UCL115057,406,16,13,26,0,461,269,3,4,3,0,279,101,22,64,3,0,190,113,12,5,0,0,130,51,11,17,6,0,85,6,3,3,0,0,12,10,0,3,6,0,19,6,0,4,0,0,10,287,48,96,15,0,446,3,0,0,0,0,3,26,3,3,0,0,32,991,70,116,44,0,1221
UCL115058,132,40,0,0,0,172,248,3,0,0,0,251,101,6,3,0,0,110,0,0,0,0,0,0,31,4,0,0,0,35,0,4,0,0,0,4,10,4,0,0,0,14,0,0,0,0,0,0,142,18,3,0,0,163,4,38,0,0,0,42,0,7,0,0,0,7,526,106,3,0,0,635
UCL115059,313,65,36,36,0,450,132,34,16,3,0,185,108,77,114,8,0,307,13,10,6,0,0,29,51,32,27,3,0,113,9,9,3,0,0,21,12,5,10,3,0,30,5,7,0,0,0,12,198,140,160,14,0,512,3,0,3,0,0,6,17,9,7,0,0,33,663,248,222,53,0,1186
UCL115060,191,48,35,0,0,274,55,17,11,3,0,86,38,42,28,3,0,111,4,4,0,0,0,8,20,12,3,3,0,38,0,15,0,0,0,15,0,4,0,3,0,7,4,5,0,0,0,9,66,82,31,9,0,188,3,41,0,0,0,44,14,9,0,0,0,23,329,197,77,12,0,615
UCL115061,323,13,4,4,0,344,201,0,6,0,0,207,64,0,37,0,0,101,12,0,0,0,0,12,47,13,14,0,0,74,0,0,0,0,0,0,9,0,4,3,0,16,6,0,0,0,0,6,138,13,55,3,0,209,6,0,0,0,0,6,21,0,8,0,0,29,689,26,73,7,0,795
