CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED101,629,161,151,0,0,946,141,47,37,0,0,224,137,32,38,0,0,213,181,51,93,3,0,326,255,80,94,0,0,433,756,217,295,0,0,1270,800,303,484,0,0,1593,1621,625,935,13,3,3198,1305,566,519,9,3,2402,2394,766,295,0,3,3462,2415,441,112,5,0,2975,861,222,155,3,0,1246,11506,3531,3200,36,14,18280
CED102,578,118,309,0,0,1000,114,29,82,0,0,234,111,20,57,0,0,192,165,46,122,4,0,333,225,68,189,0,0,484,610,146,551,0,0,1314,587,174,980,0,0,1739,1195,335,2157,7,0,3696,948,281,1356,9,0,2597,1706,440,795,4,5,2941,2357,374,422,5,0,3158,795,143,445,0,0,1383,9397,2165,7458,32,15,19069
CED103,829,173,266,3,0,1271,126,37,52,0,0,214,121,23,49,0,0,188,179,41,103,0,0,317,219,60,132,0,0,412,618,179,427,4,4,1228,582,206,667,0,0,1453,1249,471,1824,4,0,3543,1000,439,1343,0,3,2786,1785,583,1002,3,3,3379,3852,603,483,0,3,4944,903,180,379,0,3,1470,11459,2992,6724,15,18,21213
CED104,1060,74,32,0,0,1159,229,16,3,0,0,254,173,24,8,0,0,201,276,24,16,0,0,317,357,18,14,0,0,402,983,90,65,0,4,1148,1126,108,119,0,3,1361,2257,186,360,4,0,2807,1878,181,248,4,0,2309,3441,339,158,3,0,3942,5120,194,78,0,0,5405,1182,58,59,0,3,1301,18088,1308,1169,15,10,20597
CED105,602,123,158,3,3,889,138,31,55,0,0,230,124,32,57,0,0,210,194,53,89,0,0,330,274,66,136,4,0,472,759,246,397,12,0,1415,860,285,690,10,0,1844,1660,560,914,18,7,3158,1356,424,266,3,0,2052,1698,347,154,3,0,2214,1034,134,88,0,7,1262,889,208,195,7,0,1304,9579,2513,3195,62,23,15382
CED106,926,49,242,0,0,1225,147,8,33,0,0,188,109,5,51,0,0,169,161,6,75,0,0,246,178,11,91,0,0,282,620,45,366,4,0,1029,581,46,428,0,5,1057,1176,83,1212,15,4,2485,941,75,932,7,0,1955,1955,139,833,12,0,2934,6800,201,583,5,0,7596,988,42,287,0,0,1322,14583,701,5133,45,3,20478
CED107,760,28,11,11,0,808,391,11,6,4,0,415,407,15,0,0,3,431,802,30,3,3,4,842,1161,45,9,6,0,1228,3404,110,38,12,5,3562,3922,81,7,19,3,4025,4132,42,6,17,3,4199,1667,13,0,11,4,1698,1242,9,0,3,0,1256,830,7,0,9,5,854,1051,28,5,9,6,1090,19768,414,96,100,31,20412
CED108,799,61,23,0,0,889,197,17,4,0,0,225,190,19,6,0,0,217,362,32,5,0,0,406,498,64,19,0,0,583,1672,215,84,0,0,1973,2252,377,133,3,3,2763,4580,862,162,0,4,5616,4053,442,40,0,6,4535,3442,246,30,0,0,3725,1386,123,10,0,0,1526,1426,180,28,0,0,1639,20866,2646,539,7,17,24078
CED109,612,140,147,0,0,898,139,33,41,0,0,214,115,30,56,0,0,193,150,50,73,0,0,269,215,75,118,3,0,412,608,154,336,0,0,1104,587,208,515,3,0,1308,1280,401,1030,4,3,2722,1125,413,783,5,6,2326,2120,625,549,0,3,3295,3992,522,278,3,3,4806,924,178,235,4,0,1338,11858,2818,4155,26,20,18876
CED110,782,73,43,4,5,902,413,39,21,0,0,477,340,47,29,0,0,414,667,59,31,4,3,760,950,74,60,4,0,1093,2550,223,179,8,3,2958,2891,256,121,11,0,3276,3565,183,86,0,5,3846,1417,42,22,0,3,1481,939,31,21,3,0,997,477,24,17,0,0,519,854,51,38,3,0,947,15851,1110,658,34,24,17682
