CED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
CED101,11,104,0,113,4428,204,4748,55,79,0,136,5265,319,5722,1976,140,19,2137,8619,704,11459,5740,92,34,5866,4349,569,10778,3754,112,33,3903,5614,387,9903,808,360,11,1174,8418,413,10000,161,556,3,728,6145,351,7221,29,107,4,130,3562,262,3956,5,10,0,11,1493,204,1708,12532,1554,108,14195,47886,3421,65498,9,206,3,218,3977,193,4391,126,174,0,305,4735,262,5304,3277,215,48,3539,7118,653,11309,7297,129,81,7506,3425,519,11446,3679,221,35,3935,6561,424,10912,429,962,20,1409,8843,363,10613,125,899,15,1036,6572,319,7934,23,139,4,173,4333,396,4901,3,10,0,9,2267,528,2801,14975,2955,202,18132,47820,3653,69611,20,312,0,333,8406,396,9139,186,248,3,442,10000,582,11023,5258,352,67,5671,15734,1358,22767,13045,222,114,13373,7770,1085,22229,7429,330,68,7833,12173,811,20812,1237,1323,28,2580,17252,778,20615,287,1458,21,1767,12721,665,15152,48,250,10,309,7891,654,8857,3,16,0,19
CED102,10,101,0,110,4018,250,4379,42,101,0,143,6601,514,7254,2170,166,24,2361,14095,1351,17800,5952,123,22,6097,6868,815,13783,3623,81,18,3725,6307,566,10595,856,274,11,1148,7679,503,9324,154,492,4,651,5946,398,6993,23,126,0,147,3750,414,4312,5,8,0,19,1540,324,1877,12833,1469,86,14387,56796,5130,76315,7,151,0,161,3506,209,3875,140,174,0,316,5714,426,6453,3706,262,38,4007,12274,1192,17474,7209,174,68,7449,5319,733,13496,3751,256,28,4039,6772,562,11368,431,841,31,1300,8170,454,9928,126,851,16,993,6254,382,7618,24,183,4,215,4397,429,5043,0,17,0,22,2006,556,2581,15393,2909,188,18497,54405,4935,77837,17,252,0,272,7528,456,8255,176,276,0,460,12305,939,13703,5877,429,60,6362,26368,2541,35274,13152,298,94,13545,12182,1553,27276,7374,334,44,7759,13081,1126,21959,1289,1118,42,2447,15847,961,19253,281,1337,22,1640,12198,774,14612,48,309,4,361,8151,842,9357,13,28,0,37
CED103,14,107,0,121,4549,150,4820,17,97,0,111,5979,278,6369,2209,119,7,2331,12781,907,16022,8221,109,33,8362,6358,719,15438,4706,81,28,4815,5763,428,11005,904,298,12,1216,8436,369,10025,239,768,11,1009,6199,261,7472,36,164,0,207,3409,212,3832,3,10,0,10,1538,188,1736,16347,1759,91,18190,55019,3513,76727,7,139,0,145,4186,142,4479,47,147,0,191,5582,288,6060,3710,237,29,3977,11949,835,16760,9859,163,74,10099,5144,640,15883,4557,162,42,4758,6744,395,11904,547,995,21,1569,9131,352,11054,226,1268,23,1518,6473,304,8296,27,182,0,214,4222,292,4725,10,10,0,23,2307,379,2710,18999,3298,194,22489,55739,3625,81856,22,246,0,272,8740,291,9295,58,240,0,302,11551,570,12422,5923,358,32,6315,24731,1741,32784,18079,269,109,18459,11503,1362,31319,9262,249,68,9577,12508,817,22907,1455,1295,32,2784,17571,723,21079,464,2033,34,2527,12672,570,15766,69,343,4,418,7636,506,8557,9,18,0,33
CED104,10,132,0,141,5269,138,5546,26,92,0,115,4414,126,4655,1227,89,18,1329,4655,202,6187,6268,79,56,6399,2744,285,9435,5225,97,45,5366,5327,286,10985,905,446,11,1365,8212,236,9805,154,844,3,1002,6329,207,7544,27,207,0,240,4003,228,4471,3,10,0,13,1345,223,1578,13843,1997,129,15971,42300,1934,60206,3,193,3,201,4774,103,5080,53,161,3,219,3785,107,4109,2063,151,36,2250,3792,205,6248,8001,109,90,8198,2088,258,10548,5105,230,53,5380,6009,259,11646,468,1151,24,1634,8504,192,10343,127,1387,9,1523,6389,246,8158,15,225,3,250,4427,311,4987,0,8,0,16,2030,442,2491,15848,3613,215,19675,41801,2129,63609,17,319,3,344,10040,242,10623,76,254,8,335,8203,229,8767,3294,242,54,3588,8448,405,12432,14266,190,146,14601,4835,548,19980,10330,330,91,10745,11335,548,22631,1376,1594,31,2997,16717,428,20148,281,2231,11,2528,12717,459,15702,50,436,6,487,8429,542,9461,3,18,0,22
CED105,20,110,0,133,5452,554,6136,109,154,0,266,7076,900,8237,2815,199,25,3038,11814,1884,16742,5099,111,30,5241,6169,1478,12886,3001,105,20,3130,6615,1072,10817,868,274,20,1164,8104,799,10066,123,307,6,437,5852,527,6813,21,90,0,114,3120,374,3613,0,9,0,11,1154,250,1413,12061,1362,110,13528,55354,7834,76721,23,275,3,299,4823,464,5583,426,241,6,674,5823,633,7128,5324,294,50,5666,7858,1415,14941,6558,158,61,6777,4062,1119,11959,2805,305,52,3163,6634,852,10644,380,789,39,1202,8079,731,10018,69,596,16,676,5868,526,7073,21,92,0,113,3312,385,3818,3,10,0,11,1650,447,2114,15609,2767,221,18600,48107,6576,73283,39,385,4,428,10273,1024,11724,538,394,9,944,12891,1534,15369,8139,498,76,8705,19671,3298,31675,11660,273,88,12022,10225,2595,24842,5808,406,73,6293,13251,1926,21465,1245,1066,62,2371,16187,1529,20086,192,906,18,1116,11716,1055,13887,38,183,0,230,6433,765,7429,3,14,0,22
CED106,3,120,0,125,5515,147,5788,8,70,0,87,4640,151,4876,1289,99,3,1394,5943,317,7657,7387,70,32,7493,3664,345,11509,6095,87,41,6221,5091,280,11591,1289,322,17,1624,7623,250,9500,228,853,8,1088,5858,203,7152,39,270,0,304,4263,184,4754,4,12,0,13,1960,163,2140,16339,1904,108,18352,44564,2041,64957,10,192,0,202,5160,126,5485,34,130,0,165,4224,135,4526,2230,135,25,2383,5460,320,8159,9506,142,69,9718,3124,351,13200,6443,161,40,6646,6103,286,13038,630,916,27,1569,8285,249,10103,194,1464,18,1672,6359,255,8284,31,320,5,355,5106,276,5737,3,14,0,15,2906,388,3309,19074,3471,185,22724,46735,2390,71856,15,317,0,329,10675,271,11279,43,206,0,251,8862,285,9400,3518,230,27,3777,11403,629,15818,16892,220,107,17218,6793,697,24709,12538,241,82,12861,11196,570,24628,1920,1239,40,3194,15906,498,19602,414,2310,28,2760,12218,456,15435,68,583,5,659,9375,463,10492,5,21,0,31
CED107,15,222,5,243,4643,477,5362,256,144,15,412,3756,598,4765,3091,263,101,3460,5343,1442,10247,4928,197,148,5274,3277,1275,9825,2876,353,93,3327,6051,985,10363,524,858,22,1404,8601,838,10845,93,911,7,1011,7787,718,9525,15,194,0,209,4573,467,5246,3,16,0,19,1352,156,1526,11802,3166,389,15359,45383,6958,67700,52,422,0,477,3980,352,4805,515,286,33,836,3153,313,4297,4536,413,309,5254,4272,691,10215,5900,316,338,6553,2608,672,9828,2731,887,112,3734,6258,692,10681,240,2094,19,2354,8083,620,11069,60,1472,10,1538,7348,617,9504,14,267,0,282,4898,499,5684,5,25,0,29,2198,298,2522,14058,6181,827,21063,42796,4753,68606,69,645,3,720,8614,833,10167,768,431,50,1249,6902,911,9063,7631,673,409,8711,9616,2135,20457,10828,516,483,11828,5880,1946,19654,5606,1243,206,7056,12317,1675,21049,760,2953,44,3757,16686,1462,21909,150,2383,17,2554,15138,1332,19023,35,461,0,498,9473,965,10926,4,41,0,48
CED108,30,194,3,230,5711,566,6508,240,210,11,464,6149,611,7220,3588,283,57,3923,9541,1294,14758,8300,164,85,8544,6233,1162,15941,3245,209,32,3483,7268,825,11585,688,421,11,1128,7968,596,9690,134,433,9,581,5682,406,6661,15,79,0,88,2671,252,3012,0,4,0,7,731,98,833,16247,1997,211,18452,51958,5808,76218,66,385,0,453,5152,476,6078,594,373,25,996,5132,504,6627,6615,391,125,7127,7685,1262,16069,9534,234,121,9895,4779,1178,15852,2891,540,78,3508,7407,751,11663,361,1149,24,1534,8032,535,10097,104,784,15,910,6162,480,7547,12,114,0,123,3143,314,3582,5,4,0,6,1382,246,1634,20178,3967,395,24541,48869,5739,79150,92,578,5,678,10872,1038,12586,830,587,34,1455,11281,1115,13850,10204,670,179,11049,17225,2555,30830,17828,400,210,18437,11012,2339,31791,6140,747,112,6995,14679,1574,23248,1049,1572,39,2661,16000,1135,19794,236,1221,24,1484,11841,885,14213,28,184,0,214,5809,568,6589,3,9,0,15
CED109,5,124,0,128,4068,181,4372,32,70,0,97,3942,140,4182,1671,102,11,1789,6477,507,8769,5341,108,48,5497,3348,454,9300,4075,111,33,4222,5331,434,9987,696,463,5,1164,7617,321,9103,90,895,5,990,5824,282,7105,16,193,0,220,4013,270,4501,3,11,0,17,1716,234,1967,11934,2087,104,14124,42333,2831,59283,9,185,0,190,3816,154,4165,67,131,4,199,3755,162,4115,2679,209,53,2939,5869,476,9279,6625,177,116,6917,2686,406,10011,4145,244,53,4441,5833,383,10660,338,1307,19,1657,7679,311,9639,65,1437,11,1512,6196,318,8028,18,214,4,236,4896,374,5506,7,16,0,20,2609,500,3133,13960,3909,255,18123,43330,3073,64530,17,306,0,318,7883,335,8537,97,196,4,302,7698,302,8298,4347,315,66,4726,12340,976,18049,11965,285,168,12420,6033,862,19311,8222,354,82,8659,11169,813,20639,1035,1771,23,2824,15289,633,18747,156,2333,18,2506,12017,608,15129,36,409,9,448,8913,641,10008,6,25,0,33
CED110,19,198,4,218,4255,466,4938,200,131,6,337,3202,392,3928,2248,223,81,2557,4723,938,8214,4180,187,172,4541,3183,841,8556,2839,287,101,3226,5741,720,9691,613,775,16,1406,9290,737,11430,115,979,9,1100,10133,687,11917,26,217,3,249,6093,570,6910,4,19,0,21,2014,332,2368,10240,3014,388,13643,48625,5695,67957,38,371,8,413,3929,398,4737,409,255,26,691,2843,268,3802,3522,370,222,4117,3698,637,8450,5447,294,338,6086,2605,619,9302,2921,722,168,3809,6462,613,10877,286,1971,26,2288,9965,687,12940,76,1629,15,1715,10040,709,12455,29,272,5,300,6834,759,7896,4,15,0,27,2947,682,3654,12732,5897,812,19438,49313,5360,74113,59,566,11,633,8180,864,9679,600,388,29,1025,6042,658,7729,5771,594,301,6674,8421,1575,16670,9623,490,510,10624,5781,1454,17863,5761,1005,269,7037,12199,1334,20566,902,2746,45,3690,19253,1423,24368,189,2606,22,2809,20166,1392,24373,56,482,6,548,12931,1332,14808,14,32,0,45
