CED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
CED101,0,8,21,47,23,24,24,11,0,163,0,7,13,91,55,40,36,23,3,268,0,0,0,44,18,18,26,7,5,134,0,9,18,101,22,11,23,7,0,186,0,11,23,104,28,22,5,0,0,202,0,0,4,21,23,22,9,5,3,95,11,27,29,59,25,28,16,3,4,202,0,34,83,352,270,335,170,64,27,1334,0,0,4,11,6,7,9,3,0,51,0,0,4,12,11,3,3,0,0,38,13,97,160,804,482,489,347,212,70,2676,165,322,359,998,338,367,291,217,124,3189,4673,9699,10466,22239,9903,10000,7221,3956,1708,79869,0,0,0,8,6,0,0,0,0,18,3972,8135,7149,10237,5131,4222,3195,2143,1481,45665,5,11,36,221,41,8,6,0,0,322,0,0,0,57,32,56,18,13,4,177,0,10,7,137,25,18,6,0,0,205,0,0,0,20,13,14,3,3,0,58,0,3,11,40,16,18,7,5,0,102
CED102,9,19,15,94,41,15,29,6,0,224,0,3,10,88,42,34,21,9,0,203,0,0,11,77,18,11,14,9,4,143,0,3,8,179,25,3,19,3,0,250,4,15,31,299,67,33,18,4,0,472,0,0,0,102,45,66,43,17,3,274,11,31,29,120,46,31,8,5,0,281,8,52,189,480,265,253,189,58,15,1501,0,0,0,15,12,9,3,0,0,52,0,0,4,15,12,9,0,0,0,37,53,171,295,2206,609,659,556,389,133,5066,201,370,558,1686,498,416,295,218,101,4352,5116,9074,11634,31581,10595,9324,6993,4312,1877,90505,0,0,0,11,7,0,0,0,0,15,4351,7246,6555,11185,4983,2988,1621,978,708,40610,3,25,82,501,67,31,8,0,0,721,0,0,0,40,14,42,27,19,6,145,9,17,56,702,48,30,16,3,5,881,0,0,13,30,9,21,10,4,3,86,0,0,9,73,25,10,3,0,0,118
CED103,10,72,69,142,88,34,38,13,3,470,4,30,37,181,112,53,60,20,7,496,9,32,45,286,122,131,134,50,25,836,8,27,42,353,88,34,52,26,0,636,9,12,35,144,41,16,12,4,0,282,0,0,8,70,29,25,24,3,4,162,19,71,48,124,42,33,22,14,5,386,5,24,88,262,147,116,71,23,8,750,0,0,3,22,13,15,10,11,3,81,0,7,21,39,14,5,0,0,0,87,38,278,210,1338,459,426,302,197,88,3340,172,333,318,1219,339,304,217,157,95,3157,5407,11387,11189,31465,11005,10025,7472,3832,1736,93521,0,4,3,70,42,39,25,5,0,175,4700,8258,6893,9477,4402,3732,2672,1968,1473,43577,4,18,66,246,27,13,7,0,0,380,0,0,0,16,13,10,13,6,0,57,0,12,15,189,17,13,3,0,0,251,0,0,6,21,12,11,3,8,0,57,0,5,10,79,28,16,13,3,4,164
CED104,4,66,60,69,51,50,43,17,3,356,10,82,125,250,263,188,70,46,12,1044,0,24,59,182,179,212,179,59,17,913,3,12,8,103,42,31,47,11,0,265,3,9,10,32,14,10,4,0,4,87,0,0,9,18,16,15,4,4,0,79,3,54,59,88,65,46,39,18,0,380,0,6,11,65,69,68,42,8,4,273,0,7,7,16,27,26,19,12,3,106,0,0,8,22,38,22,13,6,0,114,8,122,164,403,361,379,260,212,76,1982,67,176,202,354,209,174,155,146,72,1551,3577,11415,10201,15619,10985,9805,7544,4471,1578,75201,0,0,0,20,22,19,14,0,0,79,3274,8776,7453,8109,6095,5112,4067,2876,1489,47247,0,4,6,41,23,10,11,0,0,94,0,0,0,3,14,4,0,3,0,25,0,0,3,39,12,7,4,0,3,72,0,3,0,4,15,7,4,0,0,38,0,18,10,40,39,35,18,9,3,170
CED105,0,11,7,20,9,5,10,4,0,75,0,0,6,17,15,8,13,8,0,75,0,8,45,184,107,82,78,27,13,541,0,4,18,188,12,11,5,0,0,240,0,3,14,94,15,10,4,0,0,149,5,20,28,239,273,311,145,119,17,1156,0,17,27,33,12,14,3,0,0,105,31,169,455,1730,1509,1864,952,301,129,7137,0,0,0,0,0,0,3,0,0,9,0,3,7,20,11,6,0,0,0,50,34,330,428,1634,810,694,423,286,117,4755,462,1036,1091,2379,835,676,477,282,119,7353,6842,12945,14378,29625,10817,10066,6813,3613,1413,96511,3,88,178,420,138,67,23,12,3,948,5829,9960,7952,9220,2397,1790,1418,901,767,40227,5,30,62,580,67,33,6,0,0,785,0,0,3,43,28,41,27,18,0,155,0,8,5,46,9,6,0,5,0,78,0,0,10,44,51,60,40,26,7,228,0,5,0,10,10,3,0,0,0,28
CED106,13,123,107,97,81,46,40,19,5,537,12,154,218,391,466,345,274,107,31,1994,0,10,10,132,103,92,59,37,13,456,8,33,40,294,103,37,75,36,0,626,3,27,29,111,34,18,11,3,0,232,0,6,3,25,20,22,4,0,0,87,39,151,139,117,116,98,42,19,3,728,0,10,19,114,130,41,31,4,7,356,0,0,7,9,25,25,13,12,0,94,0,0,6,26,41,38,21,7,0,147,24,185,153,646,489,390,259,212,83,2449,109,230,226,506,231,191,161,141,126,1915,4331,12366,10666,19165,11591,9500,7152,4754,2140,81650,0,0,0,15,5,9,9,0,0,38,3544,9014,6969,6721,5219,4050,3384,3114,1941,43961,0,3,5,44,10,3,5,0,0,61,0,0,0,5,0,5,4,0,0,12,0,9,7,95,30,17,7,0,0,163,0,0,3,9,13,5,3,0,0,30,3,14,28,55,57,42,23,23,3,252
CED107,4,7,7,8,9,0,3,0,0,33,0,26,27,63,55,34,32,12,5,250,0,15,8,47,6,18,5,10,0,119,0,0,3,3,3,0,0,0,0,18,0,8,20,36,14,0,3,0,0,80,0,0,0,4,6,0,0,0,0,13,0,13,19,46,22,30,26,13,4,178,0,9,12,55,26,13,5,3,0,114,0,0,0,10,7,13,15,17,0,64,4,12,11,32,20,16,5,0,0,88,8,33,38,232,114,118,138,125,34,836,266,755,660,1381,731,809,795,488,164,6050,5207,11828,10122,20069,10363,10845,9525,5246,1526,84728,0,0,0,7,0,3,0,0,0,13,4492,10095,8181,16374,8868,8989,7497,4402,1941,70843,0,7,0,37,0,0,3,0,0,52,0,0,0,4,3,0,0,3,0,12,0,0,0,13,0,0,0,0,0,11,0,5,0,12,6,7,0,0,0,29,3,4,3,53,28,18,8,6,0,120
CED108,0,49,13,23,13,19,15,3,0,135,0,14,22,95,45,43,28,9,3,267,0,46,76,418,171,138,86,33,9,973,0,0,4,27,4,4,5,3,0,52,0,8,19,53,17,10,6,0,0,113,0,6,15,78,76,83,45,32,3,341,7,37,26,39,21,25,7,6,0,166,0,7,12,66,76,82,44,8,5,301,0,0,0,0,4,4,0,3,0,21,0,3,12,42,16,4,0,0,0,88,30,219,476,1437,799,708,478,260,127,4535,481,1073,902,2008,722,572,388,221,95,6459,8150,15760,13732,30700,11585,9690,6661,3012,833,100120,3,50,103,378,118,85,37,14,3,794,6967,11711,8245,10855,4234,3315,2480,1304,485,49597,9,79,52,612,106,75,29,3,0,955,0,0,0,39,32,33,24,16,7,150,0,0,0,32,0,6,0,0,0,41,0,3,8,34,20,7,6,3,0,81,0,3,3,18,5,0,7,4,0,47
CED109,4,12,7,27,18,20,16,4,0,106,0,22,21,127,85,56,44,25,4,378,0,3,7,8,18,14,9,0,0,55,0,0,0,20,8,3,9,0,0,43,0,20,21,47,14,5,5,0,0,113,0,0,3,35,21,21,18,14,0,114,14,24,22,74,37,34,15,13,0,236,0,8,8,29,60,42,31,19,0,194,0,0,0,23,8,24,13,10,0,82,0,0,0,14,7,4,0,0,0,33,10,105,88,713,419,394,323,269,87,2419,131,302,239,842,390,296,255,219,130,2818,4292,9064,8556,18065,9987,9103,7105,4501,1967,72635,0,0,0,0,0,0,0,0,0,3,3720,7622,7378,12996,7223,6161,4878,3194,2111,55281,0,0,0,29,15,11,4,0,0,61,0,0,0,44,21,35,17,7,0,126,0,11,20,284,34,28,12,6,0,395,0,0,5,27,7,5,12,0,4,53,4,0,9,104,35,31,13,5,0,196
CED110,0,7,3,16,4,7,6,4,0,40,0,12,34,87,71,50,52,35,4,349,0,7,10,18,4,0,0,6,3,49,0,0,6,12,0,3,0,0,0,18,0,26,29,22,7,3,0,0,0,91,0,0,0,6,3,5,0,4,0,26,7,13,17,58,27,33,71,28,3,260,3,9,10,28,18,11,3,0,0,75,0,3,5,8,15,14,19,16,6,87,0,0,0,17,14,14,9,0,0,62,10,68,103,283,164,167,173,152,49,1167,230,598,568,1235,685,801,794,554,251,5716,4127,10092,8861,16776,9691,11430,11917,6910,2368,82185,0,0,3,9,7,0,0,0,0,22,3674,8843,7465,13834,8643,10163,9580,5747,2680,70633,0,0,0,5,3,0,0,0,0,11,0,0,0,0,4,7,0,0,0,10,0,3,0,34,3,5,0,3,0,50,0,4,0,13,5,0,0,0,0,15,0,8,6,70,30,36,29,12,3,197
