CED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED101,591,341,210,125,449,383,122,169,26,2414,401,358,301,133,727,659,94,199,635,3514,10394,9150,7878,4453,15849,14636,3223,6198,1294,73074
CED102,636,416,295,145,513,412,97,140,41,2694,385,472,455,228,849,714,110,226,890,4322,10138,10791,10052,5337,19022,17524,3682,6816,1763,85136
CED103,550,473,288,142,510,479,99,209,31,2783,313,419,383,170,870,1017,155,288,754,4377,9089,12223,9144,5028,21364,23076,4692,8820,1420,94855
CED104,485,439,238,142,374,419,126,256,13,2496,205,378,246,163,512,692,138,326,381,3030,6283,11071,7692,4707,13506,17527,4193,9201,801,74975
CED105,673,319,238,94,332,307,65,78,40,2154,664,500,507,232,856,624,90,171,1215,4852,9833,8502,7310,3709,13532,10515,1935,3384,2160,60874
CED106,360,381,236,140,307,329,84,165,15,2024,174,413,309,157,545,743,158,429,466,3406,6186,11862,8191,4655,13714,19128,4641,11315,896,80589
CED107,123,423,330,191,579,575,199,477,39,2931,129,334,208,134,452,465,126,354,572,2760,3673,10473,8652,5566,15161,14419,4975,11996,1347,76265
CED108,457,310,203,109,548,432,107,140,32,2345,441,477,386,252,1291,847,144,203,1079,5125,9677,8976,8190,4964,22823,16960,3247,5065,2122,82020
CED109,610,425,271,149,388,483,87,218,32,2660,249,409,295,151,507,673,128,306,423,3151,7770,10588,7797,4631,12858,16070,4081,8941,1002,73740
CED110,100,428,303,225,588,476,143,255,34,2550,139,436,241,150,436,400,68,206,574,2650,3399,12013,9226,6671,13784,11557,3272,6822,1348,68093
CED111,651,425,277,110,448,464,95,216,31,2712,217,307,256,128,424,485,94,231,426,2568,7902,11861,8798,5036,14889,14254,4129,7471,935,75267
CED112,666,411,256,133,544,426,123,188,41,2795,251,335,254,161,551,510,88,239,517,2899,7858,10959,8103,5298,14541,12695,3411,6459,1198,70527
CED113,121,385,288,191,562,577,172,382,19,2697,132,353,228,148,463,586,138,333,553,2944,3803,10663,8811,5904,16061,16761,5050,10944,1361,79354
CED114,95,422,321,194,521,621,207,404,33,2826,156,375,279,192,662,625,177,354,661,3479,3346,10918,8863,6258,15850,15593,4936,12033,1546,79341
CED115,721,242,226,70,367,276,66,94,46,2102,531,422,352,207,1056,580,102,171,766,4183,9167,7185,5786,3343,14095,9904,2041,3652,1555,56720
CED116,147,418,326,195,489,469,103,229,33,2409,155,353,196,174,382,396,87,182,502,2434,4059,11477,8541,5532,12449,11657,3154,6574,1199,64638
CED117,430,388,298,153,484,429,127,226,18,2561,198,323,281,152,512,782,183,388,400,3220,6943,9389,7930,4968,16166,20381,5943,12710,866,85290
CED118,618,359,279,109,616,496,127,184,26,2821,427,426,389,204,1171,1088,173,288,822,4976,10850,10446,8945,5379,24235,22857,4212,7158,1707,95788
CED119,609,388,246,158,466,537,136,244,20,2809,227,309,202,147,511,621,122,277,341,2768,8118,10037,7749,4797,14716,16929,4485,8490,840,76164
CED120,526,490,297,191,640,669,185,391,47,3447,291,433,278,155,646,724,161,392,606,3684,7833,11540,8691,5542,16250,16617,4509,10839,1505,83323
CED121,252,507,401,230,732,748,219,353,39,3484,192,325,229,168,552,556,137,313,604,3070,5153,10954,8920,5826,15343,14904,4746,9959,1363,77165
CED122,531,447,350,165,495,491,106,224,30,2848,251,461,377,195,674,944,184,443,714,4239,8321,11929,9680,5276,18102,21832,5295,11734,1527,93684
CED123,682,395,269,132,616,570,153,303,23,3148,346,397,320,206,956,821,163,315,745,4270,9599,10583,8525,5479,20589,18228,4489,8536,1612,87639
CED124,108,382,320,225,499,498,143,275,31,2484,166,330,216,153,393,360,80,221,534,2448,3277,9854,8003,5672,11294,10447,3066,7092,1353,60066
CED125,677,393,243,142,622,535,174,241,41,3057,465,492,348,247,1078,915,157,287,846,4841,11654,10969,8614,5592,21982,17698,4210,7302,1839,89856
CED126,624,511,301,171,407,494,124,284,18,2933,221,455,365,235,562,819,186,414,420,3674,7104,12410,9003,5304,12083,16868,4369,10075,884,78113
CED127,551,446,268,153,441,548,147,323,26,2900,283,365,232,120,430,504,124,264,399,2728,7545,10812,7782,4712,12672,13350,3712,8133,938,69656
CED128,558,314,204,90,418,415,102,146,26,2275,421,416,312,179,828,631,119,195,795,3891,8906,7729,6198,3696,14300,11698,2626,4501,1600,61251
CED129,607,492,263,142,480,472,111,240,29,2826,269,418,267,179,809,946,174,381,562,4008,8814,12008,8674,5103,19672,23191,4933,10187,1204,93781
CED130,93,365,303,182,623,518,160,315,20,2573,143,316,197,144,411,419,96,292,574,2597,2966,9531,7606,5402,14226,12883,4094,10796,1400,68894
CED131,164,503,389,241,547,504,130,280,11,2772,122,368,231,161,539,539,131,218,463,2771,5023,13670,10564,7131,17378,16958,4831,8777,1012,85350
CED132,430,418,244,118,383,363,105,191,20,2277,181,366,288,168,601,939,218,544,391,3691,6208,10360,8068,4672,15757,23077,6263,15330,855,90576
CED133,109,395,333,245,641,553,115,270,33,2699,163,395,268,198,508,432,81,286,574,2906,3327,10873,9566,7046,14293,11726,3246,7876,1413,69368
CED134,73,328,223,155,553,539,163,418,35,2489,134,305,184,127,442,431,107,387,642,2753,2866,7858,6516,4753,12905,12711,4174,13922,1570,67270
CED135,453,354,242,115,491,395,90,154,26,2320,423,522,488,236,1115,953,111,204,1058,5109,9512,10735,9692,4857,22223,21932,3441,5771,2094,90249
CED136,226,510,404,262,692,701,187,321,43,3342,170,339,241,177,589,579,146,341,566,3142,5015,11556,9119,6118,16548,14968,4652,8580,1211,77758
CED137,605,385,274,148,495,444,93,218,18,2691,483,595,604,233,1000,1064,149,365,1112,5605,9927,13199,11371,5766,21664,23505,5006,10421,2005,102861
