CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED101,0,0,0,0,7,5,5,7,0,0,0,0,0,0,0,22,0,0,0,4,21,74,269,193,41,39,38,45,17,6,13,753,3,6,7,18,26,29,42,16,9,3,8,3,0,0,4,182,11,45,76,220,2470,3437,5374,2272,438,467,357,428,146,25,400,16161,0,64,304,102,46,64,15,17,0,0,0,5,0,0,9,625,25,70,182,159,247,276,292,182,23,29,33,19,4,0,26,1561,5,0,21,74,290,213,167,40,11,14,10,14,9,0,19,877,54,54,51,21,39,33,44,31,5,8,6,4,0,0,12,351,14,326,885,240,68,65,47,122,16,13,7,11,5,0,58,1886,4,17,39,311,897,991,365,148,45,38,29,28,18,8,54,2990,0,3,48,84,213,388,628,326,70,70,112,99,18,9,37,2112,0,4,13,67,241,505,549,146,36,14,31,23,25,3,28,1692,0,0,0,5,22,52,28,60
CED102,0,0,0,0,5,14,8,4,3,0,0,0,0,0,0,40,0,0,0,10,29,159,700,477,88,132,111,100,39,23,36,1906,0,4,8,22,40,22,41,43,13,10,0,13,7,0,4,223,15,79,101,277,2661,3270,5098,2931,634,682,584,658,195,38,482,17708,6,54,222,63,32,64,17,6,0,0,0,0,0,0,23,486,19,90,235,211,153,193,110,84,7,11,18,20,3,0,68,1224,0,4,18,99,270,198,126,67,23,21,11,12,4,0,21,875,23,25,39,32,44,30,64,32,9,11,7,12,0,0,18,356,41,1025,2792,635,166,72,59,188,27,25,18,15,7,0,354,5409,0,19,48,298,716,765,339,218,62,59,45,58,26,9,44,2700,4,0,56,63,133,205,624,643,253,238,294,313,112,29,44,3014,0,5,17,108,315,548,766,309,89,78,91,93,31,4,49,2509,0,0,5,15,18,37,67,76
CED103,0,0,0,7,76,158,72,23,3,5,0,4,4,5,8,359,0,0,0,8,21,51,153,166,58,115,85,119,62,5,3,863,0,4,22,42,44,41,69,39,15,8,4,16,4,0,3,324,32,76,96,220,2504,3793,8863,5102,1219,1075,1015,1282,437,87,450,26243,0,28,143,54,34,34,20,12,0,0,0,0,0,0,14,337,6,34,91,64,76,55,44,44,17,48,18,25,22,0,17,571,5,13,23,79,159,130,105,28,3,9,6,11,6,0,14,588,56,67,57,25,51,48,82,44,11,19,13,18,7,0,8,511,3,106,212,52,26,9,0,31,13,0,0,5,6,4,22,488,10,25,86,432,1739,2076,735,395,135,145,138,151,149,55,99,6375,9,8,84,125,423,950,1519,1430,659,772,1005,1212,487,162,122,8961,0,6,25,92,256,468,530,228,57,64,73,111,46,4,21,1997,0,0,44,124,378,274,400,692
CED104,0,0,0,15,69,46,17,7,0,0,0,0,0,0,6,162,0,0,0,16,25,40,55,40,0,6,0,10,3,0,0,192,3,3,37,45,48,62,54,34,11,16,3,5,0,0,0,325,25,47,54,79,930,1500,3706,1776,360,260,257,325,81,36,134,9555,0,26,67,26,17,18,7,6,0,0,0,0,0,0,5,176,8,17,75,36,36,37,25,11,0,0,0,0,0,0,12,268,0,5,25,50,151,80,49,20,0,3,0,4,4,4,7,409,79,95,86,62,53,72,110,35,12,9,3,10,0,0,22,644,4,38,70,17,8,8,5,3,0,0,0,0,0,0,9,163,9,22,24,177,727,998,259,130,32,38,49,38,38,22,33,2603,12,14,93,152,495,1134,1871,881,289,252,250,189,86,27,39,5784,0,7,15,60,128,218,159,43,8,0,3,3,5,0,13,660,3,0,9,40,273,236,364,411
CED105,0,0,0,4,41,256,796,953,117,109,166,161,53,33,71,2749,0,0,0,0,21,153,693,419,93,119,90,60,35,10,28,1732,0,0,5,4,8,9,15,6,4,0,0,7,0,0,4,60,3,32,77,136,1436,1942,3739,1703,447,951,868,512,85,24,507,12476,0,29,254,79,22,28,11,7,0,0,0,0,0,0,19,453,9,23,99,105,123,125,251,154,44,49,44,30,10,0,39,1094,0,0,6,70,272,176,149,76,11,15,39,53,7,0,45,938,91,68,37,19,20,22,35,8,3,0,0,0,0,0,12,328,6,189,575,169,51,25,18,65,6,0,5,9,3,0,54,1182,0,0,5,65,240,231,137,60,21,18,4,15,9,4,16,822,0,3,29,58,113,188,984,618,233,318,503,508,121,27,96,3797,0,5,0,67,144,251,282,99,27,25,19,31,7,3,23,981,0,0,3,10,23,77,177,205
CED106,0,0,0,11,19,15,9,0,3,0,0,0,0,0,5,67,0,0,0,0,14,18,45,26,16,5,6,8,0,3,0,148,4,0,46,82,56,82,127,45,8,19,8,18,8,0,9,507,48,99,83,179,1573,2695,6401,3761,904,769,702,919,436,71,306,18940,0,32,74,15,12,15,11,8,0,0,0,0,0,0,6,178,17,37,48,17,22,10,11,9,0,3,17,6,0,0,0,206,5,13,15,49,52,36,37,14,0,3,4,9,6,0,0,244,68,75,71,54,63,80,136,47,8,4,15,13,15,5,17,680,7,37,61,15,6,0,5,3,0,0,3,0,7,0,8,158,9,54,105,380,1483,1351,612,359,97,111,107,151,171,85,84,5155,19,23,87,204,413,694,1364,947,300,417,429,481,194,72,58,5706,8,13,27,78,188,292,242,112,19,19,26,24,21,4,11,1078,0,0,23,86,387,244,545,471
CED107,0,0,0,0,0,0,16,9,0,0,0,0,0,0,4,27,0,0,0,0,0,4,26,37,3,18,5,3,7,0,0,116,3,3,9,25,25,21,50,28,0,7,3,5,9,0,8,201,10,20,10,31,36,52,125,63,4,17,13,8,4,0,39,441,5,18,41,23,4,9,0,3,0,0,0,0,0,0,6,109,0,4,5,0,0,5,7,5,0,0,6,0,6,0,6,42,0,0,9,15,35,29,38,15,4,4,12,4,0,0,17,172,97,130,71,31,48,22,28,17,15,5,4,0,0,0,13,467,0,19,34,16,0,3,0,0,0,3,0,0,0,0,6,89,0,0,8,9,21,6,8,12,0,0,0,0,4,0,16,89,7,0,13,17,24,34,242,282,80,96,112,106,42,10,19,1089,0,12,5,7,10,3,31,22,9,4,6,4,0,0,6,119,0,0,0,0,12,5,11,20
CED108,0,0,0,0,70,371,583,279,96,63,31,54,34,21,23,1625,0,0,0,3,62,313,836,425,80,77,50,33,22,0,22,1930,0,3,8,5,12,14,27,7,0,0,6,0,0,0,0,89,5,6,14,26,267,361,698,353,90,88,66,69,14,3,45,2105,4,22,191,63,41,103,14,0,0,0,0,0,0,0,14,456,0,16,87,93,207,183,267,182,16,34,9,17,0,0,26,1137,0,3,17,105,933,1369,1490,521,122,75,120,123,56,10,76,5011,109,100,70,34,24,29,29,10,0,3,0,6,0,0,15,426,6,44,151,54,22,18,11,20,0,0,0,0,0,0,9,332,0,4,8,24,93,93,53,26,6,4,6,4,6,0,3,338,0,6,52,99,287,1098,7456,4561,1096,1059,1264,1393,404,72,249,19095,0,3,4,55,140,214,218,70,12,22,20,10,13,0,14,804,0,0,5,25,43,89,129,208
CED109,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,10,0,0,0,3,11,35,36,19,8,0,0,3,0,0,0,132,4,0,17,30,41,42,83,53,11,5,15,16,5,3,0,324,3,28,29,52,671,850,1026,445,84,76,45,81,32,7,103,3535,0,53,206,30,32,42,10,8,0,0,0,0,0,0,10,404,39,117,280,195,204,191,136,67,8,15,4,10,4,3,44,1311,3,0,8,61,109,78,39,4,3,0,4,5,0,0,5,324,58,92,59,47,48,37,94,32,11,12,10,4,3,4,18,512,29,487,1160,226,61,36,26,136,16,26,11,8,0,0,100,2313,3,11,33,118,193,245,84,45,8,8,12,12,21,4,15,803,8,14,46,60,71,86,196,129,28,28,29,40,12,0,10,760,0,6,8,44,85,116,95,36,10,7,5,9,3,0,13,433,0,0,0,6,24,24,46,39
CED110,0,0,0,0,0,0,0,18,6,11,0,0,0,0,0,45,0,0,0,0,3,3,11,3,0,0,0,0,0,0,0,21,0,5,38,53,55,40,70,52,7,6,9,5,13,0,3,357,7,6,7,5,32,41,90,61,12,39,34,31,0,0,20,393,8,14,35,10,0,3,3,0,0,0,0,0,0,0,0,79,4,20,19,3,0,5,12,6,0,3,0,3,0,0,0,91,8,7,12,25,40,31,44,8,0,3,0,0,0,3,11,192,93,175,113,73,128,59,67,33,8,10,0,4,0,0,43,797,0,19,16,4,0,0,3,0,0,0,0,0,0,0,0,48,0,0,18,19,16,8,15,15,0,0,4,0,0,0,8,119,9,15,32,28,44,51,239,243,47,53,48,72,28,5,26,946,5,14,8,3,14,13,27,17,10,10,5,10,3,6,9,149,0,0,0,5,9,0,10,14
