CED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED101,0,0,0,0,0,0,0,5,4,102,0,117,0,0,0,0,0,0,0,3,0,28,0,37,0,0,0,0,0,0,0,7,5,29,0,38,4,0,0,0,0,3,0,6,3,29,0,43,0,0,0,0,0,10,0,16,4,57,5,87,0,0,6,0,0,7,0,30,12,92,0,151,3,3,0,0,0,23,9,47,38,187,3,320,6,22,11,6,4,74,11,61,56,219,3,478,14,44,23,35,9,166,20,105,115,318,7,849,37,85,49,88,28,229,50,124,93,318,6,1097,28,67,30,134,46,239,54,119,70,229,3,1026,70,85,36,188,48,250,53,120,80,221,0,1146,285,174,92,483,221,602,128,215,119,371,4,2709,452,133,88,598,247,328,122,120,72,221,6,2392,535,115,64,611,234,343,99,98,48,187,5,2338,550,80,34,438,175,170,48,65,32,93,0,1678,2269,202,72,1501,495,739,138,126
CED102,3,0,0,0,0,8,0,0,0,146,0,157,0,0,0,0,0,0,0,5,0,22,0,34,0,4,0,0,0,0,0,6,3,48,0,62,0,0,0,0,0,0,0,9,3,44,4,59,0,4,5,0,0,3,0,17,9,72,0,111,0,4,0,0,0,8,0,65,21,91,0,197,0,12,11,4,0,37,4,69,29,227,0,387,0,22,6,10,0,76,13,133,62,228,8,566,6,46,30,34,8,170,24,178,80,367,4,955,25,83,47,102,39,249,58,195,111,410,6,1318,28,73,42,141,39,271,54,125,76,284,9,1125,74,84,41,198,66,242,47,123,76,259,3,1214,323,207,81,514,174,577,147,245,113,422,5,2820,419,139,71,566,215,330,108,117,84,259,4,2309,499,115,49,564,164,286,80,106,44,169,7,2089,527,75,38,369,154,164,60,60,33,109,0,1604,2085,167,77,1176,431,654,102,144
CED103,0,0,0,4,0,7,0,4,4,123,6,147,0,0,0,0,0,0,0,5,0,27,0,41,0,0,4,0,0,0,0,12,0,40,0,61,0,0,4,0,0,3,0,4,3,22,0,40,0,4,0,4,0,3,4,20,9,74,0,121,0,0,3,0,0,12,0,39,11,103,0,176,3,13,3,9,3,31,5,76,29,120,3,296,3,33,11,14,7,82,14,92,54,180,0,495,13,65,24,46,8,179,20,117,62,229,0,764,26,110,55,106,29,236,42,165,86,247,7,1113,40,67,41,121,38,311,37,142,63,198,3,1058,66,78,35,162,50,316,45,102,37,171,3,1075,316,200,83,529,172,1007,108,220,88,303,9,3035,479,173,62,706,202,361,83,148,45,226,3,2481,696,130,41,672,182,499,63,120,48,171,8,2628,776,85,35,547,185,214,40,58,22,97,9,2054,3988,266,95,2134,508,1251,78,161
CED104,0,0,0,0,3,7,0,0,0,51,0,65,3,0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,0,0,0,25,0,32,0,0,0,0,0,0,0,4,0,16,0,23,0,0,0,0,0,0,0,14,0,31,0,51,0,8,5,0,0,4,0,15,4,53,0,94,4,0,5,4,0,12,0,28,15,70,0,141,3,11,7,9,0,29,0,47,13,91,0,214,9,36,9,29,8,84,7,77,21,128,5,410,22,67,19,77,17,123,14,101,18,155,5,623,28,43,22,96,31,166,22,81,20,118,3,638,61,76,13,156,31,180,20,69,32,113,7,762,218,178,43,485,124,564,47,176,39,246,6,2119,390,168,33,679,170,288,54,115,36,167,0,2114,600,134,31,828,178,388,61,97,16,139,0,2487,721,100,20,718,129,195,42,71,16,72,3,2090,4740,340,70,2999,541,1463,90,221
CED105,0,0,0,0,0,6,0,6,12,306,0,340,0,0,0,0,0,0,0,0,4,57,0,65,0,0,0,0,0,5,0,15,5,112,0,144,0,0,0,0,0,0,0,28,4,89,4,128,0,0,4,0,0,13,0,41,32,265,4,352,0,4,3,4,0,12,3,77,46,309,3,463,7,15,14,5,0,71,3,154,86,647,10,1013,3,23,21,7,9,187,12,195,130,636,11,1242,14,47,43,29,12,323,33,291,199,806,12,1814,39,76,81,113,38,441,68,272,211,748,19,2090,38,68,48,134,52,400,54,208,149,517,4,1670,83,77,45,153,64,389,55,162,106,446,10,1590,316,125,99,402,159,739,112,269,154,676,17,3073,330,90,94,345,151,347,89,165,111,399,3,2121,331,61,59,282,140,263,66,67,72,244,7,1593,293,36,32,186,89,150,35,51,39,115,6,1042,801,94,55,444,221,377,64,107
CED106,4,0,0,0,0,9,0,4,3,106,0,134,0,0,0,0,0,3,0,9,0,31,0,38,0,0,0,0,0,0,0,6,3,31,0,45,0,0,0,0,0,7,0,6,3,28,0,47,0,3,3,0,0,3,0,22,5,45,0,85,0,0,3,9,5,9,0,28,8,46,0,105,3,7,5,8,0,26,3,61,17,78,0,204,7,24,5,18,0,46,14,49,14,86,5,267,22,33,12,27,4,113,15,90,35,145,0,499,16,90,16,61,12,129,19,88,24,130,5,597,28,57,12,82,18,172,17,82,21,124,4,619,53,79,16,106,33,212,18,78,14,100,0,711,200,171,32,355,85,688,59,136,40,212,6,1987,313,149,24,517,101,259,46,97,35,155,0,1692,471,130,20,571,114,434,39,90,26,137,0,2030,595,98,21,441,102,161,20,50,11,68,3,1577,5440,410,68,3670,647,2364,111,317
CED107,10,0,0,0,0,4,0,0,0,21,0,44,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,7,0,0,0,3,0,14,0,26,0,0,0,0,0,0,0,5,0,10,0,22,6,0,0,0,0,0,0,12,3,27,0,52,0,0,0,8,0,11,0,24,4,41,0,90,12,11,0,18,0,32,0,45,9,106,0,225,11,17,0,33,0,67,0,50,9,101,0,291,24,51,9,66,13,136,13,74,18,142,3,551,53,71,10,223,26,215,19,99,30,160,3,912,82,56,13,268,39,240,9,74,25,84,0,886,142,49,8,409,44,219,18,43,19,79,5,1042,563,117,26,991,150,441,50,86,34,106,6,2571,680,94,27,1022,163,188,47,45,15,50,0,2342,715,49,15,765,129,179,28,19,15,37,7,1955,599,27,12,495,89,65,30,17,4,14,4,1349,1545,65,25,954,169,244,33,27
CED108,0,0,5,0,0,0,0,0,0,131,5,146,0,0,0,0,0,4,0,0,5,23,0,29,0,0,0,0,0,0,0,5,7,44,0,63,0,0,0,0,0,5,0,13,3,43,0,65,0,0,3,0,0,9,0,18,9,114,0,152,0,0,0,0,0,8,0,63,18,149,7,242,0,3,5,5,0,60,5,110,27,299,6,519,8,22,3,3,10,144,9,163,61,300,6,720,10,41,12,29,6,349,25,193,104,421,11,1205,22,95,55,161,50,546,55,269,133,463,11,1870,75,81,31,257,66,557,61,186,113,312,6,1741,176,97,37,293,95,522,67,137,104,267,11,1801,876,199,105,901,307,1213,166,258,172,489,19,4696,1138,132,88,868,356,471,121,161,80,269,17,3706,1109,104,49,598,256,449,84,95,67,165,11,3003,912,62,39,382,196,202,51,48,32,94,5,2018,2041,85,76,660,319,495,73,88
CED109,0,0,0,3,0,5,0,3,3,43,3,66,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,3,0,27,0,32,0,0,0,0,0,0,0,3,4,11,0,16,0,4,0,0,0,3,0,7,4,35,0,50,0,3,0,4,0,4,0,18,9,25,0,56,0,7,5,4,0,12,3,26,11,60,0,123,0,7,3,4,0,36,4,41,8,63,0,181,3,28,10,12,10,82,18,65,21,100,0,355,15,44,11,60,17,119,21,100,31,150,0,562,22,53,15,100,35,125,27,93,29,121,0,613,46,56,15,141,42,171,39,60,32,103,5,709,189,165,47,484,141,394,97,139,60,205,3,1935,294,173,49,636,183,234,95,124,46,139,0,1973,399,163,45,705,193,272,67,94,32,130,5,2107,432,92,26,573,156,139,62,79,29,80,0,1673,2792,358,81,2257,609,962,138,190
CED110,0,0,5,4,0,4,0,7,0,24,0,41,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,7,0,14,0,27,0,0,0,0,0,0,0,10,0,12,0,24,0,0,0,4,0,4,0,13,0,53,0,83,4,6,0,4,0,9,0,11,3,40,0,80,6,25,0,14,0,28,3,68,9,111,0,270,14,40,4,28,3,59,3,102,14,153,0,434,28,68,0,97,13,155,16,140,19,235,10,773,58,147,5,279,32,212,31,160,29,203,7,1175,65,100,7,312,38,210,14,102,20,148,0,1027,120,117,6,379,42,185,18,83,15,104,5,1069,517,212,20,889,115,315,40,114,28,156,11,2420,550,137,17,810,98,159,40,62,16,76,7,1967,494,75,19,572,81,113,26,33,7,53,3,1483,395,41,10,310,56,38,14,13,8,21,3,916,914,80,17,539,77,149,21,33
