CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED111,9,198,0,200,..,405,110,512,3,510,..,577,152,730,0,733,..,698,203,901,7,910,..,2593,513,3106,56,3162,..,22492,4203,26689,216,26909,..,560,92,657,6634,7291,127483,23044,4297,27341,6855,161676
CED112,11,73,0,73,..,261,57,312,5,317,..,60,3,62,0,66,..,192,41,241,0,240,..,1702,209,1911,54,1970,..,9237,1267,10508,144,10654,..,496,46,537,8226,8758,143308,9733,1313,11045,8364,162722
CED113,0,110,0,114,..,257,45,299,0,299,..,59,5,68,0,68,..,144,38,182,0,182,..,1703,182,1880,42,1925,..,11436,1165,12596,143,12747,..,437,41,480,9622,10101,138683,11867,1207,13083,9772,161530
CED114,6,131,0,134,..,184,46,228,0,228,..,70,52,119,0,124,..,118,28,144,0,143,..,2022,371,2395,61,2460,..,12061,2645,14711,198,14907,..,487,83,571,12858,13428,144778,12546,2736,15282,13056,173116
CED115,41,344,7,344,..,652,372,1024,5,1033,..,637,173,810,9,821,..,21154,14179,35334,230,35565,..,14165,4855,19022,191,19211,..,80783,35762,116546,914,117459,..,1326,615,1944,10917,12858,43208,82112,36375,118486,11829,173523
CED116,0,47,0,46,..,188,44,230,0,230,..,29,7,38,0,38,..,142,38,182,3,186,..,1297,152,1451,31,1479,..,6749,786,7532,112,7647,..,406,30,440,10276,10715,145381,7156,818,7973,10387,163743
CED117,11,257,6,262,..,661,261,919,10,928,..,385,67,454,6,460,..,1728,788,2511,15,2532,..,2489,246,2735,82,2819,..,29527,5994,35522,369,35890,..,557,112,667,6114,6772,108065,30082,6102,36186,6482,150729
CED118,663,7488,76,7564,..,366,79,446,8,450,..,942,241,1184,17,1197,..,470,109,579,5,585,..,10366,1442,11804,260,12064,..,84680,9892,94571,911,95478,..,1059,249,1315,9098,10415,95650,85738,10143,95880,10013,201542
CED119,10,364,6,368,..,307,40,346,0,343,..,176,19,198,0,198,..,903,271,1175,13,1183,..,2048,242,2289,60,2353,..,23174,2896,26070,245,26315,..,437,40,478,4458,4942,119048,23612,2942,26548,4703,150300
CED120,5,49,0,49,..,206,44,247,3,250,..,146,9,156,0,157,..,227,54,280,4,282,..,2132,275,2403,33,2436,..,11732,1348,13082,120,13200,..,477,51,530,8199,8734,150163,12208,1401,13617,8318,172094
CED121,8,98,0,101,..,272,92,360,3,362,..,29,6,33,0,32,..,151,70,221,4,231,..,1214,196,1413,45,1458,..,6521,861,7381,109,7486,..,476,48,523,9554,10079,156851,6991,914,7906,9660,174420
CED122,15,368,5,370,..,861,207,1070,8,1077,..,785,187,969,9,974,..,1000,151,1150,11,1157,..,4862,759,5618,124,5738,..,54226,7530,61755,513,62272,..,911,185,1093,10013,11112,108550,55140,7717,62854,10525,181933
CED123,63,766,13,775,..,364,112,477,11,484,..,368,88,455,10,466,..,344,82,427,10,434,..,5396,692,6084,109,6189,..,31284,3938,35217,381,35601,..,704,135,840,11308,12152,140101,31993,4072,36062,11695,187851
CED124,0,23,0,24,..,141,23,170,0,168,..,15,0,15,0,15,..,71,25,102,0,103,..,842,107,951,24,978,..,3877,406,4282,63,4348,..,376,39,417,8982,9397,143609,4245,448,4696,9041,157347
CED125,36,802,7,807,..,580,179,756,9,765,..,322,64,391,4,392,..,1241,403,1646,18,1665,..,7850,1354,9203,173,9374,..,58755,7728,66478,707,67186,..,1366,232,1600,9795,11396,126911,60120,7961,68081,10504,205501
CED126,0,58,0,58,..,343,65,413,4,412,..,95,12,104,0,104,..,262,50,318,0,317,..,3503,482,3989,52,4036,..,20297,2393,22687,226,22912,..,527,72,598,4963,5558,126909,20823,2464,23283,5188,155387
CED127,0,47,0,47,..,217,32,254,3,254,..,50,5,54,0,54,..,185,41,227,3,229,..,2010,225,2240,52,2292,..,8805,905,9710,123,9827,..,408,38,442,5264,5707,129796,9210,947,10150,5385,145330
CED128,69,939,5,943,..,286,127,414,4,415,..,1893,450,2338,24,2359,..,5611,3089,8704,34,8734,..,16500,6982,23478,261,23743,..,71119,22526,93649,704,94350,..,1513,671,2185,10202,12385,68913,72635,23197,95830,10905,175649
CED129,97,2850,24,2878,..,325,65,386,3,391,..,519,76,593,3,595,..,636,107,736,8,750,..,5199,481,5675,162,5840,..,66103,9147,75252,699,75950,..,833,139,976,4193,5169,107097,66939,9290,76226,4887,188212
CED130,10,71,0,67,..,119,25,142,4,145,..,17,0,16,0,16,..,323,172,503,0,498,..,1820,425,2244,50,2296,..,7261,1327,8589,127,8717,..,486,64,556,12737,13292,136639,7752,1390,9144,12861,158649
CED131,7,255,3,259,..,230,61,293,0,293,..,66,8,78,0,78,..,492,162,656,10,666,..,2447,393,2843,67,2906,..,15170,2295,17467,202,17670,..,513,83,603,7188,7795,140700,15689,2383,18069,7396,166162
CED132,15,474,0,476,..,794,204,1004,4,1008,..,228,9,241,0,241,..,587,68,653,5,658,..,3378,351,3730,112,3834,..,43438,6220,49659,491,50150,..,546,75,623,6190,6808,110241,43985,6298,50281,6681,167209
CED133,0,20,0,20,..,189,34,225,6,222,..,18,0,18,0,18,..,99,31,125,3,131,..,1495,165,1655,30,1686,..,6736,922,7657,114,7771,..,438,40,482,12399,12876,148134,7176,963,8137,12510,168784
CED134,15,117,4,117,..,100,23,120,0,117,..,9,0,15,0,18,..,92,29,117,0,121,..,1251,111,1359,33,1392,..,6454,667,7124,98,7218,..,442,40,484,17696,18180,129567,6899,702,7607,17798,154967
CED135,621,7444,88,7533,..,471,154,626,0,626,..,1369,421,1787,13,1802,..,1352,369,1719,17,1737,..,12918,2008,14932,331,15262,..,103480,19771,123258,1204,124462,..,1292,402,1697,12336,14036,64772,104777,20178,124956,13544,203278
CED136,4,69,0,69,..,241,68,304,0,304,..,30,11,42,0,42,..,165,87,251,0,251,..,1393,217,1610,47,1652,..,7241,1070,8305,103,8412,..,449,31,479,7477,7954,159215,7687,1099,8781,7578,175578
CED137,191,3153,29,3184,..,812,317,1124,3,1129,..,1074,195,1262,9,1269,..,2874,486,3361,19,3378,..,5346,801,6145,191,6341,..,87913,20214,108126,913,109040,..,1025,272,1290,9849,11148,81637,88938,20484,109419,10758,201820
CED138,7,39,0,41,..,349,47,390,0,390,..,37,0,37,6,43,..,124,24,157,0,154,..,1523,160,1679,41,1716,..,9122,763,9891,137,10026,..,540,34,579,11797,12377,145033,9669,798,10465,11932,167436
CED139,6,131,0,132,..,107,31,139,0,139,..,12,0,14,0,14,..,142,38,179,0,183,..,2196,686,2884,43,2934,..,7727,1557,9283,125,9410,..,418,41,465,10862,11329,140614,8148,1597,9748,10991,161349
CED140,3,122,6,122,..,330,76,408,0,408,..,80,11,88,0,88,..,176,44,225,0,227,..,1769,197,1966,61,2034,..,11398,1487,12881,165,13046,..,491,68,557,6912,7470,131452,11886,1549,13437,7079,151973
CED141,3,69,0,69,..,197,43,244,4,244,..,32,5,36,0,38,..,116,38,151,5,157,..,1155,150,1306,50,1352,..,6324,788,7108,108,7216,..,443,28,476,5641,6110,138593,6765,811,7581,5747,151922
CED142,10,360,10,370,..,3974,1833,5810,27,5833,..,555,91,647,5,653,..,1980,482,2463,18,2478,..,4021,477,4495,108,4604,..,61265,10561,71829,555,72381,..,859,200,1060,13453,14520,117313,62127,10765,72895,14013,204215
CED143,4,83,0,83,..,383,83,462,0,462,..,153,24,177,0,179,..,272,54,329,0,332,..,3432,288,3722,88,3814,..,22924,2301,25229,304,25534,..,540,55,595,4528,5125,120160,23468,2354,25824,4835,150819
CED144,56,845,6,855,..,606,215,817,7,827,..,558,140,697,3,697,..,4484,2345,6830,41,6868,..,5087,1248,6333,163,6502,..,89208,24917,114121,974,115098,..,1265,411,1675,11398,13069,54984,90473,25329,115799,12368,183154
CED145,5,59,0,59,..,297,58,356,0,357,..,181,16,197,0,193,..,280,31,317,0,314,..,3699,201,3899,56,3953,..,24084,1944,26025,243,26271,..,492,37,525,7714,8240,111590,24581,1978,26559,7956,146102
CED146,48,800,9,808,..,439,155,592,3,596,..,1351,277,1628,9,1637,..,8375,4214,12593,90,12685,..,13938,3019,16958,200,17152,..,91436,19160,110596,887,111483,..,1759,453,2213,10544,12751,74934,93199,19613,112812,11425,199172
CED147,3,52,0,54,..,261,66,327,4,328,..,474,105,577,6,582,..,301,117,420,0,420,..,1873,293,2171,52,2217,..,14984,2315,17304,193,17493,..,551,64,618,7327,7941,143112,15540,2381,17922,7519,168545
CED194,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
CED197,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
