CED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED101,28,175,372,459,190,961,101,480,32,2797,342,1514,912,1190,952,1096,297,710,138,7147,1766,5575,1854,1772,2252,1207,664,1198,377,16662,2927,5276,1644,1180,2634,1028,736,767,347,16542,2611,3791,1500,1263,2844,997,948,885,285,15129,1566,2476,1411,1027,2263,707,1025,1020,181,11680,315,647,309,222,578,174,226,270,61,2795,35,73,30,23,63,23,19,25,17,312,4,4,0,0,7,0,0,0,5,16,9596,19525,8028,7129,11776,6199,4020,5360,1433,73074
CED102,30,173,232,290,189,826,81,390,44,2261,395,1639,981,1390,988,1441,363,1075,208,8486,2693,8972,2644,2616,2959,1876,983,2065,588,25400,3451,6595,1954,1466,2843,1263,872,1182,422,20058,2740,3993,1535,1254,2698,1003,934,995,288,15442,1449,2295,1198,961,1793,710,917,1092,201,10618,310,566,269,218,429,171,253,356,65,2632,27,53,31,17,26,26,8,27,12,226,6,4,5,0,4,0,0,0,3,17,11107,24287,8855,8199,11930,7326,4409,7180,1843,85136
CED103,48,284,206,501,236,1013,97,473,29,2884,418,2236,849,1269,1214,1308,211,535,146,8186,3020,11752,2309,1726,3174,1636,508,805,512,25445,4833,10338,2019,1307,3192,1210,474,661,451,24481,3702,6092,1446,1135,2610,844,475,757,251,17312,2166,3841,1257,922,2155,727,582,844,174,12673,463,1148,291,213,640,200,179,285,60,3466,56,128,23,20,74,29,16,10,19,376,7,8,5,0,0,0,0,5,3,33,14710,35820,8394,7093,13300,6969,2542,4382,1644,94855
CED104,44,279,482,746,276,1191,131,729,46,3925,317,1615,1025,1071,891,940,189,437,95,6589,1305,4142,1230,808,1209,588,238,422,155,10092,3665,6949,1333,906,2128,741,284,384,290,16676,4669,6482,1550,1191,2845,836,434,564,210,18777,2964,4405,1329,849,2417,745,438,622,163,13928,749,1454,364,237,796,247,147,242,66,4298,147,187,45,23,105,42,26,41,29,640,12,16,0,0,9,0,0,0,7,45,13872,25534,7357,5825,10674,5326,1881,3442,1060,74975
CED105,33,126,279,237,192,799,94,410,76,2241,293,1295,853,1216,987,1171,510,1116,287,7730,1337,4688,1877,2053,2093,1256,1242,1690,641,16884,1560,2871,1631,1312,1940,771,1098,1142,408,12730,1213,1760,1445,1184,1668,615,1178,1386,293,10750,788,1031,1134,793,1251,482,1259,1401,212,8341,187,329,229,174,346,115,266,324,59,2040,19,33,21,13,28,6,8,23,12,156,0,0,5,0,0,0,0,0,3,5,5433,12135,7470,6982,8498,5215,5664,7499,1981,60874
CED106,44,363,182,731,244,980,128,546,54,3272,324,1986,566,1265,942,1029,148,371,104,6738,1662,5867,987,1008,1459,870,178,453,225,12717,4613,9295,1040,832,2253,906,238,377,367,19918,5510,7916,887,923,2466,880,242,401,334,19566,3209,5101,695,679,1790,634,241,426,211,12988,882,1792,243,192,736,253,81,183,90,4450,174,373,22,35,129,52,15,31,29,862,26,19,5,0,9,7,0,0,10,83,16450,32718,4619,5665,10027,5610,1277,2798,1421,80589
CED107,68,90,821,945,185,1416,157,1176,88,4936,282,633,1446,1407,520,744,418,850,110,6412,1477,3260,2902,2128,1508,1046,1238,1480,239,15282,2103,3281,2241,1787,1809,855,1318,1269,283,14946,2526,3058,1997,1853,2226,826,1544,1513,284,15827,2201,2337,1564,1452,1999,757,1392,1613,185,13498,1168,796,410,343,521,255,430,435,96,4450,420,90,38,20,63,30,58,77,44,839,56,4,5,3,4,0,0,4,16,91,10303,13555,11413,9933,8820,5934,6553,8414,1341,76265
CED108,61,108,368,351,193,1177,316,764,82,3416,324,1044,986,1166,1036,1149,1227,969,220,8122,1651,5133,2251,2203,2777,1268,2721,1674,549,20231,2634,5809,2046,2150,3508,1220,2773,1659,521,22319,1467,2564,1708,1590,2572,733,2402,1798,314,15160,808,1314,1196,1137,1782,570,1905,1470,221,10401,166,283,254,244,405,120,392,310,52,2226,11,25,14,13,22,8,15,19,10,139,5,0,0,0,4,0,0,0,0,9,7121,16275,8823,8856,12300,6254,11751,8660,1980,82020
CED109,52,152,604,726,244,1067,111,611,37,3593,381,1353,1122,1064,848,865,208,368,122,6339,2251,4881,2227,1499,1836,944,390,508,286,14824,3721,4641,1677,1157,2349,951,475,519,297,15777,3776,4039,1687,1310,2870,1160,670,713,304,16525,2294,2940,1249,938,2442,925,664,680,157,12285,675,1008,334,238,772,282,209,204,50,3779,105,141,45,21,105,39,20,49,24,555,10,11,8,0,9,6,0,4,16,57,13269,19167,8951,6958,11478,6231,2743,3651,1293,73740
CED110,70,55,596,914,154,1617,140,1122,89,4750,263,479,995,1252,461,776,216,675,110,5219,998,2775,1982,1939,1174,900,485,1232,188,11675,1749,3325,1775,1833,1540,889,552,1218,234,13114,2149,3430,1735,2190,2073,1028,748,1435,252,15047,1819,2670,1479,1970,1968,1014,938,1575,193,13628,736,918,377,396,539,340,262,391,72,4023,221,71,29,23,62,26,33,40,64,572,23,5,3,4,3,8,4,3,19,64,8030,13734,8976,10519,7975,6594,3373,7681,1216,68093
