CED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED101,0,0,0,0,7,15,48,45,16,133,0,0,5,23,18,39,29,16,8,130,0,0,0,15,18,14,7,7,0,66,0,17,682,1574,51,36,7,0,0,2364,0,0,3,6,7,7,7,10,6,52,5,39,133,381,216,205,102,43,15,1143,0,0,14,131,123,202,194,87,39,794,0,15,18,102,28,16,3,4,0,186,0,0,5,11,8,11,8,5,0,49,4,67,140,729,285,251,172,50,12,1708,0,0,4,52,26,16,25,14,8,144,0,0,4,16,19,8,15,7,0,73,0,0,0,20,14,21,24,13,10,113,0,10,22,36,25,29,32,9,3,163,0,3,16,78,45,48,30,19,5,246,0,4,15,46,26,27,20,14,10,146,5,5,18,102,31,20,27,9,0,206,3,15,33,298,106,57,33,0,0,549,0,4,4,18,13,17,12,13,4,85,7,22,27,74,16,27,19,5,3,206
CED102,0,0,0,0,8,14,61,53,34,165,0,0,0,26,8,7,9,10,3,69,0,0,8,25,8,12,8,4,0,76,6,37,1116,2374,66,31,12,3,0,3648,0,0,0,17,10,7,5,6,3,52,3,32,110,381,236,199,112,35,8,1120,0,12,16,204,163,374,490,285,121,1672,0,4,7,87,16,14,3,0,0,134,0,0,0,12,9,8,12,3,0,45,3,58,109,1072,325,315,189,50,27,2143,4,0,0,105,28,17,29,6,8,202,0,0,3,7,11,12,8,0,0,43,0,0,0,42,19,30,33,10,6,142,0,5,32,114,30,34,37,10,0,268,0,6,9,75,30,38,24,13,0,200,0,6,11,60,17,14,9,7,7,125,0,10,12,223,44,37,31,0,0,361,3,16,56,679,144,87,42,8,0,1037,0,6,4,62,57,44,31,19,3,216,16,32,31,150,27,22,15,6,3,307
CED103,0,0,0,0,8,15,27,26,9,78,0,0,5,23,7,12,7,13,3,78,0,0,12,57,27,33,23,14,0,169,0,0,139,315,5,3,0,0,0,472,3,5,4,8,14,9,18,24,11,99,4,53,108,267,169,191,97,45,9,941,0,0,0,11,9,17,25,5,8,69,16,82,38,319,26,11,15,4,0,503,0,0,0,14,23,11,14,7,4,70,13,110,122,1105,260,236,172,43,15,2082,0,0,0,70,32,41,34,14,11,206,0,0,0,0,5,0,8,0,0,15,0,3,0,31,23,33,42,37,15,186,9,55,55,145,85,58,53,18,9,481,4,26,35,168,88,59,52,34,11,475,3,33,42,263,123,174,121,63,27,851,10,32,43,418,119,74,83,20,0,799,5,15,33,402,117,55,28,16,3,666,0,4,0,60,22,26,17,7,8,142,17,75,61,163,38,32,28,11,5,431
CED104,0,0,0,0,0,20,39,16,9,94,0,0,3,8,16,14,9,0,0,56,0,0,0,21,19,20,9,5,5,81,0,5,33,178,19,8,0,0,0,239,0,3,14,17,17,23,45,45,15,178,6,56,87,201,217,223,157,71,29,1041,0,0,0,0,7,3,3,5,0,17,0,23,14,124,40,35,19,4,3,269,0,0,5,12,27,11,9,3,0,74,4,42,55,346,182,164,128,34,25,981,0,3,0,41,49,47,66,6,0,218,0,0,0,0,0,0,0,0,0,7,0,11,9,23,47,61,53,47,18,279,7,50,55,76,74,51,62,18,6,407,5,97,127,281,265,168,122,46,15,1129,0,27,40,219,202,241,131,67,29,956,0,13,15,108,56,58,68,5,0,326,0,10,19,127,58,33,17,4,0,265,0,5,0,12,13,16,3,0,0,54,6,49,78,116,68,58,29,15,11,427
CED105,0,0,0,0,3,11,26,44,16,94,0,0,4,15,13,19,21,13,10,96,0,3,15,103,58,37,29,16,4,258,0,17,1023,1497,21,20,6,5,0,2580,0,0,0,5,0,0,0,9,11,26,9,72,163,298,110,92,60,12,0,821,0,0,5,65,83,140,171,98,41,604,27,185,173,848,140,79,32,4,0,1489,0,0,0,8,0,4,4,3,0,23,0,26,80,495,209,241,176,54,13,1300,0,0,0,13,7,24,31,38,43,156,0,8,14,43,40,49,24,3,0,187,0,0,0,0,5,13,23,16,4,57,4,12,10,25,14,18,8,9,4,94,0,8,3,25,11,17,17,5,0,81,0,6,35,133,76,94,59,34,16,452,0,0,3,159,18,22,15,0,0,219,0,10,18,182,60,28,20,6,0,321,3,19,32,230,297,283,222,103,18,1206,5,12,22,24,11,10,9,3,0,94
CED106,0,0,0,0,6,7,9,5,0,24,0,0,0,13,4,14,15,5,4,54,0,0,9,14,15,15,10,4,9,74,0,13,185,447,25,13,9,0,0,683,0,12,18,14,24,22,31,39,23,191,7,62,134,212,280,262,183,120,59,1321,0,0,0,5,11,3,3,0,0,21,0,21,0,98,17,13,9,9,0,181,0,0,0,13,57,42,34,31,11,187,4,43,72,524,174,142,109,25,12,1110,0,3,0,55,27,42,42,13,12,195,0,0,0,5,0,0,0,0,0,5,0,15,27,27,56,74,50,37,30,312,14,111,79,140,92,63,68,26,6,599,13,140,198,481,506,368,244,148,47,2146,3,8,26,162,110,87,67,39,17,517,9,33,33,356,152,87,128,22,0,818,0,17,38,253,77,45,14,3,3,445,3,7,4,24,16,18,0,0,3,83,21,133,115,143,88,79,54,25,6,672
CED107,0,0,0,0,8,3,15,5,0,33,0,0,0,6,0,5,0,0,0,6,0,0,0,9,0,0,4,0,4,17,0,8,38,191,4,3,0,0,0,250,0,0,3,11,5,25,58,66,17,182,5,17,48,182,161,193,125,62,13,797,0,0,0,3,0,5,0,0,0,7,4,12,5,43,7,0,5,0,0,71,0,0,6,6,13,12,4,0,0,46,3,31,31,211,87,96,60,8,0,541,0,0,0,5,4,8,12,10,17,52,0,0,0,0,7,0,0,0,0,8,0,0,7,26,33,51,60,50,12,240,0,11,3,11,13,7,3,4,0,54,0,21,23,92,52,25,30,11,0,247,0,10,4,40,10,11,11,4,0,90,0,3,0,14,5,5,3,0,0,31,5,12,18,108,35,29,7,0,0,210,0,0,0,4,4,0,0,0,0,12,0,18,15,67,29,29,29,5,0,191
CED108,0,0,4,16,16,91,211,141,73,554,0,4,7,33,22,47,32,18,9,176,4,3,8,91,61,32,29,6,0,235,0,25,87,629,28,32,13,3,0,821,0,0,0,5,9,11,35,35,16,106,22,270,412,1109,346,213,112,31,7,2518,0,0,0,13,6,19,19,10,6,81,22,246,197,978,229,133,52,14,0,1878,0,3,8,8,13,3,7,0,0,40,20,307,773,3380,1767,1824,1183,328,110,9689,0,0,0,29,29,48,65,43,80,290,0,57,89,262,216,187,124,43,6,980,0,0,3,9,22,47,63,36,20,192,0,37,9,23,9,25,17,7,0,128,3,14,19,101,50,56,36,14,3,294,0,33,50,404,150,131,81,41,9,908,0,0,0,60,12,5,4,0,0,91,0,13,19,143,60,28,13,0,0,280,0,11,13,98,84,79,68,25,0,368,0,46,25,61,17,10,6,7,0,169
CED109,0,0,0,5,6,7,59,50,16,142,0,0,4,9,3,11,4,8,0,45,0,0,0,6,7,4,0,3,0,28,0,0,8,49,4,0,0,0,0,63,0,3,0,25,14,14,29,25,25,134,8,33,72,325,258,186,112,69,23,1075,0,5,8,88,68,117,88,38,12,418,0,3,0,19,0,7,3,0,0,42,0,0,0,13,12,12,0,4,0,54,0,19,39,275,131,139,86,19,12,715,0,3,4,87,37,26,32,13,14,212,0,0,0,0,6,3,3,0,0,16,0,4,4,38,38,57,63,62,9,279,0,8,18,27,22,22,21,6,0,124,0,17,26,152,96,70,42,27,3,435,0,3,0,15,11,8,4,3,0,50,0,4,7,40,16,16,17,0,0,96,0,17,18,207,78,21,22,0,0,363,0,3,0,30,25,18,22,11,7,112,11,23,23,115,35,35,24,8,4,282
CED110,0,0,0,0,6,11,30,13,0,53,0,0,3,5,4,5,0,0,0,15,0,14,42,137,28,18,7,0,0,246,0,4,18,104,0,0,0,0,0,128,0,0,6,25,15,34,99,85,44,303,0,27,34,204,194,311,255,129,45,1197,0,0,0,0,0,4,0,0,0,7,0,9,8,10,0,0,0,0,0,28,0,6,5,21,26,24,13,0,0,95,3,25,30,273,110,134,85,19,3,683,0,0,0,10,7,11,20,4,7,61,0,0,4,0,4,0,0,0,0,20,0,3,4,21,37,68,83,79,25,323,0,6,0,13,8,10,6,3,0,47,0,8,28,91,74,57,72,31,9,370,0,3,4,23,11,4,5,3,0,50,0,0,4,22,7,3,0,0,0,47,0,26,28,91,57,30,14,5,0,249,3,3,0,3,4,4,3,0,0,24,3,26,27,76,40,45,48,19,5,280
