CED_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED101,888,682,589,429,1886,2548,749,1742,95,9596,1019,1929,1696,1229,4812,5379,1118,2170,180,19525,2419,848,616,323,1481,1446,257,489,151,8028,1533,1314,1209,637,1211,638,191,290,102,7129,1022,1426,1434,817,3450,2417,436,687,84,11776,1293,1368,914,413,1002,745,151,236,82,6199,742,405,423,227,954,677,178,344,69,4020,1313,1067,879,325,817,555,111,163,131,5360,162,118,127,43,243,227,36,75,398,1433,10394,9150,7878,4453,15849,14636,3223,6198,1294,73074
CED102,1033,887,657,469,2376,3006,761,1821,93,11107,1052,2083,1975,1432,6359,7135,1395,2633,231,24287,1980,1080,1020,510,1606,1597,331,527,209,8855,1659,1516,1418,810,1355,791,220,284,152,8199,899,1344,1408,773,3779,2483,434,691,125,11930,1370,1640,1181,498,1226,898,148,242,117,7326,615,611,687,292,921,692,184,318,98,4409,1331,1492,1568,480,1054,671,182,231,170,7180,204,141,143,70,351,252,31,82,571,1843,10138,10791,10052,5337,19022,17524,3682,6816,1763,85136
CED103,998,1064,846,601,2990,4173,1172,2769,109,14710,1371,3216,2654,1790,9347,11315,2034,3853,248,35820,1550,1091,729,401,1647,1950,358,525,150,8394,1573,1653,1132,577,975,660,182,255,87,7093,866,1793,1609,827,3929,2896,528,737,115,13300,1319,1682,1016,379,1045,926,197,302,96,6969,347,396,351,158,541,427,100,176,48,2542,905,1193,671,242,612,462,80,132,78,4382,171,143,133,50,273,267,44,75,493,1644,9089,12223,9144,5028,21364,23076,4692,8820,1420,94855
CED104,663,890,777,606,2230,3977,1243,3394,94,13872,998,2716,2343,1631,5112,7432,1626,3513,163,25534,941,966,644,425,1325,1850,390,733,88,7357,1261,1538,862,461,782,508,178,172,64,5825,656,1861,1612,888,2417,2171,402,600,59,10674,875,1525,725,325,660,685,170,324,31,5326,209,326,213,110,373,338,80,205,21,1881,590,1132,430,203,438,367,76,165,42,3442,90,117,89,46,166,191,33,92,231,1060,6283,11071,7692,4707,13506,17527,4193,9201,801,74975
CED105,752,506,373,244,1181,1310,272,680,115,5433,627,1288,1032,732,3440,3353,489,958,216,12135,2437,795,664,320,1340,1161,208,304,248,7470,1375,1276,1253,669,1111,611,206,260,221,6982,865,1093,996,507,2557,1640,263,443,134,8498,989,1387,918,360,726,476,84,136,131,5215,860,703,701,360,1373,945,209,360,156,5664,1673,1275,1211,456,1514,795,166,188,225,7499,253,179,159,65,290,227,31,54,721,1981,9833,8502,7310,3709,13532,10515,1935,3384,2160,60874
CED106,714,1127,1053,648,2549,4578,1386,4289,104,16450,1116,3716,2893,1985,5990,9460,2176,5169,213,32718,606,671,486,260,875,1132,209,314,64,4619,1385,1547,872,470,605,433,114,176,52,5665,599,1856,1422,688,2200,2049,427,724,66,10027,1052,1513,712,294,696,794,175,333,45,5610,130,308,191,72,235,187,54,83,11,1277,484,926,426,180,358,255,51,81,34,2798,99,196,130,59,198,234,56,145,303,1421,6186,11862,8191,4655,13714,19128,4641,11315,896,80589
CED107,307,594,686,540,1568,2216,937,3333,112,10303,683,1332,1537,1044,2880,3015,1009,1969,77,13555,428,766,702,522,2399,2989,1030,2418,160,11413,620,2034,1697,1283,2104,1077,397,575,146,9933,368,1164,1376,873,2602,1494,361,507,80,8820,311,1857,998,480,1000,639,211,358,86,5934,314,434,422,205,1071,1507,586,1882,132,6553,555,2154,1126,574,1341,1288,393,796,181,8414,74,135,93,45,203,199,61,162,372,1341,3673,10473,8652,5566,15161,14419,4975,11996,1347,76265
CED108,651,477,364,274,1958,2006,418,869,103,7121,748,1072,1046,880,5315,5160,731,1102,224,16275,2004,804,614,319,2308,1745,358,473,207,8823,1260,1368,1424,970,1904,1033,287,416,204,8856,865,1067,1126,737,4626,2695,446,604,134,12300,1142,1508,984,419,1150,652,117,192,89,6254,1162,1086,1276,772,3290,2266,614,985,292,11751,1653,1457,1232,522,1899,1114,237,335,213,8660,200,133,126,71,376,297,41,88,651,1980,9677,8976,8190,4964,22823,16960,3247,5065,2122,82020
CED109,894,1028,893,617,2014,3426,1070,3205,108,13269,1061,2119,1957,1349,3558,5042,1189,2770,124,19167,1320,1057,720,445,1459,2454,462,896,140,8951,1461,1492,908,516,981,808,338,381,71,6958,822,1939,1664,866,2699,2216,464,693,110,11478,1136,1444,772,370,896,928,214,415,58,6231,344,346,309,187,505,516,165,320,48,2743,583,1043,473,228,525,458,124,162,44,3651,147,120,97,47,218,224,51,98,295,1293,7770,10588,7797,4631,12858,16070,4081,8941,1002,73740
CED110,299,571,620,525,1493,1824,669,1928,94,8030,724,1535,1689,1470,2833,2899,798,1666,120,13734,342,890,785,699,2339,2246,566,973,144,8976,660,2573,2127,1487,1739,962,293,486,188,10519,341,1281,1314,915,2142,1261,268,388,66,7975,346,2223,1092,580,1116,656,189,299,97,6594,169,400,347,253,701,607,233,588,70,3373,426,2387,1158,678,1215,968,229,426,186,7681,87,160,85,68,198,139,31,67,376,1216,3399,12013,9226,6671,13784,11557,3272,6822,1348,68093
