CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,3,43,74,282,58,46,12,6,0,528,0,0,6,19,21,23,12,0,0,84,15,140,257,1234,483,377,225,68,16,2813,0,0,3,111,46,41,43,20,13,276,3,0,9,40,37,29,24,8,3,147,0,5,4,35,36,60,58,30,20,251,0,16,34,82,52,51,56,22,7,321,0,13,32,169,105,87,70,45,11,515,0,10,15,94,42,44,48,24,12,281,0,12,34,203,50,24,49,10,0,400,0,19,53,403,136,79,39,4,0,752,3,4,9,38,34,39,23,20,12,179,10,48,54,134,49,59,30,14,5,405,4,67,169,891,683,691,384,148,60,3109,0,0,5,19,15,17,8,13,4,76,0,0,5,41,16,12,9,0,0,82,27,203,290,1721,978,979,747,480,195,5621,289,668,704,1936,692,717,587,498,384,6471,8868,18924,20162,44997,20812,20615,15152,8857,4515,162893
CED102,5,8,49,297,34,24,17,0,0,437,0,5,0,27,24,15,9,3,3,91,15,125,223,1888,509,477,287,88,32,3638,4,0,6,199,50,38,55,9,13,374,0,0,3,21,22,16,20,7,0,90,0,0,8,85,47,64,58,24,10,306,5,20,47,207,68,56,61,17,4,496,0,4,21,163,74,68,37,20,9,406,0,6,13,137,31,29,30,16,10,272,5,15,25,397,70,43,52,6,4,606,11,30,96,973,213,120,59,17,0,1514,0,5,3,162,102,107,69,35,6,488,25,61,56,270,79,53,27,12,8,589,10,99,375,1132,620,569,368,124,36,3340,0,0,5,31,16,15,3,6,0,73,0,0,9,31,18,18,0,0,0,81,90,364,545,4405,1251,1362,1185,868,295,10367,383,718,1032,3240,976,790,603,456,223,8433,9848,17651,21958,62548,21959,19253,14612,9357,4459,181643
CED103,32,177,89,731,69,34,29,9,0,1158,0,0,6,34,45,31,24,12,0,153,25,211,242,1942,437,359,266,64,25,3563,0,0,0,141,52,67,72,23,11,369,0,0,0,4,8,3,11,4,0,27,3,9,4,61,60,76,75,71,22,386,16,127,119,290,168,97,88,35,12,956,5,54,76,355,198,110,107,53,16,975,13,61,82,552,250,301,253,117,51,1680,16,60,85,777,204,114,132,47,3,1436,9,28,65,544,159,71,39,26,0,944,0,3,11,128,47,45,40,17,10,304,40,144,110,286,81,69,49,31,5,817,10,48,238,660,321,273,162,59,17,1780,0,4,7,27,17,28,22,21,8,125,0,3,41,75,29,16,4,0,0,175,66,496,421,2786,967,889,671,443,204,6942,316,641,652,2414,661,591,446,379,280,6384,10569,22066,21720,64105,22907,21079,15766,8557,4449,191219
CED104,0,48,49,237,85,69,39,9,3,546,0,0,6,23,50,32,19,9,0,133,0,77,105,564,305,254,201,52,22,1581,0,8,8,70,82,86,128,25,9,403,0,0,0,13,5,6,0,0,0,25,0,27,29,62,102,127,107,104,36,592,12,112,113,139,127,104,107,38,4,761,17,184,247,534,521,360,195,88,24,2170,0,53,102,400,379,456,308,125,45,1869,9,21,24,215,101,85,113,22,0,585,4,18,34,161,77,48,18,4,4,351,0,9,5,34,31,33,10,5,3,126,9,109,137,201,134,108,60,29,11,807,3,15,26,184,177,138,83,19,4,654,0,12,6,20,40,39,26,21,6,177,0,5,12,49,78,43,27,10,0,227,14,230,283,935,798,781,535,420,162,4154,130,341,348,719,403,348,325,315,207,3137,7012,21749,19391,32413,22631,20148,15702,9461,4070,152571
CED105,52,378,530,2240,402,195,75,11,0,3878,0,0,0,11,4,10,5,3,0,39,8,67,162,891,345,396,287,82,21,2243,0,5,0,35,16,50,62,47,54,276,0,7,35,92,72,94,42,10,0,358,0,0,0,5,13,24,46,24,15,125,0,22,18,47,20,27,19,11,0,172,0,11,8,41,26,23,29,14,0,151,0,14,78,314,181,173,141,65,28,993,0,4,20,346,31,29,19,0,0,459,5,12,30,275,82,37,22,7,0,468,7,34,58,461,565,593,373,220,36,2361,5,31,49,59,19,25,13,0,0,203,53,303,1023,4215,3395,3775,2083,648,318,15808,0,0,0,0,0,5,8,3,4,16,0,0,17,37,19,12,5,0,0,86,78,649,845,3205,1536,1284,882,588,268,9329,894,1954,1946,4437,1560,1318,967,545,307,13937,13322,25283,27091,56523,21465,20086,13887,7429,3523,188607
CED106,0,51,9,213,42,30,32,15,6,388,0,4,4,25,115,85,63,56,18,369,15,89,120,888,300,204,139,38,10,1812,0,7,5,92,48,68,77,25,25,358,0,0,0,3,7,4,0,0,0,17,0,20,35,63,118,155,99,83,55,630,35,233,186,234,175,109,105,42,17,1140,28,292,416,876,979,712,520,257,77,4148,3,16,34,291,210,184,130,70,29,975,15,69,72,652,251,123,198,57,0,1442,6,42,63,365,109,59,24,7,0,676,3,15,12,53,36,41,12,7,7,172,59,283,250,265,208,177,97,45,13,1403,0,22,52,324,278,100,74,18,8,890,0,0,7,21,52,47,27,25,3,189,0,3,12,63,79,78,51,13,0,301,41,380,299,1475,1010,762,560,473,242,5241,191,413,416,1012,481,388,379,340,367,3998,8228,24142,20680,40524,24628,19602,15435,10492,5448,169182
CED107,6,21,5,125,11,4,7,0,0,181,0,3,6,12,29,20,10,4,0,78,10,77,80,367,136,116,71,14,0,880,0,0,0,9,5,11,26,17,22,96,0,0,6,12,9,0,0,0,0,28,0,10,12,48,62,92,133,96,25,468,0,10,15,18,13,9,5,7,0,86,0,40,44,160,108,66,53,19,5,499,3,25,14,89,19,34,15,12,0,209,0,5,3,17,10,7,7,0,0,44,3,17,33,147,52,25,11,0,0,291,0,0,6,10,6,3,4,0,0,28,0,32,31,115,50,55,58,21,4,370,0,8,21,106,42,23,7,0,0,212,0,3,0,14,16,25,31,22,7,113,0,20,20,68,40,27,11,0,0,182,17,64,79,449,212,233,271,198,71,1594,522,1456,1190,2689,1465,1550,1498,990,457,11816,10004,22924,19228,40116,21049,21909,19023,10926,4049,169232
CED108,50,494,431,1994,520,317,134,21,9,3967,0,3,17,22,23,11,6,0,0,76,47,601,1515,6173,3232,3236,2084,550,146,17581,0,0,3,55,50,77,125,70,107,480,5,115,199,505,430,396,242,74,7,1974,0,0,11,23,49,101,111,67,28,371,0,85,20,48,21,44,29,15,0,262,3,34,36,203,93,98,62,30,8,564,0,82,131,824,315,267,177,73,16,1885,0,0,4,91,17,15,9,0,0,145,0,16,44,194,77,32,25,0,0,390,0,16,23,175,160,165,110,56,3,714,12,83,47,94,35,39,15,8,0,332,0,11,28,198,167,170,108,20,8,707,0,0,0,3,13,7,4,9,0,36,4,16,25,84,28,20,5,0,0,173,47,485,937,2934,1595,1368,989,556,331,9241,951,2131,1694,4066,1400,1087,840,493,324,12986,15819,30886,26435,62620,23248,19794,14213,6589,2464,202063
CED109,0,12,6,38,3,15,8,0,4,77,0,0,3,20,36,26,11,3,5,100,5,35,77,418,181,172,103,28,7,1025,0,10,6,134,68,36,56,22,20,352,0,0,0,9,10,7,6,0,0,36,0,10,11,87,87,101,114,109,31,546,0,19,23,50,42,37,35,12,0,233,0,38,49,275,176,129,89,54,9,815,0,0,5,27,23,21,14,9,0,105,0,4,6,53,20,15,25,0,0,138,3,34,35,249,89,31,23,4,0,473,0,3,3,63,41,34,43,27,7,224,29,44,45,186,77,74,46,20,3,521,0,10,18,130,139,101,68,34,6,507,0,7,4,48,21,31,19,18,6,151,0,0,4,35,13,5,3,0,0,60,19,180,176,1659,925,855,759,542,184,5300,271,564,478,1638,743,567,533,503,313,5616,8231,17406,16838,37355,20639,18747,15129,10008,5094,149450
CED110,0,11,9,37,8,3,0,0,0,68,0,9,5,34,50,40,23,0,0,160,6,53,73,379,137,149,92,22,3,919,0,0,3,14,11,16,35,9,6,103,0,3,4,6,4,0,0,3,0,27,0,12,21,48,59,143,182,145,46,652,0,9,4,25,10,16,10,7,0,81,0,22,54,178,145,109,127,63,12,722,0,7,8,36,19,10,11,11,4,104,0,5,8,37,7,12,5,0,0,67,7,57,52,112,67,32,16,3,0,340,3,6,0,13,9,8,3,4,0,41,11,36,42,134,67,79,120,47,4,536,3,11,7,93,33,19,10,0,0,169,0,3,8,20,28,35,45,28,14,177,0,0,9,27,30,22,25,6,0,122,26,146,203,627,358,355,362,292,107,2471,460,1212,1086,2438,1328,1596,1592,1228,645,11590,8104,20031,17406,34528,20566,24368,24373,14808,6018,170205
