CED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED101,0,0,0,0,0,3,0,6,0,618,6,638,0,0,0,0,0,0,0,10,10,147,0,167,0,0,0,0,0,0,0,15,6,110,0,126,0,0,0,0,0,0,0,8,3,52,3,69,0,3,0,0,0,0,0,23,6,468,4,513,0,0,0,0,0,6,0,41,25,231,0,310,4,3,4,0,0,28,0,61,40,1369,19,1528,11,31,11,4,0,47,6,89,43,654,8,901,6,58,18,30,11,113,28,125,66,580,4,1022,31,90,35,81,22,134,42,136,55,563,10,1195,26,51,21,75,32,114,26,92,37,209,0,685,92,63,26,119,46,145,27,96,32,199,3,853,350,87,50,298,154,257,80,133,57,265,5,1731,420,62,18,260,126,132,34,57,19,129,8,1268,379,17,20,141,79,117,30,25,13,63,3,876,295,23,4,89,51,45,10,12,5,29,0,566,782,59,15,208,85,157,22,34
CED102,0,0,0,0,0,0,4,3,9,665,5,690,0,3,0,0,0,0,0,4,3,178,4,192,0,0,0,0,0,0,0,13,9,115,0,138,0,0,0,0,0,3,0,20,7,89,0,114,0,6,3,0,0,5,0,26,12,443,6,506,0,6,0,0,0,18,3,52,27,201,3,313,4,7,12,6,0,29,5,84,34,1613,16,1808,8,39,18,0,5,100,10,114,40,686,4,1024,11,89,33,31,4,130,30,154,58,465,6,1003,34,167,46,112,36,200,46,177,53,455,10,1336,51,104,33,145,41,176,55,109,30,168,0,912,133,113,30,204,60,143,44,93,26,183,5,1037,592,208,53,449,209,381,97,159,55,235,10,2455,626,72,33,357,154,141,37,58,16,97,4,1593,551,49,7,231,105,128,34,46,14,59,0,1228,542,19,24,145,49,51,9,10,6,20,3,869,1325,47,16,247,81,129,17,45
CED103,0,3,0,0,0,0,0,6,4,839,4,858,0,3,4,0,0,4,0,9,3,205,5,232,0,0,0,0,0,0,0,23,8,114,0,149,0,0,0,0,0,0,0,24,13,78,0,119,0,5,3,0,0,3,0,45,11,461,4,530,0,8,0,4,0,11,3,58,23,221,4,328,3,29,7,5,0,20,6,104,28,1060,15,1276,3,31,16,16,6,68,12,116,38,599,10,907,10,68,21,27,13,142,38,147,42,582,9,1104,33,122,32,95,38,204,44,169,60,541,7,1342,25,70,33,100,45,190,29,101,34,248,3,887,105,68,24,143,57,203,38,87,24,236,6,992,567,152,41,460,185,428,63,146,37,329,14,2434,767,79,19,396,155,189,34,79,19,147,3,1883,753,50,11,233,88,175,15,50,15,94,7,1486,690,21,4,131,39,54,9,24,0,48,0,1028,1707,73,17,383,105,276,16,67
CED104,0,0,6,0,0,4,0,10,7,503,9,528,0,4,0,0,0,0,0,6,3,162,0,183,0,0,0,0,0,3,0,12,5,79,0,105,0,0,0,0,0,0,3,14,0,63,0,86,4,9,0,0,0,5,4,26,6,332,5,391,0,8,3,0,0,0,0,46,9,195,0,270,5,14,3,7,0,13,0,63,15,904,10,1035,4,26,3,7,0,34,3,94,28,673,7,884,11,49,3,13,4,62,20,120,26,755,8,1070,20,80,15,58,8,102,23,153,27,735,11,1235,17,44,4,62,13,107,22,98,33,322,0,720,49,41,17,90,15,95,29,76,27,334,0,771,204,100,20,232,50,274,30,143,35,445,7,1520,282,80,9,245,60,118,20,84,16,228,0,1148,327,58,6,196,50,134,18,59,10,140,0,996,291,22,8,136,42,49,10,39,4,57,0,662,957,100,12,380,85,336,10,105
CED105,0,0,0,0,0,0,0,0,8,585,7,597,0,0,0,0,0,0,0,3,3,130,6,142,0,0,0,0,0,0,0,15,5,94,4,118,0,0,0,0,0,0,0,16,11,92,5,117,0,0,3,0,0,4,5,31,18,503,9,566,0,8,5,0,0,25,0,47,30,247,9,369,5,15,3,3,0,33,5,69,52,1622,23,1820,4,30,25,5,0,78,11,105,56,571,6,889,12,57,29,17,9,191,24,136,67,459,5,1014,36,80,39,78,26,198,44,119,67,389,6,1096,29,48,25,67,29,139,32,71,40,147,7,628,72,60,28,106,36,124,35,46,32,127,4,676,284,84,45,188,95,210,53,78,48,139,8,1235,235,31,19,114,67,86,26,44,16,47,3,694,157,32,15,86,43,63,14,13,0,20,0,451,145,9,6,22,19,20,10,3,5,12,0,243,224,16,3,64,27,37,3,14
CED106,0,0,0,4,0,3,0,8,0,623,3,645,0,0,0,0,0,0,0,3,3,181,0,188,0,0,3,0,0,0,0,14,7,101,0,124,0,0,0,0,0,6,0,9,3,44,0,63,0,0,0,0,0,3,3,24,10,332,0,370,0,9,0,0,0,4,5,41,20,173,0,257,3,18,4,0,0,13,0,54,13,690,0,796,5,33,6,6,0,24,9,91,19,480,3,683,7,60,23,23,4,64,13,113,27,566,0,885,26,94,16,66,9,86,27,111,28,666,0,1121,13,49,7,57,17,101,12,91,12,318,0,683,48,65,13,102,21,121,17,86,10,427,5,919,268,109,21,224,68,278,33,168,39,615,6,1826,337,89,13,213,63,91,32,108,15,374,0,1328,373,61,15,203,40,142,9,84,8,266,3,1200,327,32,5,118,21,64,6,45,3,134,0,751,1344,165,3,537,88,499,19,236
CED107,16,3,0,8,0,5,0,5,3,244,8,301,0,8,0,6,0,3,0,14,0,117,0,153,0,3,0,0,0,0,0,14,0,51,6,81,3,0,0,0,0,0,0,19,0,57,0,91,10,18,3,11,0,11,0,35,13,393,12,508,10,4,0,7,3,21,0,66,9,176,6,297,28,34,6,20,0,48,0,162,15,1738,33,2089,26,58,7,29,8,116,11,189,23,848,8,1338,61,99,10,82,12,211,18,179,35,777,8,1495,112,136,12,240,14,214,14,195,30,729,15,1720,120,84,3,252,21,199,14,97,17,208,4,1025,222,82,13,304,21,170,11,87,16,188,8,1124,777,135,26,576,77,269,32,115,25,217,3,2246,674,66,14,419,53,104,30,52,13,115,0,1554,510,30,9,243,44,93,13,26,16,75,8,1052,407,16,6,127,20,24,6,17,0,35,0,654,700,52,7,267,37,166,7,42
CED108,0,0,0,0,0,3,0,4,3,543,16,571,0,0,0,0,0,0,0,4,3,106,0,120,0,0,0,0,0,0,0,9,4,71,0,91,0,0,0,0,0,3,0,10,7,76,0,94,0,3,0,0,0,3,0,20,13,330,7,384,0,7,0,7,0,7,0,48,12,173,0,256,3,19,3,7,0,57,4,87,31,1397,24,1625,3,19,11,4,5,119,4,99,51,513,15,844,7,40,13,21,6,209,9,106,56,380,5,853,32,56,16,98,36,245,33,121,66,385,5,1098,51,34,18,107,34,204,33,70,36,105,6,703,132,42,25,133,56,174,36,53,29,67,9,764,524,71,44,331,173,264,74,79,37,99,4,1707,503,40,27,217,133,108,24,33,12,35,3,1139,383,20,14,128,76,83,14,7,5,22,5,765,280,12,8,65,34,13,10,6,3,8,0,438,424,14,8,78,46,67,9,10
CED109,0,0,0,0,0,6,0,0,0,377,4,396,0,0,0,0,0,0,0,4,0,142,4,155,0,0,0,0,0,0,0,10,0,64,0,83,0,0,0,0,0,0,0,7,3,44,0,57,0,3,0,0,0,0,0,24,14,327,4,377,3,7,0,0,0,9,0,34,14,168,0,239,4,12,10,0,0,22,3,66,31,1044,18,1205,9,27,11,8,0,33,0,80,29,602,8,800,9,37,4,22,3,50,21,123,44,745,3,1049,15,80,23,41,15,95,29,156,45,679,11,1189,32,48,10,75,28,93,15,79,35,314,3,728,72,72,11,96,34,121,22,82,26,347,4,886,327,152,52,311,101,244,58,166,38,412,3,1864,434,101,18,298,101,132,41,85,20,193,0,1420,500,69,23,255,86,109,19,55,16,146,3,1285,441,31,6,130,48,55,23,30,4,72,3,846,1140,135,23,343,110,230,27,104
CED110,11,0,0,4,4,8,0,0,6,294,10,334,4,5,0,4,0,3,4,8,4,154,0,185,3,7,0,0,0,0,0,30,7,97,0,132,0,0,0,6,0,5,0,18,4,90,0,114,13,14,0,6,0,6,0,59,10,524,7,644,6,16,0,15,0,20,3,96,18,277,7,444,23,65,12,33,0,40,9,223,34,2787,41,3255,40,93,3,49,4,86,12,304,39,1417,12,2068,45,155,11,94,10,206,15,268,37,1261,17,2102,109,213,18,278,14,198,31,244,30,1229,16,2388,105,114,7,243,17,142,21,141,24,373,8,1194,205,123,10,284,20,138,17,100,27,351,6,1281,646,162,23,525,60,211,39,108,35,353,9,2166,450,90,15,345,37,96,21,57,14,183,0,1314,335,49,10,192,30,68,10,27,3,110,5,833,213,28,12,98,12,27,9,14,8,36,0,457,388,48,17,183,26,83,4,52
