CED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,12839,7984,3998,2066,85336
CED102,11613,6806,3431,1721,99949
CED103,15600,10112,4811,2225,116250
CED104,16024,11237,5936,2447,88400
CED105,9088,5495,2677,1334,78536
CED106,16430,11612,7443,3462,102715
CED107,14006,10799,5290,1649,83474
CED108,10880,6654,2601,1023,90466
CED109,13258,9342,5104,2496,82582
CED110,16164,14280,7293,2800,86561
CED111,13851,9650,4780,1960,88190
CED112,12344,9807,5360,2279,78454
CED113,15983,11967,5142,1602,85156
CED114,13395,10202,5026,1756,79357
CED115,8778,5678,2572,1082,65558
CED116,17183,16373,7931,2521,87510
CED117,12371,7761,2981,970,96518
CED118,11664,7060,2694,705,105028
CED119,12895,8630,4172,1613,80738
CED120,12991,9621,4308,1448,83240
CED121,13413,10702,5377,1976,84341
CED122,13065,8190,4224,1650,109864
CED123,10800,7092,3132,1109,86795
CED124,15855,15221,7791,2492,78893
CED125,11464,7470,2882,665,92135
CED126,15178,10881,6766,2665,88393
CED127,14355,11153,5049,1583,78809
CED128,9832,6082,2666,1016,70062
CED129,14572,10090,4794,1386,103960
CED130,12901,10442,5402,1725,75551
CED131,13222,9313,4335,1972,91433
CED132,14965,11189,5913,2464,110336
CED133,16452,13773,5802,1935,84528
CED134,11749,8086,4089,1460,70408
CED135,11801,6928,3205,1212,113636
CED136,13169,10741,5412,1502,82392
CED137,14415,9225,4130,1719,124411
CED138,16527,14158,6573,2785,90658
CED139,12234,9553,4583,1650,74285
CED140,14274,11539,6327,2484,81083
CED141,13016,10464,5684,1868,76689
CED142,12884,7989,3251,887,149461
CED143,14739,9552,5537,2043,93588
CED144,10749,5888,2906,1472,85355
CED145,12270,9317,5379,2575,98292
CED146,11040,5760,2389,891,82193
CED147,13191,10714,5846,2122,82673
CED194,1165,680,173,28,7237
CED197,0,0,0,0,0
