CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED101,277,69,600,307,355,216,118,178,26,2149,7,10,3,4,9,3,9,19,4,67,121,162,68,73,133,54,77,38,33,753,131,172,151,107,148,84,98,90,253,1228,7974,18164,6052,5131,8190,3294,1990,2586,968,54347
CED102,330,85,828,387,323,241,136,279,48,2658,7,9,10,10,12,15,11,24,5,99,154,252,83,97,142,70,65,77,38,977,136,197,182,110,140,107,106,153,324,1458,9164,22793,6727,6141,8699,4302,2349,3787,1295,65248
CED103,316,102,769,275,302,231,73,175,27,2271,9,7,12,0,10,6,7,14,0,64,181,262,70,82,181,70,43,51,36,973,143,251,149,93,151,82,45,67,324,1303,12915,33880,6760,5155,10324,4280,1550,2239,1245,78337
CED104,269,80,437,203,277,130,52,118,15,1575,3,9,7,7,7,6,0,3,0,42,148,226,54,68,143,61,24,42,24,795,120,131,81,57,113,49,29,51,159,800,12013,23797,5812,3998,7911,2680,1022,1595,805,59631
CED105,179,46,471,263,220,161,127,185,22,1674,4,0,12,8,8,7,17,21,4,83,60,85,53,66,78,36,61,73,21,531,91,111,160,137,142,102,149,159,402,1458,4059,11183,4833,5028,5454,2537,2419,3069,1063,39642
CED106,200,76,397,197,195,114,47,113,12,1350,6,11,0,9,12,5,3,6,0,53,205,306,60,64,163,81,22,25,34,962,138,160,62,48,105,69,29,45,233,888,14878,30760,3588,3776,7927,3302,729,1329,1151,67439
CED107,360,70,939,575,347,225,228,361,41,3151,3,5,7,16,13,13,8,17,3,83,106,106,86,74,69,31,66,48,27,604,180,94,210,179,151,126,194,226,213,1569,7550,12765,8900,6934,5932,2347,3245,3348,768,51790
CED108,221,79,537,330,319,229,384,289,43,2439,8,0,5,12,14,4,13,13,0,72,93,107,98,114,150,81,232,109,44,1025,96,124,171,156,200,89,296,205,386,1719,5524,15249,6813,6816,8477,2974,5290,3648,1236,56022
CED109,357,104,538,342,439,217,92,123,29,2238,4,7,4,0,7,6,3,9,0,40,151,152,70,70,98,49,39,35,27,681,153,130,141,110,198,95,55,61,197,1134,10872,17773,7079,4751,7665,3191,1283,1602,885,55103
CED110,405,91,994,629,342,324,112,398,43,3336,6,9,3,11,5,9,0,15,0,61,81,116,82,87,68,39,44,73,27,612,174,119,214,211,145,128,103,218,226,1541,5850,12965,6903,7520,5518,2712,1467,3203,694,46839
CED111,289,85,657,423,317,177,105,214,20,2282,5,3,4,6,3,6,3,4,0,34,100,190,67,104,88,24,51,51,19,702,83,123,136,126,113,76,80,96,160,992,7734,19800,7905,6679,6478,2517,2179,2444,751,56497
CED112,328,112,802,487,382,305,184,311,25,2938,3,4,6,7,3,4,3,6,4,45,69,96,85,84,93,39,55,57,26,592,116,114,182,161,121,107,107,140,202,1248,6030,11640,8092,7133,5961,2676,2058,2820,715,47137
CED113,422,112,911,432,458,255,131,325,43,3081,5,3,4,7,6,10,4,8,5,51,240,216,67,124,121,36,57,60,30,946,203,122,224,143,150,105,116,191,227,1487,10475,14053,8265,6261,6916,2408,2036,3198,1043,54662
CED114,379,68,972,547,348,251,185,406,38,3191,9,4,3,12,10,10,5,25,0,74,106,81,86,77,56,25,68,134,16,660,258,88,280,171,140,113,182,358,262,1851,8325,11229,8271,6407,5576,2350,2554,4138,838,49689
CED115,167,50,353,276,233,147,136,193,17,1575,0,3,10,7,13,0,15,17,3,77,50,80,60,67,83,44,67,52,13,510,77,105,134,136,125,74,151,197,276,1283,3330,9408,4295,4106,5104,2088,2463,2185,786,33760
CED116,348,93,940,548,289,258,124,326,33,2960,4,3,0,3,0,12,3,7,0,37,99,122,76,105,68,34,45,50,24,629,145,109,221,180,129,141,106,172,158,1364,6463,11857,8127,6573,4940,2527,1539,2949,684,45669
CED117,307,111,626,259,203,148,60,119,21,1853,8,5,11,8,8,0,0,12,0,47,351,560,83,98,241,89,31,39,35,1523,138,203,103,86,123,75,30,67,208,1023,14410,33301,5032,4350,7503,3137,979,1604,888,71213
CED118,321,114,650,382,376,272,314,233,38,2707,8,6,8,5,7,3,3,9,5,61,137,196,116,173,219,90,206,95,42,1276,139,148,137,124,188,100,159,132,328,1451,10396,25196,7826,6864,10652,3645,4170,3042,1295,73093
CED119,292,111,530,316,387,234,97,145,28,2134,3,7,0,4,8,4,0,4,0,38,116,182,82,78,128,40,31,34,10,701,131,122,135,107,181,60,65,66,159,1029,9806,18641,8012,5528,8337,2705,1466,1789,725,57010
CED120,352,106,761,490,462,276,204,287,39,2978,7,4,6,13,8,6,5,16,0,56,123,99,102,71,88,43,63,63,27,665,189,111,243,146,175,105,163,154,271,1554,8758,12557,10366,7048,7123,2871,3117,3126,933,55893
CED121,327,95,1044,611,357,291,316,363,30,3427,3,0,4,7,6,10,4,3,0,50,84,76,104,87,57,29,120,70,30,660,114,91,246,157,136,108,249,173,251,1527,5860,10728,10818,7089,5930,2574,4371,3105,815,51283
CED122,343,140,862,409,380,205,125,242,40,2746,12,14,6,7,9,14,5,19,0,79,218,342,93,102,166,92,42,54,38,1151,147,221,194,136,159,95,65,136,343,1498,12940,29145,7669,5887,8737,4087,1959,2869,1266,74553
CED123,340,108,677,422,552,322,306,308,32,3066,0,12,4,8,17,12,3,8,0,58,90,97,88,91,137,52,154,90,29,826,133,115,190,160,193,87,207,158,276,1533,7178,13887,9107,7260,8597,3021,4033,3105,993,57189
CED124,280,60,887,504,250,264,100,317,32,2698,0,9,6,5,3,7,0,10,0,35,66,79,58,68,45,25,52,55,21,464,133,95,230,193,128,135,140,233,183,1479,5482,9597,7141,6271,4473,2248,1893,2799,674,40566
CED125,328,89,672,411,479,323,294,306,38,2951,3,3,11,3,8,12,6,15,0,65,120,123,108,105,123,66,132,105,30,908,141,130,214,163,196,101,224,171,333,1682,7235,15729,8698,7644,8645,3555,4015,3314,1171,60005
