CED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED101,14538,29624,305,1766,1949,9077,416,1931,10638,41390,13306,54166,1399,6146,2203,7942,4759,15852,8366,29942,21679,84106,76,362,418,1448,161,592,1858,4997,2508,7396,397,1360,758,1785,3318,7531,4474,10681,6990,18074,860,1867,44061,133675
CED102,17986,36691,306,1817,1724,8079,358,1699,11372,42872,13755,54462,1163,5142,1857,6570,4623,15583,7643,27291,21395,81755,81,391,370,1271,162,640,2049,5294,2660,7605,344,1175,871,2020,3461,7911,4677,11108,7339,18709,1200,2568,47924,139718
CED103,19143,38559,171,947,2204,9928,268,1173,14648,54940,17291,66987,1351,5807,2768,9798,4391,14426,8514,30029,25802,97023,32,147,384,1223,93,322,2022,5021,2534,6719,297,970,967,2217,2692,5938,3952,9123,6486,15836,985,2043,52418,153463
CED104,14337,28879,312,1767,2788,12814,347,1582,11111,43924,14562,60096,1714,7388,2947,10540,4865,15976,9528,33904,24086,93997,51,228,317,1030,88,331,1230,3190,1690,4778,301,967,621,1486,1888,4209,2821,6658,4505,11435,327,701,43261,135009
CED105,11736,24325,724,4599,2481,12922,673,3465,11065,46126,14941,67109,1512,6939,1671,6022,4861,16724,8047,29689,22985,96797,215,1127,607,2465,320,1285,2468,7513,3606,12385,482,1754,804,2008,3636,8609,4924,12374,8538,24760,1082,2404,44336,148288
CED106,15871,31835,168,931,2946,13243,213,923,13710,52227,17044,67323,1451,6209,3696,13126,3565,11453,8713,30784,25758,98105,30,122,495,1591,63,185,1715,4247,2303,6139,267,855,1117,2528,1922,4175,3304,7562,5613,13700,532,1124,47768,144767
CED107,18332,36582,381,2140,1733,8088,601,2815,9631,38504,12345,51546,670,2780,1193,3892,3090,9691,4952,16368,17294,67909,112,534,523,1900,364,1351,3188,8818,4188,12598,214,673,515,1095,2614,5591,3342,7357,7536,19956,632,1303,43790,125753
CED108,12788,26277,670,4215,2657,12974,881,4389,15132,59819,19343,81396,1530,6843,1868,6655,5196,17657,8590,31144,27941,112546,253,1308,676,2671,464,1832,3624,10741,5013,16565,424,1478,643,1552,4018,9443,5085,12465,10099,29035,973,2163,51797,170017
CED109,15619,31373,261,1410,1805,8279,347,1578,9868,38345,12281,49612,1354,5872,1789,6417,4006,13317,7150,25611,19431,75222,46,214,368,1238,111,384,1695,4152,2225,5994,281,895,659,1468,2563,5653,3496,8014,5722,14010,510,1065,41276,121672
CED110,20996,42063,254,1450,1549,7233,532,2454,7962,31519,10298,42658,580,2417,1084,3598,3078,9659,4744,15678,15044,58333,121,604,612,2136,366,1365,3460,9440,4566,13541,257,824,687,1490,3225,6969,4172,9291,8741,22836,659,1392,45442,124622
