CED_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
CED101,3348,2737,1927,1017,338,142,13023,480,1349,1421,1230,920,476,125,30,6028,273,588,466,273,169,96,45,20,1929,269,501,524,406,275,161,62,21,2223,5,12,5,15,9,16,7,17,83,47,112,125,134,91,68,24,15,624,471,769,668,548,510,485,573,627,4656,3385,9579,9502,7912,6175,3729,1780,1107,43166,219,550,474,492,499,264,117,33,2657,646,1199,1545,894,463,116,19,3,4883,405,1623,1671,1969,2428,1575,880,398,10952,374,863,814,793,607,352,221,83,4104,48,144,142,146,122,75,37,9,724,648,1997,1374,1106,1055,619,279,113,7198,294,1287,1063,1099,1064,874,371,129,6181,1285,5160,5582,4423,3153,1770,618,234,22221,690,2057,2057,1780,1397,782,252,56,9070,461,952,805,446,308,170,83,21,3254,400,875,889,665,439,265,113,32,3679,32,24,8,23,22,23,17,20,170,81,207,249,239,220,142,49,21,1211,1010,1621,1429,1108,1064,958,961,902,9041,6595,18565,18105,15182
CED102,3914,2740,1634,764,206,69,15139,521,2028,1704,1329,963,446,97,20,7115,357,1125,775,503,235,93,36,15,3137,273,624,574,450,252,159,50,9,2381,19,8,7,3,21,21,6,0,96,57,177,210,156,120,54,30,6,804,648,1388,920,656,584,525,562,597,5883,4111,15155,11413,8327,5739,3174,1496,905,50321,297,878,666,554,490,208,100,23,3218,1012,2285,1914,887,376,112,21,0,6608,457,2666,2013,1762,1865,1215,674,249,10903,352,1078,891,788,475,277,160,60,4072,34,178,180,137,103,61,23,12,725,691,2821,1544,1100,930,542,216,79,7912,278,1310,1079,995,804,643,284,93,5483,1773,8848,6881,4403,2696,1326,412,118,26452,820,3142,2601,2012,1487,813,206,48,11121,576,1847,1325,845,449,174,74,29,5304,475,1257,1129,771,439,257,102,18,4438,38,50,21,17,35,31,15,4,208,102,345,370,288,246,118,58,20,1551,1414,2891,1932,1396,1217,1032,1082,974,11941,8311,29597,22537,15940
CED103,5227,3395,2289,1237,442,180,18926,494,1854,1997,1504,1199,687,268,66,8074,400,987,795,510,283,147,49,27,3196,219,500,515,415,247,138,49,18,2112,22,6,6,10,19,27,11,0,102,62,160,234,195,109,82,35,19,895,435,994,833,533,510,417,434,464,4617,3686,15294,14495,9942,7795,4836,2292,1159,59505,369,1317,1061,897,895,574,278,88,5473,454,2263,3460,1542,892,258,38,6,8917,420,3223,3179,2209,2484,1744,891,382,14532,283,964,884,743,611,343,195,81,4098,53,213,195,159,182,100,48,13,967,633,2883,2013,1487,1374,1018,471,184,10064,233,1342,1201,1104,1152,1047,584,199,6858,1821,9079,8983,5830,4034,2352,829,329,33260,766,2944,2915,2293,1866,1193,482,135,12606,648,1604,1277,782,446,250,89,39,5146,349,909,958,655,394,232,81,27,3612,40,26,18,19,32,33,15,4,191,101,318,381,307,209,161,70,37,1581,877,2007,1710,1089,1036,803,739,692,8951,7049,29100,28234,19112
CED104,3153,3064,2291,1390,593,179,12617,407,819,1412,1558,1121,761,243,60,6379,294,428,547,480,301,155,70,32,2318,191,255,296,397,263,154,68,21,1636,9,3,5,8,9,11,7,8,56,32,80,157,184,126,95,40,24,728,209,252,366,334,298,308,438,581,2797,2414,5516,9630,9947,7885,5352,2698,1307,44753,270,441,674,868,893,607,310,84,4142,225,554,1988,1525,900,279,39,4,5520,350,1052,2001,2468,2572,1962,1146,373,11922,412,614,801,981,790,451,272,81,4402,92,183,257,314,236,164,84,27,1359,470,1196,1515,1683,1573,1134,616,222,8404,188,786,1087,1482,1367,1367,693,208,7180,878,2567,5304,5535,4207,2739,1180,334,22746,619,1317,2014,2283,1764,1283,501,129,9908,477,779,847,725,468,251,135,43,3736,261,427,473,568,391,213,102,27,2460,20,13,5,11,16,16,8,10,97,66,143,234,291,216,171,80,36,1245,474,475,758,715,631,592,761,871,5276,4795,10544,17964,19443
CED105,2205,1521,1007,479,145,46,9134,610,1626,1310,1041,686,271,70,10,5621,163,371,215,152,106,38,16,6,1061,262,649,543,395,180,89,38,8,2172,25,17,14,19,18,9,7,0,117,60,126,136,85,54,23,13,0,505,1127,1632,1278,974,832,680,470,497,7490,4512,11150,8055,5764,4154,2361,1086,699,37774,322,637,418,376,297,204,76,21,2346,876,1579,1325,638,323,58,12,0,4810,460,1952,1487,1513,1704,1086,583,200,8976,456,926,715,619,391,224,118,48,3490,31,98,91,71,87,44,19,9,447,770,2205,1003,699,556,362,134,55,5790,387,1412,1032,693,607,425,195,68,4816,1512,5659,4101,2500,1659,880,283,67,16665,831,2271,1800,1435,1012,494,148,42,8029,242,646,386,259,172,86,37,11,1844,431,1032,930,585,308,156,78,13,3532,51,35,40,40,30,28,12,4,247,103,273,260,202,139,69,47,19,1108,2610,3768,2956,2184,1799,1373,957,790,16438,9090,22500,16539,11810
CED106,4723,4040,2306,1426,756,305,16521,360,1088,1797,2012,1400,974,517,154,8307,321,613,736,634,406,194,129,73,3114,113,239,276,279,176,116,73,34,1299,21,3,4,17,20,14,11,5,89,30,121,208,238,139,128,61,28,961,271,367,465,393,322,343,389,549,3096,2440,7497,12401,11699,8202,5870,3696,1859,53669,289,564,827,993,883,713,508,184,4953,291,961,2522,1575,816,280,68,13,6525,228,1196,2241,1895,1865,1348,1028,467,10277,190,438,574,633,522,377,226,76,3033,48,116,184,208,183,125,70,30,958,485,1550,1916,2190,1770,1317,978,460,10661,136,725,929,1197,1198,1270,886,308,6644,1067,4344,8231,7600,4964,3112,1696,650,31653,597,1756,2663,3266,2425,1746,961,298,13714,527,989,1117,926,627,323,171,98,4778,180,439,519,446,273,169,100,42,2167,31,12,12,19,27,33,13,7,143,61,201,328,383,245,197,107,48,1570,579,722,910,769,630,615,640,782,5648,4709,14008,22958,22100
CED107,1733,1865,1622,996,354,94,8693,487,1275,1304,1243,1052,595,182,36,6176,109,334,290,250,195,127,59,21,1383,362,717,598,506,304,171,82,19,2762,20,20,9,11,12,8,3,0,80,22,64,76,91,61,40,26,8,391,718,807,794,861,810,902,769,475,6131,3068,7921,7672,7661,6904,5067,2425,903,41621,79,266,284,311,274,212,92,13,1536,80,245,280,200,173,100,27,0,1114,702,2333,2152,2345,2437,1862,873,208,12917,471,908,838,751,765,515,253,66,4566,172,495,535,674,643,462,255,47,3274,589,1846,1622,1487,1710,1250,566,157,9227,284,1198,1281,1373,1285,1317,520,122,7382,573,2323,2546,2694,2410,1595,574,145,12867,612,1710,1757,1747,1461,947,318,75,8628,174,479,424,374,291,209,114,25,2083,521,1084,946,795,526,307,149,33,4363,36,45,12,14,14,7,6,0,135,61,141,155,182,166,113,60,18,904,1813,2386,2256,2061,1860,1892,1478,730,14478,6162,15471,15093,15008
CED108,3633,1996,1516,721,173,37,11785,591,1652,1712,1272,819,341,71,18,6480,207,415,294,140,79,44,13,4,1200,389,741,623,372,231,107,41,8,2521,9,24,14,17,18,19,7,4,111,51,197,282,150,98,54,12,6,848,1012,1455,1373,934,724,706,489,415,7096,4108,12202,12257,7323,5198,3093,1138,630,45947,214,656,786,442,334,204,43,9,2696,417,1831,3099,885,219,80,19,0,6552,548,2320,3032,2391,2341,1425,493,162,12718,402,795,597,566,361,256,135,27,3136,72,202,179,166,148,65,24,0,845,626,2464,1904,1296,933,571,133,56,7977,316,1297,942,792,617,518,210,59,4756,1261,5143,6502,3376,2429,1204,339,56,20320,836,2279,2304,1722,1185,565,163,34,9086,364,766,501,227,148,91,28,6,2137,548,1216,1174,601,387,184,73,17,4193,25,41,32,21,26,28,11,4,184,101,365,505,306,227,143,36,11,1697,2249,2914,2730,1955,1516,1326,896,581,14168,7982,22287,24288,14751
CED109,2837,2784,2075,1190,558,240,12386,403,1274,1284,1196,849,493,169,44,5709,336,671,526,302,174,114,63,19,2216,229,526,487,598,322,254,116,36,2568,5,9,0,3,4,7,7,0,43,19,84,94,114,78,50,19,5,458,322,554,538,517,404,430,567,657,3977,2695,7978,8482,8203,6438,4374,2266,1300,41719,141,388,385,437,407,289,146,36,2231,113,376,707,539,328,114,13,0,2199,420,1652,1613,2131,2328,1784,1125,484,11531,527,1330,1176,1177,828,493,279,102,5918,65,163,170,149,128,89,33,13,809,458,1547,1360,1315,1263,814,434,154,7354,243,1199,1160,1218,1303,1186,469,163,6938,971,3470,4766,4631,3571,2278,993,379,21052,574,2001,1875,1778,1290,854,312,89,8769,493,1025,825,501,265,189,92,32,3424,288,681,754,839,490,347,182,56,3636,12,9,3,15,6,7,3,5,70,42,147,205,230,184,104,54,17,988,687,1146,1145,1102,862,789,964,970,7665,5043,15135,16143,16061
CED110,1628,1911,1922,1451,574,168,9325,424,1079,1324,1552,1487,964,269,63,7163,70,248,307,272,275,212,60,21,1466,357,681,631,528,451,326,118,27,3118,21,12,4,11,13,7,15,14,89,17,66,81,93,98,69,17,10,453,714,740,769,791,910,1020,1069,845,6862,2763,6523,7398,8096,8530,6798,3348,1494,44936,57,194,213,293,274,324,159,39,1547,92,275,279,211,227,184,41,5,1317,413,1169,1245,1595,2210,2295,1359,386,10681,283,761,821,907,1105,952,472,118,5418,115,328,410,494,468,308,110,30,2269,527,1736,1689,1808,2119,1593,687,214,10374,206,1039,1258,1422,1611,1753,753,188,8237,625,1801,2392,2788,2829,2313,963,279,13984,539,1487,1836,2144,2061,1494,481,110,10150,132,395,492,409,424,343,106,38,2342,506,1043,1035,910,728,559,204,50,5033,33,26,9,8,17,20,18,13,147,60,141,172,191,224,173,79,29,1059,1647,1842,1791,1715,1876,1963,1862,1307,14001,5256,12232,13635,14900
