CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,263,1261,1818,1414,1322,1463,1025,541,208,9311,127,1301,2534,1789,1804,1679,880,415,142,10673,68,1165,3099,2415,2132,2006,923,283,67,12163,17,743,2455,2007,1791,1489,588,136,40,9264,12,309,2131,1854,1630,1306,456,111,26,7837,7,129,1434,1606,1442,1042,315,65,13,6054,9,100,2075,3249,2718,1689,413,77,19,10344,0,10,324,826,731,370,84,26,0,2369,0,8,372,1161,1234,725,163,49,24,3743,426,622,1420,1146,943,894,824,827,974,8079,9139,11023,22767,22229,20812,20615,15152,8857,4515,135106
CED102,198,1714,2846,1719,1445,1318,854,457,171,10711,101,1613,4133,2328,1872,1670,775,328,117,12936,60,1369,4838,2901,2303,1822,751,204,66,14312,16,778,3703,2445,1781,1323,461,115,42,10662,5,372,3112,2427,1758,1144,364,94,32,9316,0,161,2098,1832,1442,962,256,43,14,6813,5,121,3247,3957,2757,1499,326,56,21,11986,0,12,528,954,682,326,73,27,8,2599,0,22,508,1414,1185,532,131,42,24,3866,485,989,2572,1633,1253,1003,872,1040,1053,10903,8255,13703,35274,27276,21959,19253,14612,9357,4459,154148
CED103,170,1163,1979,1479,1206,1247,1048,614,243,9143,104,1146,2606,1872,1557,1502,1014,463,186,10454,47,1238,4109,2700,1942,1853,1031,411,149,13482,24,872,3889,2552,1647,1431,706,209,72,11399,8,389,3613,2647,1756,1342,543,138,53,10492,5,165,2546,2299,1519,1140,394,104,40,8210,4,160,4160,6016,3644,2297,649,112,36,17083,0,22,709,1642,1170,655,144,31,11,4389,0,16,704,2533,2449,1271,318,77,29,7398,301,580,1749,1389,925,840,674,617,660,7731,9295,12422,32784,31319,22907,21079,15766,8557,4449,158584
CED104,244,869,748,918,1041,1188,1229,849,241,7320,146,928,1062,1089,1305,1372,1120,666,205,7900,60,934,1516,1519,1801,1698,1249,556,124,9465,16,662,1471,1531,1668,1505,833,308,79,8055,7,324,1407,1701,1759,1468,686,220,61,7641,0,111,992,1502,1625,1288,514,140,36,6204,0,90,1633,4024,4159,2774,795,217,45,13735,0,19,305,1311,1386,839,248,46,20,4187,4,10,325,2416,3205,1912,478,133,39,8519,289,283,463,627,682,570,562,709,906,5101,10623,8767,12432,19980,22631,20148,15702,9461,4070,123813
CED105,253,1660,2779,1988,1794,1512,760,353,125,11225,140,1606,3376,2348,2128,1686,604,203,56,12141,69,1361,3635,2654,2172,1751,573,133,24,12375,22,694,2668,1797,1413,1080,326,65,17,8083,13,298,1939,1421,1099,834,224,37,13,5864,8,107,1133,1029,799,504,125,16,4,3729,3,79,1313,1626,1092,642,159,26,9,4942,0,12,181,314,208,137,34,9,6,894,0,15,185,323,304,141,51,20,9,1045,1082,1571,3369,2660,2009,1632,1175,801,755,15049,11724,15369,31675,24842,21465,20086,13887,7429,3523,150001
CED106,170,900,949,998,949,958,1075,811,349,7157,97,845,1247,1235,1238,1139,1078,816,325,8020,41,913,1880,1718,1553,1442,1132,749,304,9722,10,608,1781,1623,1322,1148,862,499,187,8036,5,288,1664,1776,1460,1249,801,495,168,7912,0,123,1240,1669,1387,1079,586,354,107,6548,6,100,2266,4755,3699,2439,1037,508,182,14994,8,25,457,1702,1593,991,373,150,61,5359,8,31,557,4024,6071,3312,925,374,172,15479,306,332,638,745,683,596,603,698,954,5575,11279,9400,15818,24709,24628,19602,15435,10492,5448,136812
CED107,426,1108,1628,1351,1372,1543,1504,805,226,9958,281,1396,2274,1732,1938,1909,1220,492,135,11374,129,1032,2593,2110,2226,2248,1151,344,70,11902,48,609,2112,1708,1695,1560,690,166,26,8607,24,336,1646,1563,1639,1342,534,207,50,7346,3,169,1214,1303,1446,1082,339,63,32,5661,5,172,1749,2575,2633,1735,409,86,20,9397,0,24,309,488,509,321,99,33,9,1801,3,25,253,658,811,577,257,92,25,2699,860,955,2224,2060,1826,1678,1639,1261,693,13194,10167,9063,20457,19654,21049,21909,19023,10926,4049,136304
CED108,330,1648,2479,2057,1600,1364,805,409,78,10772,239,1802,3551,3075,2587,1972,637,171,43,14068,127,1472,4254,4050,3060,2319,600,86,17,15980,45,789,3420,3197,2276,1506,357,31,5,11621,19,318,2489,2752,1803,1173,280,44,14,8900,6,118,1563,2019,1235,761,164,11,5,5879,0,89,1835,3639,1929,1011,178,14,3,8694,0,11,246,701,304,123,40,11,0,1430,3,21,186,612,275,147,58,20,8,1328,1051,1132,2604,2324,1673,1272,997,738,536,12322,12586,13850,30830,31791,23248,19794,14213,6589,2464,155365
CED109,308,899,939,963,1104,1203,1255,813,302,7796,145,1182,1431,1250,1408,1499,1129,654,265,8964,50,1140,2273,1746,1917,1899,1220,496,155,10891,19,753,2281,1555,1733,1479,829,316,98,9070,13,367,2211,1810,1781,1454,695,226,78,8638,3,161,1655,1520,1632,1197,477,141,50,6827,0,143,2573,3397,3223,2102,647,168,72,12326,3,17,468,1022,1006,606,215,79,28,3448,3,19,562,2061,2269,1311,436,173,49,6884,369,364,1057,948,977,746,711,845,935,6960,8537,8298,18049,19311,20639,18747,15129,10008,5094,123810
CED110,327,1113,1655,1539,1622,1949,2032,1175,347,11765,172,1113,2150,1938,2211,2370,1533,710,228,12425,66,718,2113,2145,2438,2382,1403,563,155,11977,15,339,1452,1536,1685,1513,723,227,72,7561,4,131,1117,1250,1461,1194,512,220,94,5982,0,51,725,978,1194,915,282,90,19,4257,0,37,740,1531,1930,1263,369,105,27,5996,0,10,97,267,335,254,98,34,9,1107,9,16,139,412,575,441,208,101,39,1944,867,701,1666,1550,1457,1588,1643,1631,1253,12348,9679,7729,16670,17863,20566,24368,24373,14808,6018,142073
