CED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED101,638,117,167,12,939,167,37,48,4,258,126,38,103,5,282,69,43,138,4,254,513,87,243,13,862,310,151,381,29,860,1528,320,472,30,2352,901,478,600,66,2044,1022,849,684,89,2642,1195,1097,641,101,3034,685,1026,520,76,2304,853,1146,413,71,2480,1731,2709,857,113,5403,1268,2392,438,90,4189,876,2338,308,48,3577,566,1678,152,15,2416,1453,5814,349,52,7670,440,1177,383,36,2033,183,177,95,17,473,14538,21679,6990,860,44061
CED102,690,157,221,24,1088,192,34,50,4,280,138,62,95,8,307,114,59,152,11,329,506,111,254,14,886,313,197,411,32,947,1808,387,461,46,2695,1024,566,628,89,2299,1003,955,719,118,2791,1336,1318,714,138,3506,912,1125,556,90,2683,1037,1214,519,95,2862,2455,2820,870,200,6345,1593,2309,458,115,4478,1228,2089,264,51,3637,869,1604,140,36,2651,1980,5120,357,75,7534,561,1063,388,37,2046,238,217,95,13,553,17986,21395,7339,1200,47924
CED103,858,147,256,41,1300,232,41,56,14,348,149,61,96,10,314,119,40,132,11,298,530,121,183,17,858,328,176,289,29,823,1276,296,391,48,2006,907,495,488,75,1960,1104,764,580,77,2519,1342,1113,587,108,3147,887,1058,451,69,2470,992,1075,413,64,2540,2434,3035,856,137,6461,1883,2481,398,99,4858,1486,2628,294,48,4454,1028,2054,157,39,3284,2782,8774,440,67,12065,614,1265,351,16,2252,203,175,70,6,458,19143,25802,6486,985,52418
CED104,528,65,120,9,719,183,20,27,3,233,105,32,43,7,182,86,23,69,8,187,391,51,110,9,553,270,94,141,4,509,1035,141,220,14,1415,884,214,301,26,1426,1070,410,344,39,1860,1235,623,399,31,2288,720,638,351,23,1732,771,762,337,17,1885,1520,2119,618,40,4298,1148,2114,337,23,3626,996,2487,230,28,3735,662,2090,115,12,2870,2171,10726,410,29,13332,408,1338,312,13,2071,156,158,38,4,354,14337,24086,4505,327,43261
CED105,597,340,336,31,1305,142,65,66,7,282,118,144,184,14,458,117,128,287,19,548,566,352,444,34,1396,369,463,638,25,1497,1820,1013,735,62,3633,889,1242,893,100,3116,1014,1814,823,107,3753,1096,2090,786,137,4117,628,1670,554,103,2950,676,1590,465,68,2800,1235,3073,725,125,5157,694,2121,410,95,3315,451,1593,243,34,2317,243,1042,128,32,1442,423,2490,234,42,3180,413,1380,415,50,2257,249,379,176,22,825,11736,22985,8538,1082,44336
CED106,645,134,317,15,1116,188,38,64,4,304,124,45,88,3,260,63,47,99,9,214,370,85,137,13,603,257,105,218,14,594,796,204,233,25,1260,683,267,289,32,1272,885,499,435,37,1859,1121,597,435,49,2209,683,619,361,39,1705,919,711,345,36,2005,1826,1987,743,81,4638,1328,1692,319,48,3384,1200,2030,302,39,3569,751,1577,120,15,2467,3390,13433,676,33,17533,457,1562,379,20,2408,172,144,40,12,368,15871,25758,5613,532,47768
CED107,301,44,88,3,441,153,11,38,0,203,81,26,88,8,197,91,22,212,5,325,508,52,323,19,898,297,90,602,16,1004,2089,225,714,45,3080,1338,291,930,88,2647,1495,551,900,74,3027,1720,912,716,83,3434,1025,886,534,49,2490,1124,1042,399,38,2613,2246,2571,684,68,5562,1554,2342,266,36,4200,1052,1955,183,17,3203,654,1349,49,10,2068,1408,3097,144,14,4670,841,1679,493,34,3048,345,148,161,22,679,18332,17294,7536,632,43790
CED108,571,146,247,24,992,120,29,50,3,199,91,63,145,10,302,94,65,259,10,424,384,152,510,22,1068,256,242,784,38,1322,1625,519,893,57,3095,844,720,1074,87,2726,853,1205,1006,91,3158,1098,1870,1019,112,4103,703,1741,688,84,3223,764,1801,574,59,3200,1707,4696,951,132,7492,1139,3706,469,75,5392,765,3003,312,29,4110,438,2018,153,29,2636,681,4044,231,39,4999,404,1635,521,44,2612,249,267,204,21,747,12788,27941,10099,973,51797
CED109,396,66,101,9,566,155,13,25,5,191,83,32,67,3,187,57,16,66,5,149,377,50,127,7,562,239,56,260,6,566,1205,123,314,19,1664,800,181,434,49,1467,1049,355,519,55,1979,1189,562,514,54,2321,728,613,454,36,1839,886,709,395,32,2023,1864,1935,778,72,4650,1420,1973,385,56,3842,1285,2107,287,37,3710,846,1673,142,19,2685,2369,7641,404,31,10443,455,1192,395,14,2051,207,123,61,3,384,15619,19431,5722,510,41276
CED110,334,41,109,14,493,185,10,54,5,257,132,27,108,7,278,114,24,204,10,352,644,83,421,23,1173,444,80,764,28,1313,3255,270,894,51,4477,2068,434,1088,85,3676,2102,773,1103,95,4077,2388,1175,997,77,4630,1194,1027,590,31,2834,1281,1069,441,34,2821,2166,2420,632,63,5281,1314,1967,204,26,3516,833,1483,116,15,2446,457,916,40,4,1411,945,1884,135,8,2972,762,1248,656,38,2702,385,122,181,31,716,20996,15044,8741,659,45442
CED111,289,35,101,18,441,141,8,31,3,184,82,20,85,10,201,79,17,176,9,281,433,70,235,7,743,310,74,441,13,845,1681,218,502,44,2438,1241,271,716,73,2304,1314,486,734,76,2612,1466,738,694,72,2978,858,715,489,49,2108,971,855,438,50,2311,1954,2250,739,72,5005,1523,2313,303,38,4176,1141,2242,221,25,3630,759,1708,83,18,2572,1688,5204,225,23,7138,452,1123,491,25,2087,188,112,81,11,391,16557,18465,6785,640,42445
CED112,301,46,153,9,509,118,11,39,3,170,83,22,89,3,199,82,16,169,7,268,438,45,336,10,831,292,80,702,21,1084,2105,204,827,41,3180,1390,282,1079,78,2826,1445,535,1169,95,3248,1616,980,971,83,3651,923,1077,639,50,2683,990,1249,565,33,2839,2107,2834,858,75,5873,1294,2668,399,34,4392,888,2173,179,15,3255,485,1362,84,12,1942,980,3028,173,14,4195,572,1296,567,22,2461,249,138,153,17,550,16363,18035,9147,612,44153
CED113,330,27,62,0,425,161,14,29,7,211,99,23,66,3,194,76,16,123,3,216,464,49,249,16,769,337,72,432,15,857,1961,170,423,20,2574,1367,257,651,50,2326,1547,480,598,47,2671,1849,772,526,53,3199,1024,772,438,28,2262,1198,908,386,40,2527,2274,2245,637,67,5226,1636,2046,281,30,4000,1276,1971,190,13,3454,800,1486,94,7,2390,2153,4698,203,18,7075,838,1516,466,22,2851,306,116,94,11,534,19709,17638,5951,459,43754
CED114,397,54,95,3,549,169,15,23,10,221,105,34,100,7,246,78,32,186,5,301,545,59,348,11,967,375,104,620,30,1128,2455,238,680,36,3413,1575,351,859,91,2874,1702,655,876,72,3300,2017,1136,672,58,3895,1070,1180,464,47,2762,1343,1303,377,41,3071,2563,2868,610,66,6099,1566,2263,185,27,4038,1025,1782,123,17,2948,500,1170,49,6,1736,1045,2210,98,12,3368,868,1706,476,34,3087,518,156,156,26,858,19926,17319,7011,610,44860
CED115,638,311,438,27,1418,125,51,65,13,257,104,115,180,13,410,140,113,342,16,607,490,342,496,38,1365,311,426,709,28,1480,2103,902,812,76,3887,1010,1114,1079,150,3351,845,1596,1090,130,3654,987,1828,966,118,3903,584,1612,682,80,2958,586,1531,559,79,2752,1158,2921,936,122,5137,667,2022,524,68,3284,417,1648,284,24,2370,248,1053,158,21,1474,388,2386,261,19,3058,360,1174,447,29,2012,239,256,179,25,699,11400,21399,10200,1076,44070
CED116,434,41,89,10,578,218,18,28,3,263,139,18,75,3,242,127,15,145,4,303,677,71,311,19,1073,523,87,595,22,1216,3475,229,640,35,4385,2130,306,898,88,3427,2400,645,915,92,4047,2667,1051,749,68,4546,1266,984,463,35,2751,1385,1068,397,34,2877,2422,2397,529,56,5398,1439,1900,224,30,3594,957,1483,108,12,2561,503,958,64,6,1532,1288,2177,125,4,3598,811,1307,500,22,2636,404,112,125,12,655,23275,14878,6986,559,45687
CED117,262,41,102,13,411,89,15,26,4,137,41,9,55,12,113,38,15,81,6,144,210,33,162,14,420,133,57,191,18,399,714,97,218,26,1056,456,140,356,65,1020,626,277,425,62,1388,861,345,431,82,1716,575,332,397,46,1356,726,434,335,66,1553,1832,1158,783,115,3892,1683,1149,255,73,3154,1573,1318,290,59,3236,1347,1129,94,38,2609,5092,8587,591,75,14342,551,692,335,14,1597,138,71,51,13,267,16936,15905,5168,797,38796
CED118,766,121,158,10,1049,100,27,40,4,175,89,32,86,3,213,71,43,146,3,264,345,98,252,20,710,260,149,387,14,807,1235,316,405,26,1986,760,464,581,65,1869,916,945,687,57,2609,1006,1306,710,87,3104,695,1468,514,50,2725,743,1527,533,75,2883,1936,4417,955,137,7443,1387,3976,448,77,5884,1104,4091,306,47,5559,787,2970,151,24,3934,1414,8226,335,34,10004,398,1463,413,42,2312,189,244,114,19,562,14202,31890,7223,799,54105
CED119,337,56,63,8,463,137,6,17,0,165,74,20,36,10,141,42,17,78,3,142,327,38,156,13,530,250,49,223,9,532,1092,120,272,8,1501,828,207,438,26,1499,1058,341,469,35,1908,1240,579,519,44,2379,671,665,420,29,1790,754,823,402,32,2016,1603,2490,745,59,4902,1352,2683,401,28,4474,1091,2901,279,19,4288,769,2316,141,16,3247,1841,7807,319,18,9986,403,1214,373,12,2002,146,148,57,8,348,14007,22491,5418,385,42298
CED120,346,77,87,13,523,151,19,29,0,205,79,29,67,3,174,94,16,113,5,227,406,55,228,7,693,296,74,440,19,828,1826,177,485,22,2514,1181,263,681,42,2164,1257,576,764,49,2641,1577,973,634,49,3230,918,1113,559,25,2618,1031,1257,463,22,2779,2284,3242,798,53,6374,1718,3089,408,43,5251,1297,2751,256,23,4322,667,1995,108,8,2773,1473,4847,229,15,6567,590,1520,452,21,2582,279,191,111,8,589,17467,22259,6900,434,47062
CED121,328,50,139,16,528,156,7,41,0,209,114,16,100,5,238,91,13,197,10,311,478,50,402,14,943,375,78,709,22,1186,2396,221,792,27,3443,1562,330,1073,97,3059,1638,616,1070,72,3394,1806,980,836,61,3685,969,1040,571,48,2634,1067,1172,504,39,2788,2303,3043,770,76,6187,1559,2723,359,35,4672,1180,2286,213,18,3691,650,1527,60,9,2251,1287,3277,149,7,4723,766,1673,550,27,3014,299,134,167,23,625,19035,19241,8695,603,47578
CED122,423,84,147,38,693,135,13,38,9,185,89,23,87,10,214,74,25,130,8,233,338,61,222,25,651,249,96,287,41,672,1108,181,385,37,1705,719,254,550,87,1616,886,477,581,114,2055,1078,697,561,101,2444,700,632,478,78,1884,908,737,430,100,2173,2309,1954,880,158,5302,1956,1835,360,102,4256,1671,1936,327,76,4013,1275,1520,127,27,2956,3606,8215,538,81,12438,677,1106,403,30,2214,216,159,77,12,467,18408,19998,6612,1138,46158
CED123,389,99,163,16,661,97,11,41,4,161,82,25,103,3,216,70,19,206,9,301,323,64,419,11,816,240,108,701,13,1059,1488,242,837,40,2610,1014,389,951,78,2433,1023,712,1037,85,2865,1261,1190,989,92,3533,848,1303,779,61,2991,950,1472,636,70,3130,2257,3699,1089,122,7169,1705,3178,528,85,5494,1126,2895,332,41,4397,698,1986,144,23,2854,1041,4577,285,35,5937,520,1392,492,35,2438,212,197,162,17,583,15341,23569,9899,820,49635
CED124,473,61,86,12,635,251,8,42,11,314,163,32,92,3,288,150,26,172,5,354,760,55,370,21,1209,540,83,571,24,1207,3954,257,729,53,4987,2375,363,935,80,3757,2393,691,971,78,4133,2601,1098,736,50,4487,1148,984,443,27,2604,1242,1034,354,40,2660,2070,2200,468,46,4781,1145,1733,203,12,3089,782,1341,110,7,2241,380,875,24,3,1281,954,1829,89,10,2877,859,1342,546,21,2772,507,128,162,15,814,22739,14145,7090,519,44490
