CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED111,2457,1944,1599,1080,316,44,10369,69,618,762,674,640,515,146,31,3459,2226,6725,5176,4128,2869,1937,736,182,23985,823,1939,2481,2808,2364,1549,605,190,12759,2355,4404,4033,4243,4152,2495,1305,425,23416,340,233,241,258,293,181,67,21,1626,156,190,315,517,726,664,306,110,2986,2850,4831,4591,5015,5175,3339,1684,555,28028,55,90,118,113,165,188,116,38,878,1236,1228,1046,1020,1039,1040,1188,916,8712,7423,18193,16625,15705,13851,9650,4780,1960,88190
CED112,927,678,641,500,151,25,3609,55,324,458,389,379,345,98,22,2072,636,3367,3520,2642,1815,1590,630,149,14357,576,1976,2522,2761,2127,1590,651,154,12357,2559,5568,5451,5374,4957,3158,1622,450,29152,402,355,287,313,295,236,77,16,1981,198,279,426,609,682,643,283,86,3196,3153,6202,6166,6290,5936,4033,1985,554,34330,48,91,107,142,139,175,133,29,861,1143,1239,1286,1277,1308,1570,1699,1347,10870,5645,13864,14980,14185,12344,9807,5360,2279,78454
CED113,1741,1667,1359,982,315,39,7492,46,396,720,849,826,676,150,22,3682,673,3960,3889,3606,3112,2486,914,173,18816,333,1648,2267,2833,2721,1935,717,175,12632,1987,4783,4548,4821,4893,3114,1267,341,25752,259,290,273,261,299,224,64,15,1690,126,218,247,476,684,548,263,77,2645,2369,5290,5072,5556,5877,3889,1603,431,30084,23,83,95,110,143,177,93,23,747,1234,1554,1478,1581,1946,1826,1348,742,11703,4713,14287,15260,16205,15983,11967,5142,1602,85156
CED114,763,573,510,298,102,8,3240,48,347,487,523,501,353,92,6,2365,680,3631,3516,2586,1939,1425,546,115,14431,413,1780,2010,2184,2175,1506,660,160,10874,2435,5608,5002,5083,4979,3350,1310,343,28115,325,343,273,333,352,194,58,7,1882,147,236,312,476,553,493,197,55,2470,2907,6184,5585,5894,5879,4035,1564,403,32466,41,90,100,74,114,147,98,39,700,1787,1961,1840,1989,2281,2439,1960,1021,15281,5922,14935,14294,13825,13395,10202,5026,1756,79357
CED115,1132,519,327,210,62,10,4147,62,280,257,198,136,87,24,10,1056,2078,6145,3610,2263,1464,1087,351,66,17057,925,2507,2525,2198,1629,825,283,67,10967,1421,2882,2794,2730,2478,1540,679,182,14704,258,254,283,295,267,114,26,4,1499,145,311,418,517,517,308,93,29,2343,1821,3447,3496,3536,3265,1964,800,219,18549,67,168,150,175,163,136,60,16,936,1783,2362,2035,1815,1792,1360,991,700,12844,6881,16662,13209,10706,8778,5678,2572,1082,65558
CED116,928,900,1114,1132,399,66,5255,22,352,487,473,749,830,236,17,3170,483,2722,2940,2691,3088,3025,1157,288,16392,287,1315,1952,2365,3034,2691,1159,275,13076,2067,4738,4571,4934,5881,4782,2272,622,29876,275,290,269,280,417,364,97,30,2024,143,231,284,452,815,979,506,152,3559,2493,5255,5123,5671,7118,6124,2875,800,35459,29,72,82,100,171,285,192,57,991,1396,1516,1467,1664,1905,2291,1905,1012,13159,4745,11904,12978,13870,17183,16373,7931,2521,87510
CED117,5448,3906,2596,1541,432,53,18584,51,974,1148,1117,806,560,114,12,4782,2619,13384,9809,6922,3996,2351,741,121,39945,827,2381,2628,2660,1778,1092,370,114,11854,834,2243,1933,1886,1564,846,440,155,9902,132,139,160,208,149,92,31,3,908,85,187,292,471,462,332,133,38,1986,1051,2569,2383,2563,2169,1268,598,193,12801,58,160,169,152,107,125,57,11,838,803,1691,1299,1048,919,833,665,462,7714,5526,25654,22880,18369,12371,7761,2981,970,96518
CED118,7758,2688,1263,643,167,25,16963,90,592,1001,656,392,226,62,0,3017,2246,9460,11770,5719,3141,1812,511,80,34745,1098,3063,4044,3182,2024,1122,344,62,14942,1939,3734,4066,3798,2794,1559,675,170,18734,298,216,276,270,238,139,41,10,1484,185,287,469,678,550,416,172,35,2799,2424,4238,4810,4743,3580,2117,885,212,23012,71,252,406,251,187,165,85,7,1417,1498,2558,2379,1495,1079,974,639,310,10934,7645,24351,32177,18733,11664,7060,2694,705,105028
CED119,2441,1718,1211,651,205,28,7804,71,452,658,637,581,431,90,12,2933,1604,5382,5937,4440,2920,1863,580,135,22868,698,1951,3100,3495,2520,1525,590,152,14032,1912,3556,4032,4289,3734,2323,1285,373,21502,178,156,212,271,254,173,58,21,1316,148,197,404,680,755,697,353,89,3316,2235,3902,4650,5239,4738,3195,1701,482,26138,27,85,142,149,195,195,115,48,958,553,695,849,766,733,771,884,753,6012,5254,13954,17773,16444,12895,8630,4172,1613,80738
CED120,1112,882,738,574,186,23,4632,59,413,498,494,471,367,87,16,2408,846,3579,3644,2904,1984,1566,590,134,15247,759,2387,2755,2852,2268,1594,568,122,13300,2974,6662,6240,6075,4894,3055,1260,261,31416,331,322,282,340,279,204,55,11,1812,224,285,412,619,736,638,253,54,3225,3525,7272,6933,7031,5908,3891,1570,328,36459,43,73,100,144,156,151,94,29,801,1169,1421,1441,1414,1467,1468,1208,794,10382,6462,16199,16481,15716,12991,9621,4308,1448,83240
CED121,767,655,605,566,252,58,3502,46,298,378,330,409,352,128,16,1966,586,3040,2996,2160,1813,1726,670,187,13178,501,1939,2283,2382,2219,1651,667,194,11829,3116,7605,6633,6427,5717,3651,1610,433,35197,476,457,374,351,311,234,65,22,2287,202,334,329,550,665,679,355,101,3207,3794,8401,7338,7329,6683,4558,2028,561,40689,45,73,95,125,150,154,109,36,778,1449,1893,1744,1637,1532,1690,1524,924,12400,6438,16231,15604,14609,13413,10702,5377,1976,84341
CED122,5383,3369,2070,1082,411,91,18682,72,782,876,729,490,379,109,20,3462,3487,14631,9053,5969,3632,2141,827,224,39962,1177,3260,3104,2947,2179,1266,585,200,14714,1319,3630,2848,2658,2427,1408,868,308,15461,202,176,163,203,168,123,54,10,1095,156,325,365,534,611,398,196,56,2655,1680,4133,3376,3401,3206,1927,1119,369,19211,119,343,248,192,214,177,104,31,1433,1555,2931,2096,1538,1275,1227,1071,707,12397,8360,32089,24147,18144,13065,8190,4224,1650,109864
CED123,2362,1068,594,317,94,12,6372,82,471,551,407,292,237,58,3,2096,1395,5257,4940,2762,1692,1142,347,78,17612,856,2969,3237,2673,1876,1072,346,75,13107,3341,7175,6055,5079,4011,2328,918,188,29092,378,420,397,349,261,164,31,3,1998,229,356,509,578,568,432,174,30,2888,3954,7945,6954,6001,4839,2924,1124,223,33978,58,138,202,163,152,138,71,20,949,1733,2518,2291,1744,1349,1266,1087,695,12680,8176,21130,20541,14824,10800,7092,3132,1109,86795
CED124,551,563,670,678,238,37,3089,27,208,285,384,492,539,151,17,2097,315,1835,2270,2277,2370,2445,964,211,12691,300,1026,1660,2246,2655,2485,1035,245,11657,2058,4111,4389,5360,6327,5003,2371,569,30189,277,296,283,323,374,396,130,25,2104,143,170,260,463,800,896,444,125,3305,2482,4582,4934,6146,7507,6295,2941,711,35597,37,41,70,90,172,260,156,53,874,1212,1047,1190,1403,1997,2521,2301,1222,12888,4376,9086,10961,13105,15855,15221,7791,2492,78893
CED125,3249,1354,709,371,108,24,8275,86,544,647,407,273,199,47,3,2195,1496,6925,6561,3154,1947,1200,342,59,21691,981,3675,3987,2884,2074,1189,319,49,15153,2664,6596,5827,4644,3990,2425,901,140,27194,339,426,418,309,278,174,46,4,1994,235,392,597,665,691,527,164,30,3294,3232,7413,6841,5617,4961,3121,1116,173,32479,88,199,254,177,181,164,68,14,1139,1657,2152,2116,1491,1325,1230,888,339,11204,7634,23291,23655,15082,11464,7470,2882,665,92135
CED126,2349,2423,1728,1052,440,98,9365,34,338,593,819,708,543,203,47,3292,1517,5189,6580,6533,4399,2987,1472,427,29097,618,1748,2678,3734,2922,2112,1271,399,15486,1402,2636,2994,3616,3223,2006,1391,452,17724,156,103,178,241,227,204,88,30,1220,130,190,336,656,826,759,536,195,3623,1684,2930,3504,4517,4276,2973,2011,670,22573,46,98,142,198,193,214,199,82,1169,648,758,928,1008,945,1010,1173,935,7403,4582,12294,16788,19236,15178,10881,6766,2665,88393
CED127,1547,1621,1533,1242,381,72,7744,46,338,510,729,786,737,182,25,3354,849,3233,3813,3757,3145,2607,970,223,18598,596,1677,2225,2728,2630,1959,844,220,12882,2241,4533,4369,4634,4207,2573,1116,292,23971,248,225,223,268,278,194,65,11,1516,140,192,276,507,645,650,327,83,2827,2629,4950,4868,5409,5135,3421,1511,390,28313,44,67,99,110,138,170,156,37,816,745,836,906,989,995,1011,1005,618,7105,4963,12393,13973,15347,14355,11153,5049,1583,78809
CED128,1547,668,525,291,65,12,4888,53,331,326,253,217,138,34,6,1364,1642,5496,3998,2539,1879,1123,351,81,17105,910,2564,2899,2453,1758,887,292,68,11823,1732,3618,3606,3463,2988,1768,774,170,18117,226,256,302,277,231,123,29,4,1446,158,309,476,548,587,349,133,33,2600,2120,4182,4388,4289,3807,2238,934,204,22160,67,173,189,137,158,131,53,10,928,1578,2206,2065,1609,1497,1278,936,621,11789,6473,16638,15415,11946,9832,6082,2666,1016,70062
CED129,7399,3903,2157,1119,329,60,18138,71,482,1073,922,598,466,142,21,3775,2320,7835,11430,7765,4519,3047,1092,215,38225,876,1847,3437,3969,2786,1879,773,190,15759,1527,2363,2858,3506,2638,1746,1180,272,16086,215,132,167,233,229,155,75,17,1221,168,192,417,656,694,669,347,86,3228,1905,2689,3450,4390,3562,2572,1601,371,20540,64,131,276,251,219,225,148,32,1351,615,855,1149,842,728,779,704,500,6178,5949,16919,28214,22038,14572,10090,4794,1386,103960
CED130,1000,809,756,575,250,52,4395,38,300,436,462,434,417,123,13,2224,660,3185,2828,2464,1984,1710,687,182,13693,288,1232,1677,2019,2048,1550,697,173,9685,2328,4853,4533,4444,4546,3043,1302,285,25332,426,412,288,310,365,223,89,9,2115,166,234,270,482,592,584,288,69,2687,2913,5495,5092,5232,5500,3857,1690,361,30141,52,88,88,84,121,156,106,31,722,2259,1841,1723,1871,2054,2184,1858,906,14699,6239,13059,12835,12943,12901,10442,5402,1725,75551
CED131,2764,1870,1389,853,285,61,9666,78,670,763,727,631,547,138,29,3591,2065,8519,6280,4485,2931,2147,757,184,27375,709,2285,2365,2659,2241,1414,596,168,12436,2619,5177,4117,3992,3940,2367,1057,360,23622,443,266,217,259,275,171,63,15,1710,169,221,283,459,566,527,250,78,2550,3236,5656,4616,4704,4775,3068,1367,455,27880,83,124,107,122,130,134,104,36,834,1490,1459,1153,1152,1130,1155,1085,1035,9652,7756,21066,18051,15727,13222,9313,4335,1972,91433
CED132,7464,4954,3197,2204,902,186,24144,49,894,1215,1131,869,673,290,55,5171,2778,13020,11865,8505,5803,3930,1922,582,48397,541,1825,2519,2607,2239,1743,992,373,12842,556,1582,1404,1279,1202,848,489,217,7583,91,97,114,118,134,122,56,20,754,66,167,273,427,512,520,277,127,2380,714,1844,1789,1830,1853,1492,826,365,10716,53,182,226,201,171,214,143,66,1256,566,1422,1378,999,836,933,844,837,7808,4853,24270,26457,20222,14965,11189,5913,2464,110336
CED133,762,806,748,696,233,25,3821,36,251,437,547,614,614,127,24,2663,365,2583,3320,3175,2787,2534,743,174,15680,327,1316,1830,2412,2698,2201,820,205,11799,2303,4786,4765,5139,5958,4165,1573,389,29071,385,378,317,328,408,294,78,21,2220,170,256,348,482,768,744,336,93,3180,2857,5421,5429,5949,7128,5199,1988,504,34481,35,82,78,107,167,217,145,39,876,1766,2034,2020,2057,2308,2323,1744,969,15217,5413,12211,13879,15054,16452,13773,5802,1935,84528
CED134,701,428,349,176,59,17,2747,31,326,367,351,348,209,45,7,1679,613,3440,2760,2000,1464,1005,357,87,11728,284,1401,1533,1711,1762,998,410,116,8209,2016,5109,4290,4101,4066,2468,969,211,23231,306,381,250,290,316,160,53,7,1773,150,225,259,389,515,429,211,48,2230,2480,5717,4792,4782,4893,3069,1230,276,27238,39,80,68,85,116,118,74,31,615,2384,2662,2471,2495,2814,2518,1914,938,18196,5871,14612,12697,11848,11749,8086,4089,1460,70408
CED135,8064,2590,1472,676,207,31,22376,108,808,932,555,394,250,73,16,3134,3194,14385,11505,4929,3315,1927,752,196,40204,1642,3372,3487,2660,1997,1083,493,136,14875,1408,2738,2713,2512,2199,1185,585,200,13541,208,219,202,247,202,122,38,10,1242,162,292,393,542,468,389,183,58,2476,1772,3247,3313,3299,2873,1685,804,265,17260,123,451,406,213,233,168,88,39,1715,1920,3663,2917,1611,1519,1123,792,522,14072,9216,34808,30624,15850,11801,6928,3205,1212,113636
CED136,877,667,569,415,153,18,3332,58,336,374,410,394,388,91,15,2068,602,3239,3063,2276,1697,1597,649,145,13262,530,2147,2521,2586,2432,1756,746,135,12856,3012,7489,6525,6113,5589,3809,1782,338,34669,453,496,394,312,316,240,73,10,2305,199,304,349,508,683,665,303,73,3081,3669,8303,7267,6936,6586,4715,2163,421,40053,35,81,93,108,128,206,111,46,806,1073,1314,1189,1200,1360,1659,1506,718,10014,5992,16016,15390,14171,13169,10741,5412,1502,82392
CED137,6448,3213,2145,1232,385,79,23474,153,931,948,765,591,447,156,32,4023,4153,17091,10960,6679,4705,2775,1066,291,47721,2514,3984,3596,3060,2526,1555,619,181,18032,1228,2664,2238,2216,2199,1353,686,229,12812,155,182,192,217,210,110,50,11,1128,154,337,380,553,654,508,223,79,2883,1540,3187,2811,2989,3058,1968,955,321,16825,149,338,287,215,241,227,117,52,1621,1714,3651,2275,1301,1145,1026,832,753,12711,10612,38765,27330,18214,14415,9225,4130,1719,124411
CED138,1295,1180,1089,964,270,46,5683,24,329,595,636,681,647,151,31,3091,561,4057,5003,4326,3301,2937,1015,233,21434,437,1808,2561,2736,2962,2387,1003,286,14182,1775,3796,4355,4792,5190,3754,1675,516,25863,254,221,231,265,313,257,68,21,1626,131,251,389,485,715,757,353,116,3195,2153,4270,4978,5548,6216,4763,2091,656,30687,47,91,109,125,187,241,145,80,1019,1385,1729,1921,1892,2083,2209,1888,1452,14567,4630,13094,16450,16439,16527,14158,6573,2785,90658
CED139,776,642,537,376,120,28,3223,47,365,413,456,401,317,88,9,2098,774,3466,3195,2527,1746,1402,539,139,13787,437,1451,1725,1974,1928,1498,618,196,9822,2751,5477,4736,4560,4577,2986,1158,274,26513,373,425,303,285,355,231,71,13,2051,148,248,277,465,631,581,239,69,2660,3262,6146,5315,5309,5564,3802,1470,360,31224,45,96,77,92,137,143,105,36,741,1820,1745,1664,1695,1925,2013,1653,880,13393,6424,13985,13164,12695,12234,9553,4583,1650,74285
CED140,1499,1274,1077,816,307,50,6079,69,291,476,548,573,536,155,24,2668,881,3871,4654,3728,2820,2356,965,249,19522,515,1571,2392,3024,2686,1959,985,234,13376,1896,3647,4089,4452,4617,2987,1610,447,23755,244,210,220,259,296,272,110,21,1631,145,213,315,534,710,791,435,111,3258,2280,4070,4622,5248,5623,4050,2157,586,28640,47,84,115,155,192,259,183,51,1090,823,979,1057,1121,1307,1556,1573,1285,9699,4660,11892,14815,15087,14274,11539,6327,2484,81083
CED141,1171,949,698,549,184,40,4378,41,278,484,488,477,444,93,14,2322,731,3629,4049,3132,2164,1757,754,144,16371,388,1561,2176,2550,2401,1706,807,198,11785,2306,4852,4806,5096,5060,3523,1861,543,28055,327,264,241,261,277,225,85,14,1694,169,206,297,493,712,718,383,103,3087,2802,5317,5349,5848,6051,4472,2327,661,32828,42,59,95,90,174,174,128,50,814,775,929,957,969,1042,1357,1397,763,8192,4816,12528,14280,14027,13016,10464,5684,1868,76689
CED142,8498,4051,2633,1583,527,87,30510,123,1693,1320,871,695,449,137,7,5297,6882,28149,13934,6419,4171,2381,863,214,63022,1877,5999,4044,2559,1830,1089,459,125,17991,1163,3778,2279,1643,1353,771,327,84,11398,177,283,203,147,134,107,17,5,1076,167,482,378,423,409,288,118,32,2307,1501,4544,2866,2204,1901,1163,471,123,14784,204,495,322,201,162,147,91,28,1641,2336,5431,2994,1804,1485,1173,702,298,16225,13579,58786,33970,18113,12884,7989,3251,887,149461
CED143,4318,3984,2564,1413,705,116,15869,46,537,862,979,811,580,214,27,4054,1925,9387,9107,8359,5464,3186,1533,487,39443,476,1772,2387,2974,2365,1694,1024,305,13003,720,1938,1797,1894,1776,1074,645,256,10101,103,85,102,174,192,152,66,24,894,86,165,282,491,588,516,350,125,2607,911,2192,2182,2556,2553,1746,1058,395,13602,27,161,169,201,185,163,182,47,1133,516,984,993,931,797,766,816,674,6480,3980,17738,20026,19978,14739,9552,5537,2043,93588
CED144,3246,1630,1017,477,122,33,10722,78,491,528,432,305,198,66,16,2109,2662,9089,6358,3817,2679,1315,509,174,26603,1228,2890,3267,2770,1907,910,322,138,13440,1282,2724,2722,2794,2225,1183,644,219,13790,200,189,214,246,200,93,25,8,1185,194,339,431,576,584,309,128,43,2606,1677,3258,3363,3617,3008,1589,801,269,17583,87,270,281,201,206,143,66,35,1289,1825,2840,2379,1850,1631,1251,1023,810,13608,7755,22835,19427,14323,10749,5888,2906,1472,85355
