UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL112003,3,7,50,5,4,46,112,3,12,4,0,0,0,15,7,27,28,9,0,0,75,49,91,48,32,6,0,232,51,20,39,9,5,0,117,134,30,83,10,7,6,266,357,22,131,9,7,3,536,674,19,133,8,3,3,847,201,4,23,0,0,0,230,54,0,14,0,0,0,66,7,0,4,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,24,21,21,9,3,7,80,1565,254,577,94,41,59,2596
UCL112004,3,3,26,0,6,29,65,0,0,0,0,0,0,6,10,7,15,3,6,0,37,11,61,23,13,4,0,114,32,23,31,15,0,0,108,65,20,31,6,3,0,123,152,31,45,8,0,3,238,322,14,52,3,3,0,398,235,0,43,0,0,0,282,132,0,22,0,0,0,159,43,0,11,0,0,0,50,29,0,0,0,0,0,29,4,0,5,0,0,0,9,15,0,4,0,0,0,19,15,18,14,0,8,0,57,1071,191,312,55,36,39,1694
UCL112005,3,19,31,6,4,21,82,3,11,3,10,3,0,31,18,159,14,9,0,3,204,70,90,45,3,4,0,216,77,30,38,5,8,3,161,383,44,63,5,14,0,509,717,21,106,0,14,3,864,404,0,40,0,6,0,451,12,0,5,0,0,0,23,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,15,9,8,3,77,1722,401,379,41,50,34,2620
UCL112006,6,37,52,12,14,40,156,3,24,0,4,0,0,40,12,409,47,31,22,8,532,93,198,69,50,31,7,444,166,90,112,13,23,3,409,552,83,144,20,29,3,832,973,101,283,14,23,11,1407,1370,32,282,6,23,11,1718,445,3,71,5,11,0,531,70,0,9,0,3,0,84,16,0,3,0,0,0,18,3,0,3,0,0,0,11,0,0,0,0,3,0,3,6,0,0,0,0,0,6,67,52,36,25,18,4,198,3791,1037,1107,179,204,76,6393
UCL112007,12,41,28,12,18,21,134,3,26,3,10,3,3,46,69,236,41,19,4,3,376,282,136,72,23,11,8,529,206,53,98,10,12,0,380,519,77,150,3,6,3,757,867,58,218,3,17,3,1166,626,15,96,0,9,3,750,81,0,14,0,3,0,94,12,0,3,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,10,33,36,37,7,11,4,133,2723,676,768,79,86,47,4395
UCL112008,6,42,26,3,5,15,98,3,34,3,6,0,0,48,32,193,28,20,17,3,294,156,105,66,39,16,11,383,110,36,70,0,5,0,224,304,49,81,3,7,3,453,574,26,120,3,22,4,741,327,8,55,0,7,3,396,41,0,7,0,0,0,49,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,24,17,10,11,0,87,1575,513,470,92,89,44,2781
UCL112009,3,14,27,3,7,29,79,6,27,0,7,3,0,46,49,179,39,33,13,3,312,184,95,76,61,42,7,468,162,41,89,28,11,0,339,446,30,155,13,13,0,671,697,27,287,4,17,3,1034,385,5,124,0,11,3,534,44,0,16,0,3,0,65,4,0,3,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,16,32,26,10,11,3,100,2002,455,857,166,133,50,3666
UCL112010,0,0,0,0,7,0,10,0,0,0,0,0,0,3,10,3,4,0,0,0,19,28,3,19,0,0,3,49,12,4,5,0,0,0,18,8,0,8,0,0,0,19,12,0,4,0,0,0,22,14,0,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,85,11,51,3,8,4,168
UCL112011,4,37,36,0,6,26,108,3,41,3,6,3,0,60,15,305,31,13,13,0,383,184,226,59,54,19,5,549,118,86,52,28,18,4,311,271,131,101,25,150,4,678,738,76,180,23,51,8,1087,559,10,86,9,12,3,684,46,3,4,0,0,0,60,5,0,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,7,28,58,27,12,7,3,139,1979,993,591,173,291,60,4081
UCL112012,5,38,45,3,5,29,128,3,37,4,11,3,0,57,40,265,33,21,0,7,371,237,187,60,17,6,5,515,267,78,81,11,3,3,449,630,68,119,8,8,7,842,965,53,161,5,11,4,1203,787,14,104,3,9,0,922,87,3,16,0,3,0,108,17,3,0,0,0,0,21,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,3,35,49,23,11,12,4,140,3086,804,658,96,71,54,4764
