UCL_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
UCL101001,1283,1203,923,701,629,352,446,18199,277,6365,13143,8669,1409,741,1015,1045,352,579,824,897,742,347,1758,38175,10,55,106,282,720,2116,3158,1645,437,511,536,597,723,574,631,12105,3,7,23,401,3536,8487,13451,9675,1658,1859,1945,1954,2199,1593,1950,48738,49,722,2436,12832,10633,11479,7651,3567,668,557,659,660,570,304,2294,55074,38,50,573,2031,4611,6533,4519,3263,662,764,897,967,1175,840,844,27785,31,3319,3610,1846,690,252,97,70,19,3,14,5,6,0,417,10388,22,1771,1627,692,564,386,766,599,161,146,169,226,232,169,287,7808,248,409,1553,4970,10992,13292,20678,10041,2573,2800,2576,2202,2116,1228,3154,78838,0,12,22,221,637,2262,4285,4081,1142,1828,1845,2189,2266,1284,545,22622,10,19,154,1673,7483,22840,14103,10819,2358,2580,2583,2552,2554,1656,1815,73204,60,868,734,478,3115,2203,1154,689,142,181,215,239,239,113,312,10756,36,54,284,802,1364,1771,2428,1614,330,342,403,535,538,391,307,11200
UCL102001,0,8,0,0,3,3,3,70,3,56,141,82,5,4,3,4,0,0,0,3,0,0,9,321,0,0,0,0,0,8,7,3,4,0,3,0,0,0,0,31,0,0,0,0,0,3,7,13,0,0,3,3,0,3,4,42,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,16,0,0,10,10,17,12,16,16,3,0,0,0,0,0,6,82,0,23,19,5,3,0,0,0,0,0,0,0,0,0,4,59,0,18,18,10,0,0,0,0,0,0,0,3,5,0,0,61,0,0,11,46,105,89,129,69,21,11,13,18,16,3,13,549,0,0,0,0,0,3,11,33,11,5,7,7,12,0,0,96,0,0,0,3,39,49,60,90,23,24,27,38,20,11,7,386,0,10,9,9,14,17,3,3,0,0,0,3,0,0,0,68,0,0,0,10,4,5,4,5,0,0,0,0,0,0,0,39
UCL102002,20,36,7,12,0,9,31,985,17,203,288,172,26,15,11,20,6,6,7,3,0,0,41,817,0,3,3,8,16,49,93,37,5,7,5,5,5,0,11,258,0,0,0,3,42,96,174,149,23,8,17,13,22,7,5,560,0,13,16,55,25,23,17,11,0,0,0,0,0,0,10,176,5,6,32,52,73,66,46,37,10,11,7,9,15,6,22,398,4,231,203,81,15,8,3,3,0,0,0,0,0,0,23,568,8,328,251,111,69,36,46,35,4,3,3,12,0,0,38,947,31,54,169,631,1292,1030,1030,401,79,87,41,52,54,39,228,5208,0,0,3,3,7,15,22,24,5,5,3,6,19,13,8,129,0,0,12,59,214,478,295,246,38,67,82,65,59,24,65,1715,0,29,27,21,106,50,38,27,3,0,9,0,3,0,7,322,0,3,12,32,26,20,33,20,5,4,12,7,3,5,8,182
UCL102003,7,6,7,0,3,0,14,148,5,35,39,18,5,0,4,0,0,0,0,3,4,0,10,134,0,3,3,0,0,21,46,29,8,3,3,3,0,0,4,115,0,0,0,0,0,7,5,9,0,0,0,0,0,3,0,41,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,11,14,10,3,3,0,0,0,0,0,0,4,66,0,37,17,4,0,0,0,0,0,0,0,0,0,0,4,63,0,85,56,10,6,7,8,0,0,0,0,0,0,0,10,190,7,12,41,176,389,372,404,210,39,44,35,19,29,12,78,1861,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,18,0,0,0,9,50,66,49,64,22,21,10,31,16,13,30,378,0,7,6,3,6,10,6,7,0,0,3,0,0,0,0,51,3,0,0,10,8,3,0,3,3,0,0,0,0,0,3,30
UCL102004,26,48,23,8,8,0,13,561,4,242,430,150,23,18,20,22,0,6,4,7,3,0,71,1017,0,3,12,7,9,23,39,20,9,12,3,13,6,15,9,184,0,0,0,3,34,67,126,134,37,36,27,18,21,30,31,563,0,0,0,20,10,7,10,6,0,0,0,0,0,0,0,60,0,4,31,98,126,80,69,96,26,14,26,19,43,42,17,701,0,51,49,10,9,3,4,3,0,0,3,0,0,0,7,139,0,291,130,48,48,22,25,17,3,0,15,8,11,0,17,629,15,30,121,358,765,574,593,316,92,87,37,68,35,30,142,3271,0,0,0,3,6,5,41,66,16,29,41,37,35,15,13,312,0,0,10,22,188,351,198,213,57,79,59,76,70,39,40,1392,0,110,48,34,101,65,16,17,4,0,3,3,6,0,30,445,4,0,7,31,31,23,36,15,0,5,11,30,34,18,9,245
UCL102005,21,52,15,0,5,0,18,568,14,521,1434,630,65,31,31,25,0,19,19,10,17,7,165,2989,0,9,3,3,10,30,37,20,14,4,5,10,10,12,10,188,0,0,0,3,17,41,103,63,28,17,12,16,18,15,18,350,3,20,22,164,120,130,72,44,6,3,18,15,0,6,24,665,0,0,16,39,43,49,46,38,6,20,19,43,73,51,14,454,3,184,273,91,20,3,0,11,0,0,0,0,0,0,41,630,0,481,281,70,31,20,22,16,8,0,7,9,3,0,38,980,13,24,72,293,505,450,542,300,87,65,76,47,37,23,116,2660,0,0,0,3,7,16,43,59,15,20,25,27,52,22,3,299,0,0,0,36,249,386,199,169,41,41,57,47,45,22,47,1338,0,56,49,30,163,77,33,16,0,5,0,0,6,0,16,452,0,3,7,16,17,9,21,32,0,3,4,3,14,8,9,145
UCL111001,0,4,0,0,0,3,0,65,4,8,35,11,3,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,3,3,4,0,0,0,0,0,3,0,14,0,0,0,0,0,3,5,6,0,0,0,0,3,0,0,24,0,0,0,8,0,0,6,3,0,0,0,0,0,0,0,13,0,0,0,8,3,6,4,11,3,0,0,0,3,5,0,41,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,76,57,16,7,3,5,4,0,0,0,4,0,3,3,182,0,4,16,55,110,91,76,53,16,21,4,17,8,5,24,501,0,0,0,0,0,0,3,7,0,3,0,5,3,0,4,32,0,0,0,0,28,42,43,63,18,19,15,6,12,10,10,273,0,10,8,0,3,0,0,0,0,0,0,0,0,0,3,33,0,0,0,7,0,3,3,0,0,0,0,0,3,3,0,21
UCL111002,4,3,9,0,0,0,0,82,0,19,30,13,0,0,0,4,0,0,0,0,0,0,3,72,0,0,0,3,0,3,3,5,0,0,0,0,0,0,0,12,0,0,0,0,3,8,3,10,3,7,5,3,0,0,3,42,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,28,11,12,17,11,3,3,3,0,4,3,0,99,0,10,13,3,0,0,0,0,0,0,0,0,0,0,0,28,0,52,44,10,5,0,7,3,0,0,0,0,0,0,0,124,4,5,16,66,178,128,146,84,41,22,10,9,15,16,26,775,0,0,0,7,3,3,15,10,0,3,7,0,6,0,0,56,0,0,0,3,51,93,52,59,14,18,23,26,10,3,15,369,0,33,6,6,14,7,5,0,0,0,0,0,0,0,0,78,0,0,3,3,0,0,0,7,4,0,0,0,0,0,0,16
UCL112001,0,0,0,0,0,0,0,21,0,7,3,4,0,3,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,3,8,6,0,0,0,0,0,0,3,26,0,0,0,0,0,0,5,0,0,0,0,4,4,0,0,12,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,3,5,4,0,0,3,0,3,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,11,3,4,0,3,3,0,0,0,0,0,0,3,42,0,3,8,32,38,28,49,31,14,8,12,5,3,7,9,239,0,0,0,0,0,0,0,9,0,0,0,3,9,3,0,30,0,0,0,0,4,15,12,15,0,8,11,16,32,16,5,135,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,15
UCL112002,0,5,3,0,0,0,3,51,5,3,10,6,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,5,6,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,3,11,0,0,0,0,0,3,5,29,0,0,0,12,0,8,3,0,0,0,0,0,0,0,4,29,0,0,0,7,7,4,7,3,3,0,0,0,0,0,0,38,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,16,0,32,20,13,5,4,0,0,0,0,0,0,0,0,0,81,0,0,7,35,53,60,77,42,4,11,9,10,4,5,39,365,0,0,0,0,0,5,0,15,3,0,0,3,0,0,0,30,0,0,0,0,12,17,22,12,15,11,10,4,12,4,14,137,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,5,3,0,0,0,0,0,0,3,23
