UCL_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL101001,236,858,52,53,101,958,1355,897,3210,52310,31418,3856,87589,3630,4130,7767,95351,69866,1738,166958
UCL102001,3,11,0,0,0,10,12,13,28,701,267,53,1013,29,36,61,1078,486,20,1588
UCL102002,25,85,3,10,15,107,141,95,341,4339,3832,430,8597,459,461,919,9518,6527,175,16218
UCL102003,8,17,0,0,0,16,29,19,64,716,781,85,1577,65,75,147,1725,1194,33,2952
UCL102004,19,65,10,4,14,81,120,62,262,4196,3553,372,8113,423,396,821,8941,6213,150,15300
UCL102005,17,66,6,12,13,81,129,47,259,3323,2774,300,6403,339,341,683,7084,5377,118,12572
UCL111001,0,10,0,3,3,13,20,17,55,581,517,80,1178,87,78,169,1343,854,24,2215
UCL111002,8,21,0,6,6,24,37,20,82,1103,884,104,2096,146,135,285,2375,1591,29,4000
UCL112001,3,9,3,0,4,7,14,6,26,251,215,12,482,26,24,51,536,373,9,915
UCL112002,0,6,0,0,0,5,21,10,40,470,372,40,885,42,48,90,976,628,22,1622
UCL112003,0,9,0,0,0,9,14,3,25,330,403,30,766,20,32,50,815,515,11,1341
UCL112004,0,3,0,0,0,3,7,3,10,222,202,16,440,14,15,21,467,315,5,786
UCL112005,0,4,0,0,0,10,24,8,36,263,288,35,583,50,57,113,697,671,9,1373
UCL112006,6,15,3,3,6,21,39,19,73,637,710,55,1404,76,84,157,1563,1065,34,2658
UCL112007,3,19,0,0,0,19,33,9,67,551,410,58,1017,67,64,127,1143,699,21,1865
UCL112008,3,6,0,0,0,6,15,11,33,311,260,38,611,37,46,82,693,444,18,1151
UCL112009,0,6,0,0,3,10,16,8,35,428,420,49,896,54,60,110,1003,707,16,1730
UCL112010,0,0,0,0,0,0,0,0,0,21,27,0,48,3,0,3,49,30,0,74
UCL112011,5,14,0,0,0,14,25,12,56,371,382,44,798,48,55,104,904,810,26,1732
UCL112012,3,12,0,0,0,11,30,20,57,554,366,46,966,66,69,130,1098,714,30,1840
UCL112013,5,17,0,0,0,23,19,15,56,559,543,58,1156,45,63,113,1273,801,20,2092
UCL112014,0,11,4,4,8,15,30,17,56,478,430,58,967,73,75,150,1116,859,25,2001
UCL112015,7,14,4,0,4,15,38,21,78,724,464,59,1254,75,62,133,1388,945,36,2376
UCL113001,0,4,0,0,0,9,18,9,31,193,249,25,464,14,22,38,502,363,8,871
UCL113002,0,5,0,0,0,11,18,0,27,112,147,23,285,24,17,39,318,290,3,618
UCL113003,0,8,3,0,3,12,19,15,50,225,228,39,488,47,31,81,568,462,24,1052
UCL113004,0,0,0,0,0,0,0,4,4,57,41,10,108,0,0,4,112,55,6,174
UCL113005,0,13,0,0,0,8,15,3,32,194,246,21,465,32,24,52,519,493,7,1015
UCL113006,0,3,0,0,0,6,13,3,28,221,191,14,428,38,48,91,519,524,10,1052
UCL113007,0,7,0,0,0,8,18,9,33,237,151,11,403,18,19,36,444,275,18,737
UCL113008,3,4,0,0,0,3,27,9,42,116,165,15,298,26,17,49,345,440,12,802
UCL113009,0,0,0,0,0,0,0,0,8,135,138,6,279,16,10,20,305,166,4,471
UCL113010,5,10,3,3,5,11,23,13,42,189,203,27,424,53,31,82,505,481,15,1003
UCL113011,0,0,0,0,0,0,13,4,16,107,148,14,275,19,19,46,316,339,12,673
UCL113012,0,3,0,0,0,3,11,9,23,239,193,28,461,27,30,54,521,353,13,885
UCL113013,0,0,0,0,0,0,3,3,13,127,125,10,252,6,19,28,281,197,17,493
UCL113014,0,3,0,0,0,7,11,8,27,137,89,12,230,45,21,69,298,273,5,582
UCL113015,3,3,0,0,0,3,5,0,11,148,168,15,334,21,9,29,363,211,4,577
UCL113016,0,6,3,0,5,9,10,9,25,198,187,19,406,36,33,67,472,447,10,931
UCL113017,0,0,0,0,0,0,9,0,10,165,153,16,338,24,27,53,387,227,8,620
UCL113018,0,6,0,0,0,6,12,3,20,95,147,16,256,22,16,34,294,256,11,562
UCL113019,0,3,0,0,3,4,21,13,38,172,209,24,405,53,50,106,506,589,24,1117
UCL113020,0,3,0,0,0,3,3,3,13,116,163,12,285,19,17,37,322,252,9,588
UCL114001,0,0,0,0,0,0,0,0,6,83,73,8,163,3,5,13,169,85,0,260
UCL114002,0,0,0,0,0,0,3,0,4,59,57,13,122,3,7,9,132,76,0,212
UCL114003,0,4,0,0,0,4,3,0,7,75,143,5,223,8,13,16,242,126,0,369
UCL114004,0,3,0,0,0,3,6,3,10,46,84,5,137,16,4,21,156,141,3,300
UCL114005,0,3,0,0,0,3,13,6,29,98,117,12,229,25,16,43,274,346,13,635
UCL114006,0,8,0,0,0,7,3,3,12,90,87,8,186,11,9,19,201,125,10,336
UCL114007,0,0,0,0,0,0,7,0,7,49,43,3,100,12,6,21,118,123,3,247
UCL114008,0,0,0,0,0,0,3,0,3,53,61,6,121,10,11,18,141,77,3,221
UCL114009,0,0,0,0,0,0,9,0,14,75,90,8,174,14,9,27,202,209,3,410
UCL114010,0,0,0,0,0,0,10,0,9,72,89,11,173,10,14,19,191,135,0,332
UCL114011,0,3,0,0,0,0,8,7,21,82,75,13,169,11,10,20,190,158,8,354
UCL114012,0,0,0,3,3,3,10,4,15,57,53,8,123,9,5,19,141,131,3,273
UCL114013,0,3,0,0,0,6,11,6,16,88,86,10,190,14,21,31,223,168,3,397
UCL114014,0,0,0,0,0,0,0,0,6,86,63,7,153,3,3,6,157,52,0,214
UCL114015,0,3,0,0,0,3,18,5,27,102,130,19,255,31,25,57,306,299,11,619
UCL114016,0,0,0,0,0,0,6,7,7,75,71,9,153,7,7,21,171,136,7,314
UCL114017,3,3,0,0,0,3,0,0,8,89,81,4,177,3,3,7,188,66,0,251
UCL114018,0,3,0,0,0,3,0,0,7,124,69,11,209,11,4,14,223,107,0,332
UCL114019,0,0,0,0,0,0,0,4,9,68,83,10,164,5,10,15,175,91,8,267
UCL114020,0,0,0,0,0,4,17,11,34,105,67,10,181,27,11,34,216,239,16,468
UCL114021,0,3,0,0,0,3,7,0,11,90,89,13,194,7,3,12,204,155,3,365
