UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL112007,97,3,3,3,0,107,83,5,3,0,0,92,77,7,3,0,0,83,165,5,3,5,0,177,292,7,10,0,0,310,932,30,11,0,0,975,931,22,11,3,3,975,749,4,0,6,3,765,222,3,0,5,0,224,121,0,0,0,0,120,60,0,0,0,0,63,142,9,7,0,0,159,3874,92,51,20,7,4043
UCL112008,87,5,0,0,0,101,54,10,0,0,0,60,60,3,0,0,0,63,102,8,3,0,0,106,184,4,3,0,0,191,498,23,4,0,0,528,603,23,0,3,0,631,485,8,3,0,0,497,136,0,0,0,0,145,77,0,0,0,0,75,45,0,0,0,0,45,91,3,0,0,0,95,2425,88,19,6,0,2536
UCL112009,151,3,7,0,0,160,82,8,9,0,0,101,79,6,3,0,0,87,190,15,5,0,0,218,211,18,3,0,0,227,620,53,13,0,0,688,738,40,3,0,0,783,490,12,3,0,0,504,134,0,0,0,0,135,71,0,0,0,0,71,24,3,0,0,0,30,96,3,0,0,0,100,2892,161,49,4,3,3115
UCL112010,12,0,0,0,0,15,5,0,0,0,0,5,5,0,0,0,0,5,23,0,3,0,0,20,41,0,0,0,0,41,77,0,0,0,0,81,67,0,0,0,0,65,48,0,0,0,0,48,11,0,0,0,0,11,9,0,0,0,0,9,10,0,0,0,0,10,18,0,0,0,0,19,331,0,6,0,0,334
UCL112011,144,4,0,0,0,156,79,5,0,0,0,87,82,3,0,0,0,88,153,6,8,0,0,169,192,9,5,0,0,205,642,25,10,3,3,680,700,29,11,0,3,738,659,4,0,0,0,668,178,0,3,0,0,188,96,0,0,0,0,95,40,0,0,0,0,40,122,0,0,0,0,123,3096,88,34,7,7,3233
UCL112012,138,3,0,0,0,144,79,0,0,0,0,79,74,0,0,0,0,74,195,3,3,0,0,199,263,14,4,0,0,283,768,31,12,0,3,813,954,27,7,0,3,988,959,4,0,0,4,973,336,3,0,0,0,339,225,0,0,0,0,227,95,0,0,0,0,94,140,7,0,0,3,148,4224,94,31,3,13,4370
UCL112013,185,23,14,0,0,222,78,24,20,0,0,119,64,17,6,0,0,81,102,19,20,4,0,139,189,31,26,0,0,248,510,86,53,6,0,654,753,116,63,0,3,932,1025,62,32,0,0,1121,379,17,9,0,0,401,239,13,6,0,0,259,112,12,11,0,0,133,144,24,9,0,0,185,3764,446,259,9,11,4491
UCL112014,124,7,0,3,0,130,55,4,0,3,0,65,72,6,0,0,0,80,153,3,3,6,0,162,254,13,3,10,3,281,850,20,3,12,4,894,810,19,0,4,0,831,551,7,3,0,3,562,147,0,0,0,0,150,73,0,0,0,0,77,37,0,0,0,0,41,117,3,0,0,0,122,3246,86,9,34,15,3397
UCL112015,206,9,7,0,0,221,112,0,3,0,0,121,101,0,3,0,0,109,190,0,22,0,0,215,373,3,11,3,0,394,1207,22,39,4,0,1274,1343,18,20,4,0,1393,1039,4,5,11,0,1061,344,0,3,3,0,350,246,3,4,0,0,252,110,0,3,0,4,119,200,8,5,3,0,211,5475,72,123,31,9,5717
UCL113001,60,22,3,0,0,86,24,13,3,0,0,46,13,8,0,0,0,31,38,16,3,4,0,57,61,31,9,0,0,95,131,78,13,4,0,219,159,75,21,0,0,253,222,59,0,0,0,286,67,18,3,0,0,92,51,11,0,0,0,65,32,8,3,0,0,39,29,9,0,0,3,48,899,343,65,3,6,1314
