UCL_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL101001,40486,13320,82975,847977,857836,356062,275686,907165,271027,3515745
UCL102001,257,70,523,7303,8752,3271,2093,5773,2165,29355
UCL102002,4256,2396,9964,53079,65940,31551,25160,54088,21037,250854
UCL102003,1344,613,2769,9847,12624,6292,4555,11969,5180,50478
UCL102004,3265,2404,8800,60238,73699,33865,24489,54054,19021,265368
UCL102005,3049,1167,6480,46859,55643,26283,20280,48948,15875,213890
UCL111001,630,275,1294,8420,10430,4723,3324,8361,3803,39049
UCL111002,587,280,1326,12857,16449,8033,6637,12736,4349,61062
UCL112001,213,89,494,3814,4533,1843,1259,3715,1662,16835
UCL112002,329,194,795,5691,7209,3177,2523,5165,3061,26826
UCL112003,301,85,632,5089,7418,3361,2486,4210,1792,24358
UCL112004,374,112,827,3689,4976,2623,1941,3192,1510,17929
UCL112005,318,95,553,2931,3946,2004,1903,4299,2322,17401
UCL112006,580,549,1627,7867,10607,5074,3766,8167,4042,39520
UCL112007,376,138,793,5605,7320,3168,2454,5946,2595,27090
UCL112008,202,238,667,3530,4590,2137,1679,3954,2470,18355
UCL112009,471,175,946,4747,6154,2789,2130,4507,2309,22629
UCL112010,4,3,20,361,465,203,166,313,148,1659
UCL112011,339,236,851,4499,6112,3029,2610,5397,3200,24849
UCL112012,468,146,892,6084,7843,3450,2715,6481,2683,29257
UCL112013,982,328,1965,7251,10257,4975,3653,7955,3283,37370
UCL112014,454,202,984,5301,6883,3284,2558,5969,3049,27033
UCL112015,574,187,1170,8439,10692,4674,3545,8042,3029,38413
UCL113001,398,298,1036,2707,3736,1794,1271,3155,1632,14303
UCL113002,222,176,546,1478,2297,1339,1058,2165,1251,9590
UCL113003,288,123,593,2309,3568,1704,1556,3884,1651,14672
UCL113004,79,38,160,905,1151,586,430,1086,481,4636
UCL113005,538,304,1224,2806,4189,2343,1826,4189,2010,17363
UCL113006,364,102,662,2363,3258,1666,1544,3179,1623,13634
UCL113007,166,231,588,2935,3408,1640,1302,3727,1979,14988
UCL113008,124,152,358,1157,1633,988,890,2047,1845,8556
UCL113009,135,111,435,2427,3290,1707,1154,1847,797,11229
UCL113010,131,84,323,2408,3222,1597,1524,3323,1260,13331
UCL113011,155,76,366,1632,2335,1159,1013,2313,1108,9566
UCL113012,412,110,792,3100,4082,2160,1621,3533,1126,15621
UCL113013,167,34,285,1649,2222,1089,878,1701,1002,8533
UCL113014,58,30,139,1569,2023,991,971,1741,759,8057
UCL113015,289,91,530,2155,3179,1614,1244,2584,1019,11800
UCL113016,132,41,268,1964,2566,1269,1100,2566,1046,10513
UCL113017,154,40,276,2152,2899,1289,1175,2116,762,10395
UCL113018,96,86,258,1392,2109,1111,1018,1933,876,8434
UCL113019,354,229,816,2427,3471,1902,1681,3737,1598,14819
UCL113020,167,108,446,1906,2879,1598,1323,2292,1058,11059
UCL114001,176,48,354,751,1143,638,509,840,321,4197
UCL114002,32,34,88,780,1052,592,448,867,476,4204
UCL114003,105,57,223,1923,1969,846,484,1283,1416,7928
UCL114004,169,154,479,1008,1593,1012,784,1548,808,6747
UCL114005,170,78,380,1262,1831,922,867,2112,983,7980
UCL114006,77,75,235,1024,1400,631,506,985,849,5390
UCL114007,126,45,267,803,1125,606,542,1154,509,4744
UCL114008,74,73,217,802,1116,569,470,977,534,4473
UCL114009,192,65,372,1143,1512,867,774,1652,823,6769
UCL114010,147,57,271,1042,1426,664,510,1287,747,5682
UCL114011,83,33,175,1000,1353,683,585,1286,701,5602
UCL114012,95,70,223,667,943,532,510,947,599,4189
UCL114013,144,49,283,1232,1559,776,713,1369,727,6372
UCL114014,24,6,60,1152,1382,657,437,778,252,4653
UCL114015,152,54,307,1296,1811,931,806,1878,850,7580
UCL114016,117,32,204,1074,1413,664,557,1148,702,5555
UCL114017,33,13,89,1124,1579,702,432,696,336,4870
UCL114018,8,8,40,1412,1963,1032,774,1087,590,6852
UCL114019,117,87,327,1146,1806,1017,690,1241,693,6592
UCL114020,70,25,131,946,1345,605,454,1481,1003,5826
UCL114021,49,16,135,1325,1752,832,644,1258,567,6380
UCL114022,154,157,422,1494,1840,977,779,1499,913,7501
UCL114023,136,125,376,844,1216,738,632,1306,737,5469
UCL114024,47,47,142,849,1149,545,459,1015,666,4671
UCL114025,137,106,337,1387,1902,983,861,1751,1012,7900
UCL114026,31,92,161,920,1413,704,626,888,419,4972
UCL114027,109,51,249,835,1166,648,482,891,460,4486
UCL114028,113,30,205,711,1077,622,513,991,423,4344
UCL114029,48,12,94,893,1318,613,548,1064,298,4728
UCL114030,80,97,225,804,1150,644,577,1041,762,4976
UCL114031,152,34,268,953,1325,721,652,1219,574,5446
UCL114032,136,53,305,875,1363,735,596,1106,592,5268
UCL114033,13,17,62,271,410,229,166,378,221,1672
UCL114034,49,102,214,859,1245,554,422,723,552,4354
UCL114035,146,49,288,980,1308,667,669,1356,658,5635
UCL115001,11,10,28,294,368,184,186,285,164,1478
UCL115002,5,0,14,229,311,159,109,228,62,1094
UCL115003,14,6,51,256,335,225,162,253,174,1401
UCL115004,16,7,29,157,230,98,106,239,126,957
UCL115005,22,23,57,310,365,185,120,184,139,1301
UCL115006,20,9,58,518,702,326,304,526,191,2568
UCL115007,37,23,90,160,232,124,120,233,134,998
