UCL_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
UCL115028,4,28,16,481,18,555,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,8,59,23,22,382,16,498,0,0,3,0,0,3,0,0,0,0,0,0,14,0,5,40,0,59,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,10,5,0,69,4,88,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,13,4,0,61,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,14,3,3,4,0,26,3,0,0,7,64,76,114,47,36,824,99,1111
UCL115029,5,92,80,784,14,987,0,0,0,0,0,0,5,0,0,3,0,8,7,0,0,0,0,11,27,4,0,8,0,39,284,92,87,745,27,1236,4,0,0,0,0,4,4,3,0,15,0,26,43,8,5,55,0,115,3,0,0,3,0,16,9,0,0,0,0,11,0,0,0,0,0,0,53,20,23,252,13,358,28,7,3,29,5,76,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,3,0,10,4,0,0,0,0,3,9,5,5,0,0,16,10,4,0,8,0,19,3,0,0,0,0,10,57,42,19,252,7,377,3,0,0,0,0,3,6,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,4,0,29,70,21,11,36,0,128,10,8,3,19,88,127,539,186,137,1531,136,2536
UCL115030,20,113,66,504,9,709,0,0,0,3,0,3,15,8,8,3,0,30,7,0,0,0,0,7,25,3,3,8,0,40,191,89,77,466,7,832,4,0,0,0,0,3,9,0,0,9,0,18,37,7,11,36,3,90,8,3,0,13,0,24,5,0,0,0,0,7,8,4,0,0,0,11,56,34,14,250,4,356,22,15,12,21,0,65,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,3,0,0,0,15,7,0,0,0,0,8,17,9,0,3,0,35,6,0,0,12,0,19,7,0,0,3,0,14,45,15,11,158,3,238,3,0,0,0,0,3,7,0,3,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,13,4,0,8,0,19,79,19,15,32,3,145,5,0,0,4,63,74,476,188,127,1045,87,1919
UCL115031,23,137,121,1234,24,1547,0,0,0,15,0,16,8,0,5,10,0,26,8,0,0,13,0,29,32,7,19,26,0,79,273,116,114,832,16,1353,3,0,0,0,0,3,0,0,3,5,0,7,48,21,12,85,0,171,5,0,0,18,0,21,3,0,0,0,0,8,13,0,0,3,0,21,49,13,21,337,3,417,20,8,3,39,0,70,0,0,0,0,0,0,3,0,0,7,0,8,3,5,0,0,0,11,7,3,0,6,0,23,0,7,0,3,0,6,13,6,10,4,0,31,6,3,0,9,0,18,0,0,3,0,0,6,65,25,20,226,6,346,7,0,0,0,0,11,6,0,0,0,0,8,6,0,0,0,0,10,4,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,25,72,35,13,31,3,160,0,0,0,20,188,209,553,232,208,2099,230,3317
UCL115032,8,74,55,720,14,869,0,0,0,12,0,12,11,0,0,3,0,12,4,4,0,3,0,11,8,9,5,15,0,31,98,65,51,467,11,698,0,0,0,0,0,5,0,0,0,3,0,0,5,6,3,39,3,51,0,0,0,5,0,5,5,0,0,0,0,8,5,3,0,0,0,7,17,10,13,124,3,171,12,8,6,30,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,0,24,3,0,0,0,0,4,8,4,0,0,0,14,4,0,0,3,0,5,4,0,0,0,0,6,34,12,18,88,0,152,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,11,40,14,11,10,0,76,0,0,0,25,80,107,213,135,99,1161,107,1715
UCL115033,9,80,51,1260,15,1407,0,0,0,19,0,19,27,0,8,6,0,33,0,0,0,0,0,0,17,3,3,17,0,46,62,75,43,1143,18,1345,13,3,0,0,0,17,0,0,0,14,0,13,3,0,3,102,0,112,0,0,0,3,0,3,0,0,0,3,0,3,19,0,0,0,0,20,9,17,6,331,0,363,7,4,0,59,0,62,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,12,3,0,0,3,0,4,4,7,7,3,0,19,0,3,0,3,0,7,0,0,0,6,0,5,19,16,11,302,7,354,0,0,0,0,0,0,5,3,0,0,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,12,0,27,42,16,9,11,0,80,0,0,0,28,139,172,211,120,82,2388,167,2976
UCL115034,12,106,71,1147,19,1362,0,0,0,15,0,17,9,0,0,7,0,17,31,0,3,3,0,38,37,7,4,20,0,71,251,114,80,833,22,1297,6,3,3,0,0,17,8,0,0,13,0,21,44,8,5,52,0,112,12,0,0,11,0,24,11,0,0,4,0,11,3,0,0,0,0,4,32,23,18,274,5,347,38,11,5,23,0,76,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,30,8,0,6,3,47,3,0,0,0,0,4,12,5,3,4,0,25,18,6,0,4,0,27,12,0,3,10,0,23,54,23,19,195,5,293,6,0,0,3,0,12,7,0,3,4,0,9,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,3,4,11,0,23,75,22,3,32,0,133,6,0,0,24,145,169,615,201,128,1929,190,3067
UCL115035,3,60,38,478,9,586,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,5,0,3,0,0,15,90,44,39,351,9,529,8,0,0,0,0,4,0,0,0,0,0,3,5,4,0,28,0,44,0,0,0,3,0,3,4,0,0,0,0,4,7,0,0,0,0,10,10,4,10,111,0,139,3,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,0,0,0,0,7,5,4,0,0,0,5,4,0,0,4,0,13,3,0,0,0,0,3,27,14,10,94,0,144,0,0,0,0,0,0,4,0,0,0,0,4,3,4,0,3,0,12,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,5,0,4,3,0,11,25,8,3,8,0,39,0,3,0,4,34,40,178,90,65,798,50,1189
UCL115036,0,37,15,592,13,658,0,0,0,5,0,5,8,0,0,0,0,8,0,0,0,0,0,3,3,0,0,7,0,12,27,26,16,540,7,618,0,0,0,7,0,8,0,3,0,5,0,6,0,0,0,40,0,48,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10,3,8,4,170,8,195,4,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,3,0,3,9,7,0,110,0,136,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,25,3,3,8,0,31,0,0,0,18,57,77,90,57,33,1138,80,1395
UCL115037,5,96,77,1703,52,1931,0,0,0,31,3,34,22,0,3,10,0,32,0,0,6,3,0,5,12,5,0,7,0,32,75,61,46,920,32,1142,16,0,4,0,0,19,6,0,0,4,0,6,18,6,3,88,4,127,3,0,3,14,0,14,5,0,0,0,0,5,23,3,0,4,0,25,45,9,16,329,10,402,11,3,3,34,0,48,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,21,0,5,0,0,25,11,8,3,5,0,29,3,3,0,4,0,8,0,0,0,0,0,0,32,19,15,227,5,302,0,0,0,0,0,0,16,0,0,0,0,19,0,0,0,7,0,7,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,0,5,3,0,7,111,15,17,32,3,168,6,0,4,46,432,481,364,141,120,2607,508,3748
UCL115038,13,61,36,475,3,589,0,0,0,0,0,3,4,0,0,9,0,10,3,3,0,3,0,9,6,6,0,7,0,18,90,75,35,422,6,627,6,0,0,0,0,3,5,3,0,3,0,7,13,5,7,32,0,55,5,3,0,3,0,8,3,0,0,0,0,5,3,0,0,0,0,3,14,14,6,155,3,193,22,4,3,17,0,49,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,9,3,0,0,7,0,15,6,0,0,0,0,9,3,0,0,0,0,7,12,3,0,0,0,12,0,0,0,3,0,4,21,18,14,132,0,187,3,0,0,0,0,3,3,0,0,0,0,4,3,0,0,3,0,10,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,5,0,4,0,13,44,13,6,25,0,85,0,3,0,10,79,85,244,117,67,894,88,1414
