UCL_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL101001,5206,12329,2194,1128,1820,1266,1042,1082,377,26437,11302,32517,7427,1633,3976,2874,2818,2393,1108,66046,26841,38290,61547,4214,9415,6628,15306,11680,2532,176456,13044,7119,34295,1096,2512,1489,3106,5924,887,69469,1663,1520,4266,445,688,524,957,1790,172,12033,2742,25390,1320,4384,1077,850,893,956,380,37993,2921,13561,856,1559,884,612,795,646,185,22011,53137,60371,8090,7672,24546,19028,9562,8254,3239,193901,11676,30320,2782,12320,6415,3266,2715,2798,1162,73459,4101,15199,3804,1819,2156,2434,1242,1524,393,32669,3696,755,12012,2189,1166,1543,2441,2187,284,26269,119,98,251,104,69,98,210,314,54,1306,1776,2330,1469,724,926,607,1375,863,441,10520,1939,1877,3424,987,1011,1105,2383,2257,3489,18476,140171,241689,143730,40257,56659,42314,44845,42664,14700,767040,3415,10774,2438,2002,4269,1642,185,702,316,25744,2542,8386,1023,997,3480,1088,183,545,340,18584,2342,6085,1793,1087,2761,1285,602,1278,264,17503,1029,4890,1118,454,1139,785,56,186,89,9750,606,1223,718,434,873,394,64,365,56,4734
UCL102001,59,103,12,15,27,12,3,3,3,236,95,234,57,20,41,29,9,14,15,515,233,233,763,64,103,59,141,139,16,1745,136,22,456,15,26,17,59,89,11,830,21,23,63,10,17,5,7,19,4,177,24,100,4,45,9,3,3,8,0,195,25,106,8,26,9,7,0,3,3,187,358,252,53,61,203,103,36,31,22,1124,208,205,19,189,103,19,18,13,24,801,27,72,32,16,23,19,7,6,0,198,29,9,132,22,14,21,28,31,3,292,0,0,0,0,0,0,0,0,0,7,33,22,10,17,13,3,9,4,8,114,18,18,29,12,18,3,21,34,30,178,1261,1402,1638,503,612,298,345,399,135,6587,43,80,16,27,38,4,0,6,10,224,26,44,12,11,34,14,0,7,0,143,24,27,16,7,18,9,3,9,7,115,4,16,6,4,18,6,0,0,0,52,7,16,8,5,18,8,0,0,0,62
UCL102002,150,363,89,61,34,34,26,42,11,813,279,784,256,34,110,74,47,77,28,1693,1543,1407,5608,418,559,500,1237,1113,181,12577,1091,262,4278,156,170,139,376,824,100,7399,148,132,668,59,54,57,141,312,23,1600,167,1471,98,423,49,42,51,71,28,2403,219,1294,68,138,55,34,57,48,15,1936,1911,1493,341,337,820,821,355,340,94,6507,342,808,149,1241,215,157,119,157,42,3225,126,492,214,73,66,104,55,94,17,1237,268,46,941,136,71,148,186,220,14,2035,5,7,8,4,5,6,5,11,0,47,74,77,104,54,37,22,97,50,23,543,121,81,337,108,64,92,201,264,212,1479,6441,8719,13168,3244,2316,2243,2948,3627,791,43488,103,317,140,62,107,48,4,23,7,818,50,108,38,24,118,22,8,29,6,396,59,105,79,49,105,57,49,71,14,582,34,92,53,17,42,32,0,8,3,281,29,96,73,40,62,51,14,53,3,426
UCL102003,13,48,12,14,5,5,3,9,3,104,32,57,32,9,10,12,8,16,0,180,216,181,880,79,74,74,190,227,35,1949,202,46,792,33,44,33,76,164,21,1417,19,27,95,14,18,16,23,64,4,272,29,299,22,116,8,17,17,15,4,526,49,252,14,23,9,12,8,7,5,387,269,219,52,56,98,147,48,64,7,964,65,130,31,196,36,25,25,41,6,556,20,54,31,8,13,20,12,20,3,179,53,9,276,31,11,29,35,57,3,506,0,0,0,0,3,3,0,0,0,10,14,14,19,14,9,0,11,8,7,92,25,14,63,22,11,17,25,40,35,256,1010,1350,2307,620,351,401,478,740,136,7394,11,43,24,14,16,3,0,10,0,121,6,11,3,4,12,4,0,3,0,53,8,14,9,5,14,17,10,18,0,95,4,27,15,6,11,9,0,0,0,86,4,6,12,7,9,7,0,11,0,60
UCL102004,170,762,138,77,82,42,33,57,14,1368,249,752,283,50,120,76,44,82,13,1676,1982,3179,7702,564,710,515,1785,1187,236,17863,1008,410,3467,160,197,145,510,726,67,6697,146,243,360,59,66,48,114,226,11,1288,229,2639,145,455,66,66,73,73,22,3760,288,1632,116,167,88,40,90,56,16,2492,2171,2068,400,325,926,780,376,305,92,7443,388,1303,146,1096,271,120,149,140,50,3663,127,511,190,107,77,113,61,103,19,1309,227,40,942,115,72,102,202,218,30,1946,3,0,10,8,3,5,7,20,3,55,79,91,125,47,39,39,96,55,28,598,103,88,283,72,58,73,173,168,177,1199,7173,13728,14311,3295,2785,2155,3713,3411,769,51342,117,600,230,113,176,66,9,32,3,1349,51,146,36,31,95,21,4,14,4,400,86,272,116,58,134,43,66,90,12,878,36,183,83,33,65,41,4,18,0,465,43,166,48,40,93,42,6,49,0,492
UCL102005,146,618,100,72,56,37,29,52,20,1135,256,746,228,44,104,81,37,80,26,1606,1594,2010,6437,384,477,439,1894,1108,199,14532,656,179,2980,104,123,108,504,701,59,5420,92,97,391,41,34,25,119,154,15,963,141,1366,94,355,51,31,50,65,7,2168,196,1223,62,132,43,29,42,39,14,1783,1576,1303,260,264,721,584,283,252,93,5335,295,860,117,1132,210,103,110,146,39,3005,109,413,152,93,71,99,39,78,8,1065,154,18,703,129,49,93,188,155,12,1502,3,7,11,3,0,0,5,6,3,38,68,70,79,38,31,10,79,53,22,452,80,76,321,69,40,60,182,191,174,1197,5366,8994,11932,2858,2010,1710,3564,3079,693,40208,100,434,113,91,139,49,4,26,10,966,64,188,34,30,100,27,0,7,5,458,77,194,88,50,117,55,33,103,12,731,23,82,53,20,36,26,3,7,3,256,21,79,61,27,44,27,6,43,6,318
UCL111001,32,60,15,6,8,6,14,10,3,153,29,79,43,3,14,16,12,15,0,211,257,193,1026,49,85,70,260,177,26,2148,149,32,584,25,29,21,67,117,5,1031,43,44,86,12,14,20,33,44,4,300,22,276,18,63,0,12,7,9,8,412,49,251,16,22,12,9,12,4,0,370,315,298,61,53,122,130,84,53,18,1131,52,136,12,167,25,19,32,39,4,486,11,60,21,14,8,7,15,8,3,143,51,4,170,36,7,25,41,40,8,382,0,7,0,0,0,0,0,3,0,16,19,13,16,8,4,9,19,10,0,98,16,7,46,14,3,9,39,36,30,216,1042,1459,2119,472,339,345,638,558,111,7089,24,54,9,8,17,11,0,5,0,135,3,19,4,5,24,11,0,7,0,65,12,19,13,16,15,5,9,18,5,123,4,11,11,3,6,6,0,0,0,46,7,28,5,10,18,11,0,10,0,97
UCL111002,40,90,28,8,5,7,6,8,3,200,44,104,57,12,17,23,9,15,5,285,465,539,2749,101,167,123,724,311,79,5277,145,41,665,23,25,26,163,136,15,1245,39,28,92,14,6,9,41,65,4,293,37,270,41,88,13,12,32,16,6,507,70,259,24,28,11,10,42,18,0,459,416,303,106,64,168,157,139,90,18,1454,51,160,27,251,42,32,36,27,6,639,9,50,34,20,17,14,13,13,3,164,50,3,214,28,9,36,82,61,4,506,3,0,0,0,0,0,3,3,3,15,20,14,44,11,11,8,41,12,11,161,20,5,88,19,8,12,65,52,45,312,1413,1869,4166,663,493,470,1402,833,214,11532,26,100,54,24,29,14,0,12,3,251,11,26,3,3,21,10,0,7,0,84,13,42,52,9,24,20,27,38,4,232,9,27,11,6,6,14,0,4,0,81,10,30,10,14,16,12,3,9,0,109
UCL112001,17,117,23,17,11,0,0,11,0,199,12,49,21,0,5,8,0,11,0,102,52,43,199,12,20,22,56,45,13,454,49,14,143,4,3,6,14,25,8,273,34,61,41,10,14,23,3,38,0,230,9,89,0,34,3,0,3,16,0,156,25,106,13,11,7,0,3,7,0,172,78,90,32,21,49,42,19,29,5,360,44,197,19,102,25,19,3,20,3,422,3,33,11,8,12,3,0,3,3,74,19,0,70,9,3,9,8,16,0,128,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,6,4,0,32,9,11,11,8,0,5,9,22,7,79,357,815,578,243,146,140,124,247,33,2687,10,71,17,10,13,3,0,8,3,132,0,7,0,3,5,3,0,0,0,23,0,6,5,0,8,5,0,4,0,29,3,6,0,0,3,3,0,0,0,19,8,25,10,8,16,0,0,10,0,72
UCL112002,22,47,8,4,3,7,9,3,3,98,25,71,30,3,12,6,3,7,0,162,151,146,746,65,34,51,187,160,14,1551,99,20,347,28,14,15,52,86,4,673,30,33,42,19,7,17,28,35,0,207,16,139,5,66,18,11,8,12,3,280,45,183,6,24,11,5,12,4,0,278,207,138,44,47,73,77,37,44,3,677,25,113,11,180,14,8,9,21,4,387,19,41,12,6,0,12,9,10,0,113,34,9,106,24,13,6,20,39,3,262,0,0,0,0,0,0,0,0,0,3,4,4,12,4,3,0,13,0,9,52,15,3,32,8,5,6,15,28,21,135,698,943,1398,477,208,227,407,459,68,4887,3,37,13,5,6,3,0,0,0,67,0,16,3,0,13,4,0,0,0,41,4,16,17,10,7,0,5,17,0,84,4,10,7,3,3,3,0,0,0,32,10,20,6,9,4,12,0,9,0,74
