UCL_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
UCL101001,113,359,795,747,811,600,288,80,15,3803,7,86,623,668,606,413,114,16,0,2528,1352,4500,15463,19029,20071,14553,3048,298,44,78361,95,587,2594,3046,2896,1971,337,23,0,11537,5970,15586,37589,32050,26077,15240,3549,294,37,136382,587,2544,10375,12566,10883,7102,1771,210,30,46062,7854,14685,22885,16879,12805,8648,2745,371,32,86898,11114,13181,20698,11008,7667,5108,1248,128,13,70164,881,4139,16511,18982,20302,14986,3467,263,21,79557,679,2134,10018,10949,7593,3525,728,91,8,35728,321,3884,21539,23463,15082,7260,1690,252,57,73549,365,1520,5716,5063,4241,2824,1151,257,42,21176,895,7435,35304,32842,22019,14074,5285,784,91,118723,704,3097,9625,8500,7200,5310,1536,156,26,36151,513,3491,14678,14901,14526,10143,2274,203,22,60754,1966,4639,11112,10323,9481,8711,2879,332,16,49456,721,3635,13726,12853,11493,9476,3540,520,56,56025,1538,2744,5076,3664,2804,1938,624,110,13,18507,1283,3643,8903,8465,7959,5743,1710,215,27,37945,2302,6515,17000,14403,13118,8499,2461,485,116,64906
UCL102001,0,0,0,11,7,4,5,3,0,33,0,3,10,8,6,0,0,0,0,30,37,43,141,115,116,79,16,3,0,556,4,4,34,37,47,21,6,0,0,150,80,224,455,351,338,209,34,3,0,1690,14,14,54,57,58,35,3,0,0,237,121,148,214,123,110,87,19,3,0,830,164,111,137,69,41,30,11,0,0,550,5,27,100,105,135,120,30,4,0,530,3,6,42,46,40,21,3,0,0,169,0,3,19,23,19,8,8,0,0,78,3,6,24,34,31,28,4,0,0,139,14,40,160,150,163,88,20,0,0,632,5,22,56,50,68,62,15,0,0,282,11,84,518,670,804,333,50,3,0,2473,10,27,84,88,81,66,20,0,0,370,19,37,77,93,86,51,18,0,0,380,18,18,26,11,29,11,8,0,0,123,17,42,103,82,79,53,12,0,0,383,27,50,113,91,99,79,16,0,0,469
UCL102002,17,49,91,76,88,71,25,12,3,436,3,22,161,186,145,83,8,0,0,614,173,529,1148,1367,1497,1008,183,13,0,5924,9,49,209,315,339,274,37,0,0,1244,679,1542,3170,2988,2586,1675,325,16,5,12985,42,137,347,510,564,358,89,9,0,2062,734,911,1237,1046,998,789,265,24,9,6008,1237,731,759,530,485,343,108,13,4,4204,45,116,481,795,1149,1012,250,26,0,3878,58,131,326,396,466,260,47,7,0,1695,16,73,360,623,565,349,87,12,0,2094,16,65,173,229,252,181,88,12,4,1019,43,218,734,923,876,664,244,26,5,3732,76,202,412,467,554,434,112,9,0,2270,38,170,788,1207,1345,935,154,10,6,4652,49,190,564,587,628,652,148,12,0,2821,43,228,832,914,1012,959,227,20,3,4234,111,145,227,190,182,136,54,4,0,1045,104,299,612,577,641,469,136,13,3,2852,192,390,637,702,783,524,158,41,4,3429
UCL102003,8,9,25,28,29,31,12,4,0,142,0,3,50,44,37,24,0,0,0,160,26,71,153,149,152,123,25,3,0,697,0,11,28,37,48,41,0,0,0,177,107,209,486,553,500,388,71,7,0,2323,4,20,49,75,56,69,14,3,0,288,175,200,230,182,187,180,51,10,0,1211,246,160,211,165,161,152,38,0,0,1134,6,27,56,119,168,172,66,8,0,634,10,16,22,29,32,17,7,0,0,140,3,4,23,44,46,28,12,0,0,162,3,8,22,49,54,60,26,4,0,231,4,33,83,119,121,91,48,8,0,517,7,28,55,97,105,105,21,3,3,428,3,23,103,174,211,127,28,3,0,674,8,17,76,134,150,152,30,3,0,571,6,32,124,180,233,186,41,4,0,804,20,31,40,46,46,36,12,0,0,237,14,32,82,92,102,60,34,0,0,426,42,63,132,106,119,100,39,9,0,609
UCL102004,9,56,61,67,61,56,27,8,0,334,16,118,903,821,711,360,26,0,3,2955,157,518,1400,1532,1718,1199,147,11,0,6688,8,90,385,431,442,293,35,0,0,1673,578,1385,2917,2431,2321,1377,236,22,3,11277,41,167,420,551,500,371,75,4,0,2130,808,1201,1376,935,886,642,166,24,0,6034,1445,1136,957,569,433,295,102,12,0,4937,39,180,744,910,1259,1113,258,27,0,4528,43,125,228,211,191,128,20,4,0,939,14,89,432,515,402,258,57,11,0,1777,26,72,217,239,236,188,81,12,0,1073,66,363,1354,1275,996,741,231,36,0,5060,38,192,467,472,466,377,70,4,4,2095,35,330,1191,1305,1465,942,127,6,0,5388,98,320,846,951,878,931,189,18,3,4238,57,406,1451,1335,1289,1112,245,43,3,5946,153,184,211,180,143,109,52,3,0,1037,146,376,681,641,649,458,115,25,3,3094,138,334,730,629,686,434,129,37,8,3126
UCL102005,12,29,46,41,37,34,22,9,0,234,3,72,572,691,511,298,27,0,0,2178,103,422,937,1232,1824,1091,126,8,0,5746,16,63,236,251,255,179,12,0,0,1014,619,1277,2349,2069,1837,1115,166,13,0,9455,32,126,336,393,413,266,48,5,3,1626,594,873,1123,833,702,430,109,16,4,4686,1006,903,690,382,338,237,57,10,0,3625,50,175,672,1073,1223,940,194,14,3,4355,34,64,195,225,177,73,12,0,0,791,12,88,373,478,365,186,53,5,0,1558,15,65,165,175,160,127,43,3,0,756,49,272,821,867,656,484,139,16,0,3305,56,173,335,379,386,288,53,0,0,1672,42,229,927,1165,1137,709,97,8,0,4312,84,289,780,785,783,742,171,17,3,3651,60,246,761,827,799,618,145,22,4,3480,112,146,168,146,122,95,27,3,3,820,134,309,588,534,489,347,81,7,0,2504,145,355,584,559,622,417,99,34,6,2830
UCL111001,3,9,36,29,39,30,16,0,3,175,0,0,12,11,9,3,0,0,0,38,47,138,355,351,357,262,35,0,0,1542,0,3,34,23,36,30,4,0,0,132,108,254,443,323,282,259,33,3,0,1709,7,21,80,95,93,59,19,3,0,376,152,146,245,196,150,116,31,3,0,1035,229,121,153,108,72,63,23,0,0,774,10,44,141,156,194,164,67,4,0,780,8,15,45,28,23,15,7,0,0,139,0,5,34,37,39,25,8,0,0,148,0,11,25,15,25,23,12,0,0,120,3,34,106,90,76,91,51,3,0,450,8,22,63,66,73,65,23,0,0,323,9,52,153,193,198,154,12,0,0,776,8,45,112,128,128,135,16,4,0,576,8,20,149,153,140,128,32,4,0,641,16,17,16,18,21,10,0,0,0,99,16,61,111,85,90,91,17,6,0,478,26,60,109,81,111,77,39,10,0,515
UCL111002,9,25,53,54,39,28,14,6,0,226,21,92,604,679,470,211,20,0,0,2102,55,195,474,451,473,331,42,7,0,2034,3,17,80,103,116,66,5,0,0,394,151,285,721,553,457,335,49,3,0,2557,14,49,127,123,122,81,13,0,0,542,171,279,344,263,230,145,34,3,0,1469,392,178,162,97,76,66,15,0,0,989,10,60,204,258,352,298,71,4,0,1250,6,14,35,34,33,27,6,0,0,158,0,18,69,79,56,42,8,0,0,274,3,15,48,66,47,39,9,3,0,239,10,54,207,200,130,129,38,0,0,768,17,34,115,143,105,78,13,0,0,505,6,46,290,309,311,179,26,0,0,1169,10,40,101,131,151,140,32,4,0,608,15,51,170,180,176,142,34,4,0,772,30,18,31,24,20,20,7,3,0,158,45,108,236,201,171,122,36,3,0,924,49,91,210,176,170,122,30,9,7,850
UCL112001,12,42,67,38,33,19,4,3,0,224,0,0,12,6,8,0,0,0,0,28,11,20,36,25,28,13,6,0,0,139,0,4,15,4,10,11,0,0,0,48,24,54,90,71,67,60,15,0,0,387,8,12,26,13,16,16,9,0,0,94,75,114,110,68,62,34,6,0,0,474,83,78,76,43,38,31,4,0,0,354,0,11,23,26,46,38,4,5,0,149,0,3,6,7,6,11,0,0,0,41,0,5,20,24,18,12,0,0,0,79,0,5,8,4,3,9,6,0,0,32,0,19,45,49,43,46,20,3,0,235,4,25,31,24,29,24,8,0,0,139,4,12,51,59,67,65,14,0,0,265,10,42,125,133,176,160,37,4,0,691,3,22,80,68,73,45,10,0,0,309,3,3,13,6,13,8,0,0,0,41,5,23,33,19,28,21,6,3,0,138,7,26,34,21,18,10,7,3,0,126
UCL112002,5,9,39,27,39,31,11,4,0,173,5,10,75,42,37,23,0,0,0,190,28,76,184,226,230,156,21,7,0,928,0,4,24,31,47,31,0,0,0,129,67,142,327,194,163,115,19,4,0,1027,3,19,51,40,27,34,10,0,0,189,85,141,184,109,83,61,27,3,0,691,113,105,108,60,37,38,15,3,0,479,11,21,61,85,114,96,29,4,0,414,6,17,39,32,25,14,0,0,0,123,0,4,19,17,25,13,3,0,0,80,4,4,21,13,21,21,5,0,0,93,3,22,63,57,48,51,21,10,0,267,6,16,43,47,46,37,4,0,0,193,6,51,162,184,207,133,20,5,0,763,15,51,99,111,120,116,24,4,0,537,11,51,82,76,89,92,19,0,0,427,8,19,22,7,12,15,8,0,0,86,18,38,87,68,40,36,17,0,0,306,30,25,76,52,55,45,19,6,3,313
