UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL101001,100907,92983,47907,30882,44980,31712,17281,366645,25135,24545,13367,7898,10070,4865,2320,88200,23494,21254,10245,5937,7852,3958,1957,74693,85031,83837,45881,28380,36044,17310,8296,304771,1245,1233,600,436,351,164,75,4102,235812,223844,117998,73527,99297,58004,29928,838416,7585,11702,8475,6558,10416,7209,4436,56382,3834,5340,3405,2413,3131,1397,750,20262,2235,3580,2250,1614,2254,1079,556,13564,12539,16443,10611,7295,9676,3694,1917,62174,1303,1328,768,461,516,189,90,4657,27490,38382,25502,18348,25996,13568,7747,157033,263304,262230,143503,91871,125294,71576,37669,995448
UCL102001,363,284,149,99,122,63,31,1118,124,157,89,59,82,44,20,576,165,149,74,44,57,21,16,527,1259,1216,686,448,674,207,80,4572,0,11,5,3,5,0,0,26,1914,1814,1009,653,934,343,142,6814,25,23,13,15,22,15,9,116,26,44,17,14,14,7,4,123,17,15,11,9,8,10,3,78,272,318,166,123,177,55,18,1137,16,10,8,3,3,0,3,47,359,414,218,167,225,85,36,1502,2273,2229,1228,821,1163,423,180,8314
UCL102002,1252,1376,775,510,658,317,147,5038,1284,1394,790,484,659,249,114,4971,1144,1205,650,380,499,198,84,4153,10084,10141,5814,3552,4670,1576,696,36543,71,89,60,38,39,6,3,296,13831,14207,8089,4966,6517,2347,1047,51002,67,185,148,118,166,67,35,790,311,446,305,213,288,97,31,1697,159,276,196,142,193,49,29,1045,2563,3383,2158,1462,1936,503,229,12238,129,124,86,42,57,7,0,447,3238,4416,2901,1971,2643,728,330,16216,17069,18624,10990,6940,9160,3068,1374,67223
UCL102003,206,229,122,67,116,26,11,780,252,220,119,76,102,25,14,808,219,212,94,76,85,36,8,729,1641,1591,897,630,784,247,88,5883,10,6,3,3,4,0,0,32,2327,2266,1235,849,1097,338,120,8226,16,35,30,16,33,14,3,142,61,84,58,39,50,16,3,302,25,42,37,26,58,18,4,210,338,530,359,227,361,108,37,1954,16,17,11,11,8,3,0,66,454,704,490,318,506,152,49,2680,2780,2969,1729,1167,1602,486,168,10906
UCL102004,1254,1218,619,352,511,215,115,4285,1047,1083,600,325,452,181,83,3771,1112,1033,480,324,425,171,80,3619,11913,11197,6267,3969,5318,1994,955,41619,74,48,38,22,23,7,3,211,15404,14577,8005,4995,6727,2570,1234,53508,94,142,122,76,116,56,43,654,226,311,205,144,230,66,37,1219,95,197,133,99,171,60,31,790,2275,3189,2067,1486,1880,588,278,11766,100,84,65,43,46,9,3,357,2788,3924,2595,1858,2430,780,394,14775,18195,18500,10602,6846,9165,3352,1626,68285
UCL102005,1466,1512,777,520,793,467,264,5799,1020,1170,662,448,686,313,154,4448,998,1033,610,380,546,234,120,3930,8679,8729,4912,2975,3853,1496,628,31267,53,84,38,28,24,7,4,251,12219,12529,6994,4360,5903,2521,1168,45687,93,188,151,123,244,118,72,995,255,320,227,182,284,110,47,1423,92,164,129,111,152,78,46,773,1877,2470,1522,1068,1350,417,176,8878,93,89,58,43,41,13,5,337,2403,3237,2091,1528,2068,739,341,12411,14628,15763,9083,5890,7973,3256,1513,58098
UCL111001,272,226,95,65,77,43,18,790,101,113,73,30,63,21,3,405,110,83,52,44,47,9,3,346,1783,1596,898,600,774,208,54,5913,7,4,9,8,3,0,0,28,2271,2023,1130,744,966,274,76,7486,20,20,9,17,14,10,3,88,47,37,34,28,16,3,4,168,20,17,23,9,13,0,6,85,448,616,388,252,320,59,18,2094,15,23,18,15,6,0,0,79,542,710,473,320,361,74,32,2519,2813,2737,1599,1063,1326,352,109,10000
UCL111002,250,244,138,94,107,44,16,896,235,216,130,63,92,30,7,764,200,210,80,68,89,28,15,690,3648,3541,1860,1156,1487,439,195,12321,13,13,9,4,0,0,0,46,4343,4222,2212,1384,1776,545,234,14722,17,22,15,10,22,12,3,102,77,70,52,36,43,12,4,290,22,40,32,28,28,8,5,168,982,1168,722,396,572,128,78,4048,39,24,17,9,0,0,0,91,1137,1324,837,484,670,162,92,4698,5478,5544,3047,1869,2444,704,325,19416
UCL112001,164,134,59,33,53,12,0,460,51,59,30,12,27,3,0,178,42,40,26,18,20,4,0,150,569,530,314,188,249,50,13,1924,7,7,10,0,0,0,0,21,831,770,436,251,352,73,16,2733,12,21,10,13,11,5,0,67,18,19,13,12,10,3,3,78,8,9,9,6,13,0,0,41,190,224,158,113,139,20,11,858,14,10,3,4,0,0,0,32,241,280,195,150,177,29,10,1073,1070,1042,634,399,528,107,25,3806
UCL112002,91,98,63,42,63,19,3,385,75,74,43,34,32,12,6,282,82,91,41,27,34,13,6,286,1312,1349,765,455,600,129,41,4654,9,5,4,0,0,0,0,26,1572,1618,915,560,732,179,50,5628,8,10,10,7,13,0,0,49,19,35,11,17,23,3,4,106,13,11,12,14,20,4,0,76,404,488,311,207,239,58,15,1711,23,16,9,3,4,0,0,57,461,561,351,241,294,75,15,2002,2031,2177,1272,800,1025,252,72,7631
UCL112003,65,87,48,33,50,16,14,322,132,169,98,65,98,20,16,597,117,142,87,50,68,21,10,490,855,824,516,303,408,100,53,3066,6,3,0,0,4,0,0,22,1177,1225,759,459,629,153,95,4497,5,14,18,18,26,4,3,90,30,42,40,28,53,17,8,207,18,40,29,23,29,3,3,146,184,260,145,89,137,39,18,875,8,15,5,0,3,0,0,28,236,369,241,160,246,62,37,1341,1419,1593,1001,611,870,219,128,5838
