UCL_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
UCL101001,1937,454,581,45,587,262,449,1812,113,6247,727,967,433,23,429,54,507,163,55,3353,21045,15108,24259,1048,13827,6857,15801,17246,1443,116636,2486,3622,2679,51,2539,422,2140,1029,229,15200,23518,10098,72807,323,16239,2378,7905,23689,1687,158642,18388,15413,4439,194,14293,10209,8814,2976,819,75539,31390,13958,9804,1842,13232,96145,8720,12255,1324,188669,23399,3017,21239,41204,5641,16165,2416,22411,1017,136503,11148,8181,3786,3632,22997,4975,43950,5010,1435,105115,11187,28176,6608,312,7192,4167,474,845,708,59678,25682,54168,1942,620,46522,4922,785,880,2567,138091,6116,6158,1183,366,7795,16059,713,1111,646,40148,30383,124631,13547,657,33238,4612,673,1481,2111,211324,9896,11136,4175,6736,10607,2266,2571,25698,737,73830,13924,28084,7488,23258,28281,656,3489,3517,2121,110808,13725,101815,3827,21862,18216,675,699,2400,903,164124,13066,99845,7781,65167,33240,1802,1886,8749,1634,233170,5505,8806,2676,9164,3862,1649,332,1828,460,34272,6848,8524,27022,11778,8116,1660,1142,5521,619,71219,13631,14504,12888,4355,12961,7318,9961,11003,19725,106342
UCL102001,18,0,8,0,5,4,3,10,0,53,4,0,4,0,5,0,15,3,0,39,106,38,263,8,76,54,76,96,5,725,15,29,54,0,46,3,40,18,3,203,203,51,907,0,165,21,179,334,11,1871,42,24,28,0,66,85,58,15,8,336,256,39,96,27,94,1063,53,147,12,1776,194,3,146,349,52,160,25,213,5,1138,62,45,37,12,159,36,300,27,9,681,46,85,53,3,67,7,12,5,3,276,32,64,6,0,117,16,0,0,3,236,48,24,11,9,62,127,3,15,7,298,162,551,124,8,297,16,7,12,18,1189,38,43,58,42,78,3,9,327,0,604,1158,1289,201,516,1666,19,38,45,164,5092,113,685,50,239,189,0,0,23,9,1312,111,575,59,800,313,21,11,80,18,1979,44,47,24,68,39,4,3,17,3,250,63,38,328,63,91,24,15,65,7,694,60,53,122,40,86,41,72,86,158,722
UCL102002,136,31,123,0,39,28,34,263,11,667,59,85,170,0,48,4,272,36,6,685,1293,638,2032,57,841,530,1115,1498,108,8122,144,160,446,16,207,24,295,125,24,1444,1578,317,7401,22,1212,161,934,2748,144,14525,698,416,259,3,514,630,456,156,35,3177,2215,431,936,138,765,8261,629,1184,70,14627,1508,138,1173,2990,438,1482,256,1997,52,10034,440,238,175,148,943,197,2296,371,53,4867,404,779,516,14,374,223,95,84,43,2536,608,1078,142,27,2069,236,78,131,66,4432,267,144,89,33,494,1072,52,94,29,2274,818,3231,861,26,1690,172,28,114,61,6996,399,384,455,463,696,154,124,1979,40,4693,735,1458,690,2224,2195,48,302,423,165,8236,670,6118,242,1653,986,22,46,193,57,9989,959,7422,701,6975,2891,126,163,882,149,20274,260,428,217,546,205,94,33,133,24,1941,401,360,2614,831,641,143,67,416,41,5505,541,447,891,226,666,395,489,693,1049,5395
UCL102003,56,7,19,0,9,6,14,74,0,190,15,15,51,10,4,0,57,15,3,174,148,39,330,11,76,87,106,119,3,922,26,17,74,0,39,8,43,16,0,218,271,43,1326,3,253,29,210,458,25,2623,106,37,26,0,68,99,55,26,3,416,414,68,161,20,139,1641,101,258,11,2809,391,36,344,812,163,286,33,549,25,2630,55,58,47,43,120,72,407,51,5,853,42,63,47,5,29,39,3,8,3,242,59,113,0,4,192,18,0,3,9,397,52,30,20,5,109,291,12,32,7,545,87,495,128,11,271,22,5,23,9,1061,74,71,80,131,139,14,10,424,6,944,83,186,92,311,342,6,29,107,27,1195,135,1177,48,328,194,10,10,47,11,1960,141,1311,136,1402,492,22,29,215,20,3775,50,76,49,105,28,27,7,30,3,386,59,50,406,129,76,4,10,89,6,833,102,91,158,50,141,95,75,127,199,1026
UCL102004,98,19,42,6,32,30,36,239,5,512,356,473,988,4,226,17,1097,105,35,3300,1179,981,2483,90,813,545,1284,1053,95,8519,245,500,594,8,336,39,248,115,22,2107,1503,587,6229,17,1205,182,798,2241,110,12854,578,422,302,9,467,635,441,127,36,3014,2075,534,817,150,707,8584,407,1200,62,14532,1548,125,1479,3741,354,1527,289,2239,54,11353,569,460,364,121,1052,201,2359,407,62,5591,214,450,317,20,216,237,14,37,23,1524,611,1309,94,22,2587,219,34,35,74,4983,233,212,78,31,422,891,84,130,21,2104,839,4897,1087,26,1835,118,47,183,58,9090,354,456,374,469,735,98,139,1897,42,4574,1031,2286,859,1828,2634,77,296,489,188,9670,939,8747,354,1793,1603,38,64,207,63,13820,1137,11134,859,7457,3504,142,225,1158,139,25758,253,405,139,608,210,128,22,116,19,1898,396,504,2675,831,564,124,132,499,39,5765,485,505,799,224,578,347,442,540,932,4855
UCL102005,71,15,52,0,18,24,17,149,4,346,178,222,745,3,96,9,990,57,23,2319,958,847,2202,37,525,338,1256,632,92,6896,135,122,352,3,168,21,247,120,18,1189,966,287,5485,17,757,128,844,1785,98,10372,460,280,235,9,358,445,350,113,21,2266,1693,342,728,119,593,6819,342,948,50,11626,1215,75,1018,2702,311,1097,244,1750,35,8435,464,246,307,181,958,183,2332,530,67,5273,201,476,237,8,143,121,11,34,17,1244,521,1028,115,23,2039,112,55,77,68,4042,187,115,62,33,334,731,64,81,13,1620,589,2870,789,20,1200,95,49,111,40,5777,280,302,347,371,655,103,109,1644,39,3857,731,1560,600,1974,2250,47,199,478,150,7993,861,7387,330,1664,1463,57,54,197,68,12084,802,6261,569,5642,2287,98,130,822,108,16715,236,307,169,463,153,85,23,130,10,1572,300,324,2206,728,440,88,81,415,35,4613,387,385,770,201,465,259,438,526,811,4243
UCL111001,68,24,31,0,15,9,20,61,4,230,4,4,11,0,0,0,15,3,0,41,289,152,472,16,168,109,342,395,27,1969,14,11,51,0,18,6,39,11,3,158,214,49,1030,0,198,45,121,254,20,1934,95,52,46,0,73,112,81,30,10,486,338,77,141,19,132,1467,116,191,10,2495,281,10,242,564,58,243,21,407,13,1848,99,50,34,15,178,47,511,32,11,978,31,88,40,3,17,57,4,9,0,254,47,113,3,3,211,9,0,3,3,392,24,20,8,3,50,130,10,15,8,270,54,470,103,0,224,16,3,9,0,879,38,52,66,60,80,10,45,306,5,657,174,339,127,294,520,3,36,60,30,1578,160,1241,43,338,204,3,4,45,4,2041,140,1235,88,1167,434,10,12,155,18,3260,45,35,26,40,21,13,3,14,0,203,60,60,419,118,75,17,13,109,3,876,65,59,148,36,84,57,67,128,141,780
UCL111002,54,13,25,0,15,8,37,208,0,351,152,217,802,3,117,16,914,73,31,2327,292,200,743,19,251,168,493,544,33,2742,46,66,163,3,85,7,76,35,7,491,245,103,1352,0,302,58,350,545,29,2990,97,64,127,0,116,146,117,43,3,717,515,65,239,45,218,2211,108,374,17,3797,336,16,314,677,84,414,66,601,16,2525,142,50,96,18,305,59,812,90,16,1603,40,59,73,0,37,36,9,8,3,261,107,178,18,3,442,38,4,6,10,815,67,28,49,8,113,181,30,27,9,505,147,640,250,3,378,31,16,45,12,1529,69,94,84,99,201,28,86,548,13,1226,191,424,263,490,616,10,68,113,39,2218,179,1506,73,428,253,9,10,62,9,2522,173,1568,201,1748,658,26,42,243,31,4695,45,55,31,99,29,31,4,24,3,327,87,102,776,190,164,26,60,152,8,1571,109,81,265,69,116,77,147,202,221,1287
UCL112001,74,30,27,0,19,9,6,144,0,312,3,8,0,0,4,0,21,0,0,33,25,18,72,6,18,14,10,22,3,179,3,0,16,0,7,8,18,9,0,53,51,6,240,0,43,3,38,51,0,433,16,8,11,0,20,36,17,9,0,124,122,24,47,10,44,617,27,115,10,1007,130,6,88,240,18,79,20,169,0,748,15,3,5,3,28,6,94,3,0,169,11,21,11,3,11,9,0,9,0,77,23,46,3,0,97,3,0,0,0,178,6,7,0,3,9,38,3,4,0,72,39,237,37,0,108,8,0,3,5,442,13,21,19,35,25,4,0,162,3,278,37,102,23,90,75,5,30,32,13,404,121,1076,103,171,268,5,3,50,9,1795,49,437,39,468,144,9,10,72,8,1233,9,10,9,17,4,0,0,9,0,68,14,21,113,31,43,4,0,28,3,257,20,17,32,12,20,17,14,35,45,207
UCL112002,57,22,39,0,19,5,29,51,3,223,11,20,69,6,4,0,82,7,3,206,174,79,289,25,90,78,157,359,10,1262,28,35,52,0,34,0,26,3,0,187,146,29,609,0,89,19,94,187,5,1177,42,17,19,3,26,64,56,23,5,240,223,45,112,20,97,956,34,172,11,1670,172,12,152,349,43,152,16,244,5,1157,53,15,30,10,115,13,257,20,3,507,20,54,27,8,60,55,4,3,0,240,22,47,5,3,104,19,0,0,3,211,19,19,9,0,36,65,13,16,3,179,38,276,80,0,148,3,6,12,3,564,23,33,33,31,57,6,18,252,3,447,94,294,97,419,258,10,55,63,21,1315,145,1028,61,259,226,7,8,69,20,1813,93,704,59,802,242,5,14,99,11,2041,30,30,10,68,13,4,4,15,3,178,45,29,241,81,47,7,21,57,3,537,32,33,86,33,50,30,52,59,111,493
