UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL101001,17700,24834,10181,11902,17664,7967,3764,4329,1409,99762,20619,22874,14772,23549,25418,11884,4553,6150,1959,131772,31416,17200,103939,31409,34120,17960,20190,20521,4742,281507,1884,1479,1443,2466,5334,2587,1301,1913,238,18649,5265,4482,3414,6370,11540,4946,2932,3435,680,43049,3094,5811,2125,1970,4440,1948,1270,1701,553,22920,3325,5319,3516,3577,5059,2969,2694,3806,4440,34693,226210,509466,170711,127366,196168,91249,50273,61916,25236,1458609
UCL102001,180,178,76,133,182,41,17,23,13,843,239,257,150,264,339,95,27,35,28,1433,416,216,1453,471,640,242,221,267,62,3975,13,25,21,46,88,32,6,32,7,268,60,47,12,52,116,26,14,28,4,359,19,24,12,11,33,10,6,10,3,130,23,21,23,33,50,14,21,45,40,277,2135,3227,1905,1415,2160,650,366,538,242,12633
UCL102002,987,1668,515,1052,974,389,126,199,67,5968,1379,1681,875,2306,1707,735,191,343,122,9330,3417,2119,12336,4625,3940,2331,2196,3012,493,34466,187,129,138,302,456,375,103,283,23,1996,306,303,255,696,833,415,205,322,37,3374,118,222,96,113,242,99,55,105,22,1071,235,300,325,381,387,298,213,429,288,2857,10113,22010,15369,11303,10693,5503,3268,5137,1329,84724
UCL102003,141,267,104,205,151,64,20,46,13,1012,215,239,155,509,282,147,32,81,24,1684,545,265,2165,883,639,413,341,601,89,5942,29,15,26,51,48,55,16,62,0,297,45,40,44,157,131,88,41,72,8,623,10,41,24,19,30,25,4,21,0,177,45,55,54,90,65,50,35,76,52,525,1629,3683,2725,2292,1695,1017,529,1067,218,14860
UCL102004,976,1986,666,960,1120,346,144,176,69,6441,1299,1899,1143,2147,1840,644,224,332,82,9610,3105,1906,13008,4516,4311,2172,2822,2781,491,35112,129,107,132,326,522,324,124,259,14,1933,302,263,293,540,909,376,209,305,34,3231,103,260,93,129,229,76,48,93,20,1052,143,338,237,336,349,219,169,295,235,2339,11198,32648,16787,11414,12568,5250,4024,4779,1269,99938
UCL102005,706,1252,490,912,788,284,107,180,64,4769,1086,1347,1036,2090,1495,482,234,305,99,8180,2370,1369,10724,3665,3220,1658,2599,2345,384,28343,117,100,107,254,459,251,116,221,12,1644,281,204,174,573,781,323,194,285,44,2868,79,188,87,96,200,78,57,87,16,893,135,242,257,267,262,243,200,303,227,2120,8548,21673,13809,9863,9592,4225,3756,4231,1132,76835
UCL111001,129,231,83,150,124,61,24,30,7,847,199,252,146,345,248,104,51,75,15,1432,540,262,2013,763,666,395,435,474,69,5623,24,22,32,53,89,50,31,51,8,353,49,31,32,98,126,71,43,56,0,508,13,33,7,23,25,15,12,13,9,149,25,49,41,43,39,38,34,77,33,384,1641,3824,2485,1863,1725,868,690,867,176,14139
UCL111002,223,373,171,226,205,72,43,46,11,1371,293,404,315,558,453,156,76,69,30,2357,751,456,3943,1244,1210,629,1161,788,163,10345,47,17,46,81,150,115,47,90,0,593,67,54,53,136,210,79,56,71,10,738,19,49,23,31,60,16,16,36,0,236,43,60,62,93,53,51,68,88,57,569,2218,5114,4815,2728,2753,1278,1532,1282,308,22016
UCL112001,39,82,29,52,57,11,5,9,5,286,58,68,35,109,93,30,11,25,4,426,154,83,489,228,200,144,74,146,24,1542,14,10,13,23,19,22,7,24,0,136,18,11,16,28,42,28,12,27,3,178,8,20,0,13,6,4,3,13,0,64,11,17,12,19,13,11,14,29,11,139,567,1976,695,720,680,314,129,388,61,5539
UCL112002,72,145,44,127,92,31,11,20,5,546,133,160,95,255,129,62,27,43,13,918,365,178,1310,597,420,261,316,381,42,3873,23,13,29,39,76,45,18,37,0,286,32,21,31,46,101,54,16,55,7,357,9,25,8,15,18,15,6,15,3,116,17,20,37,37,29,24,16,53,20,265,1104,2622,1660,1414,1126,581,437,680,120,9736
