UCL_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
UCL101001,1281,5139,4849,3932,6862,6544,1827,2609,8403,41437,35652,127148,135598,123065,192293,176058,68457,85577,16843,960684,152,715,713,781,1082,1177,507,1009,116,6247,143,124,155,151,531,804,374,1049,25,3353,2325,5776,6976,6676,32541,28409,13997,18928,1003,116636,374,349,533,622,3976,4574,1831,2806,133,15200,3175,8291,10960,11480,21466,46403,18874,35630,2353,158642,1495,3240,4383,4445,18561,21119,9079,12727,495,75539,5143,34851,28502,22791,34798,27743,12950,19645,2241,188669,3415,31736,27892,15658,18139,15018,8120,14590,1927,136503,3175,5626,7601,9661,22031,23755,11651,20130,1488,105115,1503,3208,3177,3357,12756,17051,7180,11049,392,59678,4596,3946,7007,9012,29339,40955,15968,26303,966,138091,893,3034,3178,2982,6618,10253,4547,8322,325,40148,4922,14069,15592,15165,33771,60159,23670,42627,1355,211324,1848,9276,11190,8454,14112,14591,5573,7896,888,73830,4951,4401,6585,7440,34987,24417,14236,12821,971,110808,5441,26620,20031,18837,29360,27244,13204,21924,1452,164124,8518,23024,35487,35144,48724,45016,14167,20765,2323,233170,1090,6801,4062,3937,4894,6120,2618,4350,392,34272
UCL102001,3,28,20,31,40,31,10,14,70,251,434,1007,961,1305,2280,1617,812,809,143,9375,5,3,3,5,10,12,4,3,0,53,0,0,3,0,3,8,8,19,0,39,25,55,22,31,178,167,112,135,7,725,12,3,9,5,57,57,21,40,3,203,28,57,65,101,313,573,282,426,23,1871,7,15,19,13,96,73,43,63,3,336,54,349,230,252,396,197,147,148,12,1776,28,335,155,156,166,118,55,100,13,1138,29,33,34,79,147,136,63,154,7,681,7,15,16,19,84,68,29,37,0,276,6,4,15,19,66,56,30,31,0,236,9,11,8,13,72,79,46,65,0,298,31,76,64,106,279,304,142,186,4,1189,24,79,72,80,151,115,32,49,5,604,252,97,190,327,1409,1310,735,730,41,5092,53,156,124,160,284,220,111,190,15,1312,86,181,241,368,531,289,117,153,14,1979,8,57,14,35,63,23,17,26,5,250
UCL102002,94,326,242,194,301,224,71,98,426,1970,2863,10695,10450,10749,11836,8461,3260,3900,1017,63229,24,69,88,93,114,122,52,96,12,667,41,9,21,25,81,127,96,261,9,685,195,417,415,591,2217,1791,1079,1355,63,8122,52,33,59,52,430,398,161,240,17,1444,348,783,860,1186,2055,4540,1555,3020,177,14525,87,175,190,224,753,785,360,582,24,3177,567,3118,2219,2142,2524,1724,927,1254,160,14627,315,3264,1602,1490,1166,837,485,756,126,10034,207,361,378,493,837,944,557,1031,63,4867,83,203,164,169,608,604,259,418,20,2536,214,151,363,403,1161,1104,410,577,38,4432,64,210,206,199,458,506,205,400,23,2274,194,723,732,701,1200,1567,663,1169,45,6996,172,980,622,624,808,811,229,383,63,4693,437,367,558,671,2764,1568,1074,726,74,8236,412,1338,1264,1362,1671,1654,804,1418,74,9989,949,1797,3526,4095,4012,3279,1064,1343,208,20274,74,491,234,235,292,265,110,223,17,1941
UCL102003,16,74,43,60,46,41,7,34,94,417,460,2109,1816,2430,2003,1253,554,804,215,11636,7,29,20,32,32,22,11,40,5,190,19,3,3,4,8,13,14,107,0,174,24,52,51,102,211,197,105,176,5,922,6,8,11,14,48,56,30,42,3,218,63,155,180,247,385,721,277,564,33,2623,9,31,37,21,90,97,48,88,0,416,87,633,389,511,489,237,159,268,34,2809,96,719,367,486,351,227,128,221,35,2630,41,69,106,134,141,106,79,162,12,853,4,30,16,22,60,50,18,41,0,242,13,44,36,51,69,74,29,76,0,397,17,62,59,59,115,87,46,94,0,545,26,145,104,158,170,187,95,180,6,1061,27,195,155,153,158,123,49,80,9,944,82,62,69,116,410,207,130,107,9,1195,55,269,224,323,333,315,164,264,21,1960,175,399,592,940,739,485,159,255,35,3775,12,81,45,61,66,51,33,33,6,386
UCL102004,68,302,206,209,232,176,46,85,414,1732,3282,11801,11814,12102,13190,9618,4123,4556,1014,71495,18,54,66,67,99,87,50,71,8,512,139,58,82,96,544,708,683,953,37,3300,190,438,455,500,2080,2128,1321,1355,58,8519,74,44,79,132,617,592,242,308,5,2107,317,646,755,978,2034,3882,1401,2715,116,12854,76,152,187,236,648,695,416,577,22,3014,548,3441,2317,2065,2451,1496,905,1164,141,14532,365,3944,1768,1582,1180,865,565,904,167,11353,256,431,353,451,997,1011,767,1262,66,5591,37,179,116,129,342,335,171,204,10,1524,228,233,514,556,1431,1000,487,506,33,4983,52,207,154,192,405,403,248,431,16,2104,277,846,847,942,1615,1986,965,1555,56,9090,163,835,640,666,801,756,294,367,48,4574,510,454,704,777,3164,1940,1215,860,57,9670,537,2098,1761,1820,2460,2062,1172,1807,102,13820,1252,2256,4270,5011,4702,4609,1489,1938,226,25758,60,603,245,247,208,228,92,195,16,1898
UCL102005,56,223,176,160,186,156,39,78,340,1413,2469,9253,9057,8914,10200,7046,2854,3357,752,53903,22,53,38,50,48,59,23,58,3,346,116,24,29,52,727,408,397,550,16,2319,188,284,304,363,1618,1593,1299,1198,56,6896,31,22,45,80,359,298,136,210,9,1189,278,470,565,764,1636,3190,1211,2121,131,10372,54,136,164,151,503,515,301,437,13,2266,387,2768,1838,1614,2057,1192,677,965,122,11626,291,2971,1382,1162,860,673,342,669,93,8435,232,341,391,485,929,928,653,1240,75,5273,42,94,95,91,273,315,160,173,7,1244,197,185,400,424,1155,912,344,404,20,4042,48,147,166,147,329,337,157,277,9,1620,168,577,570,534,1047,1269,595,984,36,5777,122,701,503,542,845,614,214,281,45,3857,412,420,663,784,2665,1335,984,651,71,7993,460,1880,1496,1581,2415,1781,905,1485,90,12084,844,1491,2944,3111,3185,2950,922,1128,134,16715,72,458,215,182,212,189,86,134,20,1572
UCL111001,5,55,31,28,37,23,5,13,69,264,493,1785,1631,1944,1960,1219,659,683,161,10525,3,26,20,21,36,40,29,51,7,230,3,0,3,0,5,4,4,18,0,41,55,100,81,133,424,512,345,311,13,1969,4,3,7,13,44,41,23,22,4,158,48,104,78,129,345,565,259,393,17,1934,13,19,24,46,94,101,77,102,4,486,111,576,333,386,424,261,194,197,15,2495,56,557,265,254,202,169,118,203,25,1848,39,56,80,108,182,165,107,236,15,978,3,27,17,23,60,47,37,22,4,254,16,23,43,46,94,87,53,44,0,392,6,24,22,29,59,45,26,52,6,270,25,73,58,136,193,171,85,137,7,879,14,137,94,97,123,89,36,66,12,657,78,75,125,188,477,272,197,163,17,1578,76,250,244,291,373,281,202,301,24,2041,176,292,525,725,657,464,178,221,28,3260,6,51,20,23,30,29,18,20,0,203
UCL111002,11,85,49,39,57,47,15,25,99,430,760,2665,2673,2709,3209,2191,973,1081,241,16504,15,19,32,37,85,69,38,50,3,351,82,32,57,72,330,387,508,830,27,2327,79,126,150,153,695,649,454,414,18,2742,13,10,16,24,153,136,56,84,0,491,60,146,157,217,493,848,362,680,31,2990,11,43,41,33,163,167,103,150,4,717,143,820,599,563,680,393,273,280,36,3797,77,922,400,327,256,189,114,213,31,2525,63,126,115,154,257,270,193,411,16,1603,3,20,17,19,68,60,24,34,4,261,33,53,95,75,249,153,67,81,4,815,13,39,47,43,109,88,61,95,3,505,41,160,139,161,281,320,175,239,9,1529,41,202,172,190,227,197,75,111,16,1226,111,115,140,165,769,454,269,178,13,2218,131,314,330,373,384,379,198,385,19,2522,233,403,844,887,938,798,262,278,50,4695,10,105,36,58,43,34,11,25,3,327
UCL112001,4,15,7,4,9,3,0,10,21,76,219,741,538,642,895,431,216,307,69,4060,18,25,39,21,110,45,15,39,5,312,0,0,0,0,0,4,12,16,0,33,5,15,12,17,26,45,26,38,3,179,3,0,6,3,10,20,11,3,0,53,12,28,23,28,85,122,45,82,3,433,7,12,5,7,21,21,19,28,4,124,50,261,135,151,187,80,63,70,17,1007,43,254,95,98,64,51,29,88,26,748,0,24,12,25,28,23,20,36,3,169,4,15,11,4,24,11,6,7,0,77,3,10,15,22,57,30,13,27,0,178,6,7,9,9,19,7,4,12,0,72,17,47,27,52,115,62,45,67,4,442,8,53,50,38,55,34,22,18,4,278,23,33,30,30,149,53,51,32,3,404,66,226,148,164,505,255,149,281,16,1795,63,141,176,276,236,179,53,89,14,1233,0,16,5,7,8,9,4,7,3,68
UCL112002,14,29,12,19,36,17,9,8,39,180,357,1216,1008,1134,1478,940,424,535,124,7220,8,21,10,17,37,36,13,74,4,223,10,7,3,7,13,36,37,97,3,206,31,67,73,77,274,296,178,259,7,1262,4,5,4,9,61,58,12,23,0,187,27,55,50,63,206,308,164,284,18,1177,3,16,5,12,53,49,28,61,3,240,69,391,221,224,320,154,105,157,19,1670,45,384,141,135,163,98,58,115,26,1157,13,44,32,43,92,73,56,150,8,507,13,25,20,11,77,33,26,23,3,240,4,9,17,27,55,34,25,36,0,211,3,12,13,8,36,45,24,39,0,179,16,61,43,78,135,92,52,89,4,564,13,80,58,53,102,66,30,35,0,447,66,50,70,106,496,288,133,104,7,1315,73,211,194,203,392,283,169,266,29,1813,113,197,318,393,408,349,98,147,17,2041,11,65,24,14,26,16,11,17,3,178
