UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL115058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,3,4,4,0,0,0,0,9,7,8,0,0,0,0,19,0,11,0,3,0,0,13,3,5,3,3,0,0,17,3,6,0,3,0,0,9,0,3,0,0,0,0,9,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,23,41,16,6,10,0,95
UCL115059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,12,0,0,0,0,4,0,12,3,3,0,3,0,0,17,5,3,3,0,0,0,10,3,0,0,0,0,0,5,3,5,3,0,0,0,18,0,13,3,0,0,0,20,5,17,10,0,0,0,34,0,5,0,0,0,0,8,0,4,0,0,0,0,6,9,17,3,0,0,0,23,5,13,3,3,3,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,0,9,50,98,36,14,16,0,205
UCL115060,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,8,4,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,3,0,0,0,3,0,4,0,0,0,0,9,3,10,4,0,0,0,14,0,8,0,0,0,0,12,0,4,0,0,0,0,6,3,15,0,0,3,0,27,8,14,3,0,0,0,24,0,6,0,0,0,0,11,4,0,0,0,0,0,3,5,5,0,0,0,0,7,30,91,27,9,10,0,166
UCL115061,8,3,7,0,0,0,17,3,0,0,0,0,0,7,3,6,0,0,0,0,7,0,0,0,0,0,0,4,5,5,4,0,3,0,13,9,3,7,0,4,0,26,11,7,0,4,0,0,19,14,11,8,0,4,0,34,6,9,9,3,0,0,23,9,11,0,0,0,0,25,0,12,0,0,3,0,15,12,46,3,0,0,0,64,5,19,3,0,0,0,32,4,9,3,0,0,0,25,10,29,7,0,0,0,42,22,42,7,3,3,0,74,5,4,3,0,0,0,14,4,4,0,0,0,0,6,3,8,6,3,0,0,24,119,233,74,23,18,5,475
UCL115062,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,10,3,7,0,0,5,0,16,8,4,3,3,3,0,24,4,5,4,3,0,0,22,6,12,3,3,0,0,21,6,11,4,3,0,0,19,5,6,7,0,0,0,14,0,3,4,0,0,0,8,5,3,0,0,0,0,7,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,66,29,16,8,3,174
UCL115063,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,5,0,3,3,0,0,0,15,11,3,0,0,4,0,14,0,4,3,0,4,0,13,9,5,7,3,0,0,25,6,19,3,3,0,0,35,11,15,5,0,3,0,41,8,17,5,0,0,0,31,11,31,9,3,3,0,54,4,19,3,3,0,0,26,3,10,3,3,0,0,24,18,20,10,0,0,0,44,5,22,4,4,0,0,34,3,8,0,0,0,0,14,0,0,0,0,0,0,4,4,9,6,0,3,0,22,103,191,67,28,34,0,423
UCL115064,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,10,3,3,0,0,0,0,6,8,7,0,0,0,0,18,8,8,4,0,0,0,21,8,13,3,0,4,0,28,6,6,3,0,0,0,23,3,12,0,0,0,0,16,4,0,0,0,0,0,10,3,3,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,60,19,9,12,5,168
UCL115065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,0,8,5,11,0,0,0,0,15,5,8,0,0,0,0,17,6,7,0,0,0,0,18,12,28,3,3,0,0,44,7,22,0,0,0,0,33,9,16,3,0,0,0,30,21,44,7,0,3,0,81,26,44,4,3,0,0,86,5,8,3,0,0,0,17,3,7,0,0,0,0,8,0,4,0,3,0,0,13,101,220,28,18,9,0,362
UCL115066,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,7,4,0,0,0,0,0,3,4,0,0,0,0,0,4,5,3,3,0,0,0,9,0,3,0,0,0,0,4,3,0,4,0,0,0,8,0,10,3,0,0,0,10,3,3,0,0,0,0,8,5,4,0,0,0,0,10,4,0,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,49,30,15,8,3,0,114
UCL115067,3,0,0,0,0,0,6,0,3,0,0,0,0,4,9,0,4,0,0,0,15,3,5,0,0,0,0,9,13,3,0,3,0,0,15,4,9,4,5,6,0,30,5,15,3,0,0,0,24,6,3,0,4,0,0,11,5,4,3,0,0,0,9,8,3,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,8,57,58,26,10,5,0,165
